	PC1	PC2	PC3
PropExplained	0.16114763499539952	0.1354547262407653	0.10024167858447514
10249.C018.14SS	0.49843574611661345	0.03225945778485545	-0.17652704538509
10249.C036.16SS	-0.14752313637951162	0.12548394028010504	-0.10956962656686889
10249.C020.22SS	0.45021705658894445	0.01762107673189809	-0.399095578943622
10249.C024.15SS	0.05790474307176673	0.11124193514852933	-0.2260684620780463
10249.C043.01SS	-0.2549272285404045	0.3772999968934766	-0.09366263069316992
10249.C017.01SS	-0.2643903827819213	0.37811576716711537	-0.10413323619450403
10249.C009.17SS	0.30820912246025356	-0.20122929896020603	-0.31529684638516137
10249.C027.21SS	0.44660837114446317	-0.06405951423025091	-0.3843165204835042
10249.C046.04SS	-0.4000212180356871	-0.1011824814703154	-0.001275529253138342
10249.C030.05SS	-0.2864778508151801	0.30643890495136344	-0.0943291867017526
10249.C033.16SS	0.36777982801173886	0.02993844649237172	0.10228244616392203
10249.C042.05SS	-0.07156169060474253	-0.09636865267332942	-0.10707174369910455
10249.C032.19SS	0.10780021674320137	-0.1648393446753967	-0.1290322796647283
10249.M017.01SS	0.15641147373426206	0.0290315630859439	-0.1848845800425299
10249.C018.07SS	-0.19186381557588558	-0.15939217597490954	-0.053414767277344254
10249.C004.05SS	-0.20130169719672591	-0.4850763629287408	0.11158084760772492
10249.C001.31SS	0.1570443497319935	-0.279658083743687	-0.21600647967793143
10249.C034.06SS	-0.03393392306643947	0.19938790648280727	0.27042900261334823
10249.C057.11SS	-0.28089545454427123	-0.30104887472713554	0.05109400531481827
10249.C033.04SS	-0.3389781813612749	-0.013907056514541188	-0.05663926939600011
10249.C022.14SS	0.205280755646522	0.18129370175251416	0.32682748569796066
10249.C041.03SS	-0.041697155922862876	-0.346671845969999	0.04859295823422404
10249.C024.19SS	0.22126855275245327	0.10080836265937475	-0.21625975610798773
10249.C001.09SS	0.04695432163790939	0.35211381016810145	0.4175395559151183
10249.C011.03SS	-0.29943589715574453	0.3016592247077396	-0.07854152125891285
10249.C010.12SS	0.1281081375250085	-0.38771504507829124	-0.16954446887561517
10249.C020.24SS	0.423794445606488	-0.02522034442094876	-0.36169405275628946
10249.C056.07SS	-0.23924436745819722	-0.3548439858193955	0.07023973222538041
10249.C014.07SS	-0.23316728829514402	-0.040132897529053954	-0.056371086600438144
10249.C032.15SS	0.2591407886443178	0.20623439377228134	0.46412703287415563
10249.C007.07SS	-0.1974746124861308	-0.23700199924315501	0.10485987453050487
10249.C030.09SS	-0.0996404696393913	0.16752559005091205	-0.11261159894245257
10249.C001.15SS	-0.19834207792183053	0.12323846233271252	-0.0898832118275118
10249.C041.13SS	0.3130012816433409	0.08875203961931304	0.4892345678958568
10249.C021.09SS	0.21222733525515644	0.14690771715971077	-0.25737609825766017
10249.C012.22SS	0.3877164792942324	-0.043048950741180265	-0.37121181062983355
10249.C012.13SS	-0.2910884691511122	-0.11340043484853936	0.14766965649420008
10249.C011.08SS	-0.15829921109346098	0.027642822457183823	-0.10430492548547148
10249.M032.01SS	0.29244285765582967	0.1488390325134181	0.22531877943725767
10249.C022.18SS	0.03734347169526918	-0.1177329389423494	0.41945333798941664
10249.C010.18SS	0.41264627713922786	-0.07552993306452244	-0.3607503699924508
10249.C044.10SS	-0.177858708667134	-0.3508208496761974	0.21560548123519585
10249.C035.05SS	0.040894915722307724	0.2926093259543395	0.17458981393866346
10249.C022.05SS	0.1386147208567333	0.21930795091797678	0.40150173073377965
10249.C037.11SS	0.02655653415210955	0.1343661110332388	-0.10452735530465788
10249.C005.13SS	0.2993610995421234	-0.1675871596046345	0.22239745184171789
10249.C010.19SS	0.43903820293683776	-0.0058799100032865025	-0.3945880224057198
10249.C010.06SS	-0.30929955801098746	-0.13881280499747906	-0.0007226793995238279
10249.C012.12SS	-0.35176167343796283	-0.16498542751256787	0.07069251138593387
10249.C038.09SS	0.0911360324716723	-0.23816975670009224	0.26000872508678063
10249.C011.19SS	0.08609456603762877	0.13404742048528728	-0.3496086166233182
10249.C035.14SS	0.36437933945235806	0.16703252246237266	0.254352497156649
10249.C004.13SS	-0.0480257698690609	0.24214868107156523	-0.04137486832301537
10249.C053.02SS	-0.049617236686483004	0.24398986117482643	-0.04243360342450923
10249.C018.04SS	0.06272475828362696	-0.21455414462758096	-0.10996820017884078
10249.C025.11SS	-0.1431879107246756	0.13055852257783895	-0.08071766839080569
10249.C014.06SS	-0.2801450502788097	0.10620094190867893	-0.11003438714096717
10249.C002.01SS	-0.30365394154185554	0.39536891387106343	-0.11164878018575505
10249.C022.09SS	0.11134553904347708	0.18117568478486343	0.2000644349059338
10249.C004.14SS	-0.07651451709196538	-0.44179867458700234	0.01224924422904077
10249.C002.13SS	-0.130680356505279	-0.2814073732463549	-0.02144584690163689
10249.C055.07SS	-0.35615709264388523	-0.22622208411472539	0.07469173477275691
10249.C024.02SS	-0.004667791447827508	-0.3237700709691363	-0.05528719051802444
10249.C020.07SS	-0.1164090230139873	0.20602800589491133	-0.04705082596049947
10249.C031.17SS	0.30338624318579555	0.20990117792438437	0.4851458294905979
10249.C002.05SS	0.04248474419530975	0.14181695564785704	-0.06102369376268594
10249.C030.12SS	-0.010618995067720498	0.1417691745069657	-0.11537148906147
10249.C025.16SS	-0.11333442554182241	0.10686933400604391	-0.09405889738428773
10249.C043.17SS	0.43154854468427706	-0.023984896495394353	0.27899208400289705
10249.C009.04SS	-0.32568816554928665	0.39811133381438374	-0.12144796912185025
10249.C020.13SS	-0.1818484101611732	-0.06935230153237389	0.28767932086116005
10249.C052.06SS	-0.3525652689515698	0.38814988984322285	-0.11798910517975775
10249.C035.12SS	0.340868013721263	-0.009278860776602615	0.17401191297952906
10249.C046.02SS	-0.02103670145629853	0.20337045618495372	-0.06047376917120823
10249.C031.11SS	0.021383271894662628	0.10312067368766785	-0.1325211890283303
10249.C037.14SS	0.07715372116396789	0.11939901082635598	-0.12306766701804069
10249.C009.07SS	-0.3479116543783798	0.3805233115157605	-0.11843793753581777
10249.C027.10SS	-0.18552137092106413	0.052599262986991614	-0.12309423382295508
10249.C001.06SS	-0.34764248084856103	0.3814590359342168	-0.11829352032159052
10249.C007.14SS	-0.28419641381085164	-0.3259656514975982	0.041014786332683156
10249.C053.04SS	-0.11694968585980806	0.2565914728273921	-0.048530202174683734
10249.C007.23SS	0.27394140713011356	-0.07728357057649471	0.29982234111242034
10249.C046.09SS	-0.150400073709435	0.1700937296515832	-0.08235766445877361
10249.C020.18SS	0.4173816688901435	-0.09094835510613637	-0.3567251221737816
10249.C022.13SS	0.10207187206752485	0.2731504262784545	0.41103941345593115
10249.C034.01SS	-0.23115747786086002	0.35718387795138445	-0.09596055627526442
10249.C038.07SS	0.28936829260016883	0.1058159629237528	0.3514801660118873
