	PC1	PC2	PC3
PropExplained	0.16409979951029943	0.1470372774897139	0.1271909915419379
10249.C018.14SS	0.26185986547664447	0.23235413333496005	-0.03938115656622144
10249.C036.16SS	0.11508610734647723	-0.26807945388437987	-0.17898300466223016
10249.C020.22SS	0.16195855440584334	-0.0018844610693752606	-0.1912565122759237
10249.C024.15SS	0.1255764616969211	-0.23221850009914233	-0.17375036514563016
10249.C043.01SS	0.1428925362396202	-0.37471023083331995	0.02005138434088844
10249.C017.01SS	0.14049085288528748	-0.3869272579718951	0.01745282744515959
10249.C009.17SS	-0.12106317698035102	0.19738754233979722	-0.35669529107796843
10249.C027.21SS	0.06967665045944982	0.20657373021973402	-0.40682044384752364
10249.C046.04SS	-0.25838974362928463	-0.2972738743082791	0.13824113530895102
10249.C030.05SS	0.10098708242061766	-0.4254291397230245	-0.07140056581003
10249.C033.16SS	0.32099168106252823	0.32079311782406705	0.3016188225213498
10249.C042.05SS	-0.0664724330419058	0.07053515695740006	-0.3457967554644575
10249.C032.19SS	-0.059593257894119754	0.27595181134397145	-0.4091055721699347
10249.M017.01SS	0.11667121297230172	0.11665075085633156	-0.40041773917137796
10249.C018.07SS	-0.22202533413528341	-0.016649783715139317	-0.155201903710432
10249.C004.05SS	-0.46695504021968204	0.08639135022117221	0.2006733089138219
10249.C001.31SS	-0.3603772965524117	0.23035014690296202	-0.08571416105759541
10249.C034.06SS	0.20614416799426777	-0.008463249253790741	0.22884109117990914
10249.C057.11SS	-0.4504376241554764	0.029019734139382695	0.1382158525431245
10249.C033.04SS	-0.15281298166915658	-0.30646996229915335	0.021914201672775878
10249.C022.14SS	0.3936767598070076	0.20292739816256578	0.24464996432319328
10249.C041.03SS	-0.3069616771882922	0.2530555659622244	-0.050338549448261605
10249.C024.19SS	0.16084152804567953	-0.004075360206900561	-0.16742780872563687
10249.C001.09SS	0.356112610024883	-0.036577113131342945	0.3220261813981538
10249.C011.03SS	0.10715400879183153	-0.49468254826478886	-0.016335141376375834
10249.C010.12SS	-0.44176909619548244	0.16446645365226634	0.04940037394007992
10249.C020.24SS	0.11423896785852082	0.14980548116898765	-0.3722274484719203
10249.C056.07SS	-0.4740232005516846	0.11404498966292244	0.16602219892172035
10249.C014.07SS	-0.16632140767580927	-0.08545982924641639	-0.16736833432287773
10249.C032.15SS	0.40897136981494886	0.2241472550423595	0.35797761808529643
10249.C007.07SS	-0.23320806201375946	-0.006303268792373228	0.17490006221640603
10249.C030.09SS	0.12245689849323708	-0.25347300620823626	-0.1629260074697804
10249.C001.15SS	-0.025509987952472217	-0.16690485503784636	-0.2263698160023674
10249.C041.13SS	0.3187561248166003	0.2853668690507703	0.31718401832261117
10249.C021.09SS	0.14411632094942664	0.07791425870267071	-0.2814894176117847
10249.C012.22SS	0.06546391838058369	0.1571152210116621	-0.4396568654518689
10249.C012.13SS	-0.21180988543454152	-0.13675003970708655	0.24222485637146696
10249.C011.08SS	0.002966911942697935	-0.10271114354540048	-0.2897784764776111
10249.M032.01SS	0.2992829747888011	0.2152971268501468	0.045171249781136714
10249.C022.18SS	0.03916400517047831	0.2192046334040286	0.3605843313034386
10249.C010.18SS	0.051053219958025226	0.22286317511205647	-0.41451863747971124
10249.C044.10SS	-0.34453882290085863	0.025479994872322522	0.28048625825502
10249.C035.05SS	0.31549948998346344	0.08796645687182814	0.08859688099074474
10249.C022.05SS	0.3972828467498702	0.14837288995554768	0.33718838528628864
10249.C037.11SS	0.14458368079412084	-0.07850600927692947	-0.18483518388844616
10249.C005.13SS	0.031843938731350045	0.2439971808280398	0.374968140730337
10249.C010.19SS	0.1446594853006087	0.06474496190161856	-0.347385690988583
10249.C010.06SS	-0.3281253203542338	-0.1398792877456571	0.05110380707576869
10249.C012.12SS	-0.25235261821689625	-0.18792528348835305	0.21429287730649962
10249.C038.09SS	-0.07961240786999024	0.3302202042341669	0.1354304284856455
10249.C011.19SS	0.05414767391814408	-0.38319756147078904	-0.08644175775195351
10249.C035.14SS	0.3571763579519024	0.1483779299790153	0.327134928188927
10249.C004.13SS	0.1606590366709631	-0.02918207162973065	-0.10855799478510801
10249.C018.04SS	-0.12720304536830113	0.2855212666746803	-0.35512490274771785
10249.C025.11SS	0.13587746522310054	-0.16456070992692454	-0.188838452615546
10249.C014.06SS	-0.028998975123968065	-0.3317117753236951	-0.0715004055296875
10249.C002.01SS	0.1420850198292992	-0.4552612126041101	0.021748497658011297
10249.C022.09SS	0.3097842354045352	0.03521231736152312	0.09981344366318391
10249.C004.14SS	-0.3971757365970961	0.2020197111281548	-0.034051252928451306
10249.C002.13SS	-0.32218621446024154	0.19851317271534488	-0.13400232413441227
10249.C055.07SS	-0.3699236998434025	-0.13111418564186939	0.2364475375127073
10249.C024.02SS	-0.23242932090621196	0.237987484426447	-0.25247202763143933
10249.C020.07SS	0.16363782685611344	0.03297916065018767	-0.1264248021392976
10249.C031.17SS	0.417194918923728	0.2439013315301472	0.3675067791096471
10249.C002.05SS	0.1502772744247659	-0.03205738281001416	-0.09380646349691966
10249.C030.12SS	0.1461141507083153	-0.10207332885373142	-0.18948261002293917
10249.C025.16SS	0.13875883715030898	-0.14360147713485438	-0.19118338908322832
10249.C043.17SS	0.261864168466248	0.3316250573479598	0.3005002275442401
10249.C009.04SS	0.1372786571583397	-0.48805708538181525	0.019960504643491684
10249.C020.13SS	-0.0922593466814178	-0.07973023350368304	0.28994256924051137
10249.C052.06SS	0.12230593748597342	-0.5196947137358424	0.011945385435325044
10249.C035.12SS	0.19194145984073963	0.2074934684872925	0.28621713464914517
10249.C046.02SS	0.1531021596737484	-0.030546993175402517	-0.10018759778859858
10249.C031.11SS	0.14829483811705388	-0.09786868131744628	-0.20914778501358125
10249.C037.14SS	0.16081350382834766	-0.030810108433526103	-0.18396064600854928
10249.C009.07SS	0.12030767247151021	-0.5172842574354986	0.00869255939493212
10249.C027.10SS	-0.0065840940008791374	-0.23767299168637177	-0.18471644208089633
10249.C001.06SS	0.12080995454670941	-0.5175977022831555	0.009275283219850253
10249.C007.14SS	-0.4062629548911502	-0.05438996630240454	0.09911913925615556
10249.C053.04SS	0.13174206785984097	-0.19089824830413255	-0.18305445696091788
10249.C007.23SS	0.16689741157638094	0.36314108053201777	0.08680525830443982
10249.C046.09SS	0.1345393660939809	-0.1732253434601307	-0.18723351224088144
10249.C020.18SS	0.017294359787154497	0.24567943925527225	-0.4383116397656032
10249.C022.13SS	0.37066264028153356	0.03699872232005222	0.3358037126584083
