	PC1	PC2	PC3
PropExplained	0.38260729224285595	0.2454180418484842	0.21189624416254735
10249.C018.14SS	0.238042275827002	0.21209210981999968	-0.45633074314937977
10249.C036.16SS	-0.15063132780078092	-0.16086757919898895	-0.22371514485536212
10249.C020.22SS	-0.0974952624230553	0.23615190353043905	-0.6423551274020408
10249.C024.15SS	-0.16018408624444644	-0.14722063483220604	-0.3361904374673029
10249.C043.01SS	-0.2593767793854736	-0.520249552112451	-0.011178442740659166
10249.C017.01SS	-0.2665758269863009	-0.5184924664297202	-0.013461035543341457
10249.C009.17SS	-0.15547063345561773	0.3518959995204677	-0.24790690690920716
10249.C027.21SS	-0.10037156275995933	0.31882183473146536	-0.5374809281173866
10249.C046.04SS	-0.32561139067976613	-0.13045306571492973	0.2512618498797258
10249.C030.05SS	-0.2810646306449068	-0.5287943494555857	-0.015349187948805547
10249.C033.16SS	0.422528672615418	0.2068120198182103	-0.40878100093404357
10249.C042.05SS	-0.1498353667148953	0.0993900484196195	-0.048007581932372555
10249.C032.19SS	-0.2655329828714632	0.2613114006651444	0.33335544966269703
10249.M017.01SS	-0.223312885869948	0.14538902263502654	0.025405035529891762
10249.C018.07SS	-0.1764073921854749	0.1009818780659255	0.027407474071638335
10249.C004.05SS	-0.3000544430618015	0.33366966974563667	0.4062596430596895
10249.C001.31SS	-0.11350498019128058	0.3627684313739472	-0.29705958439360275
10249.C034.06SS	0.6485535436165725	-0.113227224358622	0.03078756304847856
10249.C057.11SS	-0.17740537256220945	0.274452668487345	0.08482741474892702
10249.C033.04SS	-0.3073370664056964	-0.21681242397270195	0.18249889892529045
10249.C022.14SS	0.6682659980462736	-0.0830074552220626	-0.05992404284805353
10249.C041.03SS	-0.1002061030275654	0.351457557046116	0.21208033489389128
10249.C024.19SS	-0.09618039225345039	0.26892036210563286	-0.5706478089473694
10249.C001.09SS	0.6139225813746907	-0.5144352954105083	0.17619326963940338
10249.C011.03SS	-0.1467006836644787	-0.1405197008403394	-0.2518062856974179
10249.C010.12SS	-0.15933993266672547	0.4295915400250079	-0.14018016932905572
10249.C020.24SS	-0.0952082401339023	0.26376584449207624	-0.6276955927289891
10249.C056.07SS	-0.20750385610382974	0.2722415476583306	0.1783167193962577
10249.C014.07SS	-0.12309239671801417	0.0677469380177556	-0.13930633224530742
10249.C032.15SS	0.8704440034926334	-0.15706892968855085	0.07840463581672645
10249.C007.07SS	-0.3052834457222673	0.2569998864803667	0.39736754321554557
10249.C030.09SS	-0.23313132778689186	-0.44717918423149483	-0.05677075623991733
10249.C001.15SS	-0.2928607252623563	-0.3693798109710273	0.0738089211817265
10249.C041.13SS	0.9128318090359547	-0.08854850090912923	0.23190078172262676
10249.C021.09SS	-0.21248335687732614	-0.26368604120850414	-0.2903350557218425
10249.C012.22SS	-0.12376052845865386	0.2017907691508567	-0.47498724835544165
10249.C012.13SS	-0.24849004721613208	0.1342381677292884	0.3874837267611408
10249.C011.08SS	-0.1313470809345262	-0.019463921055860013	-0.1633849558514615
10249.M032.01SS	0.8781247390330165	-0.034534681688778726	0.1940852484812793
10249.C022.18SS	0.5994840806777977	0.1357252603089627	0.195099633500436
10249.C010.18SS	-0.11650597626284333	0.36738703329641165	-0.44273490950013616
10249.C044.10SS	-0.14589856821693167	0.2952548950288935	0.4135793695777194
10249.C035.05SS	0.047763169243202966	-0.5931446383408667	0.06109239145391024
10249.C022.05SS	0.6779990380889672	-0.14977254661042644	0.009416691906626393
10249.C037.11SS	-0.21045184872635314	-0.4013701264582081	-0.0889076719095839
10249.C005.13SS	0.5178180146955188	0.27544938697692245	-0.12081268525143841
