Eigvals	3
814117.2463024136	18231.209467427725	260.33098521370624

Proportion explained	3
0.9777908415731322	0.02189648939267209	0.00031266903419107414

Species	6763	3
n6762	-0.4266894981872034	0.008464133791496454	0.0651078794559279
n6761	-0.40674868911156975	0.006808046796096126	0.011973890111789502
n6759	-0.18584862975162242	0.003542823250293971	0.005373728306613813
n6756	-0.14094226099471166	0.002224921786433389	-0.002923746475980463
n6701	-0.09403194983844816	0.004005845052784279	0.04956238000200708
n6699	-0.09314826935498517	0.001571517449576785	-0.004163159345733835
n6697	-0.05465082350947763	0.0020707288360051423	0.020365415002773377
n6695	-0.05287351792569802	0.002811115249885702	0.06284033624740741
n6693	-0.04102438372376832	0.00055785881538324	-0.009835593003211374
n6691	-0.03908223156174575	0.0003134298394589322	-0.012175549716045399
n6689	-0.02976655998668151	0.0002464503694187226	-0.011458780091733518
n6687	-0.02442875661678566	0.00016846310423808454	-0.011345066628652452
n6685	-0.02040554120495747	6.695324891023258e-05	-0.01180261668607646
n6683	-0.01845460203497869	0.0007583490578055345	0.0013839548487160791
n6681	-0.01740353064983936	-1.78754128734397e-05	-0.017128211696720092
n6679	-0.016327061642033826	-0.0002127461947558685	-0.013959060780405572
n6677	-0.014186968479165644	0.00019377105481697347	-0.009396716159196338
n6675	-0.012534482106823109	-0.023907949283166988	-0.03931356916880424
n6673	-0.011120693853907288	0.000530926812514953	-0.0017660877402315396
n6671	-0.009518823279084227	0.0007587260693899863	0.0021387796212732485
n6669	-0.009129479579121923	0.0005887409634628877	-0.003445238184992454
n6667	-0.008919504143545415	0.00048617522463192535	-0.005269760435132112
n6665	-0.008829727305576794	0.001137446161842953	0.0075514828166071395
n6663	-0.007792190745742016	0.001090881764865283	0.009391803048245705
n6661	-0.007310041798480623	0.0019514921986736632	0.023189264281689128
n6696	-0.007148866514553274	8.300189291256818e-05	-0.009138011473069793
n1668	-0.00605176954416475	0.0007573703020167884	0.008559285140842221
n1663	-0.0058712575086266984	0.0011116713888356753	0.009213571510471879
n1660	-0.005832262056227688	-3.8449703583217455e-05	-0.010332228562160876
n1638	-0.0050782103272096904	0.0014975165363636251	0.01774081930574341
n1602	-0.0036724328193507238	-0.011591113915320769	0.005349141859776736
n6658	-0.0030893754001938833	0.0006472469930770122	0.008398382509563634
n5912	-0.0030728475457345826	-0.010774181807356745	0.001423226721174149
n1412	-0.003081450531239047	-0.012881511753835806	0.007158014642780905
n1353	-0.002972123184418159	-0.0034998594539816133	0.03116473116554002
n1350	-0.0027271414748304126	-0.007097509111354034	-0.001203978544420209
n1196	-0.0025283974146151963	-0.0014552852769019974	0.035415989165718316
n5911	-0.0024890478518445193	0.0008681330614073339	0.03524251145729288
n5908	-0.002542196062271426	-0.005146984860505393	0.04786153459287882
