	PC1	PC2	PC3
PropExplained	0.7238097116714973	0.22700855984325966	0.04918172848524301
10249.C036.16SS	0.0046615540547236545	-0.04145038878791252	0.030481471953627354
10249.C020.22SS	-0.05700543805383658	-0.003755932902133552	-0.007341225304105858
10249.C024.15SS	-0.04316862985557426	0.03141725447027822	0.018763847179770574
10249.C043.01SS	-0.009778145181264198	0.09840605270468517	-0.05210170076018312
10249.C017.01SS	-0.009378969393900972	0.07936693549827932	-0.037198877803474494
10249.C009.17SS	-0.03405578900939275	0.003560641383938401	-0.021620648511643022
10249.C027.21SS	-0.04420464069529907	0.028117192711185915	0.06995121295664114
10249.C046.04SS	0.060751024831960716	0.0066469286479205626	-0.006519535499264235
10249.C030.05SS	0.030702020331676926	0.026595243992107526	-0.02394988731068757
10249.C033.16SS	-0.0453986970199684	-0.024883796803776333	0.0367582620074761
10249.C042.05SS	-0.012051633430690342	-0.0378812157219653	0.007195577814782618
10249.C032.19SS	-0.0576509247673426	-0.004744352360540303	-0.006738457450082787
10249.M017.01SS	-0.05558058776165224	0.0643003165367501	-0.024227148556015876
10249.C018.07SS	-0.0193582579046335	-0.03681331965850707	-0.020852719400492718
10249.C004.05SS	0.04141658621139679	-0.004451065442464433	0.006709927585670052
10249.C001.31SS	-0.04070373723630577	-0.05195606813998381	0.009780875285923116
10249.C034.06SS	0.0017122483081441695	-0.02678743549366299	-0.0443930506969861
10249.C057.11SS	0.010168255132583655	-0.03219020474917084	-0.048372315765106824
10249.C033.04SS	-0.0016526287553521259	-0.017816599810765846	-0.05122735037962835
10249.C022.14SS	-0.010177579484974912	-0.04289406908236095	0.03752081392432844
10249.C041.03SS	0.013653364163213697	0.007377956896176888	0.045025240293071284
10249.C024.19SS	-0.05266231512180837	0.034004986000034196	0.022061353170531997
10249.C001.09SS	0.029976170157673166	0.0357058286646754	0.06888162274635001
10249.C011.03SS	0.040342295160249265	0.017833740359927956	0.0443384622324691
10249.C010.12SS	-0.01736756446127621	-0.050823580160648994	0.0030471875542236303
10249.C020.24SS	-0.05170373563672398	0.006059172347577044	-0.006360056296949355
10249.C056.07SS	0.02741375190846994	-0.03612525436160392	0.022584553021249884
10249.C014.07SS	0.027744067205936147	-0.014611172866343936	-0.01277788767840994
10249.C032.15SS	-0.006220676935203339	-0.03200143357101548	0.03978635196414786
10249.C007.07SS	0.056611293099683185	0.022019291760538098	-0.050992615085692465
10249.C030.09SS	0.01476319852147868	-0.029803344544044433	-0.030455383703645093
10249.C001.15SS	0.01828225960646005	0.023940447731864604	-0.05417133437450929
10249.C041.13SS	-0.03534353182482827	-0.014448745547324194	-0.023773631763481646
10249.C021.09SS	-0.025761868762888558	-0.0008900892194781012	0.006092715162695975
10249.C012.22SS	-0.047095108554944566	-0.017747138754704843	-0.022990015921251973
10249.C012.13SS	0.025210826112489745	0.02442417914816988	-0.026434853010416745
10249.C011.08SS	0.008275611485077588	-0.00830715237006176	-0.032473650995678574
10249.M032.01SS	-0.06220039454002347	0.07997226443599935	0.04966550711741612
10249.C022.18SS	-0.012376955381031203	-0.04889245792207726	-0.003601612089375392
10249.C010.18SS	-0.048772407784861284	-0.02096194141549512	0.03531121631480779
10249.C044.10SS	-0.010176391847010446	-0.01485354393166985	-0.004214682126271343
10249.C035.05SS	0.029660864456683454	0.0344992252904126	0.030943175494378007
10249.C022.05SS	0.01733779262447188	-0.022402020394797828	0.03592729202356533
10249.C037.11SS	-0.010842462638387826	-0.025841119195238356	-0.03220587128260245
