Eigvals	3
28875.00070699265	997.3466804657265	93.5856500144935

Proportion explained	3
0.9635942478708702	0.03328268401382746	0.0031230681152982216

Species	1751	3
n1750	-0.24228080734397228	-0.0026737312513114004	-0.004603733541995601
n1746	-0.22138848754314416	0.1255112400403034	0.061635621484541686
n1733	-0.1818814681329464	0.12411583631235376	0.06389119909859892
n1732	-0.10568142359489943	0.12153268973146232	0.06474442162052653
n1728	-0.05884945948365761	0.02097674635513997	-0.0008413017137223769
n1727	-0.051278779224612284	0.02308759675829973	-0.015057740872980228
n1725	-0.03274857222035071	0.034314949684014676	0.011286501419384424
n1701	-0.03537797240925771	-0.08775297103029062	-0.061920222217273134
n1697	-0.014049131534317694	-0.051861547661951134	-0.05903374164004669
n1696	-0.013488705880740765	-0.10157477425698445	-0.004202491735855282
n1691	-0.00710594992472685	0.017495947489240122	0.011275702357771363
n1637	-0.00663673880246683	0.013286171388653031	0.020267265796612196
n1581	-0.006514233331792246	0.0013539931180195424	0.049904037694942234
n1580	-0.006889187324294319	-0.017970576027446096	0.0054808893345720125
n1548	-0.005104397240473673	0.025132873421998526	-0.007250213086895969
n1494	-0.006225869863188918	-0.03002910946135062	-0.002405619519169023
n1491	-0.005448549462770776	-0.009913903670807061	-0.019512450831961993
n1490	-0.004957718140478126	-0.002049751202316581	-0.015965342429998596
n1478	-0.004250444297341344	0.02957852996690547	-0.025631784315801355
n1477	-0.00578639796511037	-0.044340110417195794	-0.0002545356328371926
n1475	-0.006150522422942591	-0.059086379231876617	-0.027534775355947186
n1726	-0.004697927878336104	0.0031114405897906938	-0.017838455590490535
n384	-0.0024100601835228045	0.09558032827256979	0.06552837289725316
n377	-0.006441274929414879	-0.07844017762499557	-0.00809444849868159
n374	-0.004690800338134536	-0.009598565803959628	0.014503979769097786
n368	-0.0039920480245158076	0.007611815613525994	-0.005834643745923995
n1472	-0.004408605687010773	-0.010421408578146248	-0.01219038092204228
n1207	-0.0015319676467191712	0.09430893560553999	0.05896795413227045
n1199	-0.0035670051587182085	0.007091948867741866	0.015635479616372537
n1724	-0.0023485824910872755	0.051452340334773035	0.07168301306567713
n1197	-0.003555872367965084	0.0003566491540930301	0.0348724044436831
n1080	-0.0010133782794685333	0.1074593733497186	0.0664159109089806
n1731	-0.0027446453982857655	0.03698650980852537	-0.00879960798155542
n223	-0.003496825446699885	0.0005977991393857263	0.021389795692804206
n220	-0.003443245618361211	0.0016325204952393052	0.02285351550228739
n1058	-0.002984592872119006	0.016314854757462867	0.07442849513461779
n148	-0.003405140207820925	0.0043834089665035795	0.005282691539559705
n1015	-0.002829504925712557	0.028282366600064255	0.012495375415550236
n1473	-0.0010759463535212487	0.09745341497977889	0.05795499757739408
e2c3ff4f647112723741aa72087f1bfa	-0.003517345555948542	-0.004677624286514622	-0.010193162159008543
n1198	-0.0030655002896757795	0.011944406029249248	0.00925276962200842
n1470	-0.0028849448329843017	0.017379706988323553	0.021122226245981448
04195686f2b70585790ec75320de0d6f	-0.0025082543278644974	0.03098182124223685	0.028280072541443057
ac5402de1ddf427ab8d2b0a8a0a44f19	-0.003925074468635189	-0.02838184235162734	-0.026726590737817933
ad7bc2bb6e1ec90a9bc3c8949bce80d6	-0.002385230583514096	0.036518783410863224	-0.007376449967310608
n1471	-0.002795470236487529	0.015718875845732155	0.01811261005040905
