	method	fold	evaluation	score
0	Phylo-CTF:	1	F-Stat	19.66406507154176
1	Phylo-CTF:	2	F-Stat	15.968782872191726
2	Phylo-CTF:	3	F-Stat	20.487315903333965
3	Phylo-CTF:	4	F-Stat	15.821560843355224
4	Phylo-CTF:	5	F-Stat	24.647339634535214
5	Phylo-CTF:	6	F-Stat	8.355311989998953
6	Phylo-CTF:	7	F-Stat	25.69046250269626
7	Phylo-CTF:	8	F-Stat	8.798559379580492
8	Phylo-CTF:	9	F-Stat	21.760309018032547
9	Phylo-CTF:	10	F-Stat	16.992551437569254
10	Phylo-CTF:	11	F-Stat	10.662764297794427
11	Phylo-CTF:	12	F-Stat	9.054136329236885
12	Phylo-CTF:	14	F-Stat	4.929395238359165
13	Phylo-CTF:	16	F-Stat	8.66343000707058
14	Phylo-CTF:	18	F-Stat	8.512720514558932
15	Phylo-CTF:	20	F-Stat	3.919578991080145
16	Phylo-CTF:	22	F-Stat	2.0928889149140484
17	Phylo-CTF:	24	F-Stat	1.435018287585865
18	CTF:	1	F-Stat	10.85092765438807
19	CTF:	2	F-Stat	7.057776160830497
20	CTF:	3	F-Stat	8.17694607737921
21	CTF:	4	F-Stat	6.764126255884396
22	CTF:	5	F-Stat	6.329203012517101
23	CTF:	6	F-Stat	5.4610688299853
24	CTF:	7	F-Stat	10.057300963960609
25	CTF:	8	F-Stat	3.039674002925293
26	CTF:	9	F-Stat	8.132745283018707
27	CTF:	10	F-Stat	9.277230507497837
28	CTF:	11	F-Stat	7.1814100082970675
29	CTF:	12	F-Stat	7.429268494063803
30	CTF:	14	F-Stat	5.313410858883159
31	CTF:	16	F-Stat	5.601823840389126
32	CTF:	18	F-Stat	5.2374404044260565
33	CTF:	20	F-Stat	3.921927266274829
34	CTF:	22	F-Stat	2.2223782758772943
35	CTF:	24	F-Stat	0.2575331808614144
36	Unweighted-Unifrac:	1	F-Stat	1.6499343350392948
37	Unweighted-Unifrac:	2	F-Stat	1.467824326675194
38	Unweighted-Unifrac:	3	F-Stat	2.516545837861352
39	Unweighted-Unifrac:	4	F-Stat	1.4682160020966182
40	Unweighted-Unifrac:	5	F-Stat	1.4092783980736037
41	Unweighted-Unifrac:	6	F-Stat	1.0384418497640768
42	Unweighted-Unifrac:	7	F-Stat	0.7037475539401975
43	Unweighted-Unifrac:	8	F-Stat	2.1807206184251857
44	Unweighted-Unifrac:	9	F-Stat	2.0641013322890873
45	Unweighted-Unifrac:	10	F-Stat	2.371156878548231
46	Unweighted-Unifrac:	11	F-Stat	1.6715328560289129
47	Unweighted-Unifrac:	12	F-Stat	1.3091983579049746
48	Unweighted-Unifrac:	14	F-Stat	1.222820304570097
49	Unweighted-Unifrac:	16	F-Stat	1.1472235922974041
50	Unweighted-Unifrac:	18	F-Stat	1.6968155487240497
51	Unweighted-Unifrac:	20	F-Stat	1.5490853435542153
52	Unweighted-Unifrac:	22	F-Stat	0.8280163345954074
53	Unweighted-Unifrac:	24	F-Stat	0.7873534039002783
54	Weighted-Unifrac:	1	F-Stat	6.413299411398245
55	Weighted-Unifrac:	2	F-Stat	4.516745301759211
56	Weighted-Unifrac:	3	F-Stat	4.630986465176386
57	Weighted-Unifrac:	4	F-Stat	3.63400302604136
58	Weighted-Unifrac:	5	F-Stat	7.955216115406602
59	Weighted-Unifrac:	6	F-Stat	1.6226899363280918
60	Weighted-Unifrac:	7	F-Stat	4.083006698818368
61	Weighted-Unifrac:	8	F-Stat	4.426556035781505
62	Weighted-Unifrac:	9	F-Stat	5.907579393288505
63	Weighted-Unifrac:	10	F-Stat	5.453774219348205
64	Weighted-Unifrac:	11	F-Stat	3.2667720220767187
65	Weighted-Unifrac:	12	F-Stat	1.1434513291846418
66	Weighted-Unifrac:	14	F-Stat	0.7977087446603904
67	Weighted-Unifrac:	16	F-Stat	1.1081689817847844
68	Weighted-Unifrac:	18	F-Stat	2.6047645256702525
69	Weighted-Unifrac:	20	F-Stat	0.7581755988573535
70	Weighted-Unifrac:	22	F-Stat	0.39177780687538855
71	Weighted-Unifrac:	24	F-Stat	0.38485979691366007
72	Bray-Curtis:	1	F-Stat	3.788717747651
73	Bray-Curtis:	2	F-Stat	1.8440250922632337
74	Bray-Curtis:	3	F-Stat	1.1770837136104277
75	Bray-Curtis:	4	F-Stat	1.5830319814397602
76	Bray-Curtis:	5	F-Stat	1.803758378265677
77	Bray-Curtis:	6	F-Stat	1.4232296249867191
78	Bray-Curtis:	7	F-Stat	1.9885624647650002
79	Bray-Curtis:	8	F-Stat	1.7284179115218687
80	Bray-Curtis:	9	F-Stat	2.046091955115169
81	Bray-Curtis:	10	F-Stat	2.0051610813096015
82	Bray-Curtis:	11	F-Stat	1.6605498011906226
83	Bray-Curtis:	12	F-Stat	1.5209964434973244
84	Bray-Curtis:	14	F-Stat	1.8572777880770281
85	Bray-Curtis:	16	F-Stat	1.5608806305122478
86	Bray-Curtis:	18	F-Stat	1.684891328483071
87	Bray-Curtis:	20	F-Stat	1.5685969401744044
88	Bray-Curtis:	22	F-Stat	0.6908029202770051
89	Bray-Curtis:	24	F-Stat	0.5916741575484804
90	Jaccard:	1	F-Stat	1.5420911452840107
91	Jaccard:	2	F-Stat	0.9820144640808365
92	Jaccard:	3	F-Stat	1.4719323331195007
93	Jaccard:	4	F-Stat	1.2303225681940393
94	Jaccard:	5	F-Stat	1.1995513565063822
95	Jaccard:	6	F-Stat	1.2385173148787048
96	Jaccard:	7	F-Stat	0.9258603662680305
97	Jaccard:	8	F-Stat	1.738379080220412
98	Jaccard:	9	F-Stat	1.379514490588279
99	Jaccard:	10	F-Stat	1.4115413715522493
100	Jaccard:	11	F-Stat	1.4588959339645695
101	Jaccard:	12	F-Stat	1.3111767443369757
102	Jaccard:	14	F-Stat	1.1347606549227567
103	Jaccard:	16	F-Stat	1.3155203608937214
104	Jaccard:	18	F-Stat	1.4807397174480224
105	Jaccard:	20	F-Stat	1.5872219547991997
106	Jaccard:	22	F-Stat	0.9408851508085272
107	Jaccard:	24	F-Stat	0.9376096123332477
