	PC1	PC2	PC3
PropExplained	0.4329426707421995	0.3316072173052298	0.1316950346736993
SRR5928157	-0.28632420608473885	0.15386754512533943	0.02114483104617
SRR5928158	0.030183016134023716	0.1431125530599945	0.02379424062060369
SRR5928159	-0.19546448869899927	-0.11488600079699654	-0.09096231505670649
SRR5928160	0.033185108897237164	-0.036571414050046346	0.010581366726235357
SRR5928161	0.028162183338061964	-0.024331209717693363	-0.034723455883062526
SRR5928162	0.028434256140197647	-0.0244480613595316	-0.0349779373653358
SRR5928163	0.026112425212056204	0.12174667789233024	-0.04623859442746349
SRR5928164	0.044632136685785556	-0.042363618938738086	0.08440725441435037
SRR5928165	0.026112425212056197	0.12174667789233022	-0.04623859442746335
SRR5928166	0.0339132741541577	-0.037248553420037654	0.01123888779587277
SRR5928167	0.030772115974544195	0.11344066084381288	0.016159858352185568
SRR5928168	0.02816218333806192	-0.02433120971769345	-0.03472345588306261
SRR5928169	0.03318510889723754	-0.03657141405004604	0.01058136672623583
SRR5928170	0.03467773256668124	-0.03756450727693336	0.013047684040245111
SRR5928171	0.028162183338061923	-0.02433120971769345	-0.034723455883062596
SRR5928172	0.03548976657710076	-0.025402720226473687	0.02029593426233033
SRR5928173	0.026112425212056194	0.12174667789233022	-0.046238594427463336
SRR5928174	0.03548976657710076	-0.025402720226473687	0.02029593426233034
SRR5928175	0.030247442713674477	0.11279680639075049	0.015381070347740429
SRR5928176	0.03391327415415771	-0.03724855342003762	0.01123888779587277
SRR5928177	0.028162183338061923	-0.02433120971769345	-0.034723455883062596
SRR5928178	0.03467773256668125	-0.03756450727693335	0.013047684040245117
SRR5928179	0.033913274154157715	-0.03724855342003763	0.011238887795872779
SRR5928181	-0.19726072290342192	-0.13648012825429137	0.0016807163322337412
SRR5928182	0.026112425212056194	0.12174667789233024	-0.04623859442746335
SRR5928183	0.03548976657710077	-0.025402720226473694	0.02029593426233032
SRR5928184	0.026112425212056194	0.12174667789233024	-0.04623859442746335
SRR5928185	0.02816218333806193	-0.02433120971769345	-0.034723455883062596
SRR5928186	0.03618678833160203	0.1332747594075895	0.10385672773247057
SRR5928187	0.028162183338061933	-0.024331209717693456	-0.034723455883062596
SRR5928188	0.026112425212056197	0.12174667789233025	-0.04623859442746335
SRR5928189	0.03467773256668125	-0.03756450727693336	0.013047684040245108
SRR5928190	0.028162183338061933	-0.02433120971769346	-0.0347234558830626
SRR5928191	0.04310743917205355	-0.04133970991922352	0.08064030613420142
SRR5928192	0.028838427395675006	-0.024898898944242263	-0.03458746803879396
SRR5928193	0.03613904287385544	-0.025913344762096918	0.020985814522898234
SRR5928194	-0.21416707926185477	-0.13840186261256376	0.11336472714225171
SRR5928195	0.02816218333806193	-0.02433120971769345	-0.03472345588306261
SRR5928196	0.033185108897237525	-0.03657141405004602	0.010581366726235827
SRR5928197	0.03318510889723753	-0.03657141405004602	0.010581366726235822
SRR5928198	0.029645029764561275	-0.025007099379044197	-0.033217786450260335
SRR5928199	0.034677732566681246	-0.03756450727693335	0.013047684040245108
SRR5928200	-0.29707853977458776	0.14159302197185986	0.15804779942013408
SRR5928201	0.033185108897237546	-0.03657141405004603	0.010581366726235822
SRR5928202	0.029962855585408246	0.14281387619098823	0.023864849247537824
SRR5928203	0.033185108897237546	-0.03657141405004603	0.010581366726235825
SRR5928204	-0.2632097696237237	0.13337380444307212	-0.09470762712667845
SRR5928205	0.02964502976456128	-0.0250070993790442	-0.033217786450260356
SRR5928206	0.04310743917205355	-0.04133970991922352	0.08064030613420142
SRR5928207	0.02816218333806192	-0.02433120971769345	-0.0347234558830626
SRR5928208	0.044632136685785556	-0.04236361893873809	0.08440725441435029
SRR5928209	-0.2697774633410995	0.12029620795384371	0.013639222511908527
SRR5928210	0.03467773256668125	-0.03756450727693335	0.013047684040245117
SRR5928211	0.02816218333806192	-0.024331209717693446	-0.034723455883062596
SRR5928212	0.033185108897237546	-0.03657141405004604	0.010581366726235832
SRR5928213	0.02816218333806192	-0.024331209717693446	-0.034723455883062596
SRR5928214	0.030247442713674487	0.1127968063907505	0.015381070347740436
SRR5928215	0.03318510889723753	-0.03657141405004603	0.010581366726235832
SRR5928216	0.028162183338061916	-0.024331209717693442	-0.03472345588306261
SRR5928217	0.04310743917205355	-0.0413397099192235	0.08064030613420141
SRR5928218	0.028162183338061916	-0.024331209717693442	-0.0347234558830626
SRR5928219	0.028162183338061916	-0.024331209717693442	-0.0347234558830626
SRR5928220	0.035489766577100776	-0.025402720226473687	0.020295934262330315
SRR5928221	0.030321835230188873	-0.025575905177412116	-0.0330581733986179
SRR5928222	0.033185108897237546	-0.03657141405004603	0.01058136672623583
SRR5928223	0.043107439172053535	-0.04133970991922349	0.08064030613420141
SRR5928224	0.04380989415508634	-0.041960295342693826	0.08192165667301127
SRR5928225	0.031482750387610406	0.11451076125150354	0.01773306924018067
SRR5928226	0.028162183338061916	-0.024331209717693446	-0.034723455883062596
SRR5928227	0.026112425212056204	0.12174667789233025	-0.046238594427463336
SRR5928228	0.02964502976456128	-0.025007099379044204	-0.033217786450260356
SRR5928229	-0.2863242060847386	0.15386754512533923	0.021144831046169734
SRR5928230	0.02816218333806192	-0.024331209717693446	-0.034723455883062596
SRR5928231	0.028162183338061923	-0.02433120971769345	-0.03472345588306259
SRR5928232	0.02816218333806192	-0.024331209717693446	-0.034723455883062596
SRR5928233	0.035489766577100776	-0.025402720226473687	0.020295934262330312
SRR5928234	0.035489766577100776	-0.025402720226473687	0.020295934262330315
SRR5928235	0.031482750387610406	0.11451076125150354	0.017733069240180678
SRR5928236	0.03745642576956858	0.1349136240111664	0.10754799136413137
SRR5928237	0.030183016134023924	0.14311255305999465	0.02379424062060387
SRR5928238	0.044632136685785556	-0.04236361893873809	0.08440725441435037
SRR5928239	0.02816218333806192	-0.024331209717693442	-0.034723455883062596
SRR5928240	0.028162183338061923	-0.02433120971769345	-0.034723455883062596
SRR5928241	0.02816218333806192	-0.024331209717693446	-0.034723455883062596
SRR5928242	0.044632136685785556	-0.0423636189387381	0.08440725441435037
SRR5928243	0.02816218333806192	-0.024331209717693446	-0.034723455883062596
