	PC1	PC2	PC3
PropExplained	0.631956917475836	0.1790533394151446	0.04009704353947789
SRR5928157	-0.1518652874370652	-0.043741781740681475	0.03696486928015848
SRR5928158	-0.014016914272140172	0.005264013735466749	-0.023850863293859027
SRR5928159	-0.07335515190484526	0.0782220275786919	0.028275336123935523
SRR5928160	-0.022224571139845363	-0.019027060612809704	-0.029487503840280784
SRR5928161	0.0022253403628458117	0.19521198885987665	-0.15551680163577683
SRR5928162	-0.04681184416148016	0.03634549423766494	0.021091493520947666
SRR5928163	-0.06591602248450935	0.23066572252241183	-0.10266281258603224
SRR5928164	0.11898177543468308	-0.03511385388779758	-0.0038263224120610065
SRR5928165	-0.09100065302046376	-0.035848283052306425	-0.03332907970088453
SRR5928166	-0.1720879639813344	-0.05400623997859961	0.039035562488626316
SRR5928167	-0.13821244265424662	-0.02947612826303101	-0.0002070019265930094
SRR5928168	-0.0024143225204051005	-0.0219488220082967	-0.03006345392988929
SRR5928169	-0.0771885649826806	0.03463096346846169	0.037800162535247005
SRR5928170	0.053725750909423234	0.08235182757564102	-0.09056662294691016
SRR5928171	-0.02149861330397027	-0.010873757874847713	-0.02732830895105714
SRR5928172	0.5413655335593522	0.08310699467985047	0.06821188121725016
SRR5928173	-0.05432483062974818	-0.004437675410482957	0.007744342478057156
SRR5928174	-0.04815105850948376	0.14170471033568344	0.04524351600639084
SRR5928175	-0.014372055683155855	-0.026649094229389107	-0.02964040117788298
SRR5928176	0.12920088587078787	-0.14371457253706788	-0.0010684019659591797
SRR5928177	-0.037261364783307674	-0.038532492435484865	-0.022795219043613806
SRR5928178	-0.07717207972481155	0.05445894576727504	0.025644403992125142
SRR5928179	-0.029712295906188627	0.06464749797021663	-0.061700165439251116
SRR5928181	-0.16739346824339107	-0.051374108304361045	0.040107131339305095
SRR5928182	0.06715065606570396	-0.05273231722673552	-0.016764164359748833
SRR5928183	-0.08129734199442983	0.19461534293223737	0.05362827674806109
SRR5928184	-0.08047873521984966	0.01745288309230488	0.03965070735163178
SRR5928185	-0.06984525417105553	0.05400154217470807	0.05388182153287654
SRR5928186	0.08145834376697167	-0.1452817736081258	-0.007787517208867679
SRR5928187	0.4256484111697906	-0.0591580513129863	0.07191103683150715
SRR5928188	-0.08301096606074455	0.03944125506156664	0.02435032970003417
SRR5928189	0.18321558013629569	-0.030032198220002762	-0.018143431680293684
SRR5928190	0.07176647441699437	-0.03209492241931474	-0.013954193400597998
SRR5928191	-0.07267813534268748	-0.049257582889206626	-0.01750571137808577
SRR5928192	-0.14869611102934704	-0.04996164435758416	0.02522063420781821
SRR5928193	-0.02882519629524774	-0.0931481934473314	-0.04201228252495235
SRR5928194	-0.1458682247656798	-0.040858834782473284	0.035601439815015665
SRR5928195	-0.08025552096939458	7.145602014580445e-05	0.005822455315397743
SRR5928196	0.12370288854912777	-0.1083062063982362	-0.0166113708643694
SRR5928197	-0.13948052361491084	-0.031009170907771826	0.003144674062148741
SRR5928198	0.07833984731393652	0.04514847616818306	-0.036700418162456706
SRR5928199	0.8232564317738419	0.172982835398447	0.07965265834098881
SRR5928200	-0.16751687123426653	-0.05144999353063781	0.04018978341189241
SRR5928201	-0.03047041675781631	-0.03568086339121137	-0.030548032114684154
SRR5928202	-0.08289691230060237	0.19637272075650866	0.05082115541717013
SRR5928203	-0.08810525085602862	-0.028001265124147405	-0.014774804995797013
SRR5928204	-0.08017049481162686	0.1927853782153202	0.05830983402141095
SRR5928205	0.10610344519178928	0.0329449699873188	-0.025156055768487406
SRR5928206	0.0042467117579702545	-0.07870715721429195	-0.03233868290619037
SRR5928207	-0.008612603657788216	-0.02338914666501733	-0.022671917822992525
SRR5928208	-0.01792586970197946	0.0905139605596381	0.01567206988603251
SRR5928209	-0.16619638259800398	-0.05073975161867228	0.038929728454334414
SRR5928210	0.2289115341336698	0.10603991086180597	-0.039879690064046625
SRR5928211	0.18858918322724652	-0.019339248756882036	-0.0026735548616192368
SRR5928212	-0.10194045079271657	0.021330896455300723	0.001578752330555716
SRR5928213	0.09136582837181122	-0.044690369059136106	-0.043404104024290034
SRR5928214	-0.08770137860207901	0.005125937040543942	0.009870577555667807
SRR5928215	0.08973374338123162	-0.02456171104672441	-0.012938136549051701
SRR5928216	0.28149709915244164	0.00703628687322322	0.030567135860689668
SRR5928217	0.05567499328942188	-0.12566755334380925	-0.01904096436209061
SRR5928218	-0.12856176341646725	-0.046356079631136526	0.01658871467077037
SRR5928219	-0.06445574715129908	0.024273794640956334	0.03496470961092398
SRR5928220	-0.09274963527612204	-0.014934749260283802	0.022396829381844226
SRR5928221	-0.166379681281361	-0.05091215039018408	0.03954834983624286
SRR5928222	0.08939485176952894	0.0789146994548079	-0.03664819083315509
SRR5928223	0.00046709857764870355	-0.01904151252029569	-0.022109579674226096
SRR5928224	0.08064710829782774	-0.14580327915397917	-0.008556176850031346
SRR5928225	0.18403055403220028	-0.049222427695011	0.01566145658524388
SRR5928226	-0.11318618331552209	-0.03631769169111105	0.00011653696035578098
SRR5928227	0.3871590465070915	0.14217610926432123	0.0020040696457499386
SRR5928228	0.15691818699471852	0.009533554009379996	-0.03098037244545753
SRR5928229	-0.07934577336772446	0.19114695950868157	0.05939053430935962
SRR5928230	-0.13593024564369494	-0.037591784598363764	0.02266188400601416
SRR5928231	0.11771912289846714	0.08044022787569995	-0.057174873088798636
SRR5928232	-0.04378840517089172	0.11914440648539162	0.028929559170958716
SRR5928233	-0.12660183607566466	-0.043513503560089005	0.017123529696578814
SRR5928234	0.042839659569201216	0.015006469598418745	-0.015776628955225712
SRR5928235	-0.016999253669024595	-0.07959328374417785	-0.038709200565517556
SRR5928236	0.6023566946716962	-0.04646558285298878	0.1230317134696558
SRR5928237	-0.04064321185310056	0.004399648341804879	-0.011217479029182246
SRR5928238	0.11380926868518412	-0.10132964551356187	-0.004650248935554172
SRR5928239	-0.053697008134940244	-0.0642059034659876	-0.03329768201124542
SRR5928240	-0.14941316980505204	-0.042591784375216685	0.03627379470111324
SRR5928241	-0.0951784007977427	-0.013349283537746847	0.02024183458673631
SRR5928242	-0.047432403405235954	-0.04939925622501952	-0.023787931499015497
SRR5928243	0.15599837373720846	0.08564269013991427	-0.08228105797380769
SRR5928244	0.007806111460366043	0.028348394194157297	-0.009185999850813453
SRR5928245	-0.17191542103086174	-0.05423859652327818	0.03999417519078682
SRR5928246	-0.06965399061087543	0.1689151220795526	0.06310917878349509
SRR5928247	-0.12595820635215532	-0.01403123143191169	-0.009122782206600337
SRR5928248	-0.0026160271611568487	0.020179843104315094	-0.08029626968662096
SRR5928249	-0.12229880587554377	-0.026800250597142222	0.03268915211426598
SRR5928250	0.18765080520016836	-0.02690609672031041	0.014168011982177816
SRR5928251	-0.02305035307396634	0.054261129629130773	0.014658693960281338
SRR5928252	-0.1226486394616308	-0.027286073493654073	0.03248279235620195
SRR5928253	0.09011771733566042	0.05934747076874003	-0.032144186886104896
SRR5928254	0.07133498786537783	-0.10173690009281945	-0.017096552388385613
SRR5928255	-0.12744236857072377	-0.041361386478032454	0.01478296501316514
SRR5928256	0.03370860516059269	0.029220503718719218	-0.04107358962446418
SRR5928257	-0.12359386870277753	-0.027602253973331322	0.03266116255541375
SRR5928258	0.11390122571789611	-0.00523728236972482	-0.013624485377384867
SRR5928259	-0.08505914531990787	0.025185579585722446	0.024545059199118893
SRR5928260	-0.02102085820540389	0.08462327150878277	0.012670535647400597
SRR5928261	0.0852147560712234	-0.0388057041456601	-0.013082863318892857
SRR5928262	-0.11279948565179147	-0.009218526941505597	0.02062499754931412
SRR5928263	0.24238915360923527	-0.01846381350872253	0.00606007537010931
SRR5928264	-0.006715875461416932	-0.068621948318585	-0.06033602950803717
SRR5928265	0.017857956764790538	0.005198499627729876	-0.01586103026246938
SRR5928266	-0.09815377785767312	-0.03049900508450356	-0.0047279352878528275
SRR5928267	-0.04608956084867928	0.12884424720006193	0.02368731713289899
SRR5928268	-0.03901599952207481	0.12060567537282511	0.036162732198527794
SRR5928269	-0.049977248948861	-0.054179739642955395	-0.0388816383034031
SRR5928270	-0.06255704209917547	0.11374907203331311	0.05327743968212543
SRR5928271	-0.012848494318875046	0.11724423101017557	-0.04298483812618524
SRR5928272	0.43068388559286813	0.08198769789177933	0.030246185278791863
SRR5928273	-0.0617649412410645	0.08817949919793876	0.06012272025309788
SRR5928274	0.08759459478210482	-0.02266291813468455	-0.02397820279961131
SRR5928275	-0.14258854499473528	-0.03926560159530799	0.0340226834545769
SRR5928276	-0.04339732614461727	-0.0360594780404293	-0.017581697246525908
SRR5928362	-0.12580231112917376	-0.026768609649004536	0.015723462892150583
SRR5928363	-0.1650243901492488	-0.05144659227923787	0.038145295603303014
SRR5928364	-0.05694806894006115	-0.02795931357678805	-0.008805806369398875
SRR5928365	-0.08883721798042299	-0.027228199445054387	-0.029695855256587897
SRR5928366	-0.1404579129662511	-0.04033987554461729	0.01110840151766808
SRR5928367	-0.02830767731692062	-0.041552528882477895	-0.05901108710442307
SRR5928368	-0.023537788468738923	-0.028712621277376206	-0.028362667160331232
SRR5928369	-0.05973244353174668	0.07044274907233068	-0.012667178385854832
SRR5928370	-0.029970138314511674	0.067229528040125	0.024694058803582643
SRR5928371	-0.08954819834375773	-0.02939805348408082	-0.027366019480121892
SRR5928372	-0.03679486121967971	0.08235934357915282	0.020573224378651958
SRR5928373	-0.07687863088724682	-0.04566140237001492	-0.011251983834448713
SRR5928374	-0.09744276813647101	-0.04871016306819858	-0.004557998721752672
SRR5928375	-0.12337327339760244	-0.009966762132825572	-0.010156954701123079
SRR5928376	-0.09735816408721155	0.049754728552084064	0.023953141948668488
SRR5928377	-0.16842566761050162	-0.05149771104635597	0.038365103755108744
SRR5928378	-0.06807662237082716	-0.02491731105283625	9.651679582626858e-06
