	SRR5928377	SRR5928245	SRR5928275	SRR5928255	SRR5928198	SRR5928178	SRR5928272	SRR5928253	SRR5928383	SRR5928205	SRR5928260	SRR5928232	SRR5928390	SRR5928406	SRR5928422	SRR5928274	SRR5928172	SRR5928191	SRR5928460	SRR5928364	SRR5928159	SRR5928470	SRR5928394	SRR5928393	SRR5928435	SRR5928207	SRR5928242	SRR5928401	SRR5928474	SRR5928233	SRR5928256	SRR5928387	SRR5928423	SRR5928258	SRR5928223	SRR5928439	SRR5928433	SRR5928454	SRR5928469	SRR5928239	SRR5928222	SRR5928214	SRR5928458	SRR5928363	SRR5928264	SRR5928366	SRR5928234	SRR5928227	SRR5928271	SRR5928170	SRR5928391	SRR5928226	SRR5928273	SRR5928246	SRR5928472	SRR5928237	SRR5928212	SRR5928459	SRR5928382	SRR5928403	SRR5928473	SRR5928235	SRR5928408	SRR5928479	SRR5928193	SRR5928192	SRR5928477	SRR5928398	SRR5928442	SRR5928188	SRR5928218	SRR5928456	SRR5928451	SRR5928184	SRR5928270	SRR5928368	SRR5928455	SRR5928250	SRR5928464	SRR5928268	SRR5928254	SRR5928225	SRR5928217	SRR5928206	SRR5928163	SRR5928424	SRR5928166	SRR5928185	SRR5928395	SRR5928224	SRR5928175	SRR5928269	SRR5928187	SRR5928189	SRR5928379	SRR5928169	SRR5928374	SRR5928419	SRR5928378	SRR5928164	SRR5928203	SRR5928449	SRR5928471	SRR5928238	SRR5928375	SRR5928167	SRR5928201	SRR5928266	SRR5928457	SRR5928171	SRR5928465	SRR5928418	SRR5928431	SRR5928466	SRR5928221	SRR5928209	SRR5928438	SRR5928219	SRR5928173	SRR5928190
SRR5928377	0.0	16.084185161297732	35.48248136731636	36.936521229944574	40.780334480369376	45.543846773214064	106.12017447331398	137.0267846419702	31.60776089638269	39.675975768390174	69.89094364575895	70.29821121989639	117.05791456120299	195.02968710537402	13.062146705707102	11.059819281947783	52.507469379628695	74.34248141903973	16.961157906340567	13.783850394069272	28.45424296973502	28.655577131602914	38.156566675023036	38.340249255747224	74.55724839450023	74.37865761406469	76.29735731771139	76.93094391862007	77.27801271298775	130.92589088363437	85.10491990064544	84.60401629370274	22.339199015175232	43.66425716694681	24.9329825306995	26.0814982540467	37.696348235591174	38.269408848278644	25.529670998891763	21.58431086445808	30.544537131775392	31.013584164925515	105.667113164086	176.5456037233488	288.3802435662952	456.48761048757615	16.02773721083338	20.960415655374877	106.0928430433157	176.32638653067744	22.4910858211811	38.6433133079144	93.9603277505103	156.93848490984553	36.937385341120056	32.81567111141505	120.41264169858789	194.746814562243	36.16847834729352	52.36298654533121	64.12240751735541	80.9717152715492	40.64585782965177	41.70620761375221	73.6510885302372	80.84149841327913	165.90003931406721	269.90224250431726	80.03979767023196	109.6590658600916	60.71353303622115	106.80787181467862	19.87394989434656	14.18625705760691	42.825867676842385	38.05340321335358	53.57108731187479	63.409676028525524	53.108553502412605	87.1978560154105	90.68712460450845	154.4573997371805	21.30604442526565	44.76896795822205	154.19646510182682	232.79489756940214	162.7149164153568	259.80837270684316	25.963113075913565	24.230313750711478	53.91747985574485	93.87581078580621	110.17074548753824	182.87047099516357	33.78688959079306	32.69987280241409	21.252127278262332	47.45364065233374	62.56402070803413	66.3262420656148	68.2766756434784	116.58276378831391	66.86343710144583	66.28547164121807	335.29876549589306	528.7595190910092	37.88037868710235	67.15281064765075	27.08237299758816	42.529577949623445	62.487898812307435	106.74591555606372	26.715403083622647	37.098482564549904	188.38523144345635	302.4796992500378	117.21971265355609	192.49568537565568	152.76960302079445	249.3972105541875
SRR5928245	16.084185161297732	0.0	47.43992919554178	48.209677957084246	54.4375762372493	58.934006023016664	118.41124329126552	150.24646006482666	30.240150865287173	30.46254704421631	74.15748077659732	74.24853626125181	101.33706889400038	179.27905388989967	26.105704321440758	15.599503673798493	42.49905702028996	60.10823997641833	29.287347391331032	20.312486241799622	43.560270085811275	43.105952259873135	47.11035697317886	46.04345592607607	77.66836056094157	76.8910972586969	75.45141953218955	73.46157824824651	61.37728454295434	114.91250836412405	86.99192007445193	85.74290556160167	12.817580835388044	28.279083069160517	30.805032277334373	25.051122201796442	48.18664767354477	48.03227927667242	41.24807423587028	37.220961950909434	45.19295136405629	45.12910370914619	90.55323786443826	161.06730952083535	272.4972431279244	440.6706492734268	22.695796984795813	15.409212902836245	90.05982079869734	160.3466017112041	19.65693619950634	25.798315250481842	77.90938799347889	140.9063218736428	49.983188964438234	45.62031279018097	104.39522374970947	178.67229317219184	29.130838730736233	38.91104141118275	79.47003820853745	96.31462975446365	42.768738288599636	39.19241171690531	68.91440543193498	71.87166312441427	150.1329816063718	254.14612053054063	68.60474434383778	95.11711830595397	45.334788252844206	91.0489510494561	34.835247542944934	28.078316428106792	54.27454547596869	48.89228503516656	68.47442579638079	78.41081264452681	42.87668373884487	73.30052710016014	74.91660555767393	138.66390694324878	13.338526432257995	30.078445270979422	138.93935075680747	216.84808563285594	146.74229093369848	243.81638802739027	35.323567008075486	29.864014500082174	38.88235521788182	78.05426974957791	95.05004341650417	167.3798097578606	41.132454282672825	37.22638850802638	9.53921625418437	32.06981026197336	59.9007282572933	59.38514571490389	52.4547295056087	100.54721462405618	69.41146508300685	67.50944039658982	319.4117472367698	512.9475771251115	24.474918444457842	51.50568396153885	21.92286338547707	29.159981095870847	49.34785444419171	91.86686946329385	27.650340338071512	27.848294666169938	173.3682427737271	287.1140575952476	101.22007768322541	176.51584557401557	137.03411313550313	233.64974360294042
SRR5928275	35.48248136731636	47.43992919554178	0.0	2.8092926156844933	14.738418483569344	16.10038831494333	71.60295579001982	103.19009296185462	33.8248784417563	51.16575362200077	43.86564571249201	44.91204680243121	146.2540469556269	223.68410975935063	33.22712671780267	39.50874276799094	61.17618487043933	90.48679635408807	31.53485913911161	36.53244255979221	15.573052920453057	12.043217035160266	10.525235271654573	14.179218774906339	50.31056161538039	51.435134051860786	60.15421963582356	66.46253692078027	102.31072881379784	157.01262922608194	62.641284583758136	63.768466788679156	46.06717732036463	69.13137076983398	23.553129322123514	34.20070388269444	10.201814996574273	11.076985148296275	30.35601375943566	27.24449330578657	17.820924009844074	14.885217763402865	136.655046805456	206.41320531490038	315.78728592095376	484.2599132953923	29.20938657884936	41.36690404296213	132.29966260162902	203.1712545240031	49.14170251776527	67.17364412858784	119.4644031757203	183.39255002457085	45.840753447155016	42.50149550893462	143.77345122129802	220.0026683215783	48.19392577736713	71.0759981096566	44.0181103270569	56.868612779419415	29.33799453516885	39.418651668236876	66.07629457565218	82.04091659838127	194.599982251404	298.3344107616808	87.63432826142166	124.89234069660885	89.43808288280938	135.17389915365453	28.81347233984719	29.092824058931665	54.621571494780305	51.48650134705593	38.057016630172825	42.83015178671174	85.58889688439348	119.0094220564001	119.93987388122058	183.11030925928128	54.73129140540114	76.39695266150026	171.389452611506	254.41915539155212	186.91713016371557	285.5730764470354	20.637445308581345	26.12025637287507	79.66798138983323	120.54809975393917	140.67335015933543	212.4828609916179	18.309444641863546	23.875024345758007	55.18956551311931	78.77967534052902	52.402920034740404	64.81474438507294	93.079984236126	142.60526477243664	44.55020010123717	46.968191103947305	362.7150378142195	556.5351625135545	61.3952627321071	92.55799193091997	44.291711017606126	64.71017594419602	94.85346112907541	137.7925426062371	52.52513264757391	66.41435728768315	219.50113507397975	332.560218548892	143.0656498452721	219.2247305711978	181.55467863517396	277.9081811552036
SRR5928255	36.936521229944574	48.209677957084246	2.8092926156844933	0.0	16.192280570334127	16.97948196110311	70.75901237605504	102.67048056571413	32.74107104816302	50.20940181892766	41.08947700920681	42.136983164234834	146.22230800029328	223.50224360385673	35.12675147474575	40.77088703719107	59.841334685916934	89.4242017415971	33.40858068537284	37.80998388291082	18.307206893780467	14.73830232928629	8.013799642260915	11.79647193189824	47.53443233256475	48.66662456080552	57.49413108875389	63.98001783512877	101.94266824628768	156.60597422328723	59.916038422827285	61.0565822052866	46.37487646925679	69.1006163833987	23.497943037543756	33.839596850118284	9.688378547792944	9.907702708747795	33.03851217375684	29.788476824156028	20.393378253616806	17.346310691508094	136.93688232377423	206.43296903836932	315.42864855148315	483.8975725168641	30.012341543450894	41.62399402738008	131.95489804731392	202.79177359713876	50.19111137785375	67.6979673383175	119.10823571326831	183.00629450402838	48.389955027363875	44.9469953861814	143.132717247727	219.44476709819807	47.66844481400314	70.52350514676971	45.90062240097884	58.264651946454755	27.519938937273242	37.85441000378711	63.70493799641889	80.03488397345771	194.4476073912232	298.08685359865666	85.98463062865007	123.61089017696253	89.62736342905501	135.11845462478533	31.1832761635116	31.03246544501051	57.11641033851344	53.863331149796544	40.20126359539447	44.60315312864737	86.67148418855628	119.58451878978744	119.99397705816196	182.97835356675446	55.8919483449573	76.98210660439157	170.1574130122388	253.47431414721885	186.27573950949366	285.01768166119473	21.36992730902308	26.31592835437329	79.65408821507438	120.35998754235828	140.9099979602644	212.476780635197	17.503531644350403	22.890987453116608	56.20627723692931	79.24565336161207	50.03636345101469	62.79358127462928	92.78997302668898	142.25009444337599	41.76072830231528	44.2384383797874	362.32910740923296	556.156426788835	61.402469362070455	92.36564973665348	44.418616904020425	64.57067263569746	95.60891572822403	138.12058766854463	53.971015227130316	67.31231141402097	219.71034983321934	332.54729528478396	142.7030393876079	218.84245545245219	181.45549427369158	277.69560095111393
SRR5928198	40.780334480369376	54.4375762372493	14.738418483569344	16.192280570334127	0.0	5.2213787565305685	66.31379998467003	96.8841174666015	43.96168493589219	60.92790005000511	50.42494454667714	51.4439596956302	153.8190360493886	231.56173573817264	39.55667914961459	47.513000836436866	71.7041884168418	100.43076887332698	38.88659879803565	45.40058344061616	15.322779796164543	14.158914505536936	22.203102533419194	25.607826722368127	56.80078186908785	58.08813441015817	67.92959029856044	74.83268529692597	110.43512685064906	165.24398299007044	67.95755266513801	69.36434871605516	56.08671144143406	78.8854690358797	36.56169029461616	46.47025801063516	24.37528145127793	25.526899727932364	31.021115549365533	29.89253960046622	22.623922331630215	21.474397199668534	144.83614636066002	214.74451878966983	324.7295627241769	492.92518075832123	39.77225414039796	51.94557161521221	140.5877185076299	211.47949865610818	58.42641041989308	76.81804030896876	128.83755431210446	192.39946372334086	47.891878122286016	45.89503700388911	153.2530209833047	229.04974161016324	60.86919741155294	82.6522009828494	40.59966152009353	52.010530491165035	42.8848499603307	52.20450680942978	75.73506933358331	91.87371463478205	202.47262596220676	306.3699400574169	97.41916862077436	134.38805540824606	98.72320952757156	144.25983463511972	33.173766216418414	35.66989561278263	56.92328386262306	55.11079461035264	37.80785587697786	40.998776241015655	93.33067134747634	127.40094473525498	128.31471317159023	191.52986366633726	61.78239131106299	84.3946515094234	180.75880643529723	263.45115172789224	195.21795553294632	293.85719118277336	33.2902406343769	38.93848420324114	89.94975636341422	130.28435614410165	149.28778344838932	221.0851190980862	32.918054926789104	37.994071044944704	61.69942100343566	86.34518394277603	63.92555756684027	76.18019015962868	102.95512624827062	151.97963134523113	53.15040382708639	55.90985167906537	371.3089459679737	564.9734891939248	72.08383796247902	102.6379982264951	56.07855180495477	75.79559963811921	102.90810874994025	146.23373797327164	60.81754605537692	75.59366724496356	227.57705018092756	340.77386120948717	152.66628930599234	228.36275307996783	190.21917851144147	286.4542858553241
SRR5928178	45.543846773214064	58.934006023016664	16.10038831494333	16.97948196110311	5.2213787565305685	0.0	61.17358349863359	91.93647622428537	46.51112714179831	63.76646188190102	48.11202257124024	49.227452708185986	158.00079876379817	235.63073110893475	43.90291239050172	51.83933538934569	74.00335744327337	103.21673987737888	42.89241698247422	49.464807364079114	19.688122345575668	18.299233132614155	22.71484278849446	26.220092521918904	54.63710419964103	56.149645684083715	66.9721556938183	74.6238098521469	114.20134999610036	169.02420351760094	65.81762476975969	67.50644424358642	59.92856182036114	82.70577441597199	39.22986890524163	49.36912164667269	24.896189315901644	25.924394510019688	35.211892149605	34.180282328318576	25.544127654782844	24.115218670760765	149.18960860668	218.95019007589414	328.57241984317767	496.8070256651614	43.41537583709019	55.6153176508921	144.40965119922615	215.31188319051546	62.489143589617605	80.89567545149026	132.54633380469434	196.16565686149062	51.367281439318965	49.46128099403552	156.67360136158695	232.64164014800474	63.63098305727035	85.75775471977339	39.68571346388582	49.68628467941135	43.88462173482639	53.80971496460166	75.93035706120399	92.98016329477842	206.55755638625465	310.3861443442932	99.25946770913554	136.90213732600228	102.80570852640996	148.27822336791252	37.35476284781139	39.91339841219046	60.379274137779014	58.7026183873261	38.20539097664145	40.020434414606726	97.86080372911223	131.83229262418575	132.47599934733213	195.5889771107003	66.3845258403826	88.81780519473702	183.37933491384274	266.55015379150916	198.73537808361388	297.51415083013984	35.88375824907157	41.730020071347624	93.7228650052688	134.09885943915606	153.56537288860727	225.24664201988767	34.306541954940414	39.72596902942833	66.37342614338039	90.77427717641196	64.05576089845802	77.1709891668909	106.62344231515326	155.71368099391765	51.58383003773094	54.802629929935826	375.1573949794464	568.8580705533186	75.72894167517006	106.35482316985008	59.39370450866761	79.28517603303636	107.40399733852547	150.58079425498286	64.91100609355024	79.77379493577858	231.94869238690518	344.99986399706637	156.3689691228179	232.1380017147474	194.28388941912687	290.46516102589226
SRR5928272	106.12017447331398	118.41124329126552	71.60295579001982	70.75901237605504	66.31379998467003	61.17358349863359	0.0	33.6698670583936	98.11865088182438	114.75530284372546	66.87850056235348	68.1581997087426	213.87206261659006	289.99687446789557	102.93226287211755	110.91513585055286	120.85569532401114	151.02896292536536	100.74971577781108	107.61146586364708	79.5551259127879	78.22007821753925	72.83267488319065	75.05884231873904	71.13285634478468	74.01451555852587	89.83709569689645	102.03908144642902	167.98068632605936	221.81724704562956	76.87973725382892	80.86476678625641	116.83204905010865	138.4731620248455	93.01374999488769	102.81833197490346	74.20434568038212	74.37725367485773	92.82109363752049	92.73857455094335	81.24493336135825	79.60923941063567	206.77990060737469	274.8658575973758	380.925732344566	548.8172602658905	100.46605048535129	112.00447277441644	197.9909442087767	268.0048261794681	120.16916906126636	138.23422161469696	185.99236860714709	248.86670497096785	104.2690660644808	103.49409359830474	207.35228831272872	283.424006821931	115.0296835558779	137.40949189359782	68.58768910296352	59.70985000959951	88.85968567426323	99.82255531040617	106.9327963811127	128.70576110031487	261.2895079930384	363.9253763960801	140.10792911120538	180.71989737678533	159.55447813522116	203.70544801723898	95.63163188422955	98.79346972319784	112.2660985574457	112.01152055582564	77.26191268899264	69.04694270187892	156.99482173828605	190.23873943513684	188.90129976404913	250.48498486064662	126.21725019931378	147.56852266309454	226.48769412282124	312.4082322445062	248.8738862680821	347.9067684423365	89.75673595781949	95.65521896869572	149.00054084281015	188.47912536218143	210.72460835326515	280.8818756298155	83.84813371404385	89.4406066474626	126.45144708373421	149.38339887599113	97.88890428430601	114.78201535687487	160.64691040551534	208.908819152591	75.57161088903901	81.16584585988389	427.1566713275423	620.6069729842703	130.9921795500226	160.8064972623322	113.97350701439899	133.56258321058175	166.36733881948754	208.2227163630093	122.30123830483818	137.56099631892488	289.08544246644783	400.4737884060648	209.40744638245877	284.6142440043359	249.36373741648092	344.3474793458412
SRR5928253	137.0267846419702	150.24646006482666	103.19009296185462	102.67048056571413	96.8841174666015	91.93647622428537	33.6698670583936	0.0	131.3932280350483	148.21867495398766	99.79053468884055	101.04006178299612	247.1556737206113	323.53235676754446	132.72706102317403	141.73572618770388	154.41577030186585	184.6339172213155	130.3959314641025	138.24109471797894	109.31538243584546	108.52300549731596	105.53841955852124	108.00563586877827	103.60238997557461	106.49999111349327	122.23599261746598	134.62180974539461	201.4536929734199	255.42577736041537	108.18494472034433	112.29298806376241	148.95521742195928	171.2210994581175	124.88167209029048	135.21858090055204	105.56750634624927	106.06207472232143	120.79354922324616	121.54824758286253	110.33271781893419	109.1701820037232	239.45332642911086	308.0945819605818	414.52299251181927	582.4593358116215	131.81759848114967	144.07922407797332	231.51993599331388	301.63725523250577	150.85392495488009	169.95149125506651	219.3853657525064	282.4274596019967	129.95228158762913	130.0729712735939	240.94880322205975	317.0600896244747	147.45578672673366	170.31460844439263	89.8857700559552	75.87640412806162	121.69394784256956	132.90837867832067	139.76457892569863	161.71977075028772	294.7702298634007	397.5443057616372	173.48284843345428	214.1554354290704	192.08942778765066	236.8058725270636	124.60943549168246	128.7039816454159	137.1107679916741	137.89808115087442	100.9482909320988	90.84947894211142	187.5655593870052	222.10328194716763	221.93074205004797	283.88524020790635	157.17901210989206	179.5740404111561	259.73967659956315	345.79448066181106	282.5369818615175	381.55920305843676	120.68837710897772	127.22193207090092	181.60029616006568	221.58983299196115	243.3981241101564	314.10575892172545	115.66043577222877	121.68331215012059	157.82796224642948	181.69924146589608	130.8394247928622	147.90846991244123	193.79878669962923	242.34001259440564	108.47672303289215	114.1293599367804	460.80946966368134	654.2663770745885	163.4116531594295	193.7750552060315	145.8284188485303	166.083358286961	197.86949494923843	240.73009095967092	151.87622852839036	168.41135710881616	322.02011042153225	433.8571380354196	242.79888858816477	318.17090896923946	282.6830083927795	377.8906994968515
SRR5928383	31.60776089638269	30.240150865287173	33.8248784417563	32.74107104816302	43.96168493589219	46.51112714179831	98.11865088182438	131.3932280350483	0.0	17.571800410317834	44.87415243831617	44.779990262249605	116.14315487870513	192.54327818556038	38.273060644844996	33.24029426076093	27.884621874433428	56.88119050537762	38.68800818554687	33.263113913227855	40.52427566683579	37.75151940805901	27.00893563403095	23.932710732525557	47.775886868122356	46.83904384253202	45.692044447159645	45.492962759090645	70.57048917674702	124.91067373970571	56.990991909931026	55.79497113201711	25.895594691662215	41.56929937762738	20.751447146898226	15.801405037819503	33.57288540033909	31.7697966121603	48.73389155303604	43.7253704599125	43.059153924892385	40.863010734463984	109.3582588103323	176.75062665336654	284.06063803939344	452.3648419463963	25.13494112634739	23.009332136501037	100.56618717235877	171.15628862324584	39.35539704253987	46.63927953761925	88.18109895412731	151.61881294565285	62.53430288043658	57.702595196571046	111.10647985394782	187.45125482630831	24.78737778100569	41.84375617231125	76.31317897122344	90.32812900335163	18.032310488123095	14.91464927898142	42.14559362347088	52.016550571112184	163.66767309844008	266.8274818964722	54.96587983124198	91.15024083538518	62.950124837160615	105.68599587954374	42.63948694466006	36.63931954304739	69.48556942382886	64.24210102026935	67.70563688295076	74.71771415377474	69.44505944099672	95.29413799398743	90.93464953793573	152.51564306085626	41.81535289218327	53.70359737183541	137.6140131307889	220.79954104968658	153.90052957035988	252.80820904322817	29.34647559356638	23.41954884163748	52.699012565237496	90.70948509122647	113.26682645805595	182.78419963337032	25.550651578098527	19.779756613660606	39.54048713168806	54.21470473456126	31.95676269204054	36.63241346322864	62.81826922591742	111.26866708283265	39.50290047759296	37.32280431482503	330.6979850930045	524.4757603725108	36.35249183350396	63.317257879228244	26.998109421120198	38.59910308749028	73.67410413095611	111.14363060714041	48.21446099676061	51.191521017944126	191.11566570081536	302.4686939904193	111.8481765866065	187.51573804911655	151.3044902392239	246.7844797865832
SRR5928205	39.675975768390174	30.46254704421631	51.16575362200077	50.20940181892766	60.92790005000511	63.76646188190102	114.75530284372546	148.21867495398766	17.571800410317834	0.0	56.7666919162986	56.279532688694815	99.82611373216888	175.5505677903029	48.206033719127724	39.29016346013981	13.211792694453182	39.5496465961651	49.33462538174734	40.862518119958665	56.224981775356696	53.86774553381955	44.5185578492028	41.32065916051082	57.91201844742895	56.23010419800087	50.03871068114336	45.24657073846782	53.73988181154862	107.65846980903899	64.67263499855166	62.46293404608001	25.40562937806911	29.207214526694628	34.32355157059878	24.13527676578799	50.26372117157878	48.49663267103284	61.70207049483385	56.70413640201309	58.39573978761218	56.56858577071228	94.50946537182482	160.33857921760244	266.7723290404549	435.0041045812098	35.56551518698073	25.7052815139906	83.51028798555302	153.86240785732303	41.569558596941754	39.71470573019245	71.33137780519901	134.39147506340626	73.55784614709758	68.57352945440145	93.6468377703559	169.97416170932468	22.745101992209573	28.35334208411556	92.61725280375282	107.25110817128092	31.175636532569808	21.219249232348847	39.7402223505169	41.64584909969629	146.79684288563783	249.64392781922288	40.61505822158469	74.2534349211098	49.765124316321135	89.64892875720382	54.90355769410429	47.91274600408539	79.27438844180365	73.56837714488366	83.12889456311349	90.92067434559385	63.05262071946209	82.81350767091456	75.34020946213259	135.76156977029538	41.4421101638719	44.15954904891724	120.51071533662687	203.2945726772773	136.39874012744912	235.30830124005814	43.23005758127648	35.57977940399366	39.83838238346338	74.63523508143027	98.29893974970793	166.3352858581621	40.909072521096284	34.04078174711285	37.922278067878366	43.21558811919942	34.50473741628901	30.044776877707267	46.90831949871558	94.29508517043668	49.76842156440196	45.89359528952794	313.3237539520947	507.07494530778007	27.5374858900894	48.13816650068272	28.661019284429706	28.36830407260443	63.66430085768538	96.6285529034453	51.65783643522193	47.45227031222249	175.24156560914744	285.73436251488914	94.93568129464398	170.27844587389308	134.6910365353879	229.70855444048757
