	SRR5928198	SRR5928178	SRR5928228	SRR5928467	SRR5928377	SRR5928413	SRR5928435	SRR5928400	SRR5928427	SRR5928255	SRR5928272	SRR5928253	SRR5928242	SRR5928208	SRR5928260	SRR5928232	SRR5928422	SRR5928274	SRR5928460	SRR5928364	SRR5928257	SRR5928384	SRR5928394	SRR5928393	SRR5928159	SRR5928470	SRR5928229	SRR5928204	SRR5928423	SRR5928475	SRR5928417	SRR5928443	SRR5928396	SRR5928380	SRR5928450	SRR5928369	SRR5928261	SRR5928429	SRR5928433	SRR5928454	SRR5928469	SRR5928239	SRR5928273	SRR5928246	SRR5928458	SRR5928363	SRR5928157	SRR5928398	SRR5928256	SRR5928243	SRR5928222	SRR5928461	SRR5928201	SRR5928362	SRR5928430	SRR5928215	SRR5928405	SRR5928456	SRR5928230	SRR5928226	SRR5928408	SRR5928183	SRR5928270	SRR5928168	SRR5928251	SRR5928184	SRR5928442	SRR5928188	SRR5928453	SRR5928165	SRR5928473	SRR5928235	SRR5928392	SRR5928437	SRR5928265	SRR5928164	SRR5928193	SRR5928192	SRR5928411	SRR5928445	SRR5928163	SRR5928424	SRR5928374	SRR5928419	SRR5928472	SRR5928428	SRR5928166	SRR5928185	SRR5928175	SRR5928269	SRR5928267	SRR5928169	SRR5928395	SRR5928224	SRR5928174	SRR5928370	SRR5928217	SRR5928468	SRR5928182	SRR5928250	SRR5928203	SRR5928449	SRR5928179	SRR5928248	SRR5928241	SRR5928211	SRR5928432	SRR5928197	SRR5928457	SRR5928171	SRR5928431	SRR5928466	SRR5928221	SRR5928209	SRR5928247	SRR5928416	SRR5928216	SRR5928402	SRR5928173	SRR5928190
SRR5928198	0.0	7.6479026664399266	72.15080591611816	72.16866938732888	147.56084350851114	152.67240703615272	88.98875680643225	96.78336116411337	67.11610444340381	67.3691521121372	107.08315643203281	112.75573027952463	143.85371535087083	159.80392059240833	57.36390248205697	57.898279973057164	116.04603197836904	123.79786797200602	90.58582707117911	98.86663394712667	221.84963594812476	247.26444716289504	139.27288202204358	151.48034040788767	43.22572648621543	54.89580076113944	232.57760455347858	258.68510201194897	134.5120471752908	144.5233969464827	144.59557417389578	160.7642205583095	89.54268685538649	97.16337498044547	189.98540373459687	211.09187029908276	135.59264503168484	145.86461750409913	181.374051321804	203.1344135421351	100.65194458083786	104.97361976355177	274.0441104667676	304.9887824434998	166.62367877388704	186.54430157729482	358.58306641296576	375.62809560751765	110.65675255019498	120.7875163193616	112.03646044671761	123.29138365124643	243.73904942054187	271.76009568407744	182.33835191778192	194.67108766989844	198.17293427676847	221.18461765055858	196.1884714150195	215.89509298127174	248.55117274591095	275.91448363139483	124.54940218330925	126.21633420120537	144.15100726312366	149.8844558818122	207.38971716539538	232.97842942126158	329.26045888367923	367.5330027546047	83.4671580934374	90.4474958313513	162.3719724627608	177.18703290238474	184.69862216891525	201.2186536553294	195.34222727001483	219.7804471371803	183.3739353052423	197.7698063977278	271.65848396984165	308.73645963156963	249.45032659122774	282.5209555882616	161.5347898195543	177.7655560567345	243.09061815188946	275.03176789731924	179.85925286429278	193.44400314797392	123.77345637006435	132.5313818995413	148.59960633581122	165.57562459387086	202.09219736154407	225.8109061232904	73.81095479109052	74.23916342682755	81.72809394761025	86.93117442279649	148.440998464626	149.9534942203243	161.5179994521832	164.77726073976922	219.7952213167942	248.0737426020187	310.47023871840344	341.86377995754725	109.75082047975653	120.67489564407227	108.76254244201324	113.05668000411997	273.6618304966351	309.7257006267119	408.72316511137365	465.80034223910815	315.4978733392364	358.04739839670935	123.46561132498572	133.26748569038162
SRR5928178	7.6479026664399266	0.0	77.36468472649733	77.25142383217351	148.0062491739834	152.99861915900755	94.63886172709161	102.32026025998621	72.3924840254208	72.49283948342605	104.61330472928725	109.68069672060922	149.9661866202254	165.881803341523	62.389091701014415	62.66880173138664	118.81872505864959	126.56976138687403	96.34693975020468	104.50987321037442	226.49170153554155	252.02791295603362	145.41522409398254	157.63288083524125	36.957468882980685	48.127835921961356	237.1553450023113	263.3968051094114	140.30916079392918	150.35942165149154	150.62648945140094	166.76425441760634	95.3467784608216	102.85905331742032	196.2298902655511	217.34945602932214	141.5035981992162	151.81073435270224	186.44950480385148	208.26495625380065	101.48967176466431	105.60001106170363	278.3895080637077	309.50761717373086	171.90843538094109	191.85364448348247	359.5995167570317	376.8422200605398	116.6921321080517	126.76756482789872	116.89213978276126	128.112127052472	248.12903333875047	276.3043151727283	187.7359648528936	200.18937342635215	204.05818102016462	227.10343052462486	200.08486143599245	219.9392997725828	254.48499171001797	281.9259425127253	128.39964177154528	130.0268559428037	144.69055967337957	150.34189247069898	212.5346389820501	238.1919784670112	335.2637268209016	373.628050403571	88.43478950185364	95.29286708585227	168.1945624346508	183.06034285338035	190.352366256213	206.9589626854529	201.255194727514	225.70033598881443	189.03144008927234	203.52816618739564	277.5045328402409	314.61648897035184	255.01310641341303	288.1388349214878	165.6443269654014	181.97094327336885	248.55960541734106	280.5578453340109	185.28264510407044	198.97767417148862	129.2957751059903	138.08412948727874	153.71495694518214	170.70808246065866	207.83301666357596	231.59613880802465	78.35971870555149	78.61661245698646	84.27425643604171	89.31013352779394	151.7250595133964	153.16408417471544	165.34348548020841	168.64239926595147	225.30533856582542	253.63237537066078	316.31992331299386	347.83985158163114	114.50282660497692	125.39310621988008	113.67341409955563	117.9841924464755	279.6407410859692	315.74156318469335	414.0839129067342	471.27179689837703	320.75276119847786	363.40671429719686	129.17477398860254	138.98835312416006
SRR5928228	72.15080591611816	77.36468472649733	0.0	3.2002922174538773	198.2347963533133	203.10550901342157	67.89887588771104	74.88395161377476	8.805091966117647	11.298934826920888	174.02269419130005	180.8635803446153	103.93863156216045	120.06656154144734	25.495691928412395	28.20989547235083	145.78907792512715	151.5191187602181	72.06496475181078	79.26124003245693	219.7692264319961	241.81577141232563	82.18114596008522	95.94050241791321	113.96923881040826	124.05759129417851	233.1364841679292	255.69231485388102	72.86474001105094	84.54538037409979	106.1919609556876	122.39431151990733	63.185324205768296	70.33134393438311	136.5727802187802	158.9981253984297	73.86814880319281	85.82333178726529	167.92894789283528	187.2688197106744	148.25992252604112	152.43225260555016	274.04615502228955	301.38590950191457	151.99752893054438	169.64138337936407	396.85947472398874	411.5451781584911	69.77819172556595	80.32880376507445	111.42807730895568	120.24565754618858	240.27572607241535	264.9989025191523	113.72460919915459	127.30374206515337	149.8973176333339	173.76956383799705	203.44347057139106	219.7099893032956	189.92956458912306	218.84568202372168	56.296771278025155	57.94384795045871	191.67595554749508	196.83804528208282	194.56382414432346	217.53119500860836	269.20660204215505	309.0940220070522	72.99708638786845	78.90201247936139	103.85919315781514	120.23783001329117	123.10957232187012	141.20628075226568	157.4279170192453	181.7202824368258	117.21858947999786	133.14631140235375	237.4672410666764	273.87946233569613	218.80773357773265	250.86258564200907	167.79789464072164	180.83514364036517	222.61717736244944	252.4835596510926	114.0507491215472	129.077144247591	64.78467831393118	75.11344034385705	137.24668116984333	151.86591455232625	155.80983960663465	180.18686341773414	11.558951980025107	14.842971081076762	112.7486692889725	116.92957808948825	83.75258929405285	85.33368676314244	92.34342313943469	95.27129885240794	189.57881239989467	216.85733621571916	245.43641890608615	278.4452038435547	105.35150465513445	114.13520651651662	42.05848121771589	47.710484029413664	228.84914841586425	265.39591064534727	384.60457079530596	439.784763541816	290.92455117251296	331.72718717163076	68.67035460666818	79.89835855321937
SRR5928467	72.16866938732888	77.25142383217351	3.2002922174538773	0.0	197.66602164825113	202.4703864365216	66.48401129879096	73.4104924865261	7.263429878010789	9.029005237978625	173.68001010160657	180.46407161248277	102.91533263513718	119.04870718140681	23.643361442639275	26.114962985779066	144.8207273090736	150.47781845727988	70.80598887795037	77.93509613594748	218.7616825125874	240.80886516094742	81.40575084551763	95.13069091827855	113.86664973138735	123.88604606588068	232.22027890319205	254.76910386345412	71.90682915171922	83.56076734374152	105.10278114051786	121.3180409603605	61.804587719602715	68.89154833593281	135.83010861288255	158.25751641772317	73.0441533668668	84.95813104728512	166.710710845556	186.07067225799014	147.44255376703856	151.53760735167816	273.0184052920026	300.3683432579352	150.8474562507903	168.50016593926551	395.9896492409515	410.6404198535226	68.57965230269127	79.11035837124757	110.20457167185155	118.9761120893162	239.08556692963765	263.83029968873586	113.03638912652855	126.58377166883413	148.7816852666667	172.70456125790756	202.28386589253688	218.53971978545013	189.07740125885968	218.02389609837584	56.00372221097381	57.489903551349045	190.88804680332248	195.9850295288206	193.48092255262029	216.46595703118865	268.4835101953697	308.39864486960107	71.33381010205048	77.17856392608832	102.83153392051116	119.22597027893899	122.09550721738695	140.21380715932267	156.35054175863183	180.6841242956747	116.49442758342234	132.40295588538515	236.48159871043194	272.94188591454963	217.64340874332913	249.75800672281386	166.61879158546176	179.63443370289835	221.6086062969881	251.50562463397046	113.10617926651146	128.13215349633333	63.386761951169134	73.72775933807824	136.0120543559667	150.63133384586908	154.5778950493543	179.01941355195663	8.492839226011348	11.72094040989268	111.5377507475116	115.63240719540983	83.90055870109683	85.380361983567	92.12255596309771	94.95575627061282	188.34022535447195	215.67811270857268	244.83096981317956	277.84753579873706	103.91503561418253	112.6666674326556	40.48635404828716	46.07141150026319	227.87484773880348	264.4745513511071	383.57422846161063	438.8130807813606	289.74185652905805	330.6100196959828	67.32510371753263	78.5682560068325
SRR5928377	147.56084350851114	148.0062491739834	198.2347963533133	197.66602164825113	0.0	6.453420292001248	155.05555323745065	155.82894064689842	190.49645150040845	189.81110840822552	70.42904367885659	76.60349280959369	191.38417522335715	198.84891913557638	176.24141464407526	175.38186324407826	68.85484959019833	70.25139794310867	151.38803550405436	152.36759492952652	160.80550012522505	184.95433046890864	216.593356584146	221.36451976388855	139.59017695567965	145.14645526978	162.30086006347756	188.2170614048389	221.94492217548407	225.44237400218483	189.39959979646324	197.0887543780459	160.87946094999086	161.66292035333706	242.7170012288434	255.12770927586737	222.45780509132132	226.11502786978096	161.9184682616921	178.09837503014984	52.143529084796896	49.66245260679896	194.16610074661935	226.30815916268324	157.40136260233643	170.85187874533634	213.70893528919186	232.10150665292198	180.67240215074963	183.36795542291617	124.18027752867874	127.7651373673031	179.07534135517633	206.4078712385399	274.4301003339141	280.44787045815605	238.79245859237446	253.23487296872398	127.12700571994795	145.58390187272516	300.25068957153894	318.9139993694058	251.96436342686815	252.6659433740264	16.266217800197982	19.51296963496944	174.0777028096578	195.58345614745366	373.5385484371745	403.09673450934577	145.2409711599994	145.44221794264024	234.70425074680404	241.72112129846283	257.78296333690184	266.49694180698316	216.1547031933805	232.54826368559816	267.3856949302557	274.6592212412094	262.6912240245044	293.9695020663402	238.84396251947575	266.15773534747825	115.31451079576333	127.50883627028088	212.73585403542467	240.70833424511883	264.90517406150514	271.59222514159967	212.39558357454683	214.98741461290402	145.63587139960435	155.61861873628416	237.9609556221639	253.23848023686182	198.7933593900575	198.36525068279187	92.3531254153071	90.88752773267709	281.2360118466744	282.48029409184727	286.0759215751142	287.7448846278841	217.36839661717863	239.0960964803826	372.4541412061639	395.2328320081197	131.43142984835265	134.60979693542197	217.85570375772895	218.58281820897741	287.69730198069783	316.220535687668	357.99327672366604	414.1544769945782	278.17386857856775	317.8988781164471	205.43316292090537	208.46308702603503
SRR5928413	152.67240703615272	152.99861915900755	203.10550901342157	202.4703864365216	6.453420292001248	0.0	158.9816592238626	159.5419390226321	195.2775973784067	194.51838043648263	74.17006135769827	79.72169962660111	194.6701590119964	201.82545262209945	180.83694304556545	179.88944765905802	71.62576560687634	72.4026974236148	155.3287467002298	156.08025718174648	160.5300671791937	184.37066150886943	220.46441561887505	225.01852680725437	144.3011196009007	149.59120538903593	161.7199800264864	187.36537751970522	225.8914040178344	229.20817648783344	192.58815096127634	199.96149234366035	164.88844901355938	165.4710957439484	245.84457334518973	257.95066039108457	226.4460235197813	229.91955964817046	163.1621069382705	178.9325347641122	56.12544791109063	53.162002492622214	192.61608905501257	224.6446932068043	159.20776441692476	172.2297579711838	208.54129017625777	226.9782673929616	184.53793850849468	187.01038469752444	127.23974010701625	130.43834050620907	178.10584202740495	205.23254375433325	278.21211735803615	284.05700641660894	241.34626808629483	255.4701112900435	126.57388025424927	144.69334168198986	302.89100646522917	321.2620905565562	256.51315366783615	257.15443634681424	15.930411270447552	16.857855379731014	174.7796515212139	195.9086050247869	375.78085349813034	405.0439335745878	148.9846143996445	148.97012024344698	238.17279601432338	244.955133756751	261.0913840566403	269.5728126993371	218.36189566826584	234.39343643623792	271.0363276539115	278.10829684668886	263.65061437788836	294.60648528701154	239.70095589520284	266.69227684872016	116.18505729362758	127.89576348046302	213.26725098622316	240.91095349273093	268.466808108329	274.96029378559507	216.27628808923757	218.69663695973838	147.76051266173639	157.31455934225522	240.28470496391913	255.24160350664226	203.42216910505655	202.92011607951275	95.96185692420003	94.19067788420378	285.88909367329285	287.0889222340268	290.4945012199332	292.09982900153926	218.61352027152037	239.9917683443412	375.2325351174869	397.74308909718195	134.42945498840146	137.25744550410894	222.08398112276214	222.70253967426245	289.25313431777994	317.44931482595655	356.96284538925846	413.0270507455115	277.7536770254411	317.28277078530783	209.2505011245043	212.08812480775168
SRR5928435	88.98875680643225	94.63886172709161	67.89887588771104	66.48401129879096	155.05555323745065	158.9816592238626	0.0	8.27497729075558	60.758976785375424	59.220432735658385	154.35157374122673	162.70544701437646	56.6435063896219	71.95697689553259	51.880552402340925	50.89411467885353	91.020747380146	94.50593829422915	5.71666366034291	12.12226399049947	153.22064360176572	175.7819630157954	65.29425070403995	73.37185768826707	126.42052623143012	138.05225116203135	166.90035013617248	189.7782189325025	67.61474949197309	72.54684046475401	56.73174615875262	72.50944877624369	6.422378358659458	8.947814859985371	106.78364477168931	126.26996610853028	68.55708577675593	73.75498468547401	102.14341335333683	122.61626855658818	107.59692332539302	110.79522802232033	207.33903550904617	235.2274891751665	86.53865033246966	105.30040894415761	337.48294052447915	350.79877271952915	28.57407646805396	35.491787087021734	45.19277367676938	52.89742764943855	173.2260356015859	198.6757697131693	120.35784097467437	128.02836007622918	111.11294033586525	133.4332222823315	136.355852672751	152.29480160700524	166.23840347193908	191.83225061721137	107.93296955068995	107.81584135317595	145.391134220313	149.44945616175937	129.4702305463742	153.58232342991343	246.5902137078722	283.3300209572528	14.022989066597454	15.674530341120342	85.44059871407684	96.9729594537589	109.2030301782826	122.38957975147173	106.80678175493071	131.3517260519679	115.22595172425177	125.37761831699358	184.21103809354454	221.42578587494862	162.31631423490276	195.43169003406342	100.97091402992375	113.43660924525247	160.96758879663017	192.1803027766333	112.07085307389774	121.37553460837381	57.369085073111556	60.83260582143246	70.35794131625002	85.82187211466227	114.20242179198505	137.4513951223747	66.19106324934361	65.32386619182734	66.61096170519218	68.69566216625292	138.71298621307528	139.59338148719877	136.84961369900182	137.55891563244268	132.3765300270252	160.7168494140378	233.6632991344189	262.408574895666	38.21199389883046	46.32494796142337	67.12681942978391	66.3168432154189	185.21821834655873	221.2998904603912	325.4824713926485	382.0205928913539	231.17793105673633	273.30968597049633	50.992326586278494	56.07929011208673
SRR5928400	96.78336116411337	102.32026025998621	74.88395161377476	73.4104924865261	155.82894064689842	159.5419390226321	8.27497729075558	0.0	67.9678864588624	66.356915130002	158.4728877533489	166.8838909681635	50.407097376018164	65.17406924747401	59.5054930036464	58.396520274807514	90.18788462008088	92.9878689169533	8.097877788250157	6.0120735346695735	146.52162777079306	168.74436936189923	63.19199488910438	69.9535251764372	133.49619644453546	145.05287915759416	160.47103442880064	182.97223544851974	66.88196504580425	70.52246045081237	50.113169165306	65.46253416651133	11.868233451468182	6.5732532630181195	101.4938486684709	120.39362299705323	67.80180144278056	71.70607872753769	94.57844384667821	114.88429002995781	109.39277869392545	112.33070854349286	200.56180418130825	228.1533295552541	79.07221178892706	97.63791562732892	334.1940005938344	347.13743166642365	26.412144880283126	31.016291770524937	40.8858136950335	47.34308762646261	166.1235501057804	191.31670513524958	118.95262064241318	125.7546615348897	104.55637624699999	126.55792004258828	130.48935607247455	145.92420514474864	160.76046141435688	185.89181302986995	112.2081346596032	111.89776275094984	145.6559395969769	149.44656394133423	122.02482989534049	145.97104088248082	240.8478026324609	277.22917948582773	17.209248755050126	14.99905128530219	81.90498103459213	92.46722857581537	105.5215183810466	117.87624678417404	99.31761800932176	123.78773404819793	112.91607965075121	122.1674076962665	176.43822641538532	213.67086884955418	154.3296614877002	187.48349597265198	95.47679980992515	107.31344959898648	153.2422191076646	184.40943683931744	109.77978627024082	118.18535087791014	57.1309115305032	59.19211886572246	63.15773200090252	78.2938101527086	107.27249582987983	130.2858399861566	72.84575809729317	71.86556941657052	68.37192450856301	69.85072417361165	142.93795947792555	143.72205271684808	139.7135736177381	140.13410853216396	124.34759488018543	152.72533964358394	229.03321782194402	257.25977289835976	33.24112685625896	40.13218672866832	70.3438748063907	68.83526566651123	177.9131271531341	213.91523912158425	317.5622243598359	374.1209408635774	223.14363896896282	265.30355705525926	49.81255987669882	53.3266127514081
SRR5928427	67.11610444340381	72.3924840254208	8.805091966117647	7.263429878010789	190.49645150040845	195.2775973784067	60.758976785375424	67.9678864588624	0.0	3.3456901153843357	167.20375802845925	174.08601894170502	100.19258093727399	116.50065077632838	16.839206475568236	19.595653797873112	137.6669495849027	143.36844707201627	65.00335998110288	72.40975847832063	213.26564593727576	235.61814376533843	81.35418264381175	94.9184772312727	109.20827676855767	119.51587377939684	226.61523517926636	249.46305027734763	72.81809087736266	84.18635598598938	102.19608905923879	118.60418818099498	56.41990038639932	63.80071863633002	135.5682036912246	157.89452628768288	73.9855169193353	85.6115206142108	161.7805284397314	181.45339587560818	140.22528177545516	144.30903410021313	267.5234587539142	295.18057534735703	145.91665747063468	163.8828584278333	388.8898245869837	403.5984846549064	65.2779144415228	76.01584168020885	103.90878276547767	112.91174377526484	233.71307139689807	258.76616638556504	116.34652812452708	129.4789332906833	147.70620363059183	171.62781510933385	196.12865480554987	212.63391736387527	189.98723294616786	218.71246384785803	62.66433595962177	63.98668471418694	183.6499432359701	188.73482830553723	188.665628782078	211.9686674420645	269.8304090600194	309.4915314061777	64.97905683236199	71.0444047131121	103.30855773900413	119.49674368500496	123.41297115580747	141.2499564630861	153.87046448678143	178.36809105244572	118.97082323380016	134.4986503629256	233.93173369448695	270.5761262867762	214.60540972063527	246.94364616628403	160.37009727146125	173.62318752780288	217.5889322376572	247.78476990284793	115.52682352591754	130.18226849323952	63.549767074600304	73.67856822436917	130.6877997190667	145.6117308587929	153.23207626820312	177.70376633408898	11.050243312413244	13.111051969828095	104.2921908353636	108.40962772266985	90.9360101391187	92.35841763587078	98.59767366089268	101.27656084065818	185.1229206288473	212.69427993861856	247.23858082558553	279.9127964837179	97.75310558292486	106.74848131374821	43.197853402123194	48.284712154165376	226.63649499301226	263.27110134758453	380.246344675467	435.74588836027056	286.2784801113449	327.40857478450215	66.53602675711272	77.69038819174614
SRR5928255	67.3691521121372	72.49283948342605	11.298934826920888	9.029005237978625	189.81110840822552	194.51838043648263	59.220432735658385	66.356915130002	3.3456901153843357	0.0	166.8351333485335	173.66044984178927	99.11052737703004	115.40887989619779	14.9033050073682	17.28207179428707	136.54457088777912	142.16088776522847	63.63352518146885	70.95620515784437	212.0675001457175	234.41938857524462	80.66437938182345	94.15492577902482	109.24413285490421	119.4767420571277	225.50924598971275	248.34803547184302	72.00640099937834	83.29979500339674	101.03508835915653	117.44333876053143	54.9431464034956	62.24812360573705	134.8147042121693	157.12100515361513	73.3078784205559	84.84486684769999	160.38420640518788	180.0772322819534	139.2972392566001	143.29397326069326	266.2931913491573	293.9605791872086	144.60033161641505	162.573707291229	387.820852934489	402.4889723024184	64.06066419114768	74.75569713122806	102.51829034695365	111.46659354878057	232.31945109745593	257.39522020297443	115.80451288139132	128.8698701947241	146.53035176432098	170.48876623005177	194.76748786415337	211.25948003248044	189.1213406345428	217.85695638451534	62.8341604664297	63.99401284267296	182.72595401876276	187.73775287942522	187.40509886802602	210.72557344315678	269.08028046124537	308.7520478276551	63.128447201343285	69.12397327029124	102.33068390316822	118.50302986295783	122.45226773823855	140.2805904108804	152.6869846438187	177.21889569343776	118.35458116192802	133.82855303742195	232.80879551756516	269.49867523456777	213.2901530567002	245.68755586442487	158.99808896937367	172.22542326532923	216.41309387660482	246.63953975282445	114.69276422613129	129.31246830971182	62.28396744417669	72.37711895455936	129.2815052729498	144.2034194392678	151.92286520968045	176.44817190396583	9.93089754206311	11.227756057328268	102.93541425197834	106.95208970785441	91.44644048074392	92.76923903680249	98.7005330405617	101.27499924034845	183.73541152764616	211.36545018969738	246.65067278673456	279.3112548321998	96.13342830436665	105.09141846764028	42.061580096843166	46.99253040287242	225.5627144811617	262.24251618657496	379.0355369010938	434.59624755170375	284.91876047946073	326.1166557707085	65.26581665077175	76.39709045582576
