	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112	PC113	PC114	PC115	PC116	PC117	PC118	PC119	PC120	PC121	PC122	PC123	PC124	PC125	PC126	PC127	PC128	PC129	PC130	PC131	PC132	PC133
PropExplained	0.07452985990398453	0.05388699895695896	0.04433572295819636	0.03420028704270891	0.031811473192304277	0.03155281118976838	0.027239219956660014	0.025392109699746833	0.0239796239981877	0.023068761387661434	0.02197983075682715	0.020906838573646194	0.02068660604836135	0.01936215277482348	0.019150299543378824	0.018542872458311096	0.018156184941591175	0.017353896259686773	0.017140709171455496	0.016392862826138596	0.01577636486950997	0.01557862555262604	0.015213814707062054	0.0142792278002971	0.01388690945784255	0.013608134038643655	0.01341921966481875	0.012973410874331681	0.012485450010585007	0.011937067300555064	0.011554040082440235	0.01135850810313926	0.010910177408389177	0.010665725776494337	0.010360802890784532	0.0099329539684413	0.009706317119681505	0.009296672506533125	0.009030207132705985	0.00879102110118374	0.00860602590286573	0.008519708776590704	0.008044126968467022	0.007684692894078422	0.007502502821381126	0.007246161613455006	0.0070355233094541786	0.006849081228245844	0.006652647917442424	0.006228636827737545	0.005914491847390563	0.005734864968733534	0.005464429083899139	0.005389677116772138	0.0050941104234437425	0.004845122514099867	0.004734809383610369	0.004553712585948774	0.004290857360438675	0.004250235668554977	0.004060866001330948	0.003913455720138089	0.0031138175700327485	0.003069497119500902	0.0030602644184558247	0.0028211608543571736	0.002789910879200491	0.0026256539548941958	0.0024385382015348254	0.002359227221397462	0.002318580428564997	0.0022921580207782713	0.0021915381814695666	0.0020469591689099157	0.0019399914785825326	0.0018919527694298743	0.0017357814964436764	0.0016963053835928096	0.0016791814173598282	0.001640831991765387	0.0015424319951369448	0.0014948502872599153	0.0013724517734349905	0.0012712064940356455	0.0012578841153913097	0.0011746886713838386	0.001131389631889584	0.0010970007747291039	0.0010719229499734973	0.0010317542975904256	0.0009827540858527279	0.0009258233053255562	0.0008500409909804457	0.0008378056686295498	0.000803983115167673	0.0007599225884074619	0.0007150187601331299	0.0006664072279629359	0.0006410587332356679	0.0006003760496552497	0.0005538908632513062	0.0005212060135365218	0.0004863469060108628	0.0004535596801331596	0.0004402690894385673	0.0003650204612815252	0.0003386650307711244	0.00030774576688172647	0.00026865346739475776	0.0002591836941803691	0.0002300885963396366	0.00021970431435831502	0.00018315267047275518	0.00015986457688006706	0.00012989989843372696	5.9622783925547367e-05	3.0410984481520318e-05	3.080189240984412e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928157	0.3555488736192996	-0.053509937265940055	-0.053602873967339634	0.03337115771351559	0.06734043964954436	0.14709999450809577	-0.08437160698527887	-0.123545488553889	0.0769672899271464	-0.09118544476538835	0.0017224516376376999	0.05932135484621896	0.024987609217140536	0.07058681609051053	-0.06911534108388989	0.015026019927734079	0.007744126622207517	0.07895088772131538	-0.033029495014544864	0.013691029073058828	-0.24198898361349586	-0.020719060041971916	-0.04023320836162716	-0.0118470823002811	0.11334076453128604	0.058099128842122746	-0.0014791848918385333	0.07285681017966142	-0.06964281910936496	-0.12851138916578622	-0.025353229188424916	0.03523877352841962	-0.005253561125035507	-0.025932461957685806	-0.009365680282339525	0.05490862800063176	0.02684244405055822	-0.00871951430946117	0.00619713035442431	-0.05952090751354137	0.0062021602328749285	0.03640427382222282	0.01606236006201851	-0.039361997233629625	-0.02151940660861139	-0.014305015979584173	0.032084706840567974	-0.03897217544767772	0.052572732119378775	0.0017016067390296728	0.004486737933631184	-0.004335560489562986	-0.017160027736855595	0.012961871149020891	0.03587493082288205	0.007230626958643081	0.001707392679826661	0.004704137536050596	-0.008974681159423592	0.006427496351109223	-0.014996831803995622	-0.007911302468759875	0.009918738230127644	0.003552278381872499	-0.0048524598334016835	-0.004622726222759617	0.00641843969253232	0.02253124105161846	0.006519372492302091	0.011326396943526131	-0.008764354600858443	0.00597170989861138	0.011477772550662691	-0.0206618445396527	0.009479699419457572	-0.005134639925368212	0.0076203148975564645	0.009388119800161642	-0.019369505257415886	0.010795571620149784	-0.005580033060762122	0.008540455044930064	0.014319899686759523	-0.008263579027410994	0.004526459554067536	-0.003722464018546718	0.010137954460435823	0.015106331618995838	-0.020294436455094333	0.010971806042386206	-0.0031861680043993503	-0.0033967764499673167	0.0066405817148029195	0.002199544841159474	0.0018070809342248116	-0.02245631248735375	0.0060551735382380345	-0.0007891703264446332	0.013438694400665249	-0.007705331388270928	-0.002411186206833484	-0.0027911419945793486	-0.017560388224991178	-0.007366351135076301	0.013242368575211057	0.037763766509397	0.018365748454046756	-0.013368884481237468	-0.007245014406837999	0.018024282458016648	-0.0009306246711129213	-0.013196987554769649	0.030034802486622606	-0.006999125321710773	0.0072718034316982035	0.0026194022136404455	0.01241446622601174	-0.0017438529519931637	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928159	-0.11233654497607387	0.08831036163786701	0.019498529279219485	-0.10543519213904562	0.08509185821635269	-0.12046998241486534	-0.11507192345777172	-0.057394787841308435	0.08546209015300074	0.011692441178002905	0.0013436082525483302	0.06643123143273681	0.03459486870882965	0.05276272858671872	0.12198210559397951	0.04090422600656584	0.08814651787915671	-0.023087693946646632	-0.17130574667826734	0.10036644003973844	-0.008462005116672536	0.0037203406065488462	0.08902840975339191	-0.05873421021750171	-0.028594941069407277	-0.043352933173734065	-0.008532684733138481	0.045520703437597246	-0.05600650567365333	0.007690799036992809	0.06445313465566249	0.022667081216489113	-0.08599135769671713	-0.043841459564739525	0.04528926815279884	-0.1432440928353647	0.04256078755325737	-0.19363917339633321	-0.020827948024163944	-0.028963896155788198	0.1837127170907238	-0.0006784651552499766	-0.06409002566193227	-0.019079012298536712	-0.09015712461654726	-0.09218532810132754	-0.03871601697030134	-0.08955859923665313	0.11452637045071304	-0.13746059157829943	0.04862194217559054	0.1639615399909754	-0.15130247011524112	0.07860471714998891	-0.12921152358894997	-0.007435566934149127	-0.0678109387586975	0.019835124008791276	-0.009682011724883836	0.06180276119183261	0.05576079121439908	-0.0196956485935844	-0.031791663348585825	0.016575368910800456	0.014383972051745655	-0.014330928063975183	0.009930194091688833	-0.017115551250412992	0.0007598724914974082	-0.007046548749320453	0.009824786168465955	0.02927947299923662	0.00489284654279359	-0.013883999204549429	0.0024227506873942014	0.010670862909735637	-0.04302002736746148	0.016004142588211003	0.011456836529825527	-4.246123134625164e-05	0.017467359577076454	0.016634314555613764	0.004773805798988959	-0.00607189522203064	-0.0048491272039504285	0.007290646144488037	-0.022855798251155267	-0.005513788729583165	-0.004887767944844777	0.007683887429815016	0.004040213100463354	0.004647628037830625	-0.007014856630172614	-0.0017990215851725188	0.0033169102053199943	-0.0009092699521843503	-0.002888321809343183	0.004712695573125695	-0.007761610409718292	0.006357322668195321	-0.00615741016899883	0.0035351319414130378	-0.00456731281247237	0.001494111833223118	-0.005535895494420505	0.0016000802207647056	-0.000637247944800976	0.0009389953141105592	0.003604045637786924	0.0019252828811355	-0.004898209578020224	0.0031467155994930364	-0.002740462653403576	0.0012758922995213672	0.0005173748321383524	0.0009525839700624268	0.000766636513485448	4.201700384991085e-05	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928161	-0.15948414095110275	-0.23893442107531074	-0.19836666023369529	0.2863713192276954	0.10769793315396635	-0.11689360084578984	0.18896885622034568	-0.05520203174237401	-0.13461070339357675	0.049326040813803394	0.010064028511004589	-0.055259961196084686	0.1906858290571941	-0.11462389401496004	-0.04191719922631333	-0.02042659261845251	0.053625641108249786	-0.004246215112403805	-0.04196262984803303	-0.012319271122245781	-0.09134658952204178	0.004531091339525919	0.12425022806596148	0.010935596313403073	-0.003687395122727159	0.01899347861516837	-0.047269984147653495	-0.0013415784134542205	-0.03060618519469145	0.00770682450404157	0.013641697609331118	-0.027999233831054245	0.0447747804882105	0.07689803989052281	-0.045153933628240925	0.01992624985889384	-0.003998396061086114	-0.028198133375416167	0.01139445113515348	0.015191549533055706	0.01205540269281708	0.02078051045829333	-0.016584770479059208	0.024829618310273766	0.059841362504079156	-0.01513985213590056	0.020930752689775522	0.005707018314010946	0.05700639682334392	-0.014209014173517298	0.002601745389512194	0.0022467003139433122	0.015768925565305073	0.03457876680259009	0.03689762851572996	0.013523904760036719	-0.030554624628017845	-0.012070088378730087	-0.026936228135181293	-0.01678322196230218	0.015138590993762616	0.040056640576097965	-0.03984325066013855	-0.052407510077178206	-0.005553088676819431	0.05827250104619125	0.010855829683412666	-0.029563159743633	-0.015400256554908147	-0.02914330990799682	0.007289198206889614	-0.013679918579707528	-0.004922766427574336	-0.026484497439068947	0.0005466089676425044	-0.03498827411950608	0.05875344508361394	0.012719299994902296	0.016464125405311236	0.018365341366185554	0.03678074933797114	-0.009262265540336753	-0.0091540106757513	0.018029085367086584	-0.014302085354902044	0.03616256344077064	-0.03097832477525691	-0.02424624663163799	-0.021599298451083743	0.0022516143190018396	0.011282092690120177	0.05880860146752666	0.0016462835141254051	0.00321827834665727	0.01833906521874359	0.011353450771833617	0.019778668844569133	0.003947347807571906	-0.006458818998105799	-0.011408762577306652	-0.03393012073019398	0.007770238306758755	-0.0035638501543579374	-0.012739723419751691	0.016103956499030857	-0.001650389095919595	0.006552068362156138	-0.01093370968067748	0.00023898396577964494	-0.0021875742939370646	-0.002691066814757427	0.014724601114969345	0.006692760617719461	0.0067666004472019	-0.0062000611934997715	-3.0978429525667354e-05	0.005879624246208137	0.0010099766982361183	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928164	0.12890362018589427	0.17414232180650518	-0.045580353890497916	-0.10139012774739775	-0.1460377666852573	-0.0005069347632488149	0.07141276661031694	-0.0028709377264409634	0.07378951333296943	-0.009999906587534376	0.03403483077485283	-0.015096031255393416	-0.01383843679788079	-0.06824897436743949	-0.018872713318578475	-0.14783068590685897	0.01014106984306682	0.06561651040404869	-0.18130074166483906	-0.0047196565922195755	-0.0051895564752442004	-0.10022669064224776	0.08583102336041701	-0.12183049684498157	0.010696147253240631	0.08725175788937203	-0.06660275106966301	-0.06512492679912835	-0.06053373964111233	0.06941685430023044	0.06476307316340676	0.026982890761153486	-0.06791911335886497	0.018042568426903615	0.04472998883472017	0.018548208137136157	-0.06024570238244192	0.04523408077772465	0.0730825895897323	0.04106650737090673	0.03410982499951441	-0.04379959525557133	-0.04699868706612708	0.028546231045664575	0.005735104103983094	0.04219613045377671	0.017528036194432543	0.0313552016202884	0.02765894024904964	0.015478433922491246	0.006394156120937506	-0.02619862701791945	-0.0295007766380428	-0.0021261290018272302	0.020640948726463545	0.019616309820605055	-0.011793215190449825	0.0509204292892958	-0.014964499703088796	0.007386699496378426	-0.013996184196825778	0.003732536494472671	0.05141900913231872	-0.04513478314780392	-0.010633394363619082	-0.027368879330750568	0.02481875297120047	-0.017420601476458894	-0.044509128380882286	0.02234993862815251	0.022546882108840004	-0.02914246697020741	-0.02360692077114051	-0.0043832999103477	-0.022244137307100804	0.01688075949507148	0.024992300055392245	0.00678275017246288	0.04509011539345732	-0.007253925434755314	-0.01809464179927659	0.02718264418515331	-0.009523782551488185	-0.0012063473235743025	0.0019316222492999954	-0.030086062826527746	0.002055071308049772	-0.017920154869135296	0.003959468184890866	-0.018729906981275937	-0.00953807189403889	0.011780454393654407	-0.027897305137175032	0.012029466395439756	-0.021422071151260106	-0.0004233802540993398	0.018822348526999034	0.043343913322943003	0.005754112761273746	-0.004711287174871232	-0.022369103491563454	-0.0077044471943324986	0.004095588430201773	0.007298293342904072	-0.00029298269923168526	0.00700489192377439	0.016591759860305824	0.008658561254866134	-0.0004310619615739453	0.007096810551206443	-0.019923270516997375	-0.005908647004251482	0.0022549722709184206	0.013918627314108591	0.004402142663119745	-0.007458649945413011	-0.004061415469296229	-0.0018577296739722118	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928165	0.10202061648537655	0.04048118271724635	0.03885428991244044	0.06766738043380614	0.05131062333089301	0.028622553009998997	0.1575265796386421	0.13682007783654196	0.019041238540726143	0.02927681044600946	-0.08651430696895297	-0.07325595610478938	0.011188586342918564	-0.07513160513353055	-0.0766834165601848	-0.058109110298610475	-0.06800787650343862	-0.04928210407361722	0.0709847203147001	-0.01384015629552382	-0.05597890320797253	0.1398998759222218	0.07366887657209359	0.0337000305238089	-0.037931714823910286	0.06736605156105957	-0.06712951562906441	0.15442346702051984	0.012159840280737678	-0.01859998985106066	-0.0649672148913617	0.012049182096137279	0.09141751104632813	0.018477048507583308	0.03388252978266659	-0.1434652567576452	0.03406413092066642	0.06377009108414389	-0.12429410630128694	0.056233160827297415	0.0013616926174575014	-0.07262464210853262	-0.12765380513277091	-0.016356271000964893	0.029291642346894436	-0.14078926062724853	-0.04608305635411437	0.0216474277171612	0.07548050143701547	0.01211463293231575	-0.06560885244196968	-0.014056280035568169	0.012990164760281565	-0.03356700323875685	-0.017513041114400666	-0.04302311506376894	0.01965672688823651	0.04105901738733608	0.015732585809297234	-0.023689652530716324	-0.001935191221843054	-0.030869899855084086	-0.051071995846591174	-0.0706075728721716	-0.001740404159366753	0.0018160890386046916	0.08544717320397616	0.01356991538987367	0.016950659325905996	-0.044622354221485826	0.020417258531812612	-0.007369508593481279	0.042198469879215834	-0.055128068095844404	-0.03892865998709509	-0.05384031563606013	0.0064916205439195206	0.03818383270050396	0.012208183273214757	-0.013021200677313334	-0.0503324700677114	-0.027584433425494086	-0.00625633788799309	0.00121405980815857	0.012289270449819189	-0.04770618007425512	-0.006963521853270216	0.0067590736724890835	-0.0031572289979494217	0.019412600865107998	-0.03040230581304064	-0.016669469153824255	-0.023038401032642323	0.02020667709925703	-0.013333803976247335	0.005587154566890613	-0.007445146814807817	-0.010092030632970839	0.007292619336293703	0.013058045830690784	0.01919319605936049	-0.0005061928538836072	-0.007617296163835758	0.00714525949655782	-0.007211600379000019	0.00838469400576162	0.0011945444139904733	-0.003382111525533822	-0.0027045035023430786	-0.005309285845605867	-0.006374231511497223	0.007135902157832213	0.0038601836240469644	0.006474512148622771	-0.00040629841930126263	0.0005179366174795912	2.957550055863317e-05	0.0005754623133494084	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928167	0.3405367783059705	-0.1727373963527361	-0.013284712664524035	0.02701547071525497	0.28743878152770336	0.06675705483739468	0.05307503968569896	0.07026158098611016	0.06569880465039835	0.035267519315689735	-0.1107748707192519	0.023309441317135166	-0.21757720455291968	-0.056105259467711194	0.07129109724196261	0.00040985801212974575	-0.011070185491143811	0.053936770784093764	0.0027349806121171063	0.027671107614137547	0.012099135396070458	-0.005875275460780338	0.008305863380675304	-0.08348789748487764	-0.0312686481421701	-0.021154774742258842	0.025111016851732608	-0.034865384277313304	0.027686928410559794	-0.045515267053418254	0.09559485722511026	-0.06864903712785413	-0.0014718180927315236	0.007106427328619978	-0.010996365088936401	-0.021020638064699036	0.01311491107825914	-0.035739869580034986	-0.01771046538510709	0.03981670466074566	-0.0015320414902301137	-0.026925355808346933	-0.02608102534159196	0.013873342359579483	0.019150604609297843	0.053250354664788065	0.014396395157618107	0.006422728048921398	-0.02149579607586789	0.01482588939610001	0.0037099387138547508	0.0103477106572681	-3.879329505492096e-05	0.003077545788768435	-0.019601526121667264	0.019042054122742243	0.0010805664880046044	-0.003252620209636089	-0.008386018309941748	-0.014588175483091489	-0.006302214256463048	-0.0022245128890750745	0.01539960999801808	-0.05737408634713583	-0.007646289370272283	0.02406403600216794	-0.014558533780323934	-0.05571268022281934	-0.029261638726650614	-0.007988935807193311	0.0028742326092613974	-0.00650930992821768	0.006719196454885567	0.0038550391202623645	0.008232170767723626	0.017749830886966883	0.011389232926408685	0.010286286178544999	0.003602996199634615	-0.01157735035294337	-0.0028026012030682775	0.0010894168668565871	-0.005113109097091718	-0.011797953296992224	0.029466850249376557	0.0015345426083329605	-0.019038097135927384	0.0013356356201677834	0.020787076010911006	0.0017276962379992283	0.00991700072046167	-0.008128367063505391	0.02819847982090017	0.004260141182288898	0.005919111405526134	-0.012496671363800324	0.00651260632694777	0.006119979693987112	0.0028994501190410006	0.004132873661603279	-0.007477354732360046	0.0006770075834209233	0.00018127110526213277	0.03026025237659541	0.002049434906281467	-0.022296961791692608	-0.02190346581583681	0.0033121726514964136	0.02621308309949618	-0.005345397849519898	-0.01998763216220755	-0.026827435181440516	-0.007723597435900708	-0.006942505966642099	-0.012280369788167414	-0.0024332029641846416	0.007140049700734717	0.0005691526769776924	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928168	-0.13222458479628915	0.24373129590874337	0.1255874884226418	-0.04962398801815937	0.17960961325683175	0.02767339610900693	-0.0006124519915165377	-0.23644470625843253	-0.03814091178573373	-0.1472366122907702	-0.03302012927822649	-0.24728100831279967	-0.013566048288100459	-0.04233248543144264	-0.05484232853426949	-0.0023816858221927663	0.01645923767874837	0.1590069441080663	0.11191353291788955	0.0005795686379742638	0.01861614754330189	0.049188499953188906	0.009223556494394382	-0.002670381054255053	-0.052303499902222904	0.030463880816186072	0.050522603089316574	0.0042421902811259505	-0.06767345873058896	0.03186436588565054	0.0002607117724909215	-0.031605382653598614	0.00604265379847565	-0.02709236632931818	0.027191938683085073	-0.020932857071518776	0.010721496253206207	0.020353481360098243	-0.0016762258590521035	0.017162656603525988	0.008720560520648223	-0.013579298108445194	0.017536117181033577	-0.015111464602655578	0.009108363452050633	-0.0003308176421117288	0.02091449062647195	0.005902030504589126	0.009227707632194836	0.01643868296007036	-0.022810641374898785	0.0002544572970905466	-0.0124057211082525	-0.03780643884430446	0.04075809698745155	-0.03280277379874105	-0.01590148446964331	0.005360994112324512	-0.009669665698128016	0.0319272976677284	0.03851737823057244	0.048169592280404065	0.01924977256606724	0.01741454299190873	-0.018100155514273655	0.022054075746581945	-0.06148079133081454	-0.00489587273251188	-0.017358515489088008	-0.055462055776938135	0.013837814443076362	0.07425924140739354	0.04753895245767875	0.03445358460823137	0.004674247640225384	0.0064874625980360714	-0.010639422431254441	-0.0011498398729890248	0.005105330655036055	-0.00500223343910839	0.005964206832501582	0.016080602572754243	-0.03352032797949193	0.00960918795217114	-0.0019638139807720213	-0.03526347855524493	0.041911851848503205	-0.014641364281775053	0.035283558937672266	0.016223612343022383	0.0637617916392421	0.009396268962680858	0.01454446749799423	0.012411655437677263	-0.01176907853733004	-0.004709598389382711	0.016764537792342965	0.005611298227545533	-0.013160489362656853	-0.005833963000445768	0.0037686379859720896	0.042071759579604705	-0.028475756712159614	0.009392119274149305	-0.022569840666599547	-0.005916741538269787	0.01359478660664147	-0.026726602007915243	-0.023784796823585922	-0.0004229656110159146	-0.025090120344501744	-0.0031580888141665656	0.0017734525114081181	-0.003349451100737368	-0.005698286624607244	0.002115194958731669	-0.004038928039033779	-0.0004826649223532805	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928170	-0.13149235593942693	-0.05263290815976265	-0.07617894496724925	-0.006644455472295861	0.08575715886297758	-0.13513307498007515	-0.18013642887423603	0.23349021693046812	-0.18861024726729933	0.05390155123192301	0.04460929161621723	-0.13150641090267765	-0.08583391715458476	0.03146316551309761	-0.030398304396706165	0.07819687390967034	-0.04420168985950522	0.043766459350113286	-0.06354915343230487	-0.05182800562371505	-0.0465417807876058	0.17165172128161107	-0.009248723823617896	-0.15121800061523408	0.05500269022196227	0.10693683068215801	-0.06783502574065535	-0.007585546082028412	-0.005596590847819944	-0.005298949105833923	-0.07886557101261704	0.14732996639573007	0.045596812847974406	-0.03366338781433606	0.07625259194927424	-0.0378175327552836	-0.010697172835372686	-0.06159240556623396	-0.043913202054242796	-0.013720978525667333	-0.04513986915305698	0.015266749021112096	0.09547493239659847	0.008772523851722568	0.015532759659732992	0.02493031226034547	0.03212008818128329	0.03904819005517109	-0.03927106866843543	0.0026645958178222948	-0.056073164646579035	-0.008438148165406521	0.02495448602980029	0.006228080547182521	-0.025690386445608414	0.014361924386061464	-0.0413147955504529	-0.09260660543282213	0.028963358932154352	0.05758516386325671	-0.04687786373497009	-0.03931528924715482	0.02820719466950323	-0.02914110428370688	0.05536971506604807	-0.025840784874574384	0.013725739228999275	-0.04766124321025585	0.0013448370592686922	0.003462748490434665	-0.02463838792476638	0.07715963408702271	-0.028349381898035087	-0.07634088253952308	-0.05746825784742525	0.07468996917473722	0.003267754380555349	0.007134061007828338	-0.05406259549108224	0.07501115334274969	0.0011192061968758763	0.0032195570463935154	-0.013440374605574177	-0.022762257888716612	-0.029008477210224093	-0.03470623696991467	0.01901877942450778	-0.015103013423849275	0.005947435482172219	-0.019291903780366583	-0.003557177164115227	6.635253685476602e-05	-0.012017550362791661	0.0056520675565940905	0.018533634440543224	0.018630329229679863	0.0045295256442232324	0.008255104640144806	-0.006767802481709355	-0.013298394669684766	-0.021066228024278853	-0.004511227462628506	0.0035834836815167863	-0.0032921983133560747	-0.006719170603365052	0.0017178727259339153	-0.0020493142057456375	-0.0007440705623364748	-0.0033085406062018656	-0.0007478264322840116	0.004290308749731562	-0.007705703429170498	0.001432551276722372	-0.0008942045629744498	-0.00047430690917653324	-0.0035454500226978435	-0.00014636354415569307	0.00045318190114666313	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928171	0.005529031580642534	0.07692624217571967	-0.2161077691417969	-0.15096345402412706	0.043294846916563094	0.11508557989572539	0.2035056390822844	0.12695981263268402	0.054361377324364406	0.12051546781564514	0.09497583039810925	-0.023069722246944632	-0.061645024513114266	0.036921305851228686	-0.07251539463806339	0.07311888919699631	0.011357087236822598	0.02832225316847875	0.025800319280737366	0.01782602824005601	0.01950176813866875	0.03104632280446538	-0.0021170693280428724	0.19290949564386425	0.04915954794142186	0.06011683925631182	-0.003770330171763363	0.07604806450816885	-0.07031196007553302	0.08254489053168386	0.0413474171165408	-0.0011637055327902886	0.033779770564032925	0.021939727165514577	-0.06387742082051005	-0.06170252619758174	0.055732624632802284	0.01969762056375531	-0.02589189180590996	-0.07966663924620862	0.027959041535950347	0.04833197247346823	0.0061523674414893734	0.03120256769626175	-0.05768186696724906	0.04870483486734906	0.03996012102471944	0.05236160691404636	-0.003227709022506403	0.013769065937463371	0.05601864009727137	-0.06341311021359983	0.002189758382530078	0.039065037479664805	0.011973176145226005	0.03596581855666177	-0.006251648826566605	-0.01101784534162989	-0.05168367539035675	-0.030782950885348912	0.03499319299154686	-0.00792216496107452	-0.05769786625878274	-0.007315386943978142	0.023764712924112884	0.0480929983258429	-0.0038742193058549064	-0.051642310093783596	0.012416139964762173	0.009559956753798149	-0.0337060584727163	0.052861862010757744	-0.02319737478587375	0.012116926239693881	-0.004008271829786058	-0.03086668707665985	0.014961943024201115	-0.010655751563842726	0.008391289964408659	-0.0036164995418511894	0.010704731413234187	0.0042055778512906815	-0.0011408601769000313	-0.004777505708868395	0.0058041100374651945	-0.008711248732769709	-0.0024903095983201903	0.014703116482989387	-0.004585605222173104	0.0014786173479582668	0.020108303177857688	0.0022935741056415676	0.007304985559035102	0.011388562587165857	0.013799169582154361	0.017636257777677397	-0.008901673064532892	-0.005445222652686372	-0.0376692925621108	0.0037553612818131744	-0.012393808555181362	-0.008601858559084916	-0.0445088381017042	0.009816297320881321	-0.01852225784175169	-0.0025827640786857445	0.003982450515885253	0.013446066821662363	0.034133360730933725	-0.00011838836378500932	0.008352887139551188	0.0038391432713494934	-0.010476669740306309	-0.004427587563187386	0.01830883063997094	-0.001473497225912331	-0.0036092907256082525	-0.0033216192932588335	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
