	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112	PC113	PC114	PC115	PC116	PC117	PC118	PC119	PC120	PC121	PC122	PC123	PC124	PC125	PC126	PC127	PC128	PC129	PC130	PC131	PC132	PC133
PropExplained	0.08243266390161919	0.0514597158764255	0.026099144132114584	0.02350812826043565	0.01858356478638307	0.01754235950497388	0.016078032621886396	0.015688477874450858	0.015299811582887606	0.014645728926998678	0.014101814707335276	0.01367266700772157	0.013206278953129317	0.012910669907600723	0.012568543015776916	0.012323239981751234	0.01208822031499825	0.011725592298512227	0.011457278182305403	0.01136798107878424	0.011224222877529524	0.010889507407806481	0.010858800131658214	0.010645585562261225	0.010331627233240425	0.010084786139845864	0.009991140386221576	0.009855587343994382	0.009649841981404873	0.00955024881120044	0.009492585249302328	0.009366541808459023	0.009260679998654832	0.009181268468492739	0.00913959725420569	0.009013782767143555	0.008915388996503005	0.00885061358883229	0.00879351568061216	0.008718436934630482	0.00862730198213163	0.008464189882208708	0.008329764984032132	0.00820693989047727	0.00813648009575808	0.008108007737302013	0.00784007216311239	0.0076430534423077914	0.007599378139258681	0.007512985323624299	0.007406015855836904	0.007310892181070213	0.007197543290349049	0.00714881574384999	0.006975650750738598	0.006748820534673727	0.006659227466714012	0.00655103297129647	0.006506562703307489	0.006373780207744308	0.006132811757794153	0.006062870277991921	0.0059959110844151	0.005815820749464893	0.005796878945548361	0.005618621255498676	0.005567516336947473	0.005513361557856054	0.005369255057101719	0.005252797788286549	0.005151342000572343	0.005087984870034652	0.004980315527927575	0.004951430058004927	0.004841851394166947	0.004684287487688911	0.0045856296027944185	0.00454535033380675	0.004489496664047473	0.004385824933368986	0.0043704518923452325	0.004315581382821816	0.004298477155529096	0.004162148671411293	0.0041358060814495785	0.004012285703229204	0.00399138493495057	0.0039015384984036044	0.003855240650124421	0.0037945752779472855	0.003777240624862259	0.003706782052261164	0.003551338376279815	0.0034644289494475825	0.0033675611303627838	0.0033282348866903342	0.0032583816185520523	0.003186364728806574	0.003151813372660819	0.003101009764021177	0.003080603392305141	0.0030295947015045737	0.0029376655268754438	0.0028937408744948287	0.002832089407677089	0.0027592400099568804	0.002723717844301483	0.002625550035040096	0.0025879436061883583	0.0025466530305242284	0.0024856009745122115	0.0024456751283716566	0.002400352957285013	0.002348529001977202	0.0023167018661028223	0.002238675971986594	0.0022194656904349613	0.002197971841870232	0.0021527246747392176	0.0020558588858780934	0.0020142486995469817	0.0019755396099224313	0.0019060674467530781	0.0018070010574487093	0.0017328343270036422	0.0016527103557645833	0.0015992093533887624	0.0015267379380133211	0.0014898097411523998	0.001430536012482747	0.0013647831068459876	0.0011419766102933556	0.0
SRR5928157	0.18945304981341576	0.2497269780761507	-0.07608070296664458	-0.060742060670025834	-0.09234185287147448	-0.087164189316728	-0.06520763301497987	0.11897062714292575	-0.08238723585614137	0.0038534652303525005	0.018432364381739695	-0.09912462641412052	-0.0043651210972402415	-0.018226628102326232	0.046633747436557085	0.079983268956975	0.03961298482497807	0.013773882013324957	-0.020641531104808843	-0.012487960765560528	-0.03205038214026432	0.09138989641411885	-0.0004886033861042024	-0.004005292773220399	0.04149233123770913	0.08671190614624917	-0.027098628599184348	-0.04033940836914465	-0.017549516210403942	-0.05424256842773446	0.010190343384220975	-0.024138995484021725	-0.0002248308862402204	-0.035147861692283844	0.05419574626927819	-0.03856512745001995	-0.009800903910811766	0.007930433520452255	0.029341325587501466	-0.0024119426315860597	0.04629228696473971	-0.014506532740256987	0.023403942063843785	0.03252032949189432	-0.016527303059486697	-0.0052011985969892035	0.0029581046617459484	-0.023319417181988357	0.03457527466873208	-0.00546050041166595	-0.015903756853786782	0.009999601778660076	-0.022685912903641695	-0.0026184893239293433	0.00308936301555689	0.0442906932759462	0.013445039814653404	-0.04001778381657837	-0.046306721929740856	-0.0026049314403273484	-0.0621122456633926	0.012730880161131025	0.008382438797469392	-0.058567778135436295	0.0395046671122543	-0.005633971987026418	0.026130077948949948	0.0002954286751572677	0.020318661937848388	0.007269489136467062	-0.0369593399406291	0.03909795477884031	-0.0039052263955797516	-0.04118364878756255	0.014298671290342164	-0.015236505382336406	0.021152656675488404	-0.033774058641859554	-0.05893432588835998	-0.04829163744796298	0.015523500204729517	-0.06542674157840758	-0.05848683167191041	0.0007539528536559981	0.019166711251690133	0.078246532083532	0.037415882349103105	-0.030017015577421938	0.014021201245052644	0.052645890322272806	0.003623458084019945	-0.016506233461550442	0.05860471478784467	0.07095855311817205	0.06546659143276538	-0.047702044765621156	0.018470097413121264	0.08839324865663817	0.06282766587681336	-0.03229136019636183	0.01990045185233993	-0.03214939297190899	0.032895001151477594	0.03191017287797477	-0.0015172031324114806	0.08926583224205516	-0.013515733037445627	0.02444464811027007	-0.029465003560118615	0.020349044266542847	-0.027121812013857466	-0.04756687552053091	0.031306566217276094	-0.008790204614160288	-0.031138195768962873	-0.013294045534257701	-0.019977217203279125	0.01837115614063629	0.04988615349818735	-0.03469638018702204	0.00426464117435682	-0.028245449346846963	-0.02258043085614265	0.021833718474253257	0.0009457169605845306	-0.005762067235376817	0.004643556682399763	0.008642758719154993	-0.00961420791983167	0.01991239728439438	0.0018970781994579317	0.011337232647921549	0.0
SRR5928159	0.07372012157750425	-0.057336149402128896	-0.04808251316539731	-0.11380962115767576	-0.014741254842048225	-0.019198221550417192	0.07386415786680636	0.005537139575112839	0.02127303163849503	0.01533753535423211	-0.020705477802846754	-0.038030247356092214	-0.03622187318081313	-0.0017134850545414617	0.004828903898978518	-0.015940919613092675	-0.03345905888355069	0.00013904818031674026	0.1200549092118334	0.006732849631224437	0.050846254848771186	-0.029501090580528976	0.01578917655870166	-0.012051992767312987	0.013281803846148356	-0.04528889948138774	-0.056655512927317096	0.0029477045719952647	-0.0260024966672619	-0.008082786311578485	0.048699556416943186	0.011855005054850265	-0.05609509411307854	-0.004368110472656611	0.03915633424383901	0.0655362332939683	-0.08569150256782469	-0.037450970586638974	0.018337827114847802	0.027301368408688804	-0.014364648348684433	0.0697683442489599	0.00010413370735017113	0.03676735639349808	0.09479155550082848	-0.024309466346943833	-0.0006931755338769758	-0.07095604883557018	-0.10746784189645382	0.06054364884569914	0.042269734678450514	0.12246310727755128	0.032240720234623245	0.10858050345255527	-0.13414981183071595	0.10689086586990999	-0.13497429992299573	-0.13837092364041106	-0.020314763050386646	0.07821700332633971	0.11877749182118288	-0.0603063249285366	-0.02564950571079413	0.051418741026397534	0.030043103345900483	-0.0900652528654931	-0.0451398024233888	-0.08311292395745615	0.01562158915759718	0.05427735645511593	-0.03931286407911443	0.06194504009302833	0.01711027815576924	-0.04890551813131105	0.005543061450251508	0.0029616251226089498	0.0035627916375466336	0.04493793405537185	0.019399582311527087	9.029740192829064e-05	0.007059955821851682	0.03136273587346387	0.008992500118011157	-0.022345048525621136	-0.04987011559975415	0.015542353302293114	-0.014990531186625322	-0.004435232053709468	0.01874958053097281	0.02989676663000648	0.01724958126124746	0.03255476563730039	-0.04580937306545792	0.002053887688040717	0.006142296025759204	0.014761435668147757	-0.011585433294061798	-0.008115076395163434	0.001356897158204418	-0.026870599124862036	-0.019391627756765284	-0.005679101013416769	0.014147906566861332	0.012663910380792067	0.004947402358360163	0.015715152289110922	0.0035932679670020637	0.005636111819958512	0.001929978991171261	0.025599445019541155	0.01923372921654548	-0.0030627416532296396	-0.021936046010154465	0.006683784042488212	-0.00848023065360146	-0.0022663921687473675	-0.001645724832034166	0.00531852570863998	0.0054045349087354	-0.005508488487545218	-0.0005080540559546397	-0.021794379373594432	-0.011390236570202635	0.0022780307959165587	-0.002903781980336782	0.00017587121081176117	0.00025468634928296915	0.00341566443473682	-0.0014830949568644658	0.003782035726178721	0.012319564586368955	0.005887718346270129	0.0
SRR5928161	0.140573362385369	0.0925912630758338	0.026973326899082176	0.015503297110172275	-0.03816635349305664	0.07203051108575752	-0.13151985171551034	-0.031047845821174137	-0.03416436744345602	-0.01928489671741732	-0.03737227470518346	-0.11315097417640677	-0.06413059297930657	0.03466618626201442	-0.0626644948433038	0.04635003039761626	0.03323699308961883	0.008007324216506299	-0.05189868490103135	0.0629293390020949	0.017272132830859595	0.060275985332071465	0.07893061011815619	0.0645912052912586	-0.03764859486753119	-0.008921589173631882	0.015122677918820604	0.031549142082407514	-0.0014615306572684677	-0.0011692714280668146	0.03222742337517727	0.04200376309891724	0.03662148641234563	0.044840405550196284	-0.026659758802594247	0.00569396245506058	-0.0027963275243866816	-0.03398144775627069	-0.06450128650737706	0.02568273691029335	-0.002516975622393756	0.010909510270392568	0.03627178643891485	0.013316887071499252	-0.05064888157359148	0.018509714934712925	-0.09850578248466527	-0.013687383721903982	0.002673471646339123	0.010058172829078975	0.0016327024015542625	0.0007375255482493821	0.04687108579789165	-0.01667447468914486	0.05059765944221848	-0.00813088151896229	-0.043845812637111486	0.021517268356924142	0.005349611549991748	0.05744107847204289	0.08632427319434381	-0.01568953363848737	-0.02560656175662324	-0.005681211928591256	0.006991096752464016	-0.01114038791218894	-0.04911903442745187	0.06366334993005499	-0.03628684331177024	-0.00219485957824478	0.06314641483696709	-0.00937529060604281	0.016428799649000746	0.03495764088352712	-0.007568981182505375	3.8460173574732225e-05	-0.02884105543368091	-0.039619897260847824	-0.02232792672676268	0.029471681941878537	-0.003644105589569991	0.013433281569481346	0.008396120208105502	0.0075599411628883215	0.01028544571095606	0.0007624857766196713	0.005632070253335468	-0.03125510324004603	-0.021852846673367274	0.024873232546596468	-0.010026180038067796	-0.012369574753139852	0.014673642708353469	0.0020193106416655894	-0.05776438269512421	0.03340852601432623	0.05796347796150051	0.006266770261735148	-0.01686251158570889	0.0016720146172003144	-0.0332358388594859	-0.062100553781856506	-0.0413487677973565	0.011547830930729952	-0.04852314008324181	0.04370901960183148	-0.006411985407090663	-0.07614361582712942	-0.008627601864791994	0.021886204130683807	-0.003286913465959123	0.07622978025423476	-0.052761718384322025	-0.05383315552546889	-0.020849386567529122	0.01220407379040345	-0.01498859737278126	0.04434219051656335	0.03503464657694958	0.016082296819328247	0.027515871601737095	-0.045351521247811805	-0.07752701094433972	-0.03738347728983048	0.0036672735278737863	-0.015244204520391819	-0.044212512942320426	0.012605594350088293	0.02292018995063231	-0.008774386804856442	-0.01661879333159395	0.0060461600398146855	0.0
SRR5928164	0.055483290648433645	-0.09959200409689092	-0.07315593552608782	-0.005719752476745276	0.0828733677910792	0.05912780091987488	-0.03918941471400083	0.01281649767376907	0.026532660038743213	0.003347686116546727	-0.04789420817971883	0.07068314716202273	-0.0005534348623178761	-0.0013183791773299033	0.12618287111371004	-0.04404388028051983	0.09455035419654133	-0.07997004839953675	-0.06695884995087985	0.1498456819453485	-0.024606187016231587	0.02035485080562389	-0.019773946526938643	-0.06946700495440035	-0.04471718322887141	0.02259664122260692	-0.016678032073480193	-0.019189612918576904	-0.021895394784762528	-0.03439670645663358	-0.02934392355289263	-0.03206084794155993	0.008787526540623562	-0.07203441877490861	0.05935247948624833	0.06867786591558311	-0.007594583145130109	-0.036347990032676726	0.03426587306725979	0.010470467405737661	0.031071774224017554	0.038663220095455475	-0.05230392956308701	0.038226018518334764	-0.02393758062461401	0.031530023791953056	0.04232517274043163	-0.01995673784779845	0.0669950699963657	-0.013272132817423569	-0.013100839259317201	-0.0067382327002578676	-0.056585697372172915	-0.04155559581807979	0.024790311688924982	-0.03959229847675559	0.0049275437309597775	-0.01565045471436056	0.050182799609687564	0.015650641170645144	0.006399400272569631	-0.026829854368773963	-0.004394446972489621	0.0724648949892312	0.04631034993428917	0.08081657047017271	0.053341056004911874	-0.06908881560407917	0.006232968404954291	-0.007495884415779414	0.0029287338699541983	-0.01911217111597226	0.08117840646134171	0.07081618356385826	0.09344467567665199	-0.04602627933168537	0.035107641129821024	0.03177562699867467	-0.011036896676540786	0.015731461616481986	0.05409318954547574	-0.02900049617091479	0.013993990927375796	0.0074311429560340965	-0.0635294858444944	-0.013165344285051799	0.10478290099642754	0.03883532971928337	0.020437119863305996	-0.00984552283593114	-0.038444573659251906	0.12944521483048585	-0.05824993328033548	0.021349166292606105	0.011580703141629532	0.0726155491687041	0.05934769072331467	0.027615188960319653	0.01703817143681694	0.01739047293319974	-0.017070834481190598	-0.013420194030534188	0.0035415071567344056	0.012398271039416809	-0.016018374109966906	0.024745609876735627	0.0004828061837814599	-0.03160091236934849	0.009949137264620147	0.01336475435477424	0.018073615654110763	-0.006186455748529801	-0.0043964822789758036	-0.03220517301173204	0.02261763280268664	0.010408006923001421	-0.01779535351632232	0.01876054872460313	-0.011727726076086657	0.004405038743678674	-0.010902129564085556	-0.007933239997087446	0.021604612753718628	0.012479263993414863	-0.003456836338518499	0.005402659575430905	0.008923266805572592	0.00394340296638273	0.0017075050172734648	0.0008331425421948102	0.0021423986197748766	0.0011541486370156564	0.0
SRR5928165	0.13576440523386413	0.0753617301761888	-0.030158798092890002	-0.010169365993036068	-0.02406186526923389	0.029406170538093128	0.09358723478855722	-0.00840076670208407	0.018160945688029465	-0.007323665791890363	-0.030485270916007175	0.07236850726479452	0.01589193900040832	-0.0024752021637976613	0.028770914661120514	-0.044074331276735414	0.020717865673486838	-0.0041306497962383185	0.0009091618325252104	-0.013299524454708911	-0.012562805558839738	-0.0043542879342726	-0.015874366204751623	-0.04632703394353286	0.007575673862519913	0.021356448711544504	0.03870424453048827	0.03853637132560476	0.003507156242429084	0.02009572684240133	-0.07663951659233388	-0.03730259750615707	0.025200942926115803	-0.005615306722050156	-0.025987721503826666	0.010774129581738305	0.06938997304247495	0.007032313594147433	0.008387086752222507	-0.014790982452178294	-0.000991011144838855	-0.02347506514918008	-0.022172383918987324	-0.0457228651101348	-0.04263645326654981	0.004218733260114474	0.06901491780465503	0.055440283948833526	-0.04754503647340712	-0.015088551160063477	-0.01751815222292367	-0.015748332726606473	0.017108539744537382	0.009787856041640747	0.008304035195100153	0.033542973238287456	0.013754479663459385	0.00035927692856353076	-0.09289443468219546	0.059485671294578504	0.09014434763850132	-0.030457713150062442	-0.028136054686703046	0.0008447581660356762	-0.0036230229312354395	0.09043669140399585	-0.16895741920235122	0.12890956351499683	-0.016042855017615834	-0.1315208377637665	-0.0934120206161203	-0.09685909139126259	0.12553153808124998	-0.09190636290562673	0.06957301873297446	0.03179493876522275	-0.00028541315294149333	0.026240824059937395	0.06924636470143744	-0.023586054531521607	-0.07964168877286465	0.0223883287461921	0.00579840930581252	-0.048580418264512995	0.031592183803458955	0.016121911811009425	0.012633689124512364	0.0378933428158128	0.00640815513435848	0.061957809007138584	-0.022455848564390764	-0.0094761944458724	0.015067753677222755	0.0320910840647857	-0.01712936468986261	0.024998868153427885	0.007507984475687887	-0.004220394230725794	0.022595753737931195	-0.011022041995590695	0.0058718095003891585	-0.005643399883368256	0.009215404879638022	0.017292663605509438	0.022255719422316328	0.003054339859374197	-0.005348470324486453	0.010772558265651464	-0.013165556830776895	0.01347344963399729	0.015549475611812273	-8.639931605050022e-05	0.007113426774284956	0.0022441255207050147	-0.00018778427664934355	0.006023339663263914	0.010022195589045723	-0.0034953227834359267	0.01373052032766084	-0.013180693752441009	0.0023817344776812955	0.003172782583370663	-0.0007857587623453574	0.009288345316543736	-0.0015365909291226044	0.001893570277444792	0.004528352320280666	-0.004329872717444284	-0.0016204293040959009	0.003826453701477995	0.006152473172089125	-0.0037026425705128365	0.0
SRR5928167	0.12645495240653667	0.1737683819549693	-0.06295428078793483	0.10809107099108621	-0.10903741249448905	0.057464549222100834	0.05493791437635416	0.024791543098942763	0.050539017495002864	-0.018815749704570825	0.12814285010554477	0.0795788491733749	0.035923807827090676	-0.046773249749025664	0.07786626533437821	0.02764929268506031	0.0701708254053998	-0.07351673069230448	0.0436471961290063	-0.026660852504403452	0.02294819826355422	-0.10745773688205797	-0.01367419282793774	0.10705859214561901	0.0024869075776780963	0.006344958390389747	0.025475505189798915	0.1285187994009935	-0.028263558406757167	-0.0548227737285118	0.01270852721907768	-0.03376481501336081	0.030370621124596504	-0.03183265695267887	-0.03491658543071886	0.0009038005246716867	0.05432566609964978	-0.04624987721442402	0.048867355711656846	-0.0638618202633082	0.03423911905649715	0.008041752161733137	-0.02432769525398034	0.004769958993544468	0.06680318564097582	-0.014395422656713295	-0.06722655634418791	-0.028073818031400435	-0.038849004901712086	-0.006376581075356826	0.023078434560696182	-0.001623287616210502	-0.00384458786034091	0.05291899782841553	0.05705501165299774	-0.02976119092279358	0.032716552231737625	0.015940810684138	-0.058175219377582035	0.00966152985464346	0.01411966953894385	-0.011854140584064548	0.05772108019624472	-0.03966905557678391	0.014790197407624711	-0.010296710428620754	-0.015673667887014058	-0.012609669112513745	0.0159720168994627	0.023963606306792576	-0.02121763900664877	0.01169762670540799	0.006013892791201976	-0.047688730809159925	-0.0029964729581847785	0.0010821674466642722	-0.0296068925561935	0.0163894845511365	-0.03446076486417868	-0.015319742621271426	0.05502574841853034	0.0075131817939093504	0.0040170036938325365	-0.0034526455263143847	-0.010527290816936971	0.016635705240278267	0.0626097799472783	-0.013663467889344588	0.005559642259846963	-0.01539044076306331	-0.01980054537508927	0.03778924274164533	-0.03802293775601752	0.01629966890270564	0.018778188631546018	-0.010344777982048824	0.029062713837739045	-0.016626889946590902	-0.005410907476280873	0.05488269435027778	-0.009296570638076262	0.04167376908708413	-0.02970651496096689	-0.02198848934748257	-0.05290698716259951	-0.04541951791779722	-0.09488175675142801	0.015389942756859388	0.003395242245909529	-0.04383142978007518	-0.07810348704355487	0.04593742462097025	-0.010622591089437985	0.0611474896785531	0.00700535586474199	-0.05976692890208036	0.004498658371002778	-0.008925117682022223	0.027281460750934943	-0.01081293491200656	0.027435663221721588	-0.014044558891759597	0.001551533539566415	-0.05194709379776049	0.034440824698547375	-0.012601645436827878	0.0029687644802750724	0.00968649772833915	-0.0011541078130715254	0.011613476147446334	-0.0033583133440660273	0.011793929869667943	0.0
SRR5928168	-0.006793252626805299	-0.22139366990787343	-0.030680408047428227	-0.18614158638093098	-0.2126018828335379	-0.06428262473231376	-0.13855275908576284	-0.05389642173224505	0.1754506500189133	0.03255821545619258	0.05991559707528145	-0.004172454986249054	0.039653435146082806	0.04165974338575739	-0.03350386416304418	-0.07842028681940046	-0.014145994841226599	0.0543311558632949	0.014809011040561006	0.01750339055410116	-0.0066464841232172665	0.02318892154424497	-0.0604063844299811	-0.0007228048585542034	0.01956498618537458	-0.030245943007297646	-0.015031853312053884	-0.03203128774338083	-0.021012410498865604	-0.013080738073118102	-0.029331050135669542	-0.007392009613469356	0.0172449782800347	0.004351075916701498	-0.02797240277149988	0.010545763953218112	0.044306784448653776	-0.022228570050500718	0.01050772786040469	-0.00684487087346567	0.010984569007891878	-0.015188552568282448	0.007685528633265612	0.0053406918998057705	-0.007212560746614422	0.0029841034052125993	0.00497292709148757	0.007125293623092752	0.0036146596113674555	3.1803298785634486e-05	-0.01665420921961884	0.013852949249506238	-0.006990361821204469	-0.025252751355773487	0.012842788358233954	-0.008670424973164685	0.015435347171866997	-0.014957209500494386	-0.014733104987225888	-0.0030587181846505576	0.0032928372237377695	0.0038433692425403885	-0.013017247606248002	0.0032143281560762377	0.00756606211162744	-0.0013606556690034738	-0.006568484110223528	0.021112014439178158	-0.0036357797737428684	0.02632172120665906	-0.0003058485506611864	-0.012436974852911793	-0.03173059120448209	-0.010777543471192048	0.015063357945742997	-0.004126821746320195	0.018369294451704436	-0.03364025117059901	-0.023304551939741753	-0.034652984590659526	-0.01832519898212846	0.009621043475494835	0.016626556605650055	-0.016268163778179207	-0.0022398806489576134	-0.01596674201586047	0.012585892374605	0.023374612185631926	0.0136830217374892	0.0036426777015400734	-0.004289076516425814	-0.006929464866102845	-0.024527642764598585	-0.03910399356088521	0.030042328636702913	0.041392990014949296	0.006223396500812781	-0.013997265090555103	-0.017689699922455285	0.0112400109302774	0.04336465420492155	-0.0019912751295185897	0.06039096132370676	-0.0353806778042873	-0.012684830365795523	-0.0405215467919311	-0.0698628143646763	-0.00992689943600626	0.06697673209277584	-0.009725866749984238	-0.005600832644567977	-0.07970428161655496	-0.035015497550735394	-0.04766385014248672	-0.11114535865136366	0.05050545127619124	-0.016222031392315085	-0.0392780568219418	0.006436401688785895	-0.018683130135156732	-0.026071291771728886	-0.009801019644157652	-0.01655399382375261	0.00010684564096989478	0.07835287007570334	0.038256740497336544	-0.04171988787188655	-0.0011940070195858657	0.00215435546349975	-0.004391257728088495	-0.019973979986081195	4.6174567799290484e-05	0.0
SRR5928170	0.03455211575803961	-0.1714794952973108	-0.10355084495722447	0.24829539839373657	-0.014738810789859407	-0.07052781937241386	-0.02060895488660758	0.08238434437120842	-0.04170229526232998	-0.10189897548631972	0.05086753900079629	-0.05455363036856938	0.08819440690879557	0.006387792509572015	-0.18319942530027042	-0.044574190018425476	0.023775018768269703	-0.02914093367152436	-0.020034719299599955	0.03488826569800649	0.03773710235932847	-0.04506997381212068	-0.022635105923773737	-0.08327547335301519	0.0179809841321423	0.037670173157004695	-0.02976439189910631	-0.01203858558081173	-0.039100002356584125	0.011474100763465216	-0.03833181341760167	0.01314388807758807	0.02454170679149418	0.002604893602068212	0.024186724008246743	0.07681095736051854	-0.009604606342749667	-0.014112586210189555	-0.08756735479405228	-0.015235142221422693	0.022567137162102836	-0.020432754398451842	-0.004380104170045019	-0.06291220786477263	-0.011571941348556405	-0.00731290915626619	0.011789328555501608	0.006419229377806064	-0.017838995571635936	0.014288563144233891	0.0052369365144405095	-0.007298577074629072	-0.0005312509755596624	0.02239618794965939	0.02199903241056152	0.04754183166688088	-0.0005912974107173302	-0.0007916252332639453	-0.0032813677953924332	0.024254424652529423	-0.01675889170528212	-0.006897703552252564	0.00924819180244425	-0.0022467684331156693	-0.002598527343390714	0.009248281396830515	-0.01249155454614466	-0.014019154254827514	-0.006509986221400542	0.0042353561039137	0.014251900126795952	-0.0010326471964772594	-0.019880121212216807	0.012474097281275406	0.0032557265953349597	-0.0059531323753534374	0.003773040626500474	-0.008306933014487289	-0.014714363151206424	-0.005249487035707675	0.013182818567207702	0.014472690442503393	0.005390237762162678	0.0134596292596628	-0.004643814572318548	-0.0025327409428942335	-0.0022479152015662755	0.006286911149692258	-0.024394733645347142	0.016105387125877453	-0.018536917402338746	0.0006767644962822185	-0.0004372028542872358	-0.012131358195408812	0.004256132518979019	0.02040723049326995	0.004912986846179216	0.007755936004070717	-0.008769822403096516	0.012749589960242605	-0.012959288044457097	0.007978381189327505	0.01165539216156699	-0.01967046846358739	0.0005166626192012913	0.010101918695956157	-0.034980838954580325	-0.027845184348769175	-0.007503182519654179	0.008575278120763042	-0.003660116712929406	-0.04165702072992291	-0.007140694712881337	0.03374089694967943	0.037595502196523994	-0.00947023681412701	0.02448325675245634	-0.0036362989686383363	-0.001343318848708414	0.01972135818642666	-0.02804717504714098	-0.01983064328587336	-0.03534550019573712	0.009508704186692665	-0.023779485933660315	-0.04338503818305003	-0.054255710692753596	-0.0947509930900763	-0.10739518864298626	0.04689476357906533	-0.0011535514817118053	-0.03799570801409922	0.0
SRR5928171	0.10826890187067745	-0.0082499885135664	-0.1216404291073995	-0.07809102535294447	0.10272276831488719	0.07336596486118133	-0.04808852277787465	-0.01721608673944868	-0.05410736418943627	-0.04338831868326988	0.06633644399850093	-0.01589197402488483	-0.07228398985899748	0.1382772099464281	-0.0934777784261555	0.03549645149940931	0.016344999326348336	-0.020759726606009145	0.09536804451950195	0.05385545780578576	0.007703207584934001	0.09884844161998493	-0.015193979206932749	0.017924069003877864	-0.03900373446211944	-0.06202585958938185	0.04942487027540148	0.08345784935795535	0.027863195578176687	-0.04562004462517464	0.02041810275140209	0.09323556514675066	0.06472877086734655	-0.020183198496271832	-0.009958290897521488	-0.003536864444752491	0.055180610502180594	0.0894747310413861	0.036920463614849824	-0.008884423960353124	-0.005172437839780989	0.01319304716204525	0.008435722357975201	-0.05845510997256017	0.024056107757153385	0.018237990430651847	-0.007444808701835894	0.0009409842722148773	-0.012988284701496027	-0.0005043213511574231	-0.012064257161177159	-0.04943383794676328	-0.00828140477445994	0.00939127371861472	-0.010506368053822056	-0.035317876034170186	-0.049767280869756896	-0.006427381096007728	0.08685121272415021	-0.01950491074297058	-0.09657878120124706	-0.029720484829624486	-0.044346409949821114	-0.035703681764227384	-0.01041055446700654	0.03897515248462241	0.05316930061138157	-0.0410335684386587	0.02379589940510712	-0.0012401733306897514	-0.07061955827186459	0.03341823786468329	0.008295205512512277	-0.07721060708631783	-0.014499070174413592	0.09417515910174531	-0.03944587588972343	-0.003134291131626067	-0.017730431761924247	0.015949643452099194	-0.08589279751364827	-0.01320732074395382	0.07490206450829735	0.032475100467544336	-0.03618526587682237	0.010406611368596738	-0.05841688575549391	0.12626954337219665	-0.08186474462566737	0.027559426597962438	-0.013070055799533076	0.029531345322858213	-0.05424046142920477	-0.02798606428730095	-0.020112701272442076	0.014881045154755105	-0.012143634651877098	0.012183551914722684	0.0028738260397255	0.006777879149335212	0.021350472982020887	0.010287428840391947	-0.012255200636751012	0.03544981444256052	-0.01576381635729113	0.025545897550542897	-0.022811672160234105	-0.0017432288099753928	-0.0173495092658557	-0.026797016545073434	-0.011108154837479076	-0.021341598645073716	0.04324908275082169	-0.010700727584887822	-0.02284942866022476	-0.032999172418407295	-0.005079134885447037	0.014529980037965125	0.019790024365539973	0.003309444696291162	-0.00018082161314187528	-0.02276129679860869	0.0009709543515894459	-0.005310719792213375	-0.010137940958872965	-0.0010133046327797028	0.008924920310685452	-0.008991197339356502	0.008391255077456035	-0.013933243099194116	0.004535989724732863	-0.004045168685994475	0.0
