	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112	PC113	PC114	PC115	PC116	PC117	PC118	PC119	PC120	PC121	PC122	PC123	PC124	PC125	PC126	PC127	PC128	PC129	PC130	PC131	PC132	PC133
PropExplained	0.41907958075861046	0.09337608960035117	0.06000534800299321	0.05061082060796137	0.036819770776034925	0.031077161606424483	0.02664934831642466	0.025063668072987433	0.01987880632123404	0.017193219815448187	0.01571639590114106	0.014110875787666762	0.0128734007280917	0.012521432017779624	0.010854601877752272	0.009774636541713861	0.00908429246198646	0.008460814635844851	0.008100232383709102	0.007485964407290555	0.007178371374190685	0.006201067550359997	0.005724068570368565	0.005649296883025874	0.005221733964787334	0.004951142689079453	0.0048181087997453895	0.004356921671633161	0.00409801549727495	0.0037715726628485854	0.0037317929733327415	0.0036541719091140634	0.0032644503313026	0.00318890824413804	0.003149288351986286	0.0030097653380487394	0.0027936023944410845	0.0026395040225658147	0.0024116166526264556	0.002299508984549496	0.0022266187614055064	0.0021933076708989543	0.0018849787952165812	0.001824932881121792	0.0017356885198943392	0.0016925170950908854	0.00159345598586505	0.0015379364968026792	0.001332833063678423	0.0012817688010359357	0.0012099319642108841	0.0010929121178856055	0.001037944834293522	0.0009117407563006516	0.0008406867423600862	0.0007448033684632314	0.0007226651987524504	0.0006502522638446201	0.000629867361657927	0.000558984632226943	0.0005261843898235546	0.0004878757837889851	0.0004551029535384642	0.00038557868266388996	0.00034646170429094913	0.0003229697261999896	0.0002416673882928456	0.00021034832986257127	0.0001606217763703057	0.00013688853001545497	8.201908641404294e-05	6.297583232262978e-05	2.8109018544689965e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928157	-0.357645964379406	0.04294134964184961	-0.013505237150197046	0.11813493784689758	-0.031031372257787793	0.03621867836613302	-0.00036059360557814284	0.03769617581541217	-0.06042752784534472	-0.03568540653478742	0.019134972387962926	-0.014180381111301685	-0.015047837890881998	-0.000590651676970909	0.002050953561996117	0.014320915859760964	0.0037223027806662407	-0.00940004371048447	-0.0015155864336850891	0.002700033950059069	-0.0036883440801349057	0.0009960240268122268	0.019650996621723493	0.03324817188231286	-0.004394428031148682	-0.011150885238958547	0.020318993715375863	-0.028779107030256035	-0.012954016700364019	0.005903782668186528	0.0230181315832154	0.010656315336531493	-0.01618477866388627	0.007004910156366352	-0.03241068660403312	0.0045363037564217475	-0.0014649813488724415	-0.011827523606089754	0.0037650823312554496	-0.0293635942581311	-0.012630208627496291	-0.006540987894829549	0.011855998522068202	-0.00990080966627878	0.0006819459028590677	0.0025898370258000546	-0.014094563062566944	-0.007386631528535987	-0.0026949532319757	-0.00348997662176135	0.004986586906540819	0.005586199841831482	0.02472856534265662	0.009964745766861264	-0.014371838205658991	-0.008824663886976138	0.007775109002894469	0.009972764753829789	-0.0035758240422360285	0.004551477374572113	-0.007399802119828024	0.0023570370253832083	-0.005012224189880807	0.006626121799151346	-0.007848201948677368	0.006118803219235505	-0.0016664223625292589	0.001714689214466456	0.00010557684110141168	-0.004703284184461595	5.934465900815887e-05	0.003164439848128245	0.003221426459103707	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928159	-0.24523970142994683	0.06413134283147909	-0.26100933559094874	-0.16304372525865565	-0.06726016091061685	0.12022680512706306	-0.042438893140996733	0.1076075702398199	-0.011086164871273991	-0.035919052429564065	0.05396780726437785	0.003449754867605986	-0.03232095298675115	0.013448999988886035	0.043771465485360414	-0.009802214629255023	0.040959719867714475	-0.01584241042607884	-0.005853236476899868	-0.028784957896949438	-0.010973434750438275	-0.00317472769057957	0.015199574350877496	0.009437552728423044	-0.01217262050682052	0.01918433059098584	-0.011315751671365868	-0.003930635637366513	0.021316464379274133	-0.012615351456975657	0.007827438687834438	-0.008945492609834921	-0.019063086188089766	-0.013409504140396399	-0.016655168328153544	-0.007694778612118166	0.021415880071676895	-0.007892308603313967	0.010990630273741397	0.009438354488488706	0.01246869233510437	0.0010980356640942807	-0.0067811412177975336	0.0045138817719357766	-0.014189236861864428	0.006672397239318356	0.00783484777002785	-0.00432311482363911	-0.004691582936454436	0.0038161138845384072	0.0013580638870658974	-0.00631475175877903	0.0018833507168399964	0.001668624002407413	-0.00984505823805935	3.0440938473378073e-05	5.0787442321414827e-05	-0.0011328046405449683	-0.005664993728229278	-0.0013091644144907241	-0.0011958585537485006	0.005900022607804449	-0.0020284510110826913	0.008160932566764048	0.00031315034729715744	0.0019349406609844412	-0.0021774510650089465	0.0024609348879567976	-0.0008435988685002888	0.0015063002073804116	-0.0018767106566519728	-0.000616168292424803	-4.578018008945524e-05	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928161	-0.008347698585644124	-0.07181715459100559	-0.03001547704608296	0.022358355950453077	0.07037849438620129	-0.03218952539658673	0.12936832979812657	-0.06885514303253	0.006096398344535434	0.03000620802570337	-0.005590425887582072	0.010840945123428635	0.04901436982136232	0.048064301174211205	-0.03288626024342624	-0.03803205528452264	0.029014814599378488	0.023182496713255177	-0.004401268136043705	-0.014193701995025862	0.015938884642647456	0.031100410449703263	0.030097365949401152	-0.02396390596762162	0.002408483267492108	0.001712008330436866	0.0010028136983337207	0.026673491520988905	-0.01477755430973866	0.01722744912835553	0.021125193373179085	-0.023866458570401525	-0.009077431247376437	-0.02043327804394309	-0.0024270056454130263	-0.013710569416849002	-0.01241342610973381	-0.004813987859909408	-0.011185894778693785	0.020871664490521885	0.008721728235362694	-0.01943323189336111	-0.017838663900733222	0.0038056874417302516	0.010061620485192454	-0.010848156919624239	-0.005556022411152529	0.002710164006818314	0.005521536649348241	0.0006342506157602798	0.005228350664600437	0.004149464893000032	-0.015671037162709584	-0.0003521636300138756	-0.01745102895489721	-0.0024575547093824398	-0.003510665037652037	0.0033711897421668966	-0.006533313128619472	0.004995034691218195	0.0023233294847500737	0.00021097112491339957	0.0023642471221618244	0.0033776790699826904	0.001895484873980183	-1.0737277116985074e-06	-0.005980320933928047	0.00026360665803082893	-0.00404782602702264	-0.0014133155012078557	0.00010539247463741101	0.0006822887914382443	0.0019790909129946345	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928164	0.012981117296833792	-0.06539674724371447	0.03900605379679461	-0.005089390809252222	0.01595732592993816	0.0028472354081862075	0.004752325401515308	0.027516255684784847	-0.05337911053664071	-0.010598256852318386	0.022468249883464242	-0.015031799539856882	0.019629960089418766	0.01148393914494572	-0.003941196810015787	-0.018980324749699008	-0.01969088635216351	-0.0008163643953669036	-0.0042078632031363515	-0.017866346741167747	0.006534536788318999	0.003598834136694568	0.00034546291910539194	-0.013136238685640707	0.034452702632199725	0.009635852295178576	-0.0013929428779231529	-0.0032775142134065624	-0.0002806149642551514	0.0007548157609318854	0.011660646235036022	-0.00012976197580339462	0.03409122084417705	0.004815034918306918	0.025839036752633496	-0.02081316523833834	-0.012944194707996765	-0.022732333359439562	0.017890359568480535	-0.00017718217723624677	-0.018910719217054804	-0.008727667035886809	0.02894301202750874	0.0246021454624085	0.005183044632643425	0.00046866716897062236	0.017946424958682167	0.007434122538978391	-0.018906903744467112	-0.009107740147270576	0.01285524476287201	0.010426341236946343	-0.008576463778089636	-0.0016865259953112643	-0.00562638689105436	0.0153122460446025	0.0016772321732072093	0.0011801712533305892	0.009106184224292036	0.0016645592624672106	0.009603585850307262	-0.010282232364724402	-0.009484169913397095	-0.009090186132073992	-0.001613526767314013	-0.006729547890803273	0.002709468323615183	-0.003073099111597747	-0.012770278893687113	0.002023516250796684	-0.0075819180532770295	0.006358324833585324	0.0008394414986227596	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928165	0.20182058606421377	-0.06346795590640829	0.0260377376097489	0.07543735685520457	-0.028258284434676303	-0.03029872988094099	0.017893032765448572	0.03535996459947361	0.03816252504375419	-0.042830952532008956	-0.03462553193401061	-0.025536695590275403	0.05196307079878211	0.028779472136185435	0.06274981129942359	-0.028724403329397154	-0.024954688371391417	-0.017536612604671903	-0.04315230766612254	-0.012860621009251767	-0.033243847767349385	0.004784532575255432	0.025174380261681326	0.014078477756567882	-0.028419714869581572	0.02504674249173267	0.01688407589279149	0.002518459212135408	-0.002209215064531247	0.010761742148589337	0.0032917752785925603	-0.0048751463938578	-0.019067807457549168	0.02014023982866925	0.01989814081368606	0.04067969665035682	-0.01762812639576739	-0.020139777324043314	0.010862856913301501	-0.029170825538011248	0.023382978331880508	-0.0241886762622608	0.0011629958326251557	-0.007636385247006067	0.014566888463476127	0.006812009639033884	0.0003166548694029627	0.01038290881461962	0.01726941439550019	0.004189700972017564	0.020901026302760098	-0.001419504404832008	-0.013788328554882299	-0.0051003204372625155	0.004840273409134337	-0.004622999309345337	0.004042373774038679	-0.010645833266883191	-0.007411493833097445	-0.0027778029125427924	0.006068012715966747	0.007327937979959993	-0.002433202376267518	-0.002338645195983103	0.0075568229221398	0.004374763555171806	-0.004362656002672939	8.449769262622877e-05	0.007362965439212788	0.002514962302468882	-0.0013297052096494725	0.0024576901922899537	0.00017940750532600755	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928167	-0.2698364647746743	0.0445138609764013	0.04297616633865749	0.032440865872053075	0.0721396793356685	-4.674854070663761e-05	-0.06331618797772645	0.06773273885724285	0.07359230826680194	-0.022830333497828946	0.020420559178583254	-0.00250636420308606	0.008064959148010234	-0.036511581535879335	0.012562058523611168	0.014256706452443134	0.023050190125343203	-0.04958205185306007	-0.020140472296726223	-0.024990929101258098	0.027655359698255656	-0.005857376711267104	0.034024265190278805	0.010519827557225287	-0.019372164958917304	0.038448352907221636	0.011885822278297894	-0.005041833513832138	-0.01820134945905445	-0.02080469205175801	0.01794661412963659	-0.01880584515286583	0.019769569506945212	-0.03277522373476081	0.002028429866820007	-0.0032278047304986086	0.003631028676080367	-0.021125565245039318	-0.01547984768940943	0.01513313476740871	0.020639931312335835	0.005428138525670039	-0.005293454664669282	0.014086266608868329	-0.014064348547408454	-0.008397092373246526	-0.01641244751012438	-0.011780438646111308	-0.0037763794926536504	0.0009843321006154965	-0.00890049827964524	0.0022964845099622787	0.004155527521605047	-0.01797822709611562	-0.011026017638924475	0.006401201828889652	0.0011898210054664458	0.008112324274908926	-0.01078717811845211	-0.0002956435071329055	0.008379017926095647	-0.0014873644631231352	0.008198102458979385	-0.002861977270989919	0.006991001752871187	-0.0026016738496016266	0.0011898094581699438	0.002352603613718883	-0.00044751365949818916	0.0032319529359933147	-0.0009717167176412918	0.0017434145688720987	-0.002117526057887903	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928168	0.18851962272008274	-0.06666392122349503	0.016236519208955972	0.004501478748413047	-0.07753132182937678	-0.027863762378213242	-0.005316142274215669	0.02398635344479898	-0.013337829306779792	-0.013488463437762001	0.004005735836864774	-0.0021030362886780905	0.014457947577451148	-0.00887579452222349	0.02168721893447617	0.019515055738005136	0.0006276572326000102	0.06530777395555463	-0.012897463901780334	-0.002853482771435509	-0.0234798638884494	0.0222673485355313	-0.016913060312658355	-0.005778597941333826	0.009107855301468988	-0.01253075376080496	-0.01194518080585286	-0.002230665437510047	-0.007491076124411058	-0.05146222831479012	0.004475397953423051	-0.017251688862326926	-0.011245947143051013	-0.02730407577643899	-0.0072053510682686854	0.026421639976887994	0.002718677116718344	-0.02053656878112598	-0.026107507499540196	0.00935033054575743	-0.006671266645749911	-0.007328707979244377	-0.017508246634356548	-0.0014159760509620018	0.009264196206882703	-0.028541112859607424	0.02258779982078322	-0.004782972030861831	0.0023952472118139562	-0.027188772932681102	0.004376588188982133	0.008605867441847779	-0.008236082615317206	-0.010740782531909132	0.008620994829716955	0.012997586791702062	-0.00015928540608805135	0.0014997825132264855	-0.005524645358037514	-0.014255545672215693	-0.005224830911103473	0.011698674731068096	0.006146055368683159	0.00042318258608722837	-0.00582039018475026	-0.002119435644039531	0.010161883179479156	-0.0003921554683671095	-0.004321676642514773	-0.00681523090594167	-0.00035432023393911546	0.00229188206654679	0.0011277960321539862	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928170	0.29164139587930465	-0.005772627448801423	-0.06711708645575004	0.05909584727446568	0.03432622850351383	-0.06835157406941147	-0.04232113866593543	-0.01770162576133373	0.009271183408426567	0.0018961144856178842	-0.023242001831843256	0.005276003420014437	0.07119964418187265	0.05683151292801727	0.06173863551960182	-0.008589402026235926	0.016575624553506932	-0.0036736043984762533	-0.022526548725180062	0.014888833664011681	0.05284084974438852	0.023139565230149355	-0.005535255104117884	0.06526918956900964	0.01095914061339915	0.032405442730744576	0.02813440104301532	0.020616799366775157	-0.0019736033088326704	-0.0017427229756237172	-0.009763087587724931	0.007693017634260379	-0.0011889014104721376	0.002883159017729022	-0.03110306792640673	0.007208239123432395	-0.02111791283808156	0.030510376616000694	0.00021251872581672172	0.024388735828591763	-0.03000287482886708	0.019541522149703235	0.0029213836079358016	0.014425755836327861	-0.0017437746406356992	0.0028004515518395374	0.005126304230716317	0.0006169688296218588	-0.013844063476624913	-0.00045288789858053384	-0.0023870963180700647	-0.015507461847109914	0.007914079150789026	-0.004928651084704984	-0.009900600868857466	0.014209621085506547	0.00014574449013976995	0.00664433838632677	0.0018246744670740653	0.013332609591522163	-0.005494659770151878	-0.0026063166316362507	0.005585665673140302	0.0033920782154200427	0.0030430537788960436	-0.001321018217378872	6.495640318008724e-06	-0.0035988550367981246	-0.0018560026760223445	-0.003971766962281148	0.0009680442052238602	0.0017457930152537634	0.0003261395302682859	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5928171	-0.21154202585081938	-0.03909665293727082	-0.02251685773927561	0.02521471648513983	-0.043755044575295034	-0.008287241002112146	-0.039483717774564574	-0.004117611507018134	0.013842415732518296	0.011844898531457041	-0.020482893913077095	-0.008067884180857333	0.002590718613097122	-0.009620327814144082	-0.007927866444608089	-0.014965064353773176	-0.01060981038513148	-0.017826761697998447	0.03660639095519071	-0.0066284936859245715	0.021349514675095497	0.009147051483560376	-0.030667392616481222	-0.008327703317207774	0.02687260306165946	0.029263627717940645	-0.010805607009708252	0.04211235701304584	-0.019303932718076396	-0.013417133106597258	-0.021123427661388618	0.0286952717985451	-0.015382396240133694	-0.0053876029642731735	0.003938828563872752	0.012525319157716767	0.03422339538367242	0.017084362471280288	-0.00437912530544424	0.019814478725859633	0.010716906900090008	-0.01906216834758991	0.0028940351635446224	-0.013435694651720963	0.010657656742174794	0.002647141745082784	-0.013948851679830685	-0.00279347466278176	0.028848797307136107	0.007684437642499681	-0.027647321648063515	0.0013825546644925968	0.0018549361702215603	0.000586909282330018	-0.004794714839807375	-0.01168510534144144	-0.002477982822919861	-0.004322296887851823	-0.004945649482921148	-0.0018686506983512175	0.00046411166035657846	0.0009326206123346316	-0.0068719041858866054	0.0034373362490139033	-0.0026413646694518574	-0.00390679247985958	0.005726848391215322	-0.006996830100514345	-0.0007685059754409998	0.0005489172168383165	-0.005235570577366934	0.006402410170990834	-0.00023090579566092934	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
