beta	psuedoF	pval
bray_curtis	7.56692261898088	0.001
bray_curtis	3.1411409688780334	0.001
bray_curtis	3.5199807677877217	0.001
bray_curtis	2.8272908411183173	0.001
bray_curtis	3.8731678723446272	0.001
bray_curtis	2.939802676185929	0.001
bray_curtis	0.3952310162489672	1
bray_curtis	4.208944100129559	0.001
ctf	0.5941198134975512	0.994
ctf	0.4916316872800696	0.517
ctf	0.49670180938168185	0.506
ctf	0.2171742260315269	0.728
ctf	1.2931364221266297	0.266
ctf	0.8908886148668262	0.369
ctf	1.724046767352544	0.177
ctf	2.989632969907544	0.076
jaccard	4.720089716612241	0.001
jaccard	2.6041967057425435	0.001
jaccard	2.8290490645956043	0.001
jaccard	2.4105799047387224	0.001
jaccard	2.98275207456388	0.001
jaccard	2.50434620014216	0.001
jaccard	0.5340830092236029	1
jaccard	2.620585412620691	0.001
phylo_ctf	1.1357253713113076	0.236
phylo_ctf	0.21266478360048616	0.815
phylo_ctf	2.3253833862496225	0.111
phylo_ctf	1.107594682304152	0.318
phylo_ctf	0.6540963213378068	0.524
phylo_ctf	0.8420534377319461	0.446
phylo_ctf	0.1659040288617286	0.863
phylo_ctf	9.049151440701014	0.001
phylo_rpca	3.266299335343168	0.001
phylo_rpca	0.06053829319976749	0.954
phylo_rpca	8.557027051272712	0.001
phylo_rpca	0.30551912884025517	0.742
phylo_rpca	4.895141268575379	0.005
phylo_rpca	0.27623837613923097	0.753
phylo_rpca	0.3147162601201266	0.72
phylo_rpca	77.87047499756733	0.001
rpca	3.833412674407991	0.001
rpca	0.5829914102135721	0.564
rpca	7.718628976301868	0.001
rpca	1.2143371498681348	0.275
rpca	5.9849831498720185	0.003
rpca	2.6580740787597037	0.061
rpca	0.7301487860037216	0.474
rpca	40.425720440671284	0.001
unweighted_unifrac	2.045454705346216	0.001
unweighted_unifrac	1.4953542181712538	0.008
unweighted_unifrac	2.2705528886718915	0.001
unweighted_unifrac	1.442327619093889	0.009
unweighted_unifrac	1.5766585697170403	0.005
unweighted_unifrac	1.3491279200868207	0.025
unweighted_unifrac	0.7666650599694235	0.987
unweighted_unifrac	5.77484629405209	0.001
weighted_unifrac	3.163369831760899	0.001
weighted_unifrac	0.6426446363722974	0.648
weighted_unifrac	3.9541440544650746	0.008
weighted_unifrac	0.9385705519484056	0.412
weighted_unifrac	2.7855012588926154	0.027
weighted_unifrac	0.7569722258034314	0.546
weighted_unifrac	1.5450356421286597	0.144
weighted_unifrac	3.3359778608117923	0.014
