beta	psuedoF	pval	iteration
bray_curtis	0.9432267151578678	0.999	2
bray_curtis	0.884489235095909	0.791	3
bray_curtis	0.8751116930294037	0.838	4
bray_curtis	1.2533665202960145	0.051	5
bray_curtis	0.9785446840903054	0.509	6
bray_curtis	0.9237860310589054	0.697	7
bray_curtis	0.8799080794564359	0.782	8
bray_curtis	0.9953260344894704	0.476	9
bray_curtis	0.9942033231332692	0.562	2
bray_curtis	0.8579091044979896	0.857	3
bray_curtis	0.916177197068029	0.714	4
bray_curtis	1.0213253843364716	0.419	5
bray_curtis	1.013268300604128	0.433	6
bray_curtis	0.9923113220651752	0.468	7
bray_curtis	1.179624330215736	0.111	8
bray_curtis	1.2342802996478632	0.048	9
bray_curtis	0.9843816411735463	0.771	2
bray_curtis	0.9233180896205736	0.701	3
bray_curtis	1.046949048183992	0.327	4
bray_curtis	0.8113850205285603	0.921	5
bray_curtis	0.8705494087137318	0.804	6
bray_curtis	1.2035781667692653	0.089	7
bray_curtis	0.9453583695442974	0.624	8
bray_curtis	0.9154000924672281	0.717	9
bray_curtis	1.0185049338602388	0.187	2
bray_curtis	0.6843226458838206	0.998	3
bray_curtis	0.9761909457002429	0.51	4
bray_curtis	0.9938610786934388	0.492	5
bray_curtis	0.9303966428233955	0.657	6
bray_curtis	0.8676203035091874	0.812	7
bray_curtis	0.7559463276659165	0.977	8
bray_curtis	1.1748723077725785	0.123	9
bray_curtis	1.0036387056716773	0.421	2
bray_curtis	0.9710357415450837	0.556	3
bray_curtis	0.8310581149530867	0.885	4
bray_curtis	1.0371900315464813	0.365	5
bray_curtis	1.0400319759174277	0.346	6
bray_curtis	1.2415987254402938	0.044	7
bray_curtis	0.916769902972011	0.723	8
bray_curtis	0.8404060708471625	0.883	9
bray_curtis	0.9854820229198729	0.759	2
bray_curtis	0.9805399497096996	0.522	3
bray_curtis	0.876660068455384	0.792	4
bray_curtis	1.1040354065641054	0.213	5
bray_curtis	0.8096448225351696	0.938	6
bray_curtis	1.1259433270835546	0.161	7
bray_curtis	0.934900156947821	0.656	8
bray_curtis	0.8571934119415909	0.85	9
bray_curtis	0.9829367850470325	0.777	2
bray_curtis	0.8869196756235829	0.771	3
bray_curtis	1.2106127184066662	0.065	4
bray_curtis	0.8488218477305796	0.865	5
bray_curtis	0.8865067693419979	0.786	6
bray_curtis	0.8399311035798958	0.883	7
bray_curtis	0.9206856663482814	0.707	8
bray_curtis	0.9437520253526034	0.63	9
bray_curtis	1.0024326212427208	0.445	2
bray_curtis	1.0143190375807232	0.452	3
bray_curtis	0.9051487077899195	0.754	4
bray_curtis	1.3238006426253113	0.025	5
bray_curtis	1.2615447434924238	0.036	6
bray_curtis	0.7845389917305158	0.954	7
bray_curtis	0.8870474725993345	0.782	8
bray_curtis	0.8218711195015269	0.913	9
bray_curtis	0.9928836611826495	0.597	2
bray_curtis	0.8713140600790955	0.823	3
bray_curtis	0.8459204282316224	0.856	4
bray_curtis	1.1378052498220146	0.167	5
bray_curtis	1.0611481990795184	0.301	6
bray_curtis	0.9692697073619632	0.526	7
bray_curtis	0.855851539474626	0.87	8
bray_curtis	1.0263421250640634	0.362	9
bray_curtis	1.0189810235942987	0.17	2
