method	repeat_ID	Genotype	sex	Treatment	Visit	type
ctf	999	0.38392857142857145	0.6696832579185521	0.7058823529411764	0.631578947368421	0.6380090497737556
ctf	999	0.3478260869565218	0.5733333333333334	0.7647058823529411	0.673611111111111	0.5902777777777778
ctf	999	0.5284090909090909	0.6447963800904978	0.815	0.7037037037037037	0.42897727272727276
ctf	999	0.5767195767195767	0.6561085972850679	0.7566964285714286	0.5741626794258373	0.3680555555555555
ctf	999	0.4867724867724867	0.7577777777777778	0.6444444444444445	0.6026785714285714	0.7111801242236025
ctf	999	0.5105820105820106	0.5959821428571429	0.8755555555555555	0.8101851851851851	0.5340909090909091
ctf	999	0.49147727272727276	0.6470588235294117	0.5475113122171946	0.8288888888888889	0.45370370370370366
ctf	999	0.39140271493212675	0.6183035714285714	0.6866666666666666	0.5959821428571429	0.474537037037037
ctf	999	0.3862433862433863	0.5334821428571428	0.6493212669683257	0.7388392857142857	0.4479638009049774
ctf	999	0.39952153110047844	0.581447963800905	0.5956937799043062	0.9004524886877829	0.5142045454545454
ctf	999	0.40476190476190477	0.6339285714285714	0.6666666666666666	0.5155555555555555	0.5568181818181819
ctf	999	0.37577639751552794	0.6644444444444444	0.6763392857142857	0.7053571428571428	0.6289592760180995
ctf	999	0.45370370370370383	0.746606334841629	0.6955555555555556	0.7918552036199096	0.5026455026455028
ctf	999	0.66	0.6361607142857144	0.7669683257918551	0.6315789473684212	0.3995535714285714
ctf	999	0.39749999999999996	0.6897321428571429	0.7893518518518519	0.6911111111111111	0.4027777777777778
ctf	999	0.46031746031746035	0.7430555555555556	0.7847222222222222	0.6923076923076923	0.5740740740740741
ctf	999	0.2607655502392344	0.7266666666666667	0.8392857142857143	0.7723214285714287	0.5602678571428572
ctf	999	0.46590909090909094	0.662037037037037	0.7410714285714286	0.6875	0.5740740740740741
ctf	999	0.49	0.52	0.8125	0.7177777777777777	0.5497737556561086
ctf	999	0.5539772727272727	0.6138392857142857	0.7879464285714286	0.6221719457013575	0.5334821428571428
ctf	999	0.5096153846153846	0.7262443438914028	0.7142857142857143	0.7544642857142857	0.4343891402714932
ctf	999	0.4914772727272727	0.5513392857142857	0.671875	0.6599999999999999	0.3823529411764707
ctf	999	0.44976076555023925	0.5856481481481481	0.7083333333333334	0.7556561085972852	0.43915343915343913
ctf	999	0.4875776397515529	0.6897321428571429	0.6475000000000001	0.66	0.5203619909502262
ctf	999	0.38068181818181823	0.6483253588516746	0.7443438914027151	0.7669683257918553	0.4888392857142857
ctf	999	0.585	0.6049107142857143	0.7511111111111112	0.49715909090909094	0.42222222222222217
ctf	999	0.36645962732919257	0.5111607142857143	0.7466666666666666	0.78125	0.5602678571428572
ctf	999	0.5904977375565611	0.751131221719457	0.5856481481481481	0.7751322751322751	0.7320574162679425
ctf	999	0.3664772727272727	0.7171945701357466	0.6712962962962963	0.6897321428571428	0.453125
ctf	999	0.6575	0.5959821428571428	0.72	0.5271493212669682	0.400462962962963
ctf	999	0.4467592592592592	0.5	0.585	0.6176470588235293	0.46411483253588515
ctf	999	0.3944099378881988	0.6071428571428572	0.7714932126696833	0.6227678571428572	0.5647321428571429
ctf	999	0.4760765550239234	0.6527777777777778	0.6288888888888888	0.8844444444444445	0.51
