	PC1	PC2	PC3
PropExplained	0.26032610157363345	0.18233874840124625	0.10335712485177212
SRR3094678	-0.001925041672912976	-0.24480258346946537	-0.24468085943656345
SRR3094679	0.07402184972933058	-0.35756044277798144	-0.21190713533235367
SRR3094680	-0.17674628108780643	-0.3970970066469162	-0.16544350904097493
SRR3094681	-0.45306506616609826	-0.009640922568489143	0.07024567767960896
SRR3094682	-0.1706994361324095	0.23790889367217607	-0.19542790156676426
SRR3094683	-0.43265914071345185	0.04097874175118164	-0.03352875723282133
SRR3094684	-0.24983110677057677	-0.41288526420185845	0.01681477544609668
SRR3094685	-0.03127667795739047	-0.38858024228123095	-0.10903954205155696
SRR3094686	-0.24968151465590357	0.3186089662473245	0.22867437403062607
SRR3094687	-0.48659792372615807	0.022840319617553815	0.14337446446331134
SRR3094688	-0.2644478261517195	-0.34672321612447005	-0.0144169321920184
SRR3094689	-0.029383725064077798	-0.4207688116466804	-0.11957578312930264
SRR3094690	-0.2015469995331774	-0.3948403974642715	-0.023122144196539563
SRR3094691	0.21448462487663	-0.021798343508584495	-0.2817841441372956
SRR3094692	-0.32871965061986924	0.06539952246853636	-0.03715393037127461
SRR3094693	-0.2668603663160333	-0.04663601821054753	0.2973280935812565
SRR3094694	-0.45823258452069543	0.062256106395136776	0.13420269156941833
SRR3094695	-0.42078525146261947	-0.042818402665055266	0.31375874871192605
SRR3094696	-0.45917182783895066	-0.00045956711502281595	0.09767227649743859
SRR3094697	-0.2328390594101625	-0.3071929183557837	-0.11157731685052176
SRR3094698	-0.4483954203888598	-0.1538179735568043	0.19372049248292758
SRR3094699	0.11509323461128206	-0.34350198206788213	0.12629002961656083
SRR3094700	0.005197485601175981	-0.29386657732860033	0.2695235183467612
SRR3094701	-0.3320028135336011	-0.10840726990539862	-0.051353847206164434
SRR3094702	-0.15816223618276404	-0.31547235919465927	-0.1616404297382801
SRR3094703	-0.48753741030474873	-0.008000193753338448	0.1915531601182441
SRR3094704	-0.012554950487244134	-0.10329719548147284	-0.19545920107845527
SRR3094705	-0.4056179899062617	0.06701608431267228	0.25487302704797105
SRR3094706	-0.469201605434601	-0.02120735943581398	0.27703087983223385
SRR3094707	0.02307681535317869	-0.3009192545490173	0.22531488472472302
SRR3094708	-0.3717972736329672	-0.07178252874502825	0.3895651901587139
SRR3094709	-0.049181215674598294	0.22309071048998938	-0.2510600134779528
SRR3094710	-0.43061505029587155	-0.03909744024484622	0.3407209033796338
SRR3094711	-0.3231022829387744	-0.22877142830569636	-0.03951983825948639
SRR3094712	-0.2632366786273541	-0.4007743522883847	0.047465975838318415
SRR3094713	0.058061412936716454	-0.33791949670282556	-0.2597746957671287
SRR3094714	-0.42166544674492884	0.0069152025828774786	0.2849466628269123
SRR3094715	-0.004121105731973811	0.19405241971027695	-0.10537188065658039
SRR3094716	0.2989542166062174	-0.3117886071749322	0.3131617608584389
SRR3094717	-0.11566921816074119	-0.1481221226732644	-0.23382737293987216
SRR3094718	-0.352015818930904	0.001972712948329798	-0.04194876847693892
SRR3094719	-0.22636720735994198	0.050423429351778744	-0.22898257231286848
SRR3094720	-0.4677463931831737	-0.023299659213780823	0.1495129561765442
SRR3094721	-0.34077720012027984	0.17820499873957135	0.022220817886474186
SRR3094722	-0.37318062579952915	-0.06504627979474582	0.3802686432063472
SRR3094723	-0.20210882394530016	-0.1707684025517342	-0.26302343262153466
SRR3094724	-0.22276858064103572	-0.3022498117020947	0.19906413352868663
SRR3094725	-0.25401249635849515	-0.3730499701629055	0.09300336635097402
SRR3094726	-0.37049581274802906	-0.038557526048881303	0.3458349123668117
SRR3094727	-0.40730960991491233	0.061676658965442166	-0.03135656597196558
SRR3094728	0.16060593326647793	-0.396003845904583	0.18188427067986468
SRR3094729	-0.41018177481947854	-0.02069519641822559	0.31262866500676567
SRR3094730	-0.22651054705167353	-0.31984444768768594	0.1683750629555375
SRR3094731	-0.273312231056569	-0.17866577863411442	-0.08760150446904122
SRR3094732	-0.2197343248439814	-0.004904881039848495	-0.12661184927657
SRR3094733	-0.2602024276252171	-0.31469872756716727	0.12116320488836138
SRR3094734	0.04376087749127267	-0.32207253869621877	0.20507417790884214
SRR3094735	-0.47818853238034026	-0.02868021033006363	0.2150165288371018
SRR3094736	-0.429676208471966	0.08656044989797844	0.03694366535051597
SRR3094737	-0.0709748720574043	-0.3695198967933658	-0.24563426258158247
SRR3094738	-0.23670341466460676	0.13608343648914803	-0.14025273935548846
SRR3094739	-0.43170823517258894	0.0025145465619352877	0.27903399869203277
