	PC1	PC2	PC3
PropExplained	0.2098800644134289	0.15396073111060637	0.09856201898852585
SRR3094678	-0.003048377079352289	-0.2634446950156312	-0.29436888496159963
SRR3094679	0.07172215232434213	-0.363905727415001	-0.23691938536383794
SRR3094680	-0.17272799461373312	-0.3758595810110489	-0.17349212509343948
SRR3094681	-0.44614824616481935	-0.01876570792010607	0.1090483558945303
SRR3094682	-0.16995404446851758	0.26696259747681683	-0.22560722404752634
SRR3094683	-0.4312325447163907	0.029863825887288142	-0.005128493229780974
SRR3094684	-0.21913886268697494	-0.3620964447921216	0.022200355433851727
SRR3094685	-0.027337014286314135	-0.3506047902501231	-0.10217682321305398
SRR3094686	-0.2046667532807075	0.24394364888120104	0.15432409379228576
SRR3094687	-0.4676886157051185	0.011772561802319453	0.2015842682189381
SRR3094688	-0.2360101323975016	-0.3039372754382537	0.02090623859707167
SRR3094689	-0.025930889692657805	-0.37820168279366123	-0.11336787270123849
SRR3094690	-0.16952228378088066	-0.3460796482549029	-0.021981339881491896
SRR3094691	0.22015792719300897	-0.05953112898074315	-0.21132777378693868
SRR3094692	-0.33492301023172383	0.06796140919031661	-0.012787852623734466
SRR3094693	-0.23282839507790068	-0.035330515081693534	0.2507063270096218
SRR3094694	-0.4383246465863031	0.04914932690691643	0.19051075527811404
SRR3094695	-0.34441915829189046	-0.04820834241455997	0.3190349606228049
SRR3094696	-0.4644125113891297	-0.0009400246175635358	0.14322547429052074
SRR3094697	-0.22003716274471358	-0.29150188908763885	-0.08286450641830133
SRR3094698	-0.41528589004094996	-0.1324371349408569	0.2103655308397198
SRR3094699	0.07726418736437511	-0.29576455966299464	0.09980940858184091
SRR3094700	-0.0006777133218231304	-0.20836228282217858	0.19620799561594662
SRR3094701	-0.346218972269834	-0.09325415601553498	-0.07006921004931209
SRR3094702	-0.16208466833108134	-0.32002802120576196	-0.1896181576134224
SRR3094703	-0.4504245181282577	-0.020652736372741228	0.24569649574545022
SRR3094704	-0.012649071706155006	-0.10472480345511422	-0.23363178128175563
SRR3094705	-0.3602072216832574	0.04071414701358678	0.2850397906493082
SRR3094706	-0.4130873508126415	-0.031485909897582404	0.31630186427729856
SRR3094707	0.009456349576414407	-0.23303075612036334	0.16707003081767874
SRR3094708	-0.2752026784545948	-0.07367673217530704	0.3519015501008824
SRR3094709	-0.0325179940100505	0.24382604829958635	-0.27476527828127545
SRR3094710	-0.34812017697650716	-0.049170394364225725	0.3464097194787526
SRR3094711	-0.3079327807866016	-0.21680195583600412	-0.03987170734051712
SRR3094712	-0.2283014546328235	-0.34000943420672275	0.06359166018042638
SRR3094713	0.05822656291531733	-0.34810731556940566	-0.29580828604374365
SRR3094714	-0.3528961280017857	-0.010622854538988482	0.3040813733510153
SRR3094715	-0.005580376539801232	0.24391239084607558	-0.16185129703244583
SRR3094716	0.2202989985432764	-0.2588463708979434	0.2514645379774181
SRR3094717	-0.12328252493598535	-0.17271697732847002	-0.2717810758764273
SRR3094718	-0.3695933009250963	0.011731242704824446	-0.03743926956159247
SRR3094719	-0.2303231707323432	0.04181657277968603	-0.26878073544540715
SRR3094720	-0.4416635164100427	-0.033039621175157095	0.1935697588250705
SRR3094721	-0.34701086078002513	0.174343858297716	0.04321266985142074
SRR3094722	-0.2783643389131688	-0.06811282596393148	0.34652868032449163
SRR3094723	-0.18487781077104845	-0.1949145920167427	-0.23082069268274907
SRR3094724	-0.15885078496120128	-0.2274570222283249	0.18241552856976856
SRR3094725	-0.20607179548899687	-0.3106795529978875	0.0944637416122544
SRR3094726	-0.28244423971621047	-0.047657081745566855	0.32385219387035746
SRR3094727	-0.41853225087734897	0.06217246396860076	-0.01330151007290421
SRR3094728	0.10965681535744294	-0.33488830122659796	0.13071147356780885
SRR3094729	-0.33538952228083535	-0.03248176667964231	0.3204130772007128
SRR3094730	-0.1644789125884921	-0.24712638725798056	0.15355360925215997
SRR3094731	-0.24931825464132584	-0.188769691571776	-0.04063755898029683
SRR3094732	-0.23781252538169764	0.026462436537659825	-0.18820683097678242
SRR3094733	-0.208603622557102	-0.2584445047441732	0.12999742389176677
SRR3094734	0.02228837617243553	-0.2520297794024573	0.157111122139884
SRR3094735	-0.451034639359867	-0.033477545596816705	0.2661550836138899
SRR3094736	-0.42326936648009356	0.07765262215765686	0.08378488499688075
SRR3094737	-0.07342924673791296	-0.36861797113611594	-0.2808853068922515
SRR3094738	-0.2596027991316285	0.16644783198380378	-0.18153061498640255
SRR3094739	-0.3658485385993048	-0.013256167009798758	0.30322959572403985
SRR3094740	-0.39627431665321133	-0.07155492037480306	0.27425572092361067
SRR3094741	-0.22901874916932152	-0.33289054231607756	0.04334322253663995
SRR3094742	-0.4170145081592607	0.09169168930388334	0.18837428566002926
SRR3094743	-0.46734377529227583	0.0185161795509715	0.20800254586109204
SRR3094744	-0.4241756142416583	0.019768190832046104	0.012840886212664854
SRR3094745	-0.1842456787267963	-0.2536092947357464	0.15564796183734536
SRR3094746	-0.42516981137310805	-0.03745483564405882	0.23014166201868846
SRR3094747	-0.42682009276391214	-0.03963638016577697	0.3134049283791354
SRR3094748	-0.40649227995001114	0.08663944616252862	-0.09000164146508584
SRR3094749	-0.42206142560531007	0.0915308142049901	0.11439966394246441
SRR3094750	-0.16738851761108747	-0.05111547969225246	-0.2926433806366981
SRR3094751	-0.4302256006083065	-0.02960196374197761	0.08008679599378486
SRR3094752	-0.444723640730382	-0.03106586972604181	0.18308414946425441
