	PC1	PC2	PC3
PropExplained	0.4585493489323417	0.3277428232629957	0.11568940152939346
SRR3094678	-0.02362704523141712	-0.0025596001821769007	-0.021737623527097846
SRR3094679	-0.023627045231418217	-0.0025596001821767823	-0.021737623527098484
SRR3094680	0.05237483295485023	0.11889611493498287	-0.029630831272562535
SRR3094681	-0.02586527277648289	-0.008514769348768353	-0.02383640420115907
SRR3094682	0.016142064108353053	-0.09008583931793752	0.007185853112717185
SRR3094683	0.016142064108353064	-0.09008583931793786	0.007185853112717185
SRR3094684	-0.02362704523141708	-0.002559600182176836	-0.021737623527097714
SRR3094685	-0.02506779871968949	-0.0067949240916031954	-0.023485504431626256
SRR3094686	-0.4008449370491652	0.028265740773627014	0.10579137925197822
SRR3094687	0.016142064108353064	-0.09008583931793779	0.007185853112717256
SRR3094688	-0.025067798719689484	-0.006794924091603196	-0.023485504431626263
SRR3094689	0.05237483295485044	0.11889611493498327	-0.029630831272562386
SRR3094690	-0.02362704523141708	-0.002559600182176856	-0.02173762352709774
SRR3094691	0.01939816617402651	-0.08424236419831167	0.010555941574298478
SRR3094692	-0.025865272776482803	-0.008514769348768861	-0.023836404201159147
SRR3094693	-0.02586527277648281	-0.008514769348768861	-0.023836404201159143
SRR3094694	0.016142064108353053	-0.09008583931793777	0.0071858531127172555
SRR3094695	-0.02586527277648281	-0.008514769348768861	-0.023836404201159147
SRR3094696	-0.02586527277648281	-0.008514769348768861	-0.023836404201159147
SRR3094697	-0.02362704523141708	-0.0025596001821768534	-0.021737623527097738
SRR3094698	-0.02586527277648281	-0.00851476934876886	-0.023836404201159147
SRR3094699	-0.023627045231417083	-0.0025596001821768547	-0.02173762352709774
SRR3094700	-0.06779100656138153	0.011033311904598017	0.039097681354137624
SRR3094701	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094702	-0.024423616968189333	-0.00429353781998517	-0.022124518330420975
SRR3094703	0.016142064108353064	-0.09008583931793777	0.007185853112717259
SRR3094704	-0.022729631101163432	0.00031055424625516323	-0.02140642486219881
SRR3094705	-0.025865272776482814	-0.008514769348768865	-0.023836404201159143
SRR3094706	-0.025865272776482814	-0.008514769348768865	-0.023836404201159143
SRR3094707	-0.06892912098802442	0.007207389530141434	0.03810985915924283
SRR3094708	-0.025865272776482814	-0.008514769348768865	-0.023836404201159143
SRR3094709	0.01614206410835306	-0.09008583931793777	0.007185853112717259
SRR3094710	0.01614206410835306	-0.09008583931793776	0.007185853112717268
SRR3094711	-0.025068814538149548	-0.006797633287273583	-0.023485995879109507
SRR3094712	-0.023627045231417083	-0.0025596001821768573	-0.021737623527097738
SRR3094713	0.05237483295485044	0.11889611493498327	-0.029630831272562407
SRR3094714	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094715	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094716	-0.06779100656138151	0.01103331190459803	0.03909768135413764
SRR3094717	-0.024423616968189336	-0.00429353781998517	-0.022124518330420975
SRR3094718	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094719	-0.025865272776482817	-0.008514769348768865	-0.023836404201159143
SRR3094720	-0.025865272776482817	-0.008514769348768865	-0.023836404201159143
SRR3094721	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094722	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094723	0.019398166174026517	-0.08424236419831171	0.010555941574298488
SRR3094724	-0.024423616968189333	-0.00429353781998517	-0.022124518330420975
SRR3094725	-0.02272963110116342	0.0003105542462551582	-0.021406424862198806
SRR3094726	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094727	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094728	-0.035565649850810926	0.00125216405652993	-0.001592341908549396
SRR3094729	-0.025865272776482814	-0.008514769348768865	-0.023836404201159143
SRR3094730	-0.02442361696818934	-0.00429353781998517	-0.022124518330420978
SRR3094731	-0.02442361696818934	-0.00429353781998517	-0.022124518330420978
SRR3094732	-0.025865272776482814	-0.008514769348768865	-0.023836404201159133
SRR3094733	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094734	-0.023627045231417083	-0.0025596001821768573	-0.021737623527097738
SRR3094735	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094736	0.016142064108353053	-0.09008583931793779	0.007185853112717257
SRR3094737	0.05237483295485043	0.11889611493498327	-0.029630831272562407
SRR3094738	-0.025865272776482814	-0.008514769348768863	-0.023836404201159143
SRR3094739	-0.025865272776482814	-0.008514769348768865	-0.023836404201159143
SRR3094740	-0.025865272776482817	-0.008514769348768866	-0.023836404201159143
SRR3094741	-0.024423616968189336	-0.00429353781998517	-0.022124518330420978
SRR3094742	0.016142064108353053	-0.09008583931793776	0.007185853112717257
SRR3094743	0.016142064108353053	-0.09008583931793776	0.007185853112717257
SRR3094744	-0.025865272776482817	-0.008514769348768865	-0.023836404201159143
SRR3094745	-0.023627045231417083	-0.0025596001821768573	-0.021737623527097738
SRR3094746	-0.025865272776482817	-0.008514769348768866	-0.023836404201159143
SRR3094747	0.01614206410835306	-0.09008583931793779	0.007185853112717268
SRR3094748	0.01614206410835306	-0.09008583931793779	0.0071858531127172755
SRR3094749	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094750	0.01614206410835306	-0.09008583931793779	0.0071858531127172755
SRR3094751	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094752	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094753	0.016142064108353053	-0.09008583931793777	0.007185853112717259
SRR3094754	0.016142064108353053	-0.09008583931793777	0.007185853112717259
SRR3094755	-0.023627045231417083	-0.002559600182176854	-0.02173762352709774
SRR3094756	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094757	-0.023627045231417083	-0.002559600182176854	-0.02173762352709774
SRR3094758	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094759	-0.02586527277648281	-0.008514769348768865	-0.023836404201159143
SRR3094760	-0.023627045231417083	-0.002559600182176854	-0.02173762352709774
SRR3094761	0.016142064108353053	-0.09008583931793777	0.007185853112717259
SRR3094762	-0.025865272776482814	-0.008514769348768865	-0.023836404201159143
SRR3094763	0.016142064108353053	-0.09008583931793776	0.007185853112717262
SRR3094764	0.016142064108353053	-0.09008583931793776	0.007185853112717259
SRR3094765	-0.025067798719689494	-0.006794924091603196	-0.023485504431626263
SRR3094766	-0.023627045231417083	-0.0025596001821768547	-0.02173762352709774
SRR3094767	-0.023627045231417083	-0.0025596001821768547	-0.02173762352709774
SRR3094768	0.052374832954850445	0.11889611493498327	-0.029630831272562407
SRR3094769	0.01614206410835306	-0.09008583931793777	0.0071858531127172495
SRR3094770	0.01614206410835306	-0.09008583931793777	0.0071858531127172495
SRR3094771	0.016142064108353064	-0.09008583931793779	0.007185853112717262
SRR3094772	0.016142064108353064	-0.09008583931793779	0.007185853112717257
SRR3094773	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094774	-0.025865272776482817	-0.008514769348768866	-0.023836404201159143
SRR3094775	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094776	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094777	0.016142064108353064	-0.09008583931793776	0.007185853112717269
SRR3094778	0.016142064108353053	-0.09008583931793777	0.007185853112717262
SRR3094779	-0.02272963110116343	0.00031055424625516155	-0.021406424862198813
SRR3094780	-0.025865272776482817	-0.008514769348768866	-0.023836404201159143
SRR3094781	0.016142064108353064	-0.09008583931793776	0.007185853112717263
SRR3094782	0.016142064108353064	-0.09008583931793776	0.007185853112717269
SRR3094783	-0.02586527277648281	-0.008514769348768866	-0.023836404201159143
SRR3094784	-0.02272963110116343	0.00031055424625516155	-0.021406424862198813
SRR3094785	0.05237483295485044	0.11889611493498321	-0.029630831272562424
SRR3094786	-0.02362704523141708	-0.0025596001821768556	-0.021737623527097752
SRR3094787	-0.39689018532491993	0.048213181482022444	0.11059804797440224
SRR3094788	-0.025865272776482817	-0.008514769348768868	-0.02383640420115915
SRR3094789	-0.06779100656138153	0.011033311904598003	0.039097681354137645
SRR3094790	-0.025865272776482817	-0.008514769348768868	-0.02383640420115915
SRR3094791	-0.025865272776482828	-0.00851476934876887	-0.023836404201159154
SRR3094792	-0.02362704523141709	-0.0025596001821768565	-0.02173762352709776
SRR3094793	-0.025865272776482817	-0.00851476934876887	-0.023836404201159154
SRR3094794	0.016142064108353053	-0.09008583931793777	0.00718585311271728
SRR3094795	-0.02362704523141709	-0.0025596001821768573	-0.02173762352709776
SRR3094796	-0.025865272776482817	-0.008514769348768868	-0.023836404201159143
SRR3094797	0.016142064108353057	-0.09008583931793777	0.007185853112717288
SRR3094798	0.016142064108353053	-0.09008583931793777	0.007185853112717286
SRR3094799	-0.02272963110116343	0.00031055424625516155	-0.021406424862198813
SRR3094800	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094801	0.016142064108353053	-0.09008583931793777	0.0071858531127172815
SRR3094802	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094803	-0.02506779871968948	-0.006794924091603194	-0.023485504431626256
SRR3094804	0.016142064108353053	-0.09008583931793779	0.007185853112717288
SRR3094805	0.016142064108353053	-0.09008583931793777	0.0071858531127172815
SRR3094806	0.016142064108353053	-0.09008583931793777	0.007185853112717288
SRR3094807	-0.02362704523141709	-0.0025596001821768573	-0.02173762352709776
SRR3094808	-0.11629400658832685	0.009956780493563985	-0.0016062181138710627
SRR3094809	-0.025865272776482817	-0.00851476934876887	-0.023836404201159154
SRR3094810	-0.025865272776482817	-0.00851476934876887	-0.023836404201159154
SRR3094811	0.016142064108353053	-0.09008583931793777	0.007185853112717289
SRR3094812	-0.025865272776482817	-0.00851476934876887	-0.023836404201159154
SRR3094813	0.016142064108353053	-0.09008583931793777	0.007185853112717286
SRR3094814	-0.025865272776482828	-0.00851476934876887	-0.023836404201159154
SRR3094815	-0.025865272776482817	-0.00851476934876887	-0.023836404201159154
SRR3094816	-0.02586527277648282	-0.00851476934876887	-0.02383640420115915
SRR3094817	-0.02586527277648282	-0.00851476934876887	-0.02383640420115915
SRR3094818	-0.02586527277648282	-0.00851476934876887	-0.02383640420115915
SRR3094819	-0.02586527277648282	-0.008514769348768873	-0.02383640420115915
SRR3094820	-0.02272963110116343	0.00031055424625516155	-0.021406424862198813
SRR3094821	-0.02586527277648282	-0.00851476934876887	-0.02383640420115915
SRR3094822	-0.02586527277648283	-0.00851476934876887	-0.02383640420115915
SRR3094823	-0.02506881453814955	-0.00679763328727358	-0.023485995879109493
SRR3094824	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094825	-0.02362704523141709	-0.0025596001821768573	-0.02173762352709776
SRR3094826	-0.02362704523141709	-0.0025596001821768573	-0.02173762352709776
SRR3094827	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094828	-0.02586527277648282	-0.00851476934876887	-0.02383640420115915
SRR3094829	-0.025865272776482817	-0.00851476934876887	-0.023836404201159154
SRR3094830	-0.02362704523141708	-0.0025596001821768547	-0.021737623527097752
SRR3094831	-0.02586527277648282	-0.00851476934876887	-0.02383640420115915
SRR3094832	0.016142064108353057	-0.09008583931793777	0.007185853112717289
SRR3094833	0.016142064108353057	-0.09008583931793777	0.007185853112717289
SRR3094834	-0.02362704523141708	-0.0025596001821768547	-0.021737623527097752
SRR3094835	-0.025865272776482817	-0.008514769348768868	-0.023836404201159154
SRR3094836	0.05237483295485046	0.11889611493498321	-0.029630831272562424
SRR3094837	-0.025865272776482817	-0.008514769348768868	-0.023836404201159154
SRR3094838	-0.025865272776482828	-0.00851476934876887	-0.023836404201159154
SRR3094839	0.016142064108353057	-0.09008583931793776	0.0071858531127172815
SRR3094840	0.05237483295485044	0.11889611493498321	-0.02963083127256238
SRR3094841	-0.02362704523141708	-0.0025596001821768547	-0.021737623527097752
SRR3094842	-0.3589685458174461	-0.17189574517797185	0.3032226152731225
SRR3094843	-0.025865272776482828	-0.008514769348768872	-0.023836404201159157
SRR3094844	-0.02362704523141708	-0.0025596001821768547	-0.021737623527097752
SRR3094845	0.05237483295485044	0.1188961149349832	-0.02963083127256239
SRR3094846	0.05237483295485044	0.1188961149349832	-0.02963083127256239
SRR3094847	0.4677034142167411	0.010612959676852236	0.055130291715801326
SRR3094848	-0.025068814538149554	-0.006797633287273582	-0.023485995879109496
SRR3094849	-0.025068814538149558	-0.006797633287273581	-0.023485995879109496
SRR3094850	-0.025865272776482817	-0.008514769348768868	-0.02383640420115915
SRR3094851	-0.025865272776482817	-0.008514769348768866	-0.023836404201159143
SRR3094852	-0.023627045231417093	-0.0025596001821768556	-0.02173762352709776
SRR3094853	-0.06779100656138153	0.01103331190459801	0.03909768135413766
SRR3094854	-0.025865272776482817	-0.00851476934876887	-0.023836404201159143
SRR3094855	-0.023627045231417093	-0.0025596001821768556	-0.02173762352709776
SRR3094856	-0.022729631101163435	0.00031055424625516155	-0.021406424862198816
SRR3094857	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094858	0.016142064108353057	-0.09008583931793777	0.0071858531127172815
SRR3094859	0.05237483295485042	0.11889611493498319	-0.029630831272562413
SRR3094860	0.016142064108353053	-0.09008583931793779	0.00718585311271728
SRR3094861	-0.025865272776482817	-0.008514769348768868	-0.02383640420115915
SRR3094862	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094863	-0.025865272776482817	-0.00851476934876887	-0.02383640420115915
SRR3094864	-0.022729631101163442	0.00031055424625515987	-0.021406424862198827
SRR3094865	-0.023627045231417093	-0.0025596001821768556	-0.02173762352709776
SRR3094866	-0.025865272776482817	-0.008514769348768866	-0.023836404201159143
SRR3094867	0.01693114269821401	0.1705914597508395	0.05339804281773433
SRR3094868	-0.024423616968189333	-0.00429353781998517	-0.022124518330420985
SRR3094869	-0.025865272776482817	-0.00851476934876887	-0.023836404201159147
SRR3094870	0.016142064108353057	-0.09008583931793779	0.007185853112717277
SRR3094871	0.46770341421674094	0.010612959676852201	0.05513029171580125
SRR3094872	0.4512326868086313	0.05399515560670965	0.2813783115787273
SRR3094873	-0.023627045231417093	-0.002559600182176859	-0.02173762352709777
SRR3094874	-0.058849276450953746	-0.005096075220570901	0.011571687007795976
SRR3094875	0.016142064108353053	-0.0900858393179378	0.007185853112717269
SRR3094876	0.052374832954850424	0.11889611493498321	-0.029630831272562403
SRR3094877	-0.011894588747027203	-0.09511334123546168	0.07051318876241855
SRR3094878	0.052374832954850424	0.11889611493498319	-0.029630831272562403
SRR3094879	-0.02586527277648282	-0.008514769348768866	-0.023836404201159143
SRR3094880	0.018232145153610064	-0.085858282176876	0.009692199945741988
SRR3094881	0.05237483295485042	0.11889611493498319	-0.029630831272562413
SRR3094882	-0.025865272776482817	-0.008514769348768868	-0.023836404201159147
SRR3094883	-0.023627045231417093	-0.002559600182176859	-0.02173762352709777
SRR3094884	0.016142064108353053	-0.09008583931793779	0.007185853112717274
SRR3094885	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094886	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094887	0.016142064108353053	-0.09008583931793779	0.007185853112717271
SRR3094888	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094889	0.016142064108353053	-0.09008583931793779	0.007185853112717271
SRR3094890	-0.025865272776482817	-0.008514769348768863	-0.023836404201159147
SRR3094891	0.016142064108353053	-0.0900858393179378	0.0071858531127172755
SRR3094892	0.016142064108353053	-0.0900858393179378	0.007185853112717268
SRR3094893	0.016142064108353053	-0.09008583931793782	0.0071858531127172755
SRR3094894	0.016142064108353053	-0.09008583931793782	0.0071858531127172755
SRR3094895	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094896	0.016142064108353053	-0.09008583931793782	0.0071858531127172755
SRR3094897	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094898	-0.02586527277648282	-0.008514769348768865	-0.02383640420115915
SRR3094899	0.016142064108353053	-0.09008583931793783	0.007185853112717277
SRR3094900	-0.023627045231417097	-0.0025596001821768573	-0.021737623527097773
SRR3094901	0.05237483295485041	0.1188961149349832	-0.029630831272562413
SRR3094902	-0.023627045231417093	-0.0025596001821768582	-0.02173762352709777
SRR3094903	0.016142064108353053	-0.0900858393179378	0.007185853112717274
SRR3094904	0.018232145153610064	-0.08585828217687597	0.00969219994574198
SRR3094905	0.016142064108353053	-0.0900858393179378	0.007185853112717269
SRR3094906	-0.026199048102798876	-0.10396040563693193	0.10114882368976714
SRR3094907	0.01614206410835305	-0.09008583931793779	0.007185853112717271
SRR3094908	-0.02393712019226581	-0.09819493321545181	0.1040225610613791
SRR3094909	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094910	0.016142064108353053	-0.09008583931793779	0.007185853112717271
SRR3094911	0.020845977133711096	-0.08151344365330696	0.012174274281682114
SRR3094912	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094913	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094914	-0.02586527277648282	-0.008514769348768866	-0.02383640420115915
SRR3094915	-0.05534742415101429	0.0058993763357422044	0.014652485731167345
SRR3094916	0.052374832954850424	0.11889611493498323	-0.029630831272562403
SRR3094917	-0.39689018532491993	0.048213181482022506	0.11059804797440204
SRR3094918	-0.024423616968189347	-0.004293537819985175	-0.022124518330421016
SRR3094919	0.45123268680863127	0.053995155606709644	0.2813783115787272
SRR3094920	0.016142064108353053	-0.09008583931793777	0.007185853112717289
SRR3094921	0.016142064108353053	-0.09008583931793776	0.007185853112717294
SRR3094922	-0.025865272776482828	-0.008514769348768868	-0.023836404201159157
