	PC1	PC2	PC3
PropExplained	0.7408680783525233	0.14156488309876042	0.044668763238677696
SRR3094678	-0.2978156368160417	0.0741230828706538	0.03834927160712016
SRR3094679	-0.15589777261949903	0.15772338219024093	0.10801608360218236
SRR3094680	-0.5136124680299096	0.07954499877924888	-0.031669979456093365
SRR3094681	-0.1702977843766138	-0.13454931081086924	0.0023152667804547658
SRR3094682	0.13810760622079968	-0.1300930248566608	0.040829592914186315
SRR3094683	-0.15445154749706266	-0.1426195224677216	0.005246757711385375
SRR3094684	-0.2819351179717698	0.13745878929222993	0.06638151021931185
SRR3094685	0.16624139055494142	0.23211531530724086	0.07746169890379463
SRR3094686	0.6986179272803025	-0.06408575624058731	-0.1872490156714927
SRR3094687	0.1403441366081011	-0.12906808668817174	0.039956437229859275
SRR3094688	-0.5876080928471346	0.03406625536344763	-0.07789290040168595
SRR3094689	0.10949652859069618	0.2196673423383015	0.10374606659344611
SRR3094690	-0.023109580134619737	0.17586066336119496	0.1277555529018109
SRR3094691	-0.5998952476634644	-0.0259191134877906	-0.1100205774691973
SRR3094692	0.20441764221233172	-0.11726973864879535	0.02840730550073898
SRR3094693	0.5831191734644988	0.05139230106517552	-0.02603153344587053
SRR3094694	0.3336527190959055	-0.11607610281019516	-0.018620673411427376
SRR3094695	0.3723104330676826	-0.10879919341412364	-0.03328178501583308
SRR3094696	0.05543325780457335	-0.12675669565322906	0.04683235938975535
SRR3094697	-0.59637510888036	0.022759120848966422	-0.0875961647111449
SRR3094698	-0.08741657063176195	-0.05263812818440013	0.053876105150063996
SRR3094699	0.41936479596397863	0.3826725091617887	-0.04795789422098867
SRR3094700	0.5160957508402565	0.49782348315498626	-0.06932916205772172
SRR3094701	0.03128885508780564	-0.05272044936749102	0.07069387104904508
SRR3094702	-0.4076277334093434	0.0704718828837681	0.0011047871594545436
SRR3094703	0.042770321302942206	-0.13877360017428197	0.04693313290346329
SRR3094704	-0.06816656820855163	-0.02378256606212821	0.06712757456658437
SRR3094705	0.5219789424715838	-0.08643767216296103	-0.10487627406154257
SRR3094706	0.2506254718404042	-0.12230018524316011	0.012312398302512996
SRR3094707	0.5041362492527277	0.4669418452442108	-0.06255447453646382
SRR3094708	0.14247831118762255	-0.12850368524942887	0.04045242894049677
SRR3094709	-0.01784286642477862	-0.14265171014259828	0.039436271018135044
SRR3094710	0.3455035662545693	-0.11395903787355469	-0.023953324154309494
SRR3094711	-0.32537413081617483	0.0005617370336481805	0.004682669902234238
SRR3094712	-0.471538082859028	0.0896117901046807	-0.01271336476245746
SRR3094713	-0.384759861551949	0.12507986484479033	0.029995343801203323
SRR3094714	0.47501801298563046	-0.09681192312975609	-0.08142908646472204
SRR3094715	0.2524514816645856	-0.0696078437814279	0.028517214298600217
SRR3094716	0.4994398086395779	0.39930977227968617	-0.04378855284033084
SRR3094717	-0.45472704246540113	-0.01667665902343349	-0.05058167105376394
SRR3094718	0.09421271036065018	-0.10623245343296428	0.05207159464245673
SRR3094719	-0.27387821049736216	-0.1200373484682241	-0.024951540308261952
SRR3094720	-0.10783112405224554	-0.1368813810806057	0.020405904422442406
SRR3094721	0.3720189937795626	-0.10586741113990734	-0.03529096631563274
SRR3094722	0.3526365084355643	-0.11246868108503294	-0.026481267186610494
SRR3094723	-0.6088425476880686	-0.02263698583040991	-0.11134451060050062
SRR3094724	-0.5436427402196876	0.05780227768659415	-0.05052099725388445
SRR3094725	-0.11866655794123378	0.16057069250624303	0.11517927437440745
SRR3094726	0.4973521340056507	-0.09030625760128784	-0.09304070829947678
SRR3094727	0.0514366820482979	-0.1293709159391624	0.04603784151681322
SRR3094728	0.4581801856722728	0.4236985795566282	-0.05769839208617118
SRR3094729	0.46238956521022706	-0.09608138770875513	-0.07554301688605727
SRR3094730	0.08041939762623283	0.20285939949173937	0.11158821773327394
SRR3094731	-0.5955741269711621	-0.019592933204765697	-0.1039896858921517
SRR3094732	0.15112750620466395	-0.03784153235698048	0.06542468624675546
SRR3094733	-0.5089231391634963	0.0576410332860447	-0.037720377182824394
SRR3094734	0.48109196219778116	0.45245400257310897	-0.06211667287605577
SRR3094735	0.09334258078038504	-0.12667401239682172	0.04655206370896976
SRR3094736	0.23568652205549742	-0.1252375704242337	0.017286738362004745
SRR3094737	-0.47112668789190437	0.09741666234464219	-0.009096030425921931
SRR3094738	0.12418366084507454	-0.11185034229773254	0.04743351712555651
SRR3094739	0.4492532130144935	-0.09819059765213106	-0.07086854882515334
SRR3094740	0.2989487085939602	-0.09291875941084847	0.000192378733875203
SRR3094741	-0.39022177429847493	0.1044861074685282	0.020727197212032544
SRR3094742	0.410072704654307	-0.10611235704001921	-0.0517337822297033
SRR3094743	0.19901049349411748	-0.1266397040093776	0.02691894064616836
SRR3094744	0.11064028740064803	-0.10652314451799988	0.04927252270821508
SRR3094745	-0.5880564963190201	0.03983785403790795	-0.07486070182916633
SRR3094746	-0.06687680213936133	-0.13876911864916022	0.030629117024124745
SRR3094747	0.07986368362767406	-0.13336814983918596	0.04601096471087246
SRR3094748	-0.021606521644795824	-0.14099843843439863	0.036839707796569726
SRR3094749	0.3209237627278559	-0.11514994147910891	-0.013253390299837855
SRR3094750	-0.4697227266822087	-0.0837978010347528	-0.08310995490018099
SRR3094751	-0.20640950473460679	-0.12595485519793628	-0.003926276211028734
SRR3094752	-0.20586385103451263	-0.1375231950525313	-0.007765539167009185
SRR3094753	-0.416264440477351	-0.10337891326498676	-0.06968714722417506
SRR3094754	0.06540150443147599	-0.13349042161518002	0.04465149714778318
SRR3094755	0.019314462781048918	0.18177102684534888	0.1230818430966396
SRR3094756	-0.5772061137491515	-0.013405252986330064	-0.09486346374739041
SRR3094757	-0.6502559402079211	0.006096103189863984	-0.11720341356066345
SRR3094758	-0.28327829877983957	-0.11920123560279128	-0.026909151951763827
SRR3094759	-0.3272356553357601	-0.09684767764670922	-0.033265499683091206
SRR3094760	-0.5168873848520114	0.0531150522732342	-0.04315383350873478
SRR3094761	0.15021759796729953	-0.13068592281760702	0.03924497481690936
SRR3094762	0.046140071732868444	-0.1266615483405804	0.04787822427271736
SRR3094763	0.14474589728958157	-0.12822696131190686	0.0395565282192298
SRR3094764	-0.5100900690058012	-0.06767331601983571	-0.0921814106363971
SRR3094765	0.0919712428051303	0.2047365437635186	0.10777187771615794
SRR3094766	-0.39767746274899873	0.06435672902779165	0.0022670558277327925
SRR3094767	-0.4370367696830656	0.003782882368488142	-0.034702121185560195
SRR3094768	-0.2422610168459565	0.15350104097889583	0.08475016464653558
SRR3094769	-0.2461124205317262	-0.1363607615781062	-0.02080593938048293
SRR3094770	-0.5488613779184579	-0.04799390205177988	-0.09980414270374255
SRR3094771	0.29249011927868673	-0.12116905359018795	-0.0018555808882917198
SRR3094772	0.4793028634360792	-0.09744535747378687	-0.08278490005609143
SRR3094773	0.3210762568989358	-0.11583441451480386	-0.013570356805430324
SRR3094774	-0.012338184189506163	-0.12880325070767756	0.04227256574365757
SRR3094775	-0.35007489098209726	-0.07812770429090983	-0.035829851231033216
SRR3094776	-0.1642703184232595	-0.12467889121556652	0.008387958132830626
SRR3094777	-0.3179869719072988	-0.125495897882142	-0.04217868057097357
SRR3094778	0.26495294474454234	-0.1196077640172804	0.00484186405961743
SRR3094779	-0.535348982364056	-0.014920963505577927	-0.07961066959919703
SRR3094780	-0.17400409508932627	0.10236076194530307	0.0834794999852655
SRR3094781	0.17195260644020813	-0.12824932420733792	0.03329724295746746
SRR3094782	0.08616330302039303	-0.1322646626739942	0.044457435448388344
SRR3094783	0.5038061500219178	-0.08935718901772591	-0.09383856828581895
SRR3094784	0.07582142292213996	0.2044652126597378	0.11292232139675014
SRR3094785	0.027929674398245678	0.19615865272898295	0.12624167771023714
SRR3094786	-0.5813160699312195	0.03717431515464392	-0.07433668975773737
SRR3094787	0.5323080477398007	0.41553077689859097	-0.04397175798682314
SRR3094788	0.05547510951985911	-0.12527653197097854	0.04499444088778081
SRR3094789	0.6028805697107746	0.1419079901097422	0.023751343210412276
SRR3094790	0.22113176418920447	-0.11987572048094122	0.022159892109095827
SRR3094791	0.05657629239111621	-0.13152222265342436	0.047205514235966896
SRR3094792	-0.2914641939406269	0.11031019884392249	0.05383680728108473
SRR3094793	-0.3513126565068433	-0.04046666388734183	-0.020880336208257605
SRR3094794	0.36465005518313465	-0.11044884939494866	-0.0331625017578608
SRR3094795	-0.38618462689025734	0.11174027402399392	0.02462993847306072
SRR3094796	-0.1706189232704566	-0.1314752307416673	0.005833487753138359
SRR3094797	-0.19535263969572603	-0.1427945584816039	-0.005166434369422062
