beta	psuedoF	pval	iteration
bray_curtis	1.025715433526678	0.375	2
bray_curtis	1.017566216043822	0.394	3
bray_curtis	1.0338119658333222	0.35	4
bray_curtis	1.0822847682808412	0.248	5
bray_curtis	0.7273626390542017	0.968	6
bray_curtis	1.0697782704097238	0.279	7
bray_curtis	1.0875640232793111	0.279	8
bray_curtis	1.0034899103779462	0.426	9
bray_curtis	1.3199419121035698	0.039	10
bray_curtis	1.0037834025766	0.44	11
bray_curtis	0.8667583190784136	0.746	12
bray_curtis	1.1210986287001072	0.181	13
bray_curtis	1.2306198110011304	0.041	14
bray_curtis	0.9654018333349692	0.534	15
bray_curtis	0.9422464746860528	0.675	16
bray_curtis	0.9394414128502854	0.614	17
bray_curtis	0.9180347896407817	0.684	18
bray_curtis	1.1768979327201983	0.116	19
bray_curtis	1.04759682236565	0.317	20
bray_curtis	0.9883996171449967	0.716	21
bray_curtis	0.9300005583504811	0.562	22
bray_curtis	0.988547605097896	0.425	23
bray_curtis	1.158139668680636	0.102	24
bray_curtis	0.9031179781487095	0.65	25
bray_curtis	0.8107922812684739	0.855	26
bray_curtis	1.1543936914074053	0.162	2
bray_curtis	1.069251905480376	0.187	3
bray_curtis	0.9592338556955912	0.509	4
bray_curtis	0.9734283966972419	0.509	5
bray_curtis	0.9052347098653829	0.611	6
bray_curtis	0.9927872057405548	0.445	7
bray_curtis	1.0791576007028867	0.288	8
bray_curtis	1.0701891756462671	0.174	9
bray_curtis	0.8482187934905787	0.88	10
bray_curtis	1.025283480895126	0.354	11
bray_curtis	1.22194874393905	0.139	12
bray_curtis	1.1636438000633935	0.096	13
bray_curtis	1.1753068008187026	0.076	14
bray_curtis	1.0702102017434143	0.271	15
bray_curtis	1.0911177818912081	0.17	16
bray_curtis	0.8259930333278231	0.922	17
bray_curtis	1.1918661039956027	0.098	18
bray_curtis	1.0675558224492634	0.276	19
bray_curtis	0.9351903472239533	0.631	20
bray_curtis	1.0192573753872498	0.209	21
bray_curtis	1.5998990766923658	0.016	22
bray_curtis	2.0655944027976254	0.003	23
bray_curtis	0.9677792237994972	0.532	24
bray_curtis	0.9882714763986759	0.448	25
bray_curtis	0.8864561264090657	0.647	26
bray_curtis	0.7895321041348968	0.884	2
bray_curtis	0.9522938088601811	0.689	3
bray_curtis	1.0996958693528844	0.243	4
bray_curtis	1.0407020718088125	0.329	5
bray_curtis	0.821114760041967	0.828	6
bray_curtis	1.0656112946630574	0.289	7
bray_curtis	0.8416901887611835	0.789	8
bray_curtis	1.0199268408973867	0.368	9
bray_curtis	0.9900846502256894	0.464	10
bray_curtis	1.0310327820899226	0.323	11
bray_curtis	0.9029137566469047	0.64	12
bray_curtis	0.7960251465146027	0.962	13
bray_curtis	1.178744251789709	0.072	14
bray_curtis	1.0443776144432424	0.317	15
bray_curtis	1.042179494155381	0.312	16
bray_curtis	1.0480849866030606	0.312	17
bray_curtis	0.8311452289838436	0.919	18
bray_curtis	1.1365557973101792	0.169	19
bray_curtis	0.8829755852793039	0.785	20
bray_curtis	0.9871375039424009	0.734	21
bray_curtis	0.9975246058042878	0.422	22
bray_curtis	0.9306554882355514	0.613	23
bray_curtis	0.9050466006446107	0.785	24
bray_curtis	1.4863419615618902	0.032	25
bray_curtis	1.0686226681333397	0.29	26
bray_curtis	1.1149635773147724	0.24	2
bray_curtis	0.9120327563149316	0.864	3
bray_curtis	0.998380417838718	0.438	4
bray_curtis	1.156342897807763	0.142	5
bray_curtis	0.8511306092712305	0.745	6
bray_curtis	0.9182385019504894	0.659	7
bray_curtis	1.0121091741696482	0.383	8
bray_curtis	1.088029636029457	0.116	9
bray_curtis	1.0872817779793384	0.231	10
bray_curtis	1.1271273836414923	0.171	11
bray_curtis	0.8744010393500035	0.716	12
bray_curtis	1.3577520425300518	0.022	13
bray_curtis	1.011414191878112	0.417	14
bray_curtis	1.0281810086566014	0.342	15
bray_curtis	0.8746629932215408	0.91	16
bray_curtis	0.8768470408421563	0.815	17
bray_curtis	1.1611384674773384	0.133	18
bray_curtis	1.0307689022452573	0.332	19
bray_curtis	0.8344403910825253	0.905	20
bray_curtis	1.0044037043624485	0.418	21
bray_curtis	1.060883118155257	0.302	22
bray_curtis	0.8855537705621525	0.632	23
bray_curtis	0.9590108232886566	0.594	24
bray_curtis	1.083745446434103	0.297	25
bray_curtis	0.8950278496887806	0.667	26
bray_curtis	0.9563331347062014	0.524	2
bray_curtis	0.8512339191427511	0.982	3
bray_curtis	1.7066337736136452	0.011	4
bray_curtis	0.8439945555801818	0.886	5
