	PC1	PC2	PC3
PropExplained	0.23516077951872974	0.19197243106402778	0.08851673268853177
ERR2836366	-0.036267588311885014	0.037704360681493236	0.2632183466385689
ERR2836368	0.2640459219728779	-0.0024697712388791373	-0.08445610281107946
ERR2836369	-0.17731526025286912	0.17782562816710817	0.25345678729509336
ERR2836370	0.26273783048497745	-0.19334383572421354	-0.0373959232155221
ERR2836371	0.2421903390394742	-0.22960572900982343	-0.09472952397067239
ERR2836372	0.2509003344484815	-0.29791013561532864	-0.14612694331490278
ERR2836373	0.3118349455049738	-0.15385407027841275	-0.06440440376509432
ERR2836374	-0.27773613927833435	-0.3305159731449099	0.09923399557278875
ERR2836375	-0.023843443714781073	0.4164902400485118	-0.12499410456660244
ERR2836376	0.03468401459131349	-0.034958097400770466	-0.00781352851163862
ERR2836377	0.0022084362273091874	-0.03481747956922011	0.21574646637431716
ERR2836378	0.2283971312746649	-0.28844110615582297	-0.04721885170486317
ERR2836379	0.007428097693424947	-0.24951915273488942	0.06654700201493448
ERR2836380	0.2715856795256342	-0.28278196852035786	-0.0415163159735097
ERR2836381	0.14877106939621287	-0.27432062084125236	-0.14580494600276725
ERR2836382	0.23879300427776912	-0.2470271014524885	-0.11964405938430203
ERR2836383	-0.4026027832379879	-0.2121763782692399	0.049070637544390054
ERR2836384	0.2694575073060648	-0.19261151575226648	-0.07827740188668995
ERR2836385	0.11815043659095961	-0.20280739326204886	0.1782249758896403
ERR2836386	-0.29855011341504356	-0.3265591497112269	0.09995475324880754
ERR2836387	-0.20742694665762548	-0.06862793051658528	0.2944550203514985
ERR2836388	0.2968180283342393	-0.2421999237451855	-0.038166682363976676
ERR2836389	0.2579278460890445	-0.15316870957505768	-0.00815069021395628
ERR2836390	-0.1106795868408357	0.19024716461164087	-0.15710313470063925
ERR2836391	0.081708076237504	0.19111461680699612	0.03480819438801406
ERR2836392	0.17063955776750983	-0.27579093583135184	-0.15055984127116476
ERR2836393	-0.019103128225680388	-0.09860470779387967	0.034800885963356204
ERR2836394	-0.21362489269642718	-0.1318019462975639	0.1537790739207586
ERR2836395	0.2686437976726384	-0.1341551891936895	0.005482250925628961
ERR2836396	0.26222264296008174	-0.16385749263671417	0.05261268843712061
ERR2836397	-0.10622696556980978	0.24923578762696647	0.1728350700955054
ERR2836398	0.13045297733929115	-0.1645191889255812	0.06348604374729763
ERR2836399	0.2827023529322599	-0.21920117513455956	-0.09609277864926177
ERR2836400	-0.4294294725702231	0.08708790272811598	-0.21358488727696393
ERR2836401	-0.07970783183290177	-0.06090161138184546	0.44845609674116016
ERR2836402	0.3111872024790274	-0.2262232080664203	-0.12641631552418855
