	PC1	PC2	PC3
PropExplained	0.21763157921722948	0.16549594907301457	0.09278274751284633
ERR2836366	0.04952347052897911	-0.16914071386783947	0.2887264864843357
ERR2836368	-0.29786336229939386	-0.002973127803048805	-0.08053938006980628
ERR2836369	0.20850220443606537	-0.2371700102664371	0.16935875729384173
ERR2836370	-0.2993492259315414	0.21001138018626647	-0.049353026642427314
ERR2836371	-0.2931471526811692	0.2510076992473019	-0.10757322750940829
ERR2836372	-0.20352643598079362	0.2766652926695495	-0.17704597526573695
ERR2836373	-0.33048416564333855	0.20024593068190394	-0.08890235759261263
ERR2836374	0.27640802847616985	0.31345458272227567	0.07646733781608944
ERR2836375	0.06033192216208487	-0.3865620229566	-0.16547162197744342
ERR2836376	-0.0565933760859838	0.02195557442476681	0.08046335994958763
ERR2836377	0.0016414188002887053	-0.00282080890326049	0.3029512756670799
ERR2836378	-0.25776514861891364	0.31368451690899685	-0.0678692243407074
ERR2836379	-0.01793603466176793	0.19567242912546307	0.12110964676312315
ERR2836380	-0.3315679602902247	0.2739396045889839	-0.04903799622243678
ERR2836381	-0.16337774115859363	0.2332526014771283	-0.13032619765204587
ERR2836382	-0.2020108848598236	0.2508961059208036	-0.16729228923791803
ERR2836383	0.4446462889105323	0.2243135961054477	0.03217409435288837
ERR2836384	-0.294225890637345	0.18138256867408892	-0.09141796590257667
ERR2836385	-0.08824255507806981	0.17899784553307546	0.09072793300735786
ERR2836386	0.2993846630716635	0.3128033463834211	0.0743175348586736
ERR2836387	0.2374054347589987	0.08595154798832454	0.3302351272998137
ERR2836388	-0.31370040715049846	0.293643842518671	-0.054939742727240455
ERR2836389	-0.27874632341414485	0.15994147052835508	-0.017960001329075458
ERR2836390	0.120922456223868	-0.19707924281807038	-0.11552242270795124
ERR2836391	-0.08213993578755875	-0.24273728464981126	0.05894887790586816
ERR2836392	-0.17758415882096626	0.3042544903229323	-0.14367372612532125
ERR2836393	0.00866410599140472	0.07780933909351574	0.126484128174958
ERR2836394	0.24889267677999946	0.05119917279747542	0.24038396563123632
ERR2836395	-0.31957744092251406	0.15283695572159609	0.011498906874476458
ERR2836396	-0.3050941462863808	0.1649309756026851	0.061008986495565555
ERR2836397	0.13616894783788763	-0.3469688569812681	0.09377879660291666
ERR2836398	-0.1817045992148721	0.15487284723943343	0.14067563922642837
ERR2836399	-0.3321666832028975	0.2313749363338592	-0.12979111707574972
ERR2836400	0.34847037084128996	0.0510756152066443	-0.22314988673541786
ERR2836401	0.11339171333944685	0.05137509162681238	0.43229044953886087
ERR2836402	-0.28866734844111347	0.26818955724412213	-0.14352678582175488
ERR2836403	-0.09640273710367504	-0.3397736013700547	-0.18482022479629415
ERR2836404	-0.2872766501298296	0.19127355412093322	-0.22739732039125676
ERR2836405	0.12984731968256488	0.22127486220124698	0.010898158299476362
