	PC1	PC2	PC3
PropExplained	0.34142075464978233	0.31492224222497606	0.19400769683769664
ERR2836366	0.0252454902522881	0.13838588460471107	0.013695603316222448
ERR2836368	-0.050021813543246536	-0.005377372297766826	0.02283910862683817
ERR2836369	0.02518672841362947	0.14483748089471601	0.029073611243753936
ERR2836370	-0.05002181354324632	-0.005377372297767648	0.022839108626838155
ERR2836371	-0.05002181354324661	-0.005377372297767806	0.022839108626838592
ERR2836372	0.02805127336342409	0.1467243332608949	0.04397575322243342
ERR2836373	-0.05002181354324676	-0.005377372297767631	0.022839108626838373
ERR2836374	-0.05501866259485786	-0.009981657248140232	0.012586463092310056
ERR2836375	-0.053724004417254854	-0.007737483041095921	0.01997400209365383
ERR2836376	-0.05002181354324672	-0.005377372297767622	0.022839108626838172
ERR2836377	-0.05002181354324672	-0.005377372297767622	0.02283910862683818
ERR2836378	-0.05002181354324673	-0.005377372297767624	0.022839108626838182
ERR2836379	-0.05002181354324674	-0.005377372297767623	0.022839108626838182
ERR2836380	0.026853206279694983	0.1393169411759892	0.023176436651717182
ERR2836381	-0.05002181354324673	-0.00537737229776762	0.022839108626838175
ERR2836382	0.025227493578894113	0.13831990948669806	0.015293529651382082
ERR2836383	-0.0558942282611061	-0.009891151138818922	0.011807418868809797
ERR2836384	-0.05002181354324674	-0.0053773722977676205	0.022839108626838186
ERR2836385	0.024567815564280115	0.13910400631955724	0.011838847202461665
ERR2836386	-0.055894228261106106	-0.00989115113881892	0.011807418868809786
ERR2836387	-0.055894228261106106	-0.00989115113881892	0.01180741886880978
ERR2836388	-0.05002181354324674	-0.005377372297767622	0.02283910862683818
ERR2836389	-0.05002181354324674	-0.0053773722977676205	0.022839108626838186
ERR2836390	-0.050021813543246745	-0.0053773722977676205	0.022839108626838186
ERR2836391	-0.06158386115486644	-0.013794953446892853	0.0418844970735181
ERR2836392	-0.05002181354324674	-0.005377372297767623	0.02283910862683819
ERR2836393	-0.05002181354324674	-0.005377372297767627	0.02283910862683818
ERR2836394	-0.053236612582310563	-0.008388969249466116	0.015803282054448274
ERR2836395	-0.05002181354324673	-0.005377372297767623	0.02283910862683818
ERR2836396	-0.061583861154866394	-0.013794953446892844	0.04188449707351811
ERR2836397	0.025245490252288068	0.13838588460471107	0.013695603316222367
ERR2836398	-0.05002181354324673	-0.005377372297767627	0.022839108626838182
ERR2836399	-0.05002181354324674	-0.005377372297767627	0.022839108626838182
ERR2836400	-0.06998202318687441	-0.020569946765100506	0.030581006768427267
ERR2836401	-0.08824305648031142	0.3186336097603916	-0.3687475533817763
ERR2836402	-0.05002181354324673	-0.0053773722977676275	0.022839108626838182
ERR2836403	0.026141633829223805	0.13875221703072427	0.019635686848424087
ERR2836404	0.026853206279694987	0.1393169411759892	0.023176436651717165
ERR2836405	-0.05002181354324672	-0.005377372297767628	0.022839108626838175
ERR2836406	-0.05002181354324674	-0.005377372297767627	0.02283910862683819
ERR2836407	-0.05002181354324674	-0.005377372297767625	0.022839108626838186
ERR2836408	-0.05002181354324673	-0.00537737229776763	0.022839108626838193
ERR2836409	-0.05128273599034348	-0.006664513754858273	0.020173012128562314
ERR2836411	-0.053236612582310563	-0.008388969249466116	0.015803282054448267
ERR2836412	0.026853206279694997	0.13931694117598925	0.023176436651717185
ERR2836413	0.026853206279694987	0.1393169411759892	0.023176436651717175
ERR2836414	-0.05307209923439558	-0.008241902626043246	0.016990884528233066
ERR2836415	-0.05002181354324673	-0.0053773722977676275	0.02283910862683819
ERR2836416	-0.05002181354324673	-0.005377372297767625	0.022839108626838182
ERR2836417	-0.05002181354324674	-0.005377372297767623	0.022839108626838193
ERR2836418	-0.12974065037496305	-0.046079378129418924	-0.10083139270252744
ERR2836419	-0.1261436422153218	-0.04353127192106945	-0.09822762801419528
ERR2836420	-0.051658563166149335	-0.006819936190539757	0.01995698249576952
ERR2836421	-0.06158386115486639	-0.013794953446892846	0.04188449707351808
ERR2836423	0.028051273363424285	0.1467243332608948	0.04397575322243452
ERR2836424	-0.05002181354324673	-0.005377372297767627	0.022839108626838186
ERR2836425	-0.06691221351762106	-0.01897449116683402	0.030650649125955578
ERR2836426	-0.05128273599034348	-0.006664513754858268	0.020173012128562325
ERR2836427	-0.05307209923439558	-0.008241902626043246	0.01699088452823307
ERR2836428	-0.05002181354324673	-0.0053773722977676275	0.02283910862683819
ERR2836430	-0.05307209923439558	-0.008241902626043246	0.016990884528233073
ERR2836431	-0.06998202318687442	-0.0205699467651005	0.03058100676842728
ERR2836432	-0.05501866259485787	-0.009981657248140225	0.012586463092310107
ERR2836433	-0.05002181354324673	-0.005377372297767625	0.022839108626838182
ERR2836434	-0.05633308923472611	-0.009710564100600635	0.01589627877227795
ERR2836435	-0.05002181354324673	-0.005377372297767628	0.022839108626838186
ERR2836436	-0.05002181354324672	-0.005377372297767627	0.022839108626838186
ERR2836437	-0.053236612582310563	-0.008388969249466116	0.015803282054448267
ERR2836438	-0.05307209923439558	-0.008241902626043244	0.016990884528233073
ERR2836439	-0.05002181354324673	-0.005377372297767628	0.022839108626838186
ERR2836440	-0.05627049171562276	-0.010049266911301653	0.011584621421643564
ERR2836441	0.025962492370076865	0.1389838095863504	0.0172815509574594
ERR2836442	-0.05002181354324672	-0.00537737229776763	0.022839108626838182
ERR2836443	-0.05002181354324672	-0.0053773722977676275	0.022839108626838182
ERR2836444	-0.05002181354324672	-0.005377372297767628	0.02283910862683818
ERR2836445	-0.05002181354324673	-0.00537737229776763	0.022839108626838193
ERR2836446	-0.05002181354324673	-0.0053773722977676275	0.022839108626838182
ERR2836447	-0.05002181354324672	-0.0053773722977676275	0.022839108626838182
ERR2836448	-0.05002181354324673	-0.0053773722977676275	0.022839108626838186
ERR2836449	-0.05002181354324672	-0.0053773722977676275	0.022839108626838182
ERR2836450	0.026853206279694983	0.1393169411759892	0.02317643665171717
ERR2836451	-0.06694993972695357	-0.01833229297612026	0.032128603727667286
ERR2836452	-0.05002181354324673	-0.005377372297767624	0.02283910862683818
ERR2836453	-0.05002181354324672	-0.0053773722977676275	0.022839108626838182
ERR2836454	-0.05002181354324673	-0.005377372297767625	0.02283910862683818
ERR2836455	-0.05002181354324672	-0.005377372297767628	0.022839108626838182
ERR2836456	-0.05002181354324672	-0.0053773722977676275	0.022839108626838182
ERR2836457	-0.055018662594857874	-0.009981657248140218	0.012586463092310096
ERR2836458	-0.05002181354324672	-0.005377372297767628	0.022839108626838182
ERR2836459	-0.05002181354324674	-0.005377372297767625	0.022839108626838186
ERR2836460	0.026716616561622164	0.14074435875526434	0.02472320741558486
ERR2836461	-0.05002181354324673	-0.0053773722977676275	0.02283910862683819
ERR2836462	-0.05002181354324673	-0.0053773722977676275	0.022839108626838182
ERR2836463	-0.05002181354324673	-0.005377372297767624	0.02283910862683819
ERR2836464	-0.05002181354324674	-0.005377372297767624	0.022839108626838186
ERR2836465	-0.05002181354324672	-0.0053773722977676275	0.022839108626838186
ERR2836466	-0.08964892770072613	0.3182363896831716	-0.37442878900763843
ERR2836467	-0.05002181354324673	-0.0053773722977676275	0.02283910862683819
ERR2836468	-0.051982143618744904	-0.007087231311744377	0.01849914403426371
ERR2836469	-0.06158386115486639	-0.013794953446892843	0.04188449707351808
ERR2836470	0.09951081113761578	-0.14341799972605415	0.03648308189990526
ERR2836471	0.026853206279695	0.13931694117598925	0.023176436651717185
ERR2836472	0.02671661656162212	0.14074435875526434	0.024723207415584782
ERR2836473	-0.06933911769696861	-0.02032824173049853	0.03019170197122368
ERR2836474	-0.12614364221532182	-0.04353127192106945	-0.09822762801419527
ERR2836475	-0.05002181354324672	-0.0053773722977676275	0.02283910862683819
ERR2836476	-0.05002181354324674	-0.005377372297767624	0.022839108626838186
ERR2836477	-0.06158386115486637	-0.013794953446892843	0.04188449707351807
ERR2836479	-0.05002181354324673	-0.005377372297767625	0.022839108626838182
ERR2836480	-0.05002181354324673	-0.005377372297767625	0.022839108626838182
ERR2836481	-0.05002181354324674	-0.005377372297767624	0.022839108626838186
ERR2836482	-0.12818300641308825	-0.04522557946249948	-0.09842854766407079
ERR2836483	-0.05002181354324673	-0.005377372297767625	0.022839108626838186
ERR2836484	-0.06158386115486637	-0.013794953446892834	0.04188449707351808
ERR2836485	0.09780807241038976	-0.14987340198518528	0.024742197981688765
ERR2836486	0.24643126695039616	0.025096364791167815	0.020625241708372422
ERR2836487	0.026853206279694987	0.1393169411759892	0.023176436651717182
ERR2836488	-0.05002181354324672	-0.005377372297767628	0.022839108626838182
ERR2836489	-0.05002181354324673	-0.005377372297767625	0.022839108626838186
ERR2836490	-0.05002181354324674	-0.005377372297767624	0.022839108626838186
ERR2836491	-0.12614364221532182	-0.04353127192106945	-0.09822762801419527
ERR2836492	-0.05002181354324674	-0.005377372297767623	0.02283910862683819
ERR2836493	-0.0615838611548664	-0.013794953446892834	0.04188449707351808
ERR2836494	-0.05002181354324674	-0.005377372297767627	0.02283910862683819
ERR2836495	-0.1412858625811758	-0.05776141033614807	-0.09064929077939556
ERR2836496	-0.12614364221532182	-0.04353127192106945	-0.09822762801419525
ERR2836497	0.33415172435738466	-0.03049174097594992	0.24971480624353914
ERR2836498	0.06908978511325568	-0.2553759802741312	-0.12370329458453956
ERR2836499	-0.051982143618744876	-0.007087231311744378	0.018499144034263715
ERR2836500	-0.0530720992343956	-0.008241902626043244	0.01699088452823308
ERR2836501	-0.05464186269707537	-0.008577436909111743	0.014525939997275633
ERR2836502	-0.1281830064130883	-0.04522557946249948	-0.09842854766407083
ERR2836503	0.2720292700128878	0.011751129887194605	0.02773476294334691
ERR2836504	0.023845397445508232	0.13848354001024457	0.008216409734652926
ERR2836505	-0.05198214361874487	-0.007087231311744386	0.0184991440342637
ERR2836506	-0.06883145635610544	-0.01878393454334233	0.03235407287556075
ERR2836507	-0.05002181354324674	-0.0053773722977676275	0.022839108626838196
ERR2836508	-0.05002181354324673	-0.0053773722977676275	0.02283910862683819
ERR2836509	0.09818867096633291	-0.15604830532383748	0.020880630243954004
ERR2836510	-0.1412858625811758	-0.05776141033614807	-0.09064929077939556
ERR2836511	-0.05771570433524375	-0.01093388259743765	0.013253163085183742
ERR2836512	0.09873498867504385	-0.15889631066725352	0.02039390317063014
ERR2836513	-0.05128273599034347	-0.006664513754858276	0.020173012128562307
ERR2836514	0.2460741723457005	0.02684572504292842	0.025370409253127103
ERR2836515	-0.05002181354324673	-0.005377372297767627	0.02283910862683819
ERR2836516	-0.06691221351762104	-0.01897449116683402	0.030650649125955574
ERR2836517	-0.053072099234395605	-0.008241902626043247	0.016990884528233077
ERR2836518	-0.058136149371787196	-0.011346323038646196	0.012594559248781239
ERR2836519	-0.054887188689142684	-0.009250359808968801	0.0185167258023268
ERR2836520	0.24794820131731948	0.021492147972204646	0.009131385271019357
ERR2836521	-0.05002181354324673	-0.005377372297767628	0.02283910862683819
ERR2836522	-0.05002181354324673	-0.005377372297767631	0.02283910862683819
ERR2836523	-0.05002181354324673	-0.005377372297767631	0.02283910862683819
ERR2836524	0.02685320627969499	0.13931694117598925	0.023176436651717154
ERR2836525	-0.05002181354324673	-0.005377372297767625	0.022839108626838186
ERR2836526	-0.05002181354324672	-0.0053773722977676275	0.022839108626838193
ERR2836527	0.026853206279694997	0.13931694117598925	0.02317643665171716
ERR2836528	0.026853206279695	0.13931694117598928	0.02317643665171717
ERR2836529	0.024324931528266088	0.13792115509389324	0.009299609919678495
ERR2836530	-0.0530720992343956	-0.008241902626043244	0.016990884528233077
ERR2836531	0.25244282064769763	0.019473337446305812	0.005516551935788908
ERR2836532	0.10737606682374248	-0.16653362893451784	0.05587466626198359
ERR2836533	0.024324931528266088	0.13792115509389327	0.009299609919678495
ERR2836534	-0.05501866259485789	-0.009981657248140215	0.0125864630923101
ERR2836535	0.06921512312532366	-0.26114285809286264	-0.1276420595793422
ERR2836536	0.06495703352291832	-0.2251611544311062	-0.13130479077402926
ERR2836537	-0.05002181354324674	-0.005377372297767625	0.02283910862683819
ERR2836538	-0.05501866259485789	-0.009981657248140218	0.012586463092310107
ERR2836539	-0.064605145853252	-0.01526308622730929	0.04208387196071998
ERR2836540	-0.055018662594857895	-0.009981657248140211	0.0125864630923101
ERR2836541	-0.05002181354324673	-0.005377372297767631	0.02283910862683819
ERR2836542	-0.05002181354324673	-0.005377372297767631	0.02283910862683819
ERR2836543	-0.12898759033167065	-0.04569707600712305	-0.10085259078298225
ERR2836544	0.06495703352291833	-0.2251611544311063	-0.13130479077402926
ERR2836545	0.09818867096633295	-0.15604830532383746	0.020880630243954004
ERR2836546	-0.05323661258231058	-0.008388969249466116	0.015803282054448267
ERR2836547	-0.06158386115486637	-0.013794953446892837	0.04188449707351808
ERR2836548	-0.05002181354324674	-0.005377372297767632	0.022839108626838193
ERR2836549	-0.050021813543246745	-0.005377372297767632	0.022839108626838193
ERR2836550	0.10737606682374251	-0.1665336289345179	0.055874666261983626
ERR2836551	-0.05002181354324674	-0.005377372297767632	0.02283910862683819
ERR2836552	-0.15584243286518135	-0.03484335663210207	0.10038560486851397
ERR2836553	-0.12614364221532182	-0.043531271921069425	-0.0982276280141953
ERR2836554	0.024324931528266085	0.13792115509389324	0.009299609919678488
ERR2836555	-0.05820655456982558	-0.01075069387836271	0.013988069129289302
ERR2836556	0.10499436078433864	-0.1757022598236702	0.04034750139200556
ERR2836557	-0.053072099234395605	-0.008241902626043246	0.01699088452823309
ERR2836558	-0.054887188689142684	-0.009250359808968801	0.018516725802326797
ERR2836559	-0.12898759033167065	-0.04569707600712305	-0.10085259078298225
ERR2836560	-0.064605145853252	-0.015263086227309297	0.042083871960719964
ERR2836561	-0.12614364221532184	-0.043531271921069425	-0.09822762801419531
ERR2836562	-0.061583861154866394	-0.013794953446892836	0.041884497073518066
ERR2836564	-0.05002181354324674	-0.0053773722977676275	0.022839108626838196
ERR2836565	-0.05501866259485789	-0.00998165724814021	0.012586463092310088
ERR2836566	-0.05002181354324674	-0.005377372297767625	0.02283910862683819
ERR2836567	0.06943644049927312	-0.2602892430767583	-0.12756415813120245
ERR2836568	-0.05501866259485789	-0.00998165724814021	0.012586463092310093
ERR2836569	-0.08964892770072606	0.3182363896831716	-0.3744287890076385
ERR2836570	-0.12974065037496313	-0.0460793781294189	-0.10083139270252758
ERR2836572	-0.12614364221532184	-0.043531271921069425	-0.0982276280141953
ERR2836573	-0.13101482054666969	-0.04741641494768542	-0.10108945465098568
