	PC1	PC2	PC3
PropExplained	0.5936425437026076	0.18037179040968604	0.08699107985828107
ERR2836366	0.514987701763921	-0.1673072912481315	-0.02457633956234241
ERR2836368	-0.3216524535554776	-0.07826495112809563	-0.030951730853274496
ERR2836369	0.6988687893184538	-0.15651500208903243	-0.09680127691033727
ERR2836370	-0.21985556166735945	-0.07789627127385453	0.002832660887959323
ERR2836371	-0.34845371176799067	-0.0671112106304635	-0.04161873764857744
ERR2836372	-0.3887416212689087	-0.10490210590668224	-0.0680210972175571
ERR2836373	-0.3130966240288821	-0.0900269553600598	-0.030439580972937228
ERR2836374	0.323731653826639	0.21664264172528291	0.07393023062218612
ERR2836375	-0.15580200473677938	-0.0406091852831959	0.039949203299250724
ERR2836376	-0.15994550919565367	0.046383184295934576	0.06725245279115667
ERR2836377	0.33995030089623934	-0.06586942466530553	0.017710091961068326
ERR2836378	-0.08948631935010018	-0.07927262938746146	0.06297874193420153
ERR2836379	0.3581096880792395	-0.04589485104427971	0.05566112264938031
ERR2836380	-0.032061724941617784	-0.11455970442685488	0.07836349921038979
ERR2836381	-0.22715872251651875	-0.060915599644282406	-0.014942738671504793
ERR2836382	-0.32310480373887196	-0.09568329363366765	-0.0487801569488982
ERR2836383	0.1263812226600762	0.2802219062663807	0.07225411194472368
ERR2836384	-0.3300580625027907	-0.08797954111205457	-0.05637381248791599
ERR2836385	-0.04977708448893106	-0.10026666639336318	0.04624782476009046
ERR2836386	0.0578928852798411	0.30350268652469553	0.11006171054856412
ERR2836387	0.5168271066687347	0.056013842761900835	-0.010052968528023332
ERR2836388	-0.2372120954381104	-0.08505848148920256	0.0074248941398925745
ERR2836389	-0.2672452014546492	-0.08393689177877209	-0.008283856221321512
ERR2836390	-0.3263186766819394	0.12297907059402736	0.006280930224424247
ERR2836391	-0.21543306234693083	-0.04314919035874909	0.03686210326024805
ERR2836392	-0.3813523288926507	-0.026521086081057514	-0.044384538848206145
ERR2836393	0.06442885000780499	0.04579203858867981	0.07463762525008033
ERR2836394	0.44479016341844035	0.049664177928436935	0.011318985146461307
ERR2836395	-0.18582270225052724	-0.08096189247977112	0.02950161739013461
ERR2836396	-0.1488817047107414	-0.09574607104586888	0.05015421728477052
ERR2836397	0.47966328826331317	-0.13348899567655909	-0.09324539883070197
ERR2836398	0.013623287496582957	-0.03750030155933912	0.08640739337946371
ERR2836399	-0.3127213128789026	-0.09052891738966722	-0.02646690849527583
ERR2836400	-0.21118288236625524	0.3779393743497218	0.014568449765547718
ERR2836401	0.7192090731876603	-0.1429499100932207	-0.12052093395792
ERR2836402	-0.387281474693279	-0.08965789688988467	-0.07790396687727236
ERR2836403	-0.15330228198078608	-0.09526483123341416	-0.0075224357462100626
ERR2836404	-0.4945895077869189	-0.10937095587770138	-0.14782369852353613
ERR2836405	0.49392546142306276	0.022884477946166704	0.0243612908663145
ERR2836406	-0.1955420780368529	-0.050781575864708293	0.008205304454210569
ERR2836407	0.0910869830737223	0.03603367455888688	0.06650228806398964
ERR2836408	-0.2279931447584534	-0.0850204030540345	-0.01981874825997253
ERR2836409	-0.0926064382481912	-0.050647229250580496	0.050701470494775205
ERR2836411	0.2770065377878974	0.21293327798414394	0.0696018477360033
ERR2836412	-0.22571863330714517	-0.09890720663597198	0.008316856083911294
ERR2836413	0.2304227670791794	-0.14244726990756473	0.057661727753735834
ERR2836414	0.09585002841506438	0.2312124889791968	0.10134334688961602
ERR2836415	0.09632682212118808	0.13468964825549937	0.08494301517963207
ERR2836416	-0.0786107982205842	0.2010765527499743	0.09717595335038628
ERR2836417	0.04444436868681684	0.1763268817692697	0.12365204770602807
ERR2836418	0.05378839927590281	0.3100871659442477	0.11163201105459966
ERR2836419	0.39185082335961535	0.18012684950954194	0.030569461891782734
ERR2836420	0.306605320476935	0.1423746535014059	0.06129519761220141
ERR2836421	-0.022353743930285976	-0.09644868634732205	0.08711257396202626
ERR2836423	-0.15821707843793617	-0.10412871319540913	0.043382800847773906
ERR2836424	-0.25003124157274076	-0.08464346067598248	-0.0026312741594998325
ERR2836425	-0.1155574091398993	0.2992425853545342	0.08117679606512423
ERR2836426	-0.2266435409946948	-0.043341408797043415	0.02800685381080214
ERR2836427	0.005279933874084402	0.06169060897009805	0.09937832483542967
ERR2836428	-0.2776422721790465	-0.09192018473260452	-0.02955428867032137
ERR2836430	-0.2972810864948394	-0.041917894056011325	-0.021103303106210457
ERR2836431	-0.3400361309726952	0.5071163696988011	-0.09729776334630247
ERR2836432	0.5445066146215459	0.07661530736572483	0.008990768955548189
ERR2836433	-0.1741549080644087	-0.0571296525539072	0.023575465978533154
ERR2836434	0.18549206203246354	-0.07035413192038811	-0.05678140098616613
ERR2836435	-0.4896469952131124	-0.0905100200706442	-0.13538083359676079
ERR2836436	-0.39201105941589853	0.014164766373951183	-0.03947883510329334
ERR2836437	-0.11754514788806875	0.2919392858982498	0.07263800410389497
ERR2836438	-0.38645568795843194	-0.08767331345428821	-0.08261488099353097
ERR2836439	-0.14530187387941493	-0.0882361955776492	0.024425974748369557
ERR2836440	0.011223841812613865	0.3097193999865077	0.07135880103420648
ERR2836441	0.2746578034605431	-0.1447355870368422	0.043032263395251756
ERR2836442	-0.1923894072637477	-0.0342851825959195	0.04441993892660298
ERR2836443	-0.15891419942379442	-0.025841739116987568	0.05384834324483735
ERR2836444	-0.08364975586951832	-0.04369286882863701	0.0705848958268471
ERR2836445	0.14040324572537202	-0.021731694267846904	0.10401330140746018
ERR2836446	-0.383374491968757	-0.09594077775475118	-0.07367654018597725
ERR2836447	-0.4147624507296668	-0.09168231259350787	-0.10044191724643997
