	PC1	PC2	PC3
PropExplained	0.5426373773351458	0.32551572507690724	0.13184689758794688
ERR2836368	-0.05687860509096798	0.026691368052206343	-0.019025218357637375
ERR2836369	0.051012532640101915	0.04649516983694818	0.007086773934326995
ERR2836370	-0.03180986657037467	0.03916559707299465	0.02365200063784561
ERR2836371	-0.025594114511815095	-0.015777410754541872	0.006270500446218368
ERR2836372	-0.04237261246787291	0.02903471800173512	-0.08594622131503962
ERR2836373	-0.03674677940039248	-0.01324908485085723	0.01699107323831481
ERR2836374	0.07131454918943701	0.021838108937686403	-0.041117650702886775
ERR2836375	0.007600290198893474	-0.018249553896023406	0.02430531835381942
ERR2836376	-0.035544193770978345	0.08142626646947927	0.08291628984966734
ERR2836377	-0.05147557035075159	0.09181680222535187	0.040256277942848376
ERR2836378	-0.013184668970261573	0.0656338813632404	0.024483726772333243
ERR2836379	-0.015500473572351767	0.07484604465252503	-0.028243353109809605
ERR2836380	-0.04998670117107289	-0.00381470221171485	0.00470418081417541
ERR2836381	-0.010391150007706757	0.02797607770329713	-0.05652380908732634
ERR2836382	-0.06938685127507112	-0.003960491578429716	-0.04891151913124029
ERR2836383	0.04728491421350209	0.03741001164552816	-0.011786719209998426
ERR2836384	-0.0481898885150773	0.032604384979868464	-0.04222646654977695
ERR2836385	-0.013806079460913011	0.008795424479890564	-0.0677407649779316
ERR2836386	0.023720982022376644	0.05647808405702292	-0.02038648878069088
ERR2836387	0.01794195205784313	0.00498862244536914	-0.017102485935623572
ERR2836388	-0.03218234749439198	-0.011461784852079616	-0.0023595096060397957
ERR2836389	-0.044719677046126366	0.059455396594585	0.005449345131518946
ERR2836390	0.006595136322227862	0.05914676037383167	-0.004019979947071855
ERR2836391	-0.010351579697632531	0.026767606089203106	-0.03470750627815352
ERR2836392	-0.02669200419056829	0.01417903859917575	-0.050790100341486136
ERR2836393	-0.011316380490317161	0.021760451164018393	-0.020194248847878557
ERR2836394	-0.009787038781286417	0.09884795522180366	0.017412673852430133
ERR2836395	-0.02869496370512641	0.03958056929848508	-0.04120878618532304
ERR2836396	-0.03700527027635075	0.04819750106395196	-0.010248581374217022
ERR2836397	0.02825395866236058	0.0047677995827321105	-0.01846220552431147
ERR2836398	-0.004162226566475753	0.008269354244755172	-0.028364124726192638
ERR2836399	-0.02771619007755317	0.0032912099963657987	-0.051421530023556136
ERR2836400	0.010532621928013922	0.10105939551470222	0.13975482614216644
ERR2836401	0.07119042890622784	0.01165823980397027	-0.03403795620996193
ERR2836402	-0.020321554588428267	-0.04338937616019434	-0.03485242646756612
ERR2836403	-0.0036931889154740247	-0.0490236191499025	0.006266824098371142
ERR2836404	-0.03956789893026374	0.03211554196411033	-0.052263137121185486
ERR2836405	0.06873104613292937	-0.010496144567590356	-0.059094663099654575
ERR2836406	0.01694381099654105	-0.0067156093757569195	-0.033164111573786424
ERR2836407	0.00327696264834741	0.02809320292259259	-0.014931340194624849
ERR2836408	-0.03588300712351677	0.005642219914096424	-0.06772031270636304
ERR2836409	-0.01976951277896224	0.03818567618134249	-0.022400776086857865
ERR2836411	0.03364070540561638	0.03464539305417544	-0.0034138806022306623
ERR2836412	-0.028745382105849846	0.011892049260400639	-0.005366738601154294
ERR2836413	0.06242437596090682	-0.010424361810132711	-0.05517402466761283
ERR2836414	0.05147325419154072	0.03475126007038881	0.003539154286202651
ERR2836415	0.0008227292857885989	0.032516416192383046	-0.015507668604943403
ERR2836416	0.0448255923681435	0.039045172216176954	-0.011102517184304769
ERR2836417	0.05230844613167676	0.03474084298273014	-0.031004090156523795
ERR2836418	0.04045651587689359	0.050200486709581896	-0.008737951374922004
ERR2836419	-0.007707274757269945	0.0153194581329167	-0.022387345392556803
ERR2836420	0.0366779185692287	0.04374816562412214	-0.04104289517648774
ERR2836421	-0.05233138243462786	0.0699195067873511	0.003973948540484853
ERR2836423	-0.0065128460030978545	-0.006985096920953714	-0.04022938674561289
ERR2836424	-0.03238867037672584	0.015215620874963592	-0.049245206190446825
ERR2836425	0.003458429363270314	0.07846654916170497	0.08936671808723262
ERR2836426	-0.04694281136275882	0.10159258530313643	0.06121334619427148
ERR2836427	0.001398460172748351	0.05618126881691286	-0.03729499091563468
ERR2836428	-0.04705003843093438	-0.012287334403408564	-0.03886220802920896
ERR2836430	-0.012509398369852272	0.03124580645343799	-0.05741451687759801
ERR2836431	0.08059199376413474	0.009535212738141851	0.029019201979597377
ERR2836432	0.02639603598043667	0.016320592358837004	-0.034440747423607254
ERR2836433	-0.007081620825511833	0.017905344754812945	0.01044438868878938
ERR2836434	0.019830949215042408	-0.02765764350800568	0.02544896320198907
ERR2836435	-0.0035048202094085093	-0.018930198430712072	-0.04146139286385249
ERR2836436	-0.027194741537288823	0.04967616388227854	-0.02963930531929823
ERR2836437	0.06921800874971736	0.012973178817095829	-0.025013949353620814
ERR2836438	-0.04818563718893241	0.021568307375195994	-0.061029086729972405
ERR2836439	-0.04132528517518249	0.0245759124767942	-0.03037782457708814
ERR2836440	0.08171370761745957	0.024047959813421286	-0.014481037461177175
ERR2836441	0.04377913366535659	0.02019589960668018	-0.05458028662936749
ERR2836442	0.015742454460496953	0.03227583480780106	0.0646736607953356
ERR2836443	-0.02682908217858945	0.03810803975408818	-0.03173322666666534
ERR2836444	-0.009628453541018864	0.005502825570946994	0.00606805796817894
ERR2836445	-0.02784249492275976	0.07019548789752812	0.012731253491269462
ERR2836446	-0.05104122071143882	0.02895706536389408	-0.020917478626743785
ERR2836447	-0.056749839134103655	-0.003286624971704473	-0.01032341539610083
ERR2836448	-0.020886415742544434	-0.010984182271197962	-0.003183266773093189
ERR2836449	-0.03128292762912646	0.02817204338758865	-0.03628752151672229
ERR2836450	0.022453984410583508	0.03395197415622549	-0.06997444065106619
ERR2836451	0.047905471709907825	0.04768084945492598	0.01784117166338273
ERR2836452	-0.031958401407591555	0.052945327755031475	0.03893640461415984
ERR2836453	-0.04572489225992162	0.0023399925357879027	0.04197200097588736
ERR2836454	-0.031107300058072176	-0.009056417273770944	-0.04975398283366543
ERR2836455	-0.05996462214776728	0.03712070589880923	0.01576473375381328
ERR2836456	-0.010785834892911336	0.03481375926078581	-0.02763445984837854
ERR2836457	0.05795972556248696	0.044168732950306766	-0.02881368196964694
ERR2836458	-0.04927700885508708	0.051877894272398986	-0.031024959335848156
ERR2836459	-0.0387559318194196	-0.034984608530902114	-0.022608994286083012
ERR2836460	-0.04199111604142038	0.0033144917726529847	-0.017062325048466796
ERR2836461	-0.038463561940813955	-0.024465600926541903	0.011138346529316948
ERR2836462	0.0088166165563454	-0.011291459801095256	-0.028060696182811123
ERR2836463	-0.05673142860072271	0.06780104190551958	0.0007912312172697975
ERR2836464	-0.05658036047107408	0.03624031242096287	-0.019156805112654947
ERR2836465	0.007929766372286217	0.05344647068463125	0.002291064360787593
ERR2836466	-0.004524810587665799	0.0935068938673234	0.15271025933263516
ERR2836467	-0.010658754321715078	0.08646442556600996	0.07458499761071744
ERR2836468	0.05348612894929868	0.03353841881009752	-0.04617780799169797
ERR2836469	-0.019297635055891587	0.06677377385668654	0.041197122220870325
ERR2836470	0.07052721841727544	0.0021434096619596735	-0.06035175193404488
ERR2836471	-0.048781819470489055	-0.01402964624731446	-0.05069057527780171
ERR2836472	-0.012304528217629323	0.08439186612654541	0.012444055414937753
ERR2836473	0.08041191882605223	-0.03479146896547688	0.025655713417655823
ERR2836474	0.10149877286944986	0.030479447887298543	0.043958260633178994
ERR2836475	-0.01898326113281124	-0.020283701396409753	-0.0783948202824927
ERR2836476	-0.009357118874657922	-0.0026348579774568663	-0.05052183283965585
ERR2836477	-0.012984545445666525	0.014798978167433583	-0.004871295024673932
ERR2836479	-0.04623699298113848	-0.01189588622351805	-0.04224956007506471
ERR2836480	-0.014878121644027067	-0.023023160759703176	-0.03297059686883877
ERR2836481	0.047166695929307015	-0.02680524892703392	-0.031134643454580883
ERR2836482	0.04722755192931072	0.06113022057624927	-0.07503792153827413
ERR2836483	-0.020806317027943243	0.024097804992341078	-0.04470919136966399
ERR2836484	0.008014130106304694	0.04225587088132195	-0.053229163200947185
ERR2836485	0.010675620792784637	-0.018892818938740844	-0.014587190323356801
ERR2836486	0.052624354015184796	0.005231844865966041	-0.034769643289380224
ERR2836487	-0.05633366435745823	0.015629004028317406	0.008558362211419238
ERR2836488	-0.0010332095256808662	0.051870214630874725	0.009863648809210566
ERR2836489	0.011874397708592551	0.028552798714673547	-0.009940462406631125
ERR2836490	-0.05003840792027231	-0.0013252955589597142	-0.011721817836839983
ERR2836491	0.07215086224882353	0.04879263114414004	0.046016793385334105
ERR2836492	0.05027489223560637	0.05924120866403553	-0.019819880360280918
ERR2836493	-0.11336969255924154	0.2736714367125438	0.13834933506814917
ERR2836494	-0.006037808118875596	-0.011060340778939186	-0.027234877296617183
ERR2836495	0.04154036342339393	-0.030916683274187694	-0.0010460232395975266
ERR2836496	0.03103821889613184	0.011497780960385097	-0.002213166486146839
ERR2836497	0.02247881902187942	-0.045071965204725714	0.10191805160057057
ERR2836498	0.042972041487605334	-0.028720367177975246	-0.03130884729302792
ERR2836499	-0.024078181906863113	0.067985765545456	0.012624497327035425
ERR2836500	-0.02957714049498691	0.029326685236710413	-0.04928184888024397
ERR2836501	-0.005821466856633589	-0.029466544044751394	-0.0086798710958109
ERR2836502	0.058591802719139746	0.012752347192842914	-0.022515279069167213
ERR2836503	0.10938067409526767	0.07490239505044592	-0.05836918427398521
ERR2836504	0.06986485398414674	-0.00510131512855504	0.02744705207933183
ERR2836505	0.046300453119405574	0.001116875453948285	-0.03986107098154708
ERR2836506	0.01506240906264277	-0.015474932189928993	0.024651605343083336
ERR2836507	-0.03201035154335345	0.03958439550104401	0.006408334529104175
ERR2836508	0.009136073846284808	0.02395965850779155	-0.04705986606809114
ERR2836509	0.11462039923097223	-0.02541513553566911	0.015519075241410862
ERR2836510	0.005891668019642237	-0.010123654164857849	0.03272383609001794
ERR2836511	0.03846804152986803	-0.0033584579175230563	-0.03844096421435751
ERR2836512	0.024169665628328414	-0.0358100806372681	0.06146902346900661
ERR2836513	0.04082146957228615	0.04495461335907766	-0.03444016098177222
ERR2836514	-0.001353534965580985	-0.051165304909631774	0.013948202416488049
ERR2836515	0.00045832327624669225	0.021130424230410533	-0.07985798581098713
ERR2836516	0.04089871513415553	0.04775113172881887	0.019646899202360575
ERR2836517	0.009554331982117612	0.02775960613378523	0.0003721342063963337
ERR2836518	0.015446421861543977	-0.06749524899347659	0.1113394674240743
ERR2836519	0.021567293489224478	-0.011646526012735383	-0.0785052440316695
