beta	psuedoF	pval
bray_curtis	2.8440682692924018	0.001
bray_curtis	5.900318471839267	0.001
bray_curtis	9.575857547965377	0.001
bray_curtis	3.4827512674894088	0.001
bray_curtis	3.4827512674894088	0.001
bray_curtis	5.175778496577566	0.001
bray_curtis	12.325760991383808	0.001
bray_curtis	2.47711571312791	0.001
bray_curtis	1.2109290000271544	0.001
bray_curtis	7.859366854965594	0.001
bray_curtis	1.419126482033683	0.001
bray_curtis	10.48016655565872	0.001
bray_curtis	1.2874891676499576	0.001
bray_curtis	2.7466833178908203	0.001
bray_curtis	1.2926771867007796	0.001
bray_curtis	2.442979064600728	0.001
bray_curtis	2.603994700288045	0.001
bray_curtis	5.299182890835438	0.001
bray_curtis	5.136301613368464	0.001
bray_curtis	5.307964995604063	0.001
bray_curtis	3.4913628421593805	0.001
bray_curtis	2.4031045427518705	0.001
bray_curtis	2.609525262571438	0.001
bray_curtis	5.058745473415894	0.001
bray_curtis	8.521730278067627	0.001
bray_curtis	3.9906186423052343	0.001
jaccard	2.075964023405856	0.001
jaccard	3.825310029794405	0.001
jaccard	5.929854439630808	0.001
jaccard	2.484426921940622	0.001
jaccard	2.484426921940622	0.001
jaccard	3.405796584888921	0.001
jaccard	7.474321414167065	0.001
jaccard	1.8732753133517683	0.001
jaccard	1.1277947694817205	0.001
jaccard	5.022782806600451	0.001
jaccard	1.2631540509368984	0.001
jaccard	6.31162433217436	0.001
jaccard	1.1809434562994519	0.001
jaccard	2.0371281641706656	0.001
jaccard	1.193893059538699	0.001
jaccard	1.8923582256491154	0.001
jaccard	1.981481203476576	0.001
jaccard	3.429904541564721	0.001
jaccard	3.3979567324615516	0.001
jaccard	3.540178195278443	0.001
jaccard	2.4753762293893984	0.001
jaccard	1.8696701469404615	0.001
jaccard	1.9464366367231116	0.001
jaccard	3.270346939115038	0.001
jaccard	5.3277916469647515	0.001
jaccard	2.7749135638209266	0.001
phylo_rpca	10.383799661460007	0.001
phylo_rpca	29.258839881509584	0.001
phylo_rpca	38.99589064552064	0.001
phylo_rpca	12.87640096625125	0.001
phylo_rpca	12.876400966251246	0.001
phylo_rpca	25.791476524983715	0.001
phylo_rpca	76.83927563750262	0.001
phylo_rpca	9.843660476031824	0.001
phylo_rpca	1.7974138915587856	0.001
phylo_rpca	39.275694989092	0.001
phylo_rpca	2.441934233942139	0.001
phylo_rpca	45.40359809102501	0.001
phylo_rpca	2.1966373117454925	0.001
phylo_rpca	4.492203462584979	0.001
phylo_rpca	2.1024458197044593	0.001
phylo_rpca	5.655062435701126	0.001
phylo_rpca	6.752061347118322	0.001
phylo_rpca	22.100379163843453	0.001
phylo_rpca	23.252785968230736	0.001
phylo_rpca	27.629330029848923	0.001
phylo_rpca	17.837998090070663	0.001
phylo_rpca	8.01552864942681	0.001
phylo_rpca	10.756858589203897	0.001
phylo_rpca	18.238272857309216	0.001
phylo_rpca	43.473046327493	0.001
phylo_rpca	20.471975733071968	0.001
rpca	9.734204802827465	0.001
rpca	24.586257092657476	0.001
rpca	35.41072250567288	0.001
rpca	12.786317971055608	0.001
rpca	12.786317971055604	0.001
rpca	19.893383913958626	0.001
rpca	61.51535242904693	0.001
rpca	8.638518603157928	0.001
rpca	1.9182567499311913	0.001
rpca	35.92301354270135	0.001
rpca	2.653805963567509	0.001
rpca	39.623647143839335	0.001
rpca	2.6647956223262073	0.001
rpca	4.991700715888269	0.002
rpca	1.4888726160262946	0.027
rpca	3.046265953505979	0.004
rpca	7.813163572843702	0.001
rpca	19.66622961405674	0.001
rpca	19.136228493504078	0.001
rpca	24.899933073871104	0.001
rpca	12.97802362045597	0.001
rpca	4.610691276632053	0.001
rpca	7.2060636309727935	0.002
rpca	10.082437544695468	0.001
rpca	36.94453711388327	0.001
rpca	17.408427959236068	0.001
