	PC1	PC2	PC3
PropExplained	0.19440186644605534	0.13739508683377566	0.1353823907580646
ERR475467	0.10964030109632093	0.05253246486877987	-0.05484623575485762
ERR475468	0.05614227066882012	0.10316050749986028	0.10870864146982553
ERR475469	0.06022012624887272	0.41711066262456303	0.06634022099805331
ERR475470	0.16539485334936602	0.2621707528499817	-0.017500632332084903
ERR475471	-0.326747938675205	0.11626543733995288	0.1277936603770335
ERR475472	0.21628345847873506	0.07614411354146126	0.06940853160788425
ERR475473	-0.06368173696888833	0.2712096557097433	0.24251705358049055
ERR475474	-0.2535671484220927	0.31868602500054943	-0.04667695708391568
ERR475475	0.31015226497139353	0.1774604109882404	0.3600706067874412
ERR475476	-0.10395376901710592	-0.18528620155278525	0.1817128131676201
ERR475477	-0.156412483681014	0.2772664923698557	0.10582036949902929
ERR475478	0.07436108637392058	0.21760417714619215	0.22057376268523138
ERR475479	0.3470279027660453	0.18521183573265745	0.3412501848748943
ERR475480	0.3801798767909443	0.19891606396108005	0.34423186324447397
ERR475481	0.0687262243967325	0.3726226671852567	0.15007437329604373
ERR475482	0.3987961921682661	0.020156703618001925	0.41436479508558643
ERR475483	0.2966325858015557	0.32449040411489966	0.14703820613823204
ERR475484	0.2019012105868401	-0.181751362197189	-0.26779367964934825
ERR475485	0.040627505202468175	0.18918763594162713	-0.1213054721742431
ERR475486	0.22938534800000202	-0.03704141541121079	-0.4295065690099913
ERR475487	0.2416121150772839	0.1240719692432633	-0.39099069906962003
ERR475488	0.2208638310677345	0.2628823281415424	0.2994881809397068
ERR475489	0.37927432517695037	0.19360494868595868	0.3443136901635167
ERR475490	0.16884984886341156	0.316652048257726	0.15534914049514267
ERR475491	-0.17751246938558832	0.27254481900712585	0.16582317580936767
ERR475492	0.04324493929017301	0.25974488000933166	0.2572288718152376
ERR475493	-0.3102271608685259	0.10619611313091654	0.15470598722516113
ERR475494	0.38694284109797655	0.13851788617523472	0.38938650720180573
ERR475495	0.12022973521630942	0.4099191590030711	0.07868347056901666
ERR475496	0.34926553612685807	0.1840890824807953	0.36088945345895
ERR475497	-0.16206164817727345	-0.2463464195864429	0.317934469651574
ERR475498	-0.08091894000383673	-0.3224339546507172	0.32350460827651356
ERR475499	0.08754543998628095	-0.27662293847183844	0.21664819937794558
ERR475500	0.4005809694120284	-0.31392401837777023	0.00536030175917031
ERR475501	0.41115944925852493	-0.3500992727561128	0.12892974595724835
ERR475502	-0.2521702985151601	0.2211375280159094	0.018474573576752036
ERR475503	-0.047146770646500386	-0.28354971657675426	0.31987644030575174
ERR475504	-0.3546551717519334	-0.09796466968627933	0.0828688107927919
ERR475505	0.07233844011668751	-0.14678237703650834	0.3180254463563766
ERR475506	0.24476991506050783	-0.1665496303840496	0.08020278858886785
ERR475507	0.27922748893700594	-0.20800405324866805	0.09352455663598283
ERR475508	-0.18103167069857692	-0.06559310633637874	0.34737303718900403
ERR475509	0.22131011896616432	-0.34903062060687656	0.05914092808340115
ERR475510	0.14057172305340468	-0.2470231479824712	0.2199003253947481
