	PC1	PC2	PC3
PropExplained	0.4603956573933578	0.18140428828795693	0.08166748091928193
ERR475467	0.609066456478835	-0.16620910385322846	0.16670692002304982
ERR475468	-0.26020759003151556	0.02503191352524327	0.04686815707784584
ERR475469	-0.011908101976900932	-0.0679441158133608	0.1895499812765061
ERR475470	0.024684402780280734	-0.18845800822172173	0.08720736119174186
ERR475471	0.4473948785245057	-0.003751912589461696	0.08388369837920975
ERR475472	0.472784795283382	-0.1695771474810733	0.2328235601677473
ERR475473	-0.011926505806795221	0.045473784180241734	0.14034650954667727
ERR475474	0.05570272806963536	0.14866260617885407	0.013780469721928923
ERR475475	-0.2609558573350051	-0.20829493984064468	0.24678613485907153
ERR475476	0.389926713381451	0.039807348863677136	0.11200522817678579
ERR475477	0.09019995444262383	0.05492260485777139	0.10771160122708116
ERR475478	-0.29907304220213843	0.125386255543389	0.09463574220986394
ERR475479	-0.26337048051883716	-0.11611786963802048	0.24370833087254493
ERR475480	-0.4839778045526576	0.04596710461680222	0.18612409826590787
ERR475481	-0.13270102844438325	0.02862768252978114	0.16568795299477365
ERR475482	-0.38583561051059895	-0.20188664054544936	0.28827359945940245
ERR475483	-0.44361189174003407	0.11268071415845402	0.09152404557750533
ERR475484	0.11710215718595161	-0.2344469707792495	-0.18274131640863683
ERR475485	0.4758612775503227	-0.15284407961293753	0.10401959409847572
ERR475486	-0.38236216998298295	-0.04026202752519331	-0.16575301251755298
ERR475487	-0.4669995752106472	0.11670956799811757	-0.046353554506099875
ERR475488	-0.2163368353316514	-0.11291598786078237	0.22561483699099005
ERR475489	-0.40389417117239	-0.023380463207634743	0.18811425599942178
ERR475490	-0.14749076152608756	-0.11955132779319001	0.1800874364643077
ERR475491	0.1561560605097736	0.008574401637860675	0.15030257366088334
ERR475492	-0.07447698185118558	-0.0613463586186556	0.1799848619820788
ERR475493	0.058589632295584636	0.2190624708945391	-0.003832827315375144
ERR475494	-0.35409978195790726	-0.1867215619493387	0.25872495260350914
ERR475495	-0.3477905252974854	0.18498077688639586	0.07884315193311754
ERR475496	-0.3223360589371558	-0.18878114690181189	0.2637100472590534
ERR475497	-0.13030017314700967	0.2670570915400138	0.009173830240789283
ERR475498	-0.09120418983117448	0.19227145869675658	0.05277164099513731
ERR475499	-0.11145194833308383	-0.38973659034217	0.26042749285074673
ERR475500	-0.32816237117875713	-0.6289091278794723	-0.12122733678631131
ERR475501	-0.3483005783354616	-0.4440636742908409	0.10679386852797518
ERR475502	-0.20777267667996377	0.22963572167446503	-0.03789795558660373
ERR475503	-0.1789221758692878	0.0843429047183226	0.124733853963673
ERR475504	-0.15029048503392073	0.2466442153828044	-0.0262423533490598
ERR475505	-0.18586866035602553	-0.18980635557069273	0.25431225795149665
ERR475506	-0.30407303392295254	-0.4723343681698667	0.3202072412519427
ERR475507	0.2394137221903697	0.05052528499722193	0.12122246350490469
ERR475508	-0.24640057137498678	0.19400706427446948	0.062387990122732995
ERR475509	-0.24062942165142953	-0.47838261345580896	-0.06918811306125225
ERR475510	-0.26203331677269015	-0.11997407888790594	0.13346382196757034
ERR475511	0.034097876801388885	0.30009131133548633	-0.06548233344595426
ERR475512	-0.2752827984714269	0.17438711923084044	0.004743184891519845
ERR475513	0.053907900698160455	-0.027962392888252308	0.17376592301136187
ERR475514	-0.02267145506558183	0.2782394270274523	0.016403800392396986
ERR475515	-0.4289557482162826	0.017681405650792445	0.190547854138034
