" "	"ERR475476"	"ERR475478"	"ERR475493"	"ERR475497"	"ERR475498"	"ERR475499"	"ERR475500"	"ERR475501"	"ERR475502"	"ERR475503"	"ERR475504"	"ERR475505"	"ERR475506"	"ERR475507"	"ERR475508"	"ERR475509"	"ERR475510"	"ERR475511"	"ERR475512"	"ERR475513"	"ERR475514"	"ERR475515"	"ERR475516"	"ERR475517"	"ERR475518"	"ERR475519"	"ERR475520"	"ERR475521"	"ERR475522"	"ERR475523"	"ERR475524"	"ERR475525"	"ERR475526"	"ERR475527"	"ERR475530"	"ERR475531"	"ERR475532"	"ERR475533"	"ERR475534"	"ERR475535"	"ERR475536"	"ERR475537"	"ERR475538"	"ERR475539"	"ERR475540"	"ERR475541"	"ERR475542"	"ERR475543"	"ERR475544"	"ERR475545"	"ERR475546"	"ERR475548"	"ERR475549"	"ERR475550"	"ERR475551"	"ERR475553"	"ERR475554"	"ERR475555"	"ERR475556"	"ERR475557"	"ERR475558"	"ERR475559"	"ERR475560"	"ERR475561"	"ERR475562"	"ERR475563"	"ERR475564"	"ERR475565"	"ERR475566"	"ERR475567"	"ERR475569"	"ERR475570"	"ERR475571"	"ERR475572"	"ERR475573"	"ERR475574"	"ERR475575"	"ERR475576"	"ERR475577"	"ERR475578"	"ERR475579"	"ERR475581"	"ERR475582"	"ERR475583"	"ERR475584"	"ERR475585"	"ERR475586"	"ERR475587"	"ERR475588"	"ERR475589"	"ERR475590"	"ERR475591"	"ERR475592"	"ERR475593"	"ERR475594"	"ERR475595"	"ERR674081"	"ERR674094"	"ERR674099"	"ERR674100"	"ERR674101"	"ERR674110"	"ERR674115"	"ERR674117"	"ERR674118"	"ERR674119"	"ERR674120"	"ERR674121"	"ERR674165"	"ERR674166"	"ERR674167"	"ERR674168"
"ERR475476"	0	0.827188925514213	0.830655005030736	0.785002195727835	0.781243733501645	0.926073442809099	0.972581253048375	0.921735033388399	0.843148451517279	0.799888645390599	0.797490812728871	0.84661068887527	0.932274656851733	0.753950808983175	0.866145729795856	0.8947228772706	0.832624863816415	0.787569002956335	0.863448385801305	0.807934201049491	0.897119806757537	0.856489849297069	0.808267570999212	0.903840411094587	0.808321199322424	0.836917034239141	0.815149791308461	0.790645937852702	0.90676566683573	0.915765677503882	0.806691042989018	0.886118772495929	0.914775471493764	0.837857662311608	0.858953446142672	0.821735827949061	0.843714913046733	0.86497243116977	0.865760683342307	0.854068723360193	0.723432534148701	0.82938119265186	0.817062742495405	0.838603976555427	0.864144804365209	0.860629640556621	0.875534189654388	0.811320512738302	0.92977498087554	0.817481556141733	0.90665605001622	0.731269784234211	0.873956317977907	0.866613677356241	0.821226332607348	0.89597031637126	0.803452070887514	0.846818768565608	0.86592375294805	0.881349590699387	0.921876135943957	0.868498878393432	0.877457837526872	0.853919941141375	0.843671636204853	0.824075336925941	0.920871936825621	0.784281062576035	0.816821129493464	0.883556074850786	0.907995734979647	0.890469050675908	0.898587666292342	0.8661006477817	0.848105041416294	0.91565151519583	0.908522978184709	0.903032813563334	0.881238193526582	0.916193572151055	0.840242498561025	0.786648426454417	0.861444913627639	0.77857761759018	0.82914458599933	0.86205298358804	0.901192635534848	0.891736043643973	0.966664994341968	0.91309879800645	0.827411488610702	0.825301166644487	0.813063466857904	0.739037123956261	0.942263305801629	0.781848410372337	0.854914630229053	0.99523556576979	0.854093516641116	0.815781824454034	0.892563662161153	0.682663369256626	0.904462325397224	0.83917126154983	0.886918039972739	0.93207166724277	0.944560848127356	0.791717997353618	0.912094135598691	0.832970284563082	0.940951978312971	0.943499137967884
"ERR475478"	0.827188925514213	0	0.772133536464198	0.778251585094183	0.811427215778304	0.859462436050071	0.946064036342031	0.923766477686723	0.83057017045813	0.749428249532818	0.802481976278457	0.789564070417385	0.915239062184549	0.843628356123366	0.740540687443523	0.872956762557341	0.845741683401049	0.855897002277454	0.80031194180538	0.781932456984778	0.828674786345039	0.794989387877153	0.72110303147379	0.883935855406744	0.811552948341908	0.834368250115544	0.859097413488021	0.804698129388779	0.861944696839469	0.926810205582155	0.84959909641545	0.794397689876299	0.802002145617641	0.830260235246605	0.898037677075717	0.831060565454138	0.785201252998152	0.870694381830809	0.816364060110528	0.7829481030651	0.771645351534027	0.722108093202813	0.77312904346675	0.918738097112976	0.914238354351047	0.859532605920407	0.882792371183105	0.831892925671184	0.882084930209838	0.871502190078745	0.830894688379016	0.764316901643169	0.849013374396165	0.866624071803933	0.858461576357713	0.870061077450108	0.883202949673012	0.834089658317216	0.802106657619671	0.863256720957614	0.864287464771474	0.838563954763322	0.755974471340657	0.777703780875391	0.914978738099628	0.803471379515117	0.890010628583404	0.845827924251056	0.702115518587367	0.954422261768115	0.847292049485895	0.8115910438671	0.863214894582562	0.830304521763273	0.722724453937849	0.919484955525245	0.864482260119573	0.928243524514338	0.798219738471413	0.836756465043895	0.917696446347822	0.837143215607553	0.751075462608936	0.746722647032973	0.798028821994197	0.832654269287203	0.92764212121738	0.863664366871921	0.94842565357855	0.899120762302944	0.859725528551305	0.849084835841653	0.833803596649334	0.78907382971218	0.947574899084236	0.862862733911806	0.787691905236826	0.99482421583752	0.816307374013435	0.892864608529979	0.861686122556756	0.898257083847194	0.895598683328617	0.894795365045864	0.942552930539274	0.934649425287356	0.93421147195543	0.851758249245845	0.940404127011346	0.921982722274077	0.948389860075394	0.9582153133711
"ERR475493"	0.830655005030736	0.772133536464198	0	0.663371441138403	0.801363064697077	0.932539042705118	0.978185195699328	0.95998339303798	0.810775266157927	0.78472340592917	0.796038124928962	0.859876313515408	0.924044461212526	0.860275876061742	0.798799907984306	0.935857288422624	0.830227018158297	0.781119520261962	0.77887532237399	0.78916874599919	0.834947001907491	0.824093985701689	0.76151407544989	0.887215382121825	0.825922418952855	0.849059825345134	0.863138204900187	0.833836610928673	0.875697870830591	0.929153644855494	0.822207467508744	0.760760640306984	0.768262173952045	0.854893409356255	0.907162038278894	0.759641216598249	0.833653174608168	0.887973052823545	0.7977325866089	0.761745717367997	0.817692736984773	0.751180635555825	0.736871871923028	0.877111046497541	0.918687639086166	0.857948174525919	0.879662758370603	0.846032694630162	0.918028098314918	0.884828832947815	0.892186421483232	0.792685945030611	0.810840111878063	0.810557790653654	0.799663283311479	0.850148561220249	0.894937018247718	0.793267540718945	0.755974471340657	0.882711566106026	0.901759000882759	0.835265436403963	0.792331997784944	0.819074860961579	0.905529593406172	0.783443315274638	0.914298766827634	0.775535951964964	0.739311545537084	0.915191451260834	0.850793690155514	0.81249319350933	0.865649630391149	0.829724841303161	0.786354500160404	0.892649663531471	0.874759468006969	0.940116353864406	0.854511299103364	0.891802298644427	0.900462660893292	0.846868983449919	0.8498738944436	0.710476064597587	0.756879641893138	0.831027393804863	0.929212408984701	0.83712497843577	0.97708567282038	0.940561578775911	0.859051769238818	0.799426173236098	0.811168046585902	0.824198407916019	0.971943076445273	0.864471826348498	0.778738557118057	0.99437434222661	0.83558003969949	0.828693289523569	0.852675034660329	0.856158213007528	0.841709963540023	0.864409219695229	0.912926701969822	0.901658139459098	0.945713375723727	0.77765542162319	0.909007977729452	0.874697990651369	0.925039650438257	0.95450482080263
"ERR475497"	0.785002195727835	0.778251585094183	0.663371441138403	0	0.769868340721472	0.935426441620197	0.973789904033792	0.909158849906434	0.816515196496235	0.73451345557816	0.741015427350863	0.859167628279098	0.906930050858701	0.851832926085247	0.7955883308427	0.91961720257141	0.780068705907129	0.755122324672447	0.799107287462507	0.828037920864378	0.884369094476342	0.75302039608223	0.778489082768005	0.874465682226648	0.798340491046106	0.800342997670205	0.811480560114895	0.833950312473463	0.901270789620304	0.895355177417384	0.772503484741633	0.792866771292564	0.858591611737287	0.883939215143232	0.905603901240982	0.736807315942977	0.852486822271676	0.900570262712292	0.842078962080586	0.741711919630736	0.862147281064126	0.738084297447523	0.782488473209243	0.871794091512178	0.90978436348559	0.838382002757238	0.874144392009669	0.88444965998676	0.90906576349389	0.882394966976056	0.914785001317215	0.820600099253057	0.813739481009823	0.833829274583692	0.740989774884454	0.862388192515994	0.903457842479023	0.799305638770229	0.803923023567177	0.883330773146349	0.934869797053483	0.823452127828377	0.804725105022036	0.798971126092126	0.822742283754604	0.793927051750836	0.893043114773677	0.752579851753155	0.729199729895557	0.899163256943661	0.891543859334404	0.857666662558389	0.819935640145017	0.772881333492208	0.797010876619162	0.889568457372885	0.863030124601707	0.913888465729988	0.879865852921627	0.897654324291376	0.888466485379608	0.870346840711659	0.865635747243198	0.700199838726642	0.783862333197748	0.85621467532147	0.924228663287187	0.838542123532287	0.9580367105008	0.923006756953038	0.84162310617304	0.76945596001102	0.8157364313847	0.865698218732981	0.937991091250233	0.871625837358437	0.797537615262115	0.995442475478242	0.868467797562003	0.836968115141857	0.895180708530015	0.849252735314658	0.86105666730156	0.855303540221935	0.908853852425001	0.888243161385895	0.963101560904939	0.738157312548926	0.932043980861354	0.871399129976834	0.917076818371681	0.965566502325607
"ERR475498"	0.781243733501645	0.811427215778304	0.801363064697077	0.769868340721472	0	0.909030450698589	0.971982985708661	0.935145133587238	0.831200602776175	0.767234155749152	0.843833907660643	0.852799292015682	0.894683334476189	0.88481876973981	0.882061333413744	0.919037594686478	0.83023439989651	0.79071299730249	0.79962441922585	0.785730427975803	0.894933724399615	0.837792086470762	0.797159190453634	0.874503268033382	0.782372511733157	0.862335829139561	0.836537435588444	0.700149709521455	0.903548645635246	0.922549783197517	0.868599016125291	0.867593381654464	0.874639922535917	0.857455437489214	0.891567057529135	0.810794339162679	0.867980641516923	0.865732922143084	0.809408047065926	0.830610745050294	0.813086266399452	0.781436013738927	0.739697248860349	0.874749222247515	0.892110280362661	0.843689668615984	0.88509376541205	0.795193017005775	0.906549636196864	0.82033365470588	0.881572318506116	0.83297763171977	0.882142232567676	0.877981018327966	0.811068922611183	0.87802176518297	0.912122866012899	0.850034429921152	0.8324667840261	0.905397106583998	0.892490881336388	0.854787293193135	0.869178775789075	0.859069325151486	0.925843191451758	0.821477389043238	0.904261576064951	0.72093536746086	0.790772161229509	0.924347268522951	0.893353710591199	0.871938269426205	0.913143406603071	0.860009532155651	0.822970274397503	0.907558122403277	0.896729248688396	0.925435342129061	0.872209361396635	0.929020628533297	0.838236400100276	0.857437831874089	0.842393510394485	0.766844617405911	0.745764432054995	0.810695152856639	0.915800555636789	0.851992915180341	0.968042732164081	0.920189899225258	0.798172989023671	0.854114767170877	0.807451058601013	0.861693112595795	0.946040066977294	0.776808514850179	0.820427486939313	0.991427972937313	0.852884481504974	0.853576177370976	0.872963614862914	0.86123158580187	0.842310370562354	0.843646389884378	0.924247392168526	0.927334959363707	0.950179528129849	0.743554115605683	0.918293273579236	0.893924883721624	0.949266100028058	0.962973944420358
"ERR475499"	0.926073442809099	0.859462436050071	0.932539042705118	0.935426441620197	0.909030450698589	0	0.929852211061078	0.912821505338506	0.933018292331956	0.87742384787743	0.939886022778288	0.88748252042035	0.87985908428959	0.938179672754663	0.879493456644604	0.887993065366123	0.897637935750901	0.941181846481621	0.929960314597013	0.894010673810383	0.948365996386215	0.891341662529979	0.868167261470453	0.876981795050435	0.913038251910836	0.871794091512178	0.927654528099962	0.882408442934529	0.943074458198156	0.946013100138734	0.94280320744602	0.933659689884577	0.916564141079105	0.898541854827209	0.889641622790466	0.931206559059499	0.874827768302084	0.938359067167598	0.918245930386931	0.928735924456555	0.899473695146893	0.896450109241146	0.85366834046553	0.930475822318126	0.915366004218681	0.920978721794226	0.93853232285347	0.903973274995565	0.837248979924667	0.893743360824988	0.84266814841638	0.871247941105729	0.962274396524699	0.936589843245802	0.942721805068771	0.941958425132133	0.959493024313167	0.956711382010868	0.928085489014627	0.879781239141273	0.917197005762418	0.843736550252933	0.883798088792278	0.926897182519697	0.942275376666505	0.942625311942959	0.895957165489393	0.951785325526098	0.922126893768698	0.969740421783339	0.904132021317789	0.942676576108966	0.965023603275146	0.915210496131834	0.895444036609782	0.960630671798912	0.947177409049216	0.932956874122171	0.8835930559947	0.85307965970611	0.908323714400132	0.914508568467221	0.809193896003366	0.937129456555394	0.928584226801144	0.866343354778737	0.916576805622525	0.894620719264873	0.94088239327178	0.839705311651081	0.911132388012359	0.839505554529547	0.886158930449151	0.900804957232014	0.886740895551071	0.905364787859104	0.934539205205136	0.995488746250782	0.916529312057981	0.958238732156907	0.941695664212699	0.937162973771798	0.954664004985014	0.955370904162546	0.944774135521533	0.976181731318883	0.951417702544087	0.943511180642826	0.962617031635617	0.932858590277938	0.973582502768549	0.973565452360781
"ERR475500"	0.972581253048375	0.946064036342031	0.978185195699328	0.973789904033792	0.971982985708661	0.929852211061078	0	0.951989778323034	0.978469558700348	0.962634447715088	0.968281089986197	0.96297974585113	0.977683655545721	0.971911716993009	0.948386877173475	0.887352306524173	0.964699903099963	0.98002371513229	0.983463619139538	0.964751939997599	0.984730232277923	0.964043210738975	0.952303709899849	0.97771748271802	0.974984379060753	0.967298232321826	0.975590481558849	0.965130495464061	0.984040250138387	0.973406287901024	0.95492036645525	0.972717902110303	0.947891480787786	0.940382928007362	0.968883672549881	0.975692372300687	0.963333510425609	0.979821633476331	0.966578583534029	0.958750754799118	0.942124471050822	0.939967862391564	0.972208129919022	0.974556276846738	0.966906867744506	0.969843479517296	0.980175223843646	0.967430538535238	0.898581122030635	0.977356544093917	0.942423222405422	0.966471990298705	0.986179475399794	0.979391943973396	0.970815786624619	0.966970196830209	0.990263286188574	0.975120389669986	0.965084274524473	0.937650258035492	0.95535029980614	0.974811480147	0.939252095791251	0.968809105271356	0.978590576106631	0.967211927392666	0.978655294577872	0.983934444200833	0.97591589484646	0.98531931314967	0.941885952394543	0.981004917118113	0.984655158720378	0.969960825716112	0.948899687569106	0.97955487539704	0.973894993219119	0.973269821928051	0.940310239267819	0.914187475471676	0.978582133962223	0.973343745500061	0.918324833405301	0.976763826751269	0.972228074649871	0.972008640027506	0.9446479759292	0.962384761350342	0.951340587601368	0.898319287777395	0.971161370889413	0.974218646243747	0.970049533143868	0.964321032488756	0.9472312222604	0.975980952696619	0.982559751033928	0.997298123291043	0.98554420605321	0.989489923300426	0.987148875253389	0.9843547534319	0.98531931314967	0.990249535627325	0.941036678196739	0.964766393763054	0.987248479815556	0.981676650982913	0.989861615547884	0.956473522143223	0.96052867684992	0.988878100931643
"ERR475501"	0.921735033388399	0.923766477686723	0.95998339303798	0.909158849906434	0.935145133587238	0.912821505338506	0.951989778323034	0	0.960557820306498	0.885469150202619	0.922596750429372	0.895802619156116	0.916234758994057	0.89055205764765	0.926200972015455	0.89246110460531	0.811499610503268	0.929039190934117	0.980508945316152	0.867897679560035	0.986453865227578	0.910018345602935	0.894422940436217	0.932040904508138	0.925114449150945	0.901498675547707	0.752894558029077	0.898171951295623	0.982810986701493	0.871543408849482	0.909011188210298	0.946624009819409	0.960610274410416	0.961192741781828	0.931677770349708	0.925802731692618	0.942845411151475	0.953055196290502	0.934505522297552	0.935570095980201	0.941269533034817	0.94236589937211	0.906294803792577	0.907323082726933	0.885810798627181	0.939315826064069	0.970121060263455	0.949045687380055	0.911976005728574	0.951622298760866	0.927108353542428	0.950048710861389	0.957277697776978	0.963637786735396	0.905271052763678	0.97477746037979	0.988326274886483	0.952472444415562	0.958823859806785	0.962201775282094	0.976455907281331	0.923575866674409	0.950021948767329	0.961570995624919	0.89804095244606	0.946204834345226	0.916671780261524	0.9119376878287	0.94511941818844	0.828419382769888	0.962654765735391	0.9760969048875	0.966054048024096	0.941036678196739	0.922023470301578	0.972581253048375	0.958461158120667	0.847603772294647	0.949525115604316	0.858282289828562	0.921374270111749	0.960359612569615	0.870484506338524	0.939203534252376	0.964928248366743	0.92037227939592	0.840855299977176	0.911388167862722	0.934588194723835	0.892236073097563	0.916377304666035	0.878208483740858	0.870188483749562	0.950221144970297	0.823381181944264	0.929203130866765	0.95049157402768	0.997859170158129	0.986035291929679	0.9574125838728	0.983538868996375	0.937175161326388	0.904876543027539	0.946129946473901	0.924085053528468	0.878764875776867	0.941825550861971	0.911892980200868	0.979933910947616	0.919456612660191	0.914120689705671	0.900765848437319
"ERR475502"	0.843148451517279	0.83057017045813	0.810775266157927	0.816515196496235	0.831200602776175	0.933018292331956	0.978469558700348	0.960557820306498	0	0.78108746112218	0.782292525430354	0.88224334004655	0.907892798859412	0.901081898212645	0.842682599439356	0.915461191248614	0.841753387339146	0.853597447092728	0.817232567561963	0.809220669099131	0.863260206349936	0.828748795551835	0.82541653861873	0.880822790350869	0.80308122435407	0.849009801090942	0.871306359789326	0.851028750468741	0.909967070445725	0.932127035699267	0.84445732737394	0.85285963587757	0.868844106115849	0.87738305758097	0.916380471921738	0.824351278416748	0.87660067026647	0.894419643522785	0.839988485679063	0.807378169804705	0.854896946223009	0.801425066032154	0.803830406432192	0.885874415879074	0.927148715010403	0.868243274182569	0.861228087958398	0.882165825948785	0.89366083071974	0.891636646287687	0.888576447804685	0.862956897239141	0.857726495463158	0.832907829995939	0.854681157360782	0.85412185050565	0.903587556670146	0.818879225206283	0.843772610463811	0.920111268077422	0.908240130513396	0.828611871165063	0.845267128258317	0.824228239428133	0.928674012234908	0.802547729555665	0.932668113797452	0.827281670404474	0.797342580668183	0.92147154310716	0.867607216926239	0.840956766676358	0.882586968708746	0.810397494641459	0.81989432136491	0.885770615566789	0.842628406242293	0.953220733311875	0.877352462913223	0.928472748082337	0.907091163681922	0.87850031913896	0.864638743679967	0.826427863720248	0.79573308386686	0.882213009723374	0.916000268995623	0.886065224053698	0.96679170405712	0.944323426986608	0.839712574250609	0.855946429673517	0.850362496356431	0.863051044972937	0.963298724613204	0.871392258634074	0.822506725275284	0.99315630244798	0.832154174725475	0.875479618670929	0.89101003272451	0.892229453139473	0.880549063656841	0.897139491438703	0.940367785342319	0.943493116527458	0.958165544955108	0.833561434805453	0.932050133514617	0.911947267556693	0.954398671077606	0.966489277181988
"ERR475503"	0.799888645390599	0.749428249532818	0.78472340592917	0.73451345557816	0.767234155749152	0.87742384787743	0.962634447715088	0.885469150202619	0.78108746112218	0	0.726235140520855	0.794632871225323	0.845673400254066	0.869947420559323	0.811411973659744	0.86889932300295	0.779188962247065	0.825282556138922	0.834943340728683	0.748140319361951	0.895901270746038	0.742535604901758	0.714705199185991	0.850448048122539	0.76787328512177	0.789263647407678	0.817809608234536	0.766758475703869	0.917911253673927	0.920881359878915	0.811385299011577	0.825758799476766	0.860387983634726	0.8782933352697	0.892060617471005	0.766282428421207	0.827481949315766	0.885512705279011	0.844003342562798	0.790760328907241	0.831734647574871	0.781676278733507	0.745857773989053	0.88265432210388	0.876675554478245	0.861333013916147	0.858493209312064	0.841992160047477	0.871457533012292	0.861944696839469	0.85187914973739	0.819837972910599	0.854677619160892	0.850426661374743	0.838829502353711	0.867157397476678	0.903885782877484	0.798009337310336	0.831277977428914	0.866454271946775	0.904119064158082	0.787497628905764	0.81602008098821	0.791903050368058	0.894037068083443	0.783439323239682	0.869720038169684	0.802377529759501	0.717271110557528	0.936199272898392	0.868744011765926	0.813636989084905	0.841018362791745	0.800327469938777	0.76259708357114	0.898286549742358	0.8491634331833	0.919941385709417	0.85760330323853	0.873740810498815	0.848763189437271	0.874544267868798	0.722913645398084	0.768323555012193	0.787505559770807	0.834536806797713	0.882479186385093	0.82170212495471	0.963872392157959	0.850815063249156	0.833488032571794	0.798655891330693	0.781980478413567	0.835722652631182	0.920608024502654	0.828486020526821	0.801510307395399	0.994183365075231	0.851861371850099	0.839825132918384	0.875503494127924	0.881049105121782	0.897316621953613	0.886767637944702	0.931970143492151	0.944708055687598	0.931175746463362	0.810920205651899	0.933334484177333	0.9068849307556	0.955671046886664	0.94878941593111
