	ERR475476	ERR475478	ERR475493	ERR475497	ERR475498	ERR475499	ERR475500	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510	ERR475511	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475518	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475530	ERR475531	ERR475532	ERR475533	ERR475534	ERR475535	ERR475536	ERR475537	ERR475538	ERR475539	ERR475540	ERR475541	ERR475542	ERR475543	ERR475544	ERR475545	ERR475546	ERR475548	ERR475549	ERR475550	ERR475551	ERR475553	ERR475554	ERR475555	ERR475556	ERR475557	ERR475558	ERR475559	ERR475560	ERR475561	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475581	ERR475582	ERR475583	ERR475584	ERR475585	ERR475586	ERR475587	ERR475588	ERR475589	ERR475590	ERR475591	ERR475592	ERR475593	ERR475594	ERR475595	ERR674081	ERR674094	ERR674099	ERR674100	ERR674101	ERR674110	ERR674115	ERR674117	ERR674118	ERR674119	ERR674120	ERR674121	ERR674165	ERR674166	ERR674167	ERR674168
ERR475476	0	0.674360990524292	0.582068145275116	0.5169832110404968	0.5681002140045166	0.6292370557785034	0.7006559371948242	0.503568708896637	0.6529035568237305	0.6100466847419739	0.6836770176887512	0.6086078882217407	0.5168707966804504	0.637197732925415	0.6939828991889954	0.6691391468048096	0.4765674471855164	0.5728247165679932	0.5845665335655212	0.6351390480995178	0.6795797944068909	0.5598927736282349	0.5871120095252991	0.5415859818458557	0.5515382885932922	0.6004692912101746	0.4932730793952942	0.5953184962272644	0.609470009803772	0.5736438632011414	0.6082250475883484	0.640236496925354	0.6754316091537476	0.6378024816513062	0.614230751991272	0.5355100631713867	0.6304841041564941	0.5791337490081787	0.652340292930603	0.5993747711181641	0.6156695485115051	0.5542459487915039	0.5400334596633911	0.578142523765564	0.5655609369277954	0.5596079230308533	0.5850721597671509	0.6479487419128418	0.5521888732910156	0.5563076734542847	0.5645669102668762	0.6448057889938354	0.4967904686927795	0.5450112223625183	0.5374009609222412	0.517688512802124	0.6036140918731689	0.490106463432312	0.6304132342338562	0.6962286829948425	0.6206123232841492	0.5192384719848633	0.5989474058151245	0.5769760012626648	0.5376417636871338	0.5789857506752014	0.5305958390235901	0.5300115942955017	0.5901669859886169	0.5180463790893555	0.6912174224853516	0.6363178491592407	0.5330641269683838	0.5330246686935425	0.6010489463806152	0.5658847093582153	0.5621595978736877	0.6063920855522156	0.6033666133880615	0.6815552115440369	0.5386033654212952	0.5449429750442505	0.6210832595825195	0.5196322798728943	0.5458698868751526	0.6231287121772766	0.5515657067298889	0.5193914771080017	0.6265318393707275	0.5781651139259338	0.5840927958488464	0.5247307419776917	0.5530194044113159	0.6443206667900085	0.5637545585632324	0.5502492785453796	0.6119551658630371	0.7130082249641418	0.6041834354400635	0.5929864048957825	0.5917506814002991	0.5402846336364746	0.5712466835975647	0.5380021333694458	0.5972092747688293	0.5474241971969604	0.6213274002075195	0.5558831691741943	0.5704591274261475	0.6046765446662903	0.5771169662475586	0.6256306767463684
ERR475478	0.674360990524292	0	0.5568139553070068	0.6733372807502747	0.6206421852111816	0.6081027388572693	0.6692996621131897	0.689208447933197	0.6745635271072388	0.6136288642883301	0.6671639084815979	0.6272342205047607	0.6693229675292969	0.63683021068573	0.630628228187561	0.6378386616706848	0.6772637367248535	0.674433171749115	0.6704763174057007	0.5676292777061462	0.6621400117874146	0.6700961589813232	0.5847271680831909	0.7290723919868469	0.6706038117408752	0.6517439484596252	0.6891288757324219	0.6147429347038269	0.6343050003051758	0.7432733178138733	0.7153429985046387	0.5894206166267395	0.5996261239051819	0.5848774909973145	0.6433895826339722	0.7082095742225647	0.5953954458236694	0.6482736468315125	0.6441588401794434	0.6338170170783997	0.5858159065246582	0.6045043468475342	0.5839014053344727	0.70964515209198	0.6713456511497498	0.655797004699707	0.6955247521400452	0.5910519361495972	0.64110267162323	0.6774754524230957	0.6519467234611511	0.5595358610153198	0.6794883012771606	0.6577553749084473	0.7207120060920715	0.6513254046440125	0.6491250395774841	0.6891679167747498	0.576203465461731	0.6156573891639709	0.6108234524726868	0.6685838103294373	0.6024495363235474	0.6112340092658997	0.7189058065414429	0.5920823812484741	0.7234026193618774	0.6860132217407227	0.5886579155921936	0.7451698184013367	0.5991055369377136	0.6160826086997986	0.7075535655021667	0.6438503265380859	0.5950101017951965	0.6647293567657471	0.6442858576774597	0.6684396266937256	0.5757758021354675	0.6235142350196838	0.7106375694274902	0.6136234998703003	0.5896462798118591	0.6650894284248352	0.6132063865661621	0.6422755122184753	0.7397315502166748	0.6872920989990234	0.7614507675170898	0.6834195256233215	0.6704068779945374	0.6430985927581787	0.6496075987815857	0.5931062698364258	0.743211030960083	0.6954015493392944	0.6276610493659973	0.8221746683120728	0.6077391505241394	0.6648594737052917	0.6736398935317993	0.6684603691101074	0.6753641366958618	0.709956169128418	0.6338415145874023	0.7575655579566956	0.7772328853607178	0.7070603370666504	0.6598607897758484	0.6308009624481201	0.7775976061820984	0.7966064810752869
ERR475493	0.582068145275116	0.5568139553070068	0	0.5519527196884155	0.5485353469848633	0.5668041706085205	0.6591755747795105	0.5927186012268066	0.6302114725112915	0.5419971942901611	0.6335136294364929	0.5653666257858276	0.5727843642234802	0.5804150104522705	0.6064623594284058	0.6510851979255676	0.5514416098594666	0.5945588350296021	0.5927538871765137	0.5575162172317505	0.6211162209510803	0.5795196890830994	0.5286041498184204	0.6269876956939697	0.6015945076942444	0.5818448066711426	0.5962330102920532	0.5567178726196289	0.546603798866272	0.6395983099937439	0.6413307785987854	0.5438122153282166	0.5621962547302246	0.5350114703178406	0.5761945247650146	0.5933470129966736	0.5521147847175598	0.5663469433784485	0.5851277112960815	0.5488478541374207	0.5193794369697571	0.4871787130832672	0.462334930896759	0.6209729909896851	0.5729591250419617	0.5500727891921997	0.6193642020225525	0.5463722348213196	0.5525285601615906	0.6140952110290527	0.5208588242530823	0.5119044184684753	0.5761198401451111	0.564532458782196	0.5977724194526672	0.5309637784957886	0.5721492171287537	0.5629541873931885	0.5056403279304504	0.6224638819694519	0.5415021181106567	0.5541008114814758	0.5422099232673645	0.5221831798553467	0.6322253346443176	0.5279841423034668	0.6000576019287109	0.567983865737915	0.4927276074886322	0.6495401859283447	0.5988267660140991	0.5589775443077087	0.6254104375839233	0.5458186268806458	0.5306822657585144	0.591991662979126	0.5420713424682617	0.5751978158950806	0.5219897031784058	0.6034435033798218	0.6194406747817993	0.528420627117157	0.5658054947853088	0.5702361464500427	0.5051075220108032	0.5698429942131042	0.6602795720100403	0.5784132480621338	0.6948493719100952	0.602449357509613	0.594951868057251	0.5579468011856079	0.5466516017913818	0.5337480902671814	0.6352333426475525	0.5880590081214905	0.55583655834198	0.7499057054519653	0.5515177249908447	0.5881946682929993	0.5594425201416016	0.5631157159805298	0.5629990100860596	0.6145755648612976	0.5542811751365662	0.6418887972831726	0.6883682012557983	0.6097454428672791	0.5901421904563904	0.5667475461959839	0.6754364967346191	0.7118968963623047
ERR475497	0.5169832110404968	0.6733372807502747	0.5519527196884155	0	0.5668100118637085	0.5924766063690186	0.697459876537323	0.4849776327610016	0.6529563665390015	0.5852874517440796	0.6859105229377747	0.5867537260055542	0.4734049439430237	0.6508940458297729	0.6773828268051147	0.6917360424995422	0.4414781630039215	0.5803635716438293	0.618119478225708	0.6659206748008728	0.6825259327888489	0.570007860660553	0.6115903854370117	0.5426897406578064	0.5556267499923706	0.626412034034729	0.5332371592521667	0.623829185962677	0.6042446494102478	0.5313594937324524	0.6137179732322693	0.6742540001869202	0.670297384262085	0.636343777179718	0.6420591473579407	0.526965856552124	0.6470117568969727	0.6118590831756592	0.6809751987457275	0.5901172757148743	0.6347199082374573	0.5588837265968323	0.5642248392105103	0.5870648622512817	0.5806781053543091	0.5529410243034363	0.623445987701416	0.6202207803726196	0.5708141326904297	0.5872273445129395	0.5821946859359741	0.652317225933075	0.5261853337287903	0.5693945288658142	0.4969039261341095	0.5546103119850159	0.5935223698616028	0.5048347115516663	0.6387253403663635	0.6998958587646484	0.6144477725028992	0.5041984915733337	0.627247154712677	0.5984866619110107	0.5060313940048218	0.6104778051376343	0.5025604367256165	0.5425625443458557	0.6072542667388916	0.5851723551750183	0.6878768801689148	0.6611225008964539	0.5655427575111389	0.5486738085746765	0.6253612041473389	0.6015156507492065	0.5497795939445496	0.5872161388397217	0.6265054941177368	0.6748755574226379	0.5070558190345764	0.5693067312240601	0.6445313692092896	0.5567335486412048	0.5850244164466858	0.6162461638450623	0.5838985443115234	0.5353208184242249	0.6520528793334961	0.5849493741989136	0.6128978729248047	0.5643087029457092	0.5650888681411743	0.6329876184463501	0.5891537666320801	0.5554936528205872	0.6174174547195435	0.7085846066474915	0.6330173015594482	0.6004801392555237	0.5860680937767029	0.5811960697174072	0.5887653827667236	0.5679460167884827	0.5917266011238098	0.538612961769104	0.593239963054657	0.5799061059951782	0.5945339202880859	0.6045200228691101	0.5553519725799561	0.6421563625335693
ERR475498	0.5681002140045166	0.6206421852111816	0.5485353469848633	0.5668100118637085	0	0.5908304452896118	0.6607984304428101	0.5765505433082581	0.6185917258262634	0.5446733236312866	0.6208531856536865	0.5705766081809998	0.5805304050445557	0.5952312350273132	0.6323478221893311	0.6227021217346191	0.555242657661438	0.5701931715011597	0.619158923625946	0.579388439655304	0.6562869548797607	0.5790784358978271	0.5773090124130249	0.6391202807426453	0.578775942325592	0.5866681337356567	0.5871594548225403	0.5463035702705383	0.5968946814537048	0.6513184309005737	0.6428669095039368	0.6156036853790283	0.6047043204307556	0.5858385562896729	0.5862559676170349	0.6098889112472534	0.5803017616271973	0.5842066407203674	0.600255012512207	0.5855712294578552	0.5834760069847107	0.5236871242523193	0.5241787433624268	0.6260010600090027	0.5918312072753906	0.5779293775558472	0.6089565753936768	0.6016247868537903	0.5479227900505066	0.5911094546318054	0.5651683211326599	0.6071553230285645	0.6109707951545715	0.5947493314743042	0.614063560962677	0.5512820482254028	0.6309590935707092	0.5968655943870544	0.5625016689300537	0.6366540193557739	0.5968313217163086	0.5501300692558289	0.566486120223999	0.5601956248283386	0.6224194765090942	0.554223895072937	0.636629581451416	0.5982736349105835	0.5702682733535767	0.6609139442443848	0.6315491795539856	0.6066895127296448	0.6128385066986084	0.531972348690033	0.5603527426719666	0.5705260634422302	0.5775625705718994	0.6021286845207214	0.5797992348670959	0.6369673013687134	0.6431229710578918	0.5627039074897766	0.5879027247428894	0.59886634349823	0.559792160987854	0.6132643818855286	0.6361917853355408	0.5859587788581848	0.686475396156311	0.6101582646369934	0.6002883315086365	0.5652331709861755	0.5565350651741028	0.6056954264640808	0.6483568549156189	0.610186755657196	0.5939316749572754	0.767417311668396	0.5774632692337036	0.6025719046592712	0.5764000415802002	0.5763279795646667	0.5675088763237	0.6202841997146606	0.5769038796424866	0.6606088280677795	0.6872984766960144	0.5994212627410889	0.6081115007400513	0.5775330066680908	0.6949973106384277	0.7159205675125122
ERR475499	0.6292370557785034	0.6081027388572693	0.5668041706085205	0.5924766063690186	0.5908304452896118	0	0.6665878891944885	0.6099901795387268	0.6523780822753906	0.5689173936843872	0.646028995513916	0.6027918457984924	0.5777174830436707	0.6406869292259216	0.6159224510192871	0.6537458896636963	0.591508150100708	0.6600848436355591	0.6251100897789001	0.5966883301734924	0.6175260543823242	0.6114271283149719	0.6054567098617554	0.6679006814956665	0.6268696188926697	0.6437719464302063	0.647495448589325	0.6136971116065979	0.5722109079360962	0.6657448410987854	0.6654583215713501	0.5936848521232605	0.6209120750427246	0.5861837267875671	0.6319116950035095	0.6299468874931335	0.6115117073059082	0.604728639125824	0.6249621510505676	0.6013815402984619	0.5782136917114258	0.5732399225234985	0.5567941069602966	0.6443100571632385	0.6099085211753845	0.5947720408439636	0.6350988745689392	0.6028565168380737	0.6113190054893494	0.6367851495742798	0.5896701216697693	0.5717981457710266	0.6219611167907715	0.6154496073722839	0.6541202068328857	0.5831643342971802	0.5961716175079346	0.6334507465362549	0.5899501442909241	0.6488333344459534	0.5695198178291321	0.6077874302864075	0.6187421083450317	0.5753412246704102	0.6413607597351074	0.5868038535118103	0.6470641493797302	0.6384903192520142	0.5828098654747009	0.6832051277160645	0.6463307738304138	0.6310092210769653	0.6578965187072754	0.6007258296012878	0.619165301322937	0.6325943470001221	0.6025797128677368	0.6380434036254883	0.5969128608703613	0.5993390083312988	0.6358084678649902	0.5708383321762085	0.5805864930152893	0.6171278357505798	0.60252445936203	0.6107272505760193	0.6891672611236572	0.6232754588127136	0.6963449716567993	0.6282691359519958	0.6494319438934326	0.5957062244415283	0.5806809067726135	0.6009336709976196	0.6715561151504517	0.6306431293487549	0.5964349508285522	0.7822206020355225	0.6092056035995483	0.6348912715911865	0.6004299521446228	0.6393178701400757	0.6258758902549744	0.6532443165779114	0.5959687829017639	0.6873415112495422	0.7067154049873352	0.6714545488357544	0.6166501641273499	0.5951079726219177	0.7070692181587219	0.7407078742980957
ERR475500	0.7006559371948242	0.6692996621131897	0.6591755747795105	0.697459876537323	0.6607984304428101	0.6665878891944885	0	0.6735658049583435	0.700468897819519	0.6432690620422363	0.6577544808387756	0.6718873381614685	0.6830777525901794	0.6964996457099915	0.6853644847869873	0.6700043678283691	0.6911097168922424	0.7100105881690979	0.7163281440734863	0.6702644228935242	0.7261902093887329	0.6801788806915283	0.6622703671455383	0.7405808568000793	0.7057397365570068	0.701990008354187	0.7245079874992371	0.6578049063682556	0.7098957300186157	0.7510307431221008	0.7303960919380188	0.6766911149024963	0.6979378461837769	0.6365959048271179	0.6679867506027222	0.7020841240882874	0.6600953936576843	0.6991989016532898	0.6800023317337036	0.6820237040519714	0.6599918603897095	0.6406717896461487	0.6716163158416748	0.7130677700042725	0.6772007346153259	0.6937252879142761	0.6959418058395386	0.6937525868415833	0.661770761013031	0.6910159587860107	0.6661867499351501	0.6565083861351013	0.7216591835021973	0.6842806339263916	0.7173384428024292	0.6677724123001099	0.7175886631011963	0.7154023051261902	0.6661138534545898	0.6335363388061523	0.6410573720932007	0.6655685901641846	0.6256697773933411	0.6517937183380127	0.727767288684845	0.6436067223548889	0.7405535578727722	0.710316002368927	0.656660795211792	0.7527716159820557	0.6329663991928101	0.6703976988792419	0.7190113663673401	0.6437576413154602	0.6476690769195557	0.675117552280426	0.6726943850517273	0.6600427627563477	0.6478697657585144	0.6704363822937012	0.7410756945610046	0.6894492506980896	0.6526259779930115	0.7317462563514709	0.6783711314201355	0.6928268671035767	0.743140697479248	0.6940152049064636	0.7593978047370911	0.6660012006759644	0.7196637988090515	0.6632454395294189	0.7006971836090088	0.6819073557853699	0.7530815005302429	0.718144953250885	0.648342490196228	0.8363292217254639	0.6766637563705444	0.6819907426834106	0.6982056498527527	0.713549792766571	0.6951955556869507	0.7291167378425598	0.6415965557098389	0.7438256144523621	0.7632529735565186	0.7235261201858521	0.6960178017616272	0.6462897658348083	0.7725425958633423	0.780941367149353
ERR475501	0.503568708896637	0.689208447933197	0.5927186012268066	0.4849776327610016	0.5765505433082581	0.6099901795387268	0.6735658049583435	0	0.673296332359314	0.6038731336593628	0.6832012534141541	0.596789538860321	0.4960346519947052	0.6610490083694458	0.6985827088356018	0.6869005560874939	0.4553049504756927	0.5829677581787109	0.6252853870391846	0.6762049198150635	0.6960102319717407	0.5494222044944763	0.6359901428222656	0.564001739025116	0.5716559290885925	0.6578294634819031	0.5299023389816284	0.6275951266288757	0.6239007711410522	0.5539878010749817	0.5917810201644897	0.6850813031196594	0.6902212500572205	0.6601184010505676	0.6311188936233521	0.5802789926528931	0.6369509696960449	0.6106520295143127	0.6877084970474243	0.6153395175933838	0.6370605826377869	0.5702482461929321	0.5874171853065491	0.5715112090110779	0.5681876540184021	0.597707211971283	0.6155669093132019	0.6552401185035706	0.5512093305587769	0.6116319894790649	0.5866949558258057	0.6713449954986572	0.5491746068000793	0.6012043952941895	0.5540868043899536	0.5538341403007507	0.5966757535934448	0.524381697177887	0.6480495929718018	0.710710346698761	0.6387390494346619	0.5179297924041748	0.6291490793228149	0.6088575720787048	0.4991293847560883	0.6206158995628357	0.4697268605232239	0.5336783528327942	0.6376174688339233	0.5147572159767151	0.7011793255805969	0.6735056042671204	0.5865815877914429	0.5645803809165955	0.6538695096969604	0.5992631316184998	0.5764507055282593	0.5616962909698486	0.6351433396339417	0.6728324890136719	0.5611978769302368	0.6025885939598083	0.647688627243042	0.5919325351715088	0.579842209815979	0.6289997696876526	0.5795210599899292	0.5628235936164856	0.6106656789779663	0.5786616206169128	0.6074997186660767	0.5731347799301147	0.5906853675842285	0.6633538603782654	0.5886544585227966	0.5886632800102234	0.6578776836395264	0.7224225997924805	0.6567814350128174	0.6365446448326111	0.615414023399353	0.5995047092437744	0.6371222138404846	0.5917768478393555	0.6137164831161499	0.5879577398300171	0.6137843728065491	0.5974549651145935	0.6202269792556763	0.6318665742874146	0.6212696433067322	0.6211492419242859
ERR475502	0.6529035568237305	0.6745635271072388	0.6302114725112915	0.6529563665390015	0.6185917258262634	0.6523780822753906	0.700468897819519	0.673296332359314	0	0.6122006177902222	0.6526833176612854	0.6213331818580627	0.6457050442695618	0.65656977891922	0.6614164710044861	0.6717064380645752	0.6430972218513489	0.6581061482429504	0.6640068888664246	0.6354808211326599	0.695805549621582	0.6412007212638855	0.6556587815284729	0.7005206346511841	0.6614154577255249	0.6487195491790771	0.6752469539642334	0.6418148875236511	0.6841815114021301	0.7236286997795105	0.6880907416343689	0.6660771369934082	0.6797167062759399	0.647691011428833	0.6428422331809998	0.6728578209877014	0.6669955253601074	0.659607470035553	0.6783509254455566	0.667597234249115	0.6480839848518372	0.6049838066101074	0.6295523643493652	0.6820179224014282	0.6502590775489807	0.6414702534675598	0.6584334373474121	0.679551899433136	0.6407039761543274	0.6555368304252625	0.6420688033103943	0.6793436408042908	0.664917528629303	0.6299633979797363	0.6830223798751831	0.6466696262359619	0.6971692442893982	0.6727093458175659	0.6762266755104065	0.6909793019294739	0.6680417060852051	0.6440733075141907	0.6361674666404724	0.6059485077857971	0.7027837038040161	0.6342394948005676	0.7126733660697937	0.6624752879142761	0.6362898945808411	0.7208413481712341	0.6849495768547058	0.6573640704154968	0.6584046483039856	0.6205567121505737	0.6113604307174683	0.640964686870575	0.6259369850158691	0.6817869544029236	0.6414797306060791	0.7056115865707397	0.7099906802177429	0.6222819089889526	0.643375039100647	0.6622399091720581	0.6417468786239624	0.6796972751617432	0.6967495083808899	0.6430114507675171	0.7367358803749084	0.6734752058982849	0.6775332093238831	0.6275819540023804	0.6446050405502319	0.6647239327430725	0.7081477642059326	0.6877701878547668	0.6147282719612122	0.8282886743545532	0.657611608505249	0.6404014825820923	0.6569130420684814	0.6502005457878113	0.6541761159896851	0.6999111771583557	0.6444705128669739	0.7249345779418945	0.7503368854522705	0.6720267534255981	0.6805355548858643	0.6340186595916748	0.750840425491333	0.7682139277458191
ERR475503	0.6100466847419739	0.6136288642883301	0.5419971942901611	0.5852874517440796	0.5446733236312866	0.5689173936843872	0.6432690620422363	0.6038731336593628	0.6122006177902222	0	0.6049318909645081	0.5767933130264282	0.5944538712501526	0.6100854277610779	0.6189658045768738	0.6292598247528076	0.5610756874084473	0.6227845549583435	0.6450878977775574	0.6002715229988098	0.6705762147903442	0.5970789790153503	0.6045361757278442	0.6524535417556763	0.6261881589889526	0.6281592845916748	0.63709956407547	0.5829126238822937	0.6481472253799438	0.674602210521698	0.6503968238830566	0.6136400103569031	0.6353989839553833	0.5887618660926819	0.5975828170776367	0.5939309597015381	0.5908803939819336	0.5975251197814941	0.6143048405647278	0.5904116630554199	0.5682439804077148	0.5282728672027588	0.5617116689682007	0.630064845085144	0.5875265598297119	0.6113844513893127	0.6100257039070129	0.6272998452186584	0.5640170574188232	0.6098740100860596	0.5743928551673889	0.586239218711853	0.6459329128265381	0.5870838761329651	0.6407683491706848	0.5837159752845764	0.6450997591018677	0.6157131791114807	0.6040061712265015	0.6216028928756714	0.6080970168113708	0.5924370884895325	0.5643083453178406	0.5671544075012207	0.6394587159156799	0.5514569878578186	0.6483343839645386	0.5981982946395874	0.5672407746315002	0.681249737739563	0.6337230205535889	0.6030830144882202	0.6243577599525452	0.5412757396697998	0.5614351034164429	0.5958448648452759	0.5996326208114624	0.6185615062713623	0.5954651236534119	0.6282438039779663	0.6512040495872498	0.5903061628341675	0.587568998336792	0.6247556209564209	0.5877483487129211	0.6153494715690613	0.6422047019004822	0.5863605141639709	0.6916120648384094	0.5831571221351624	0.6245251893997192	0.5332348942756653	0.5950077772140503	0.619411826133728	0.6425180435180664	0.6367833614349365	0.5652148723602295	0.7733410596847534	0.5910415649414062	0.5734759569168091	0.579807460308075	0.5956909656524658	0.6068575382232666	0.6502545475959778	0.5810785889625549	0.6650024652481079	0.6952009797096252	0.6224219799041748	0.6278665065765381	0.5753690004348755	0.6947564482688904	0.7213665246963501
