	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112
PropExplained	0.09077580246194436	0.07930936729059787	0.06161669354219344	0.04591282380059493	0.04243063219104992	0.03484952856947726	0.028738983727621598	0.025492236801044718	0.023619815553829752	0.021746732912632245	0.020922361070721866	0.019387285767375327	0.018887560921777517	0.017754410323245397	0.016396192765134238	0.015699123955814947	0.015143263104979349	0.014492246104733807	0.014132409476483386	0.013344177689089118	0.013018170895457063	0.012293569384427619	0.012141182865238393	0.011881322563142619	0.011376871183543412	0.011170708424914228	0.010601042267317609	0.01005293077104072	0.009830813856583907	0.009416860091847643	0.00924092635137516	0.008908986504607747	0.008576783175785712	0.008475274239652301	0.008296093238698187	0.008036149506941453	0.007958280645854517	0.007702156908523236	0.007427006533715434	0.007248628085605655	0.007233372394565477	0.006950035851821034	0.0066342897624233664	0.006438776728411819	0.006349915972060254	0.006097153262659954	0.0059331749671661105	0.005868094185166535	0.005650717384378088	0.005495363125183958	0.005367853592998947	0.0052016925508202375	0.005151545098730198	0.004986292315111204	0.004753846723877376	0.004681983998134014	0.004592282601988153	0.004435018174611252	0.004077983343688318	0.004011640347550909	0.0039009460235873467	0.003777946599370292	0.0036904309679167704	0.003584436856863542	0.0034085225155559254	0.0033066599677349685	0.0032064721086146365	0.00316375609630327	0.003118583219457929	0.0030900034289281417	0.0028593798438542642	0.0027957316868305665	0.002730163848135765	0.0026306099472596183	0.002368037785075596	0.00229897915433418	0.0022456292554695455	0.0021277725242797455	0.001969239069038101	0.0017824775321874484	0.0017268326980151058	0.0016678000328161965	0.0015086977241431838	0.0014262132825596744	0.001408744859634054	0.0013357933660455292	0.001231117334256306	0.0010821613751267514	0.00100533405387629	0.0009125201844163385	0.0008410847553214947	0.0007848301121230927	0.0006267335371357731	0.0005370168446559702	0.00047200804711622834	0.00035035947205440236	0.00029937963941564045	0.0002138753558404401	0.00018342969830220806	0.00011385129038677779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475476	0.0482048515882494	-0.14552685525549752	0.0833735895231219	-0.18813174065084182	-0.08518577159274099	-0.08155662866957927	-0.06497802621941774	0.15648335665687793	0.08304199044892235	-0.01821804040220892	-0.03579795598655005	-0.09310440501523735	0.02186309012104167	-0.0792487117498171	0.04136915284975595	0.08341838181400006	-0.046626582086627774	-0.1340161605063005	0.08572088370595243	0.006261956983945126	0.10990234513284464	0.04115872244063872	-0.043291069968430004	-0.027286541840040042	-0.02184036243194422	0.01684817091712436	-0.06665389390689114	-0.0020565189148529163	0.01000740784647141	0.03479452740434	0.006742738096775274	0.06495971633394554	0.1300790621887156	-0.06494322701449594	-0.002325386837386833	0.008639645936676273	-0.0003910667831981922	-0.016438047847549563	0.013153799867704341	0.033556062882470955	-0.008773774208534648	0.023771973795881755	-0.013948340947220306	-0.0072861232854483995	0.0027762654388262748	0.027033104223137927	0.030968838819877123	-0.0479740355186057	-0.049566545367977694	-0.012190719542863094	0.00999186972852383	0.020921220415459737	-0.02886599420942577	0.0029576825502113224	-0.05731501906929843	0.0014345680503990662	0.037976625380642434	-0.0025483183591591546	-0.004354612227601765	0.006730005786492634	0.02610302990778269	0.009480493497840106	0.023639804915789625	-0.01650053398462002	0.029949084913194982	-0.004461330017852933	-0.02205887560680969	0.027052699448033134	-0.031943757626779555	0.021858067273326523	-0.018501971288279222	0.036643096900881765	-0.003942107784779767	-0.029892273668714737	0.012461238450800341	0.028381088812940956	0.0009218947801161428	-0.012062379812732992	-0.01562616078605107	0.06076681943656563	0.012964325095197182	-0.005572801110100769	-0.02706629888216731	-0.002686668655854499	0.035902341692662224	-0.025203031901554124	-0.001549884522604605	0.014195374690476263	-0.0040066538942032884	0.036305519986420044	-0.01894442111255235	0.0334609840467801	-0.0077575988774592234	0.026632797447967257	-0.003315501369385465	0.008601948170330588	-4.551454918606446e-05	0.012402649978368194	-0.003583545987752507	0.003529424584408113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475478	-0.13677825564538296	-0.12070711291556649	-0.07987669666887792	0.19002183474932743	-0.06242290757584444	0.014664433316175686	-0.04765695070095151	0.051233689485199	0.081409431757468	0.01072079792231715	-0.005771871017655393	0.04382233554150886	0.014836972958379751	-0.02431861177512674	0.02938983131467107	0.01453617308599703	-0.012445228723964273	-0.010010423251557285	0.03042208123345646	0.006834438541814313	-0.06067584638129006	-0.017996277096714627	-0.07415212062640335	0.043244621767141354	-0.004000359890390567	0.04058585236469197	-0.025849063971925365	0.058613543806571466	-0.13041120605381887	0.013598963363387492	-0.012016799353425697	-0.021676261751197478	-0.037486450439654415	0.014718781831396643	0.018752310732368584	-0.038944975145285506	-0.020387640706015623	0.00037820532551290114	0.025416789685571477	0.0023418633845208934	0.027681110221116537	0.011875922135193505	-0.0018196705166993112	0.0292311011437841	0.013538572808674423	0.07690041383440228	0.002288225066477649	-0.09610425885106016	0.00921515946457863	-0.07521465376103534	0.02626994135330427	-0.03200579795802122	0.004068196406292623	0.011395099686232903	0.06279856665986484	0.056641314377688635	-0.07397810708979953	-0.022960319780118702	0.09062723833344748	-0.0013797193493579835	-0.006937185280517639	0.07474021239929074	-0.014556091585023198	0.03377239722239022	0.06921218574467987	-0.03122217571233122	0.0843252875636269	0.017044729009741154	-0.02841994423618502	0.0030818361354025387	-0.08541070365622111	0.031213445073109254	0.060911760707572975	-0.015391607634620025	0.005787212651634865	0.06617134515972133	0.06410276731041895	0.02643550647980235	0.0018649783816085976	-0.0242197572035095	-0.01222575165118966	-0.018889104758714383	0.0020174396037009983	-0.016586416873846113	-0.009040907720765759	-0.016898546024656166	-0.0005495374620525694	-0.006671603088633716	0.03649983481576069	-0.009072412090258655	-0.021878549674156273	-0.00010044828930133076	-0.016318162350396688	-0.0021739408818378775	-0.019030616448507807	-0.007221424358046525	-0.011402747526135428	-0.007372877570984052	-0.0029825980646525033	-0.0006099907677900847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475493	-0.13446100680645587	-0.12673679931557863	0.13772574698378232	0.058650763859278476	-0.0058475821695162	0.146284629034824	0.004099384969373103	0.004799529618065829	0.08334913391858507	0.09672294200787872	0.0773776633983483	0.03947282740557698	-0.08411113279214522	-0.01748464991389124	0.06266036621697428	-0.04254706765623954	-0.025917953390195342	-0.02909229944757529	-0.05817242610579424	0.02918558469966458	-0.03635924994865181	-0.02887173759480984	-0.019220494132716707	-0.02827222073711598	0.06406758096471636	-0.025428229156678972	0.05991024468672504	0.06735256136540713	0.06662445210762379	0.01611646129661358	0.008793383323414882	0.0151526470169115	-0.03066112650714388	-0.0009594263877648261	-0.04996426433174301	-0.01192228161922449	-0.00923195160836762	0.02226881696073869	-0.015557814368094794	-0.013751588490113747	0.05192613246621273	0.03132466086004045	0.039786810514837324	0.12854421759388793	0.014354336909756538	-0.0390587118770828	-0.020445054356502255	-0.019970092245939246	0.021586823573348225	-0.0022614250227559573	-0.08338902140784778	-0.021665166081917177	0.00443814368575769	0.02547255739274083	-0.0658549095611719	0.0437410524689214	0.040712826324910086	-0.008563854155703977	-0.0569633558944346	-0.019755367585824746	0.021150197512950313	-0.07588757829076224	-0.006794921242177392	-0.029062933010931075	-0.060257388145572015	-0.02401433133631886	-0.044679465056070865	-0.036670258470193506	0.023056640821795867	-0.035430288781542134	-0.04368157830819831	0.007974061097562013	0.10351812626511737	-0.005766736447440654	-0.018084107205263496	-0.015063861751351956	0.02171977237580453	0.025219897894840505	-0.01728408144506777	0.0219363396714292	0.01580065565464255	-0.018056062850918597	0.028025986713816883	0.009035924271966438	0.003865185038670899	0.039132964154459805	0.02361982263364328	-0.017640886650168726	0.04786689175383462	-0.0022115354861313046	-0.027988023054065593	0.007760805249101334	0.013434395410694487	0.01904550822666973	0.009060713724510757	-0.00932269447732795	0.004774691403822727	0.00923357607528325	-0.001368783103603304	-0.012003687142139733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475497	-0.10513200475546358	-0.01597236882374407	0.196083822544088	0.005627022359991209	-0.07809984399524454	0.1314048330107749	-0.11117035746877672	0.11723067448675573	0.10558142596840067	0.017984509098862563	0.08751149155114137	0.007690604280546624	-0.13500024565206536	-0.027843800268180775	-0.038459239587021965	0.08072379968369739	0.034714801440806645	0.018501074278693203	-0.03781818037143901	0.024595305597848442	-0.04843037420245305	-0.00419624643755891	0.048459530804963485	-0.025974011977402504	-0.038534032447381024	0.0367247165000715	0.05769682523543525	0.0755476202977733	0.004402566691691441	0.029492552079882012	-0.016686271201974776	0.018256229871822693	-0.027104809108313584	-0.022321155000574435	-0.12346594281043885	0.009506687336042003	-0.0833900934708066	0.014679587584291191	0.01030135834179103	-0.007317923628335685	-0.02825833342660981	-0.0040875363754571325	0.02452020391728234	0.008736796313441018	-0.0185652205977287	-0.0026889482103642087	-0.04650561499208985	0.0008708495039278379	0.07136018958486602	0.006481333152746866	-0.020471202390487962	0.023724632573085526	-0.01004369082960501	0.011004724980321722	-0.0078068324107406755	0.02017101401297043	0.049006220594183796	0.01532696670860832	-0.00818888660443979	0.04021539043493783	0.030718414248997808	0.005532018383640845	0.008271860573157937	-0.022154893653076893	0.01242354763624593	0.004449617630057591	0.017964221514249413	0.07278549564293113	-0.015570277463037411	0.0028507344262309964	-0.016380195660247173	0.019765139006972122	-0.017004325554610827	0.048056134868006056	-0.016220023363699036	-0.02574834066601646	-0.0013264513630633623	-0.01454403602627009	0.010965187581377621	-0.028460409181810923	0.027122608346662684	0.005519769683414988	-0.017089091809351385	0.016638637792241662	-0.017465282879873534	-0.024406698665764146	0.006576816393519104	0.0338413482727296	0.021423673196800934	0.009552995342764046	0.00806224291639864	0.030396165785531563	0.0021466580370152187	-0.033458064764887725	-0.022389920743303187	0.012712733401648517	-0.00034054100808316226	0.007383301192829605	0.025373025789156546	0.01953549289639107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475498	-0.04363098077654414	-0.11336193026446229	0.08294845649898987	-0.0813749341633551	-0.1757147279772576	0.05671315552715006	-0.045731938215361166	-0.1544752431228933	-0.10863095367735959	0.04933250453635225	-0.046811079023417336	-0.07455920211721727	-0.014313676478011076	-0.0034757187223943406	0.03163422251367968	0.025302647703075717	-0.04298820832534327	0.02434601006521465	-0.027483754334713877	0.01736865945728715	-0.01935547992291494	0.04522232480918124	-0.07090858002799245	-0.018378293606663893	-0.13162180805697093	-0.004607760151487383	0.015438226580998197	0.003268243796149449	-0.045689950655578404	-0.017414722248872482	0.0010825711353785797	-0.08386616365979177	0.0649841011962542	-0.029886100700209008	-0.07084593173877053	0.010967476255499955	-0.08806345565742321	-0.0025540190002446787	0.007222843028630133	0.09238583301888083	0.0016534112042982645	-0.03970379219025008	0.03329355715631891	-0.02391534440639489	0.008104062270841676	0.021977442308049985	0.020714245755610147	-0.06209762326217374	0.039690400073710025	-0.024992975543128005	-0.06703289753061993	-0.022812976520938073	-0.06506061666716581	-0.025347047838859733	0.029296816531930756	0.06683182746460983	0.02647109474893819	-0.05856417271168363	-0.03183223438499769	0.07508541265025406	-0.04152329219235271	0.02342720036516684	0.02821347567129028	0.0017224292774608808	0.039888648215904286	0.023409891618436998	-0.07349494828564034	-0.01462725607319133	-0.0040406922212375814	0.06717625351015438	0.03212699637620911	0.08446188077135644	-0.04707897496799892	0.010565621265630935	0.042862688564618466	-0.04510665608268214	0.04085837212007338	-0.028959458505637848	0.011201078989000269	0.003426830871600692	-0.01237067761615816	-0.014292317948393668	-0.022094246714715562	0.0144848776031461	-0.0038767251309331312	0.002587697721820181	-0.014953362213440685	-0.04423529994174273	0.015957638215017438	-0.020938381566572822	0.01393158691208081	-0.00938653406579455	0.031610242347480985	0.002832091367730104	-0.0023735669486859646	-0.00478716579684274	-0.00013501597074764781	0.0017842745560147273	-0.005760896451792075	-0.0080410654642728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475499	0.10464587610655932	0.10139053849230519	-0.2963259982364098	0.1122275958873885	-0.1466455803859625	-0.15535695380325146	0.07652493411198019	-0.050203599064184916	-0.0031841698655318976	0.060887704092462414	-0.04745366395170578	-0.057873226558819935	-0.013585710348815672	-0.07909413189256562	-0.013141760918792758	0.042336460948299626	0.03299029879733979	0.008594669858670854	-0.04325791159999753	0.02270509694547494	-0.173783876005236	-0.15756574425713632	0.016437028805493307	-0.15732517865474044	0.13502199799585632	-0.04691710697882933	-0.054999621006452865	-0.012240985029591082	0.052302022478067874	-0.020992171173689834	0.01093787889765142	0.01860800819153823	-0.022221878735553004	0.01103855256715699	-0.03989663930527851	-0.05378337024372002	-0.011368000597003792	-0.03686992573371426	-0.022060593828067788	0.08831086714440775	-0.12617693897336313	-0.010259536074549325	-0.031916753248225904	-0.027582237996548187	0.04198070402368069	0.04978169475489248	0.06370129010701146	-0.006100524988381168	0.06307867696951176	-0.05876249259628808	0.0540826253394079	-0.012688364035349257	0.07702914371648294	-0.02242103056636231	0.014485588849816792	0.041061074171839275	0.0026122785377360037	-0.03588421528234585	0.0016700573485002334	0.03945081151969109	0.009374577412395882	0.03326917639120467	-0.051590644915044254	-0.02767778141040177	0.05000306590426107	-0.036051498032905215	-0.027397979066921836	-0.0394408285696913	-0.03583102487970841	-0.04287784382134762	0.054260323210973266	-0.009910878628856163	0.02396569459303429	0.013500357296787707	0.013290468092794714	-0.009290180915075445	-0.010041468413681736	-0.006502872925845481	-0.04528571296795382	-0.006174629465193413	0.03971851350034188	0.007735538103662435	-0.016446067933675458	-0.008107857421962239	0.002784022680976545	-0.0024438708233075414	0.022877735816718772	0.02632971324861965	-0.005401632928862687	0.020618398226936573	-0.011786708892962674	0.008227432346752645	0.020429630203471664	0.015784082736680694	0.006075516082574318	-0.003808364598076407	0.006454614553260878	-0.004632493597383701	-0.004061054093573056	0.002782727141993475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475500	0.18914976858431312	0.12287021523149541	-0.24733891470882263	0.1649190975338267	0.1339595177098652	-0.039997461015066696	0.06373393983711244	0.06671580704782366	-0.14806526145981785	-0.03635288872736904	0.09712117065195437	-0.2472502617581069	-0.140107418862182	0.018347573748081818	-0.019842420142161716	0.13967113939972442	0.029979269111428473	-0.0805586470001435	-0.06601495901215175	0.0013196978170698182	0.05505695658570789	-0.037810650543699025	-0.12440718387700683	0.11590683811851504	-0.20007914212095607	-0.22496601772247474	0.11070777569282551	0.03212036478126125	0.03980881428640701	0.10175579037996105	-0.1908657528624337	0.004020298172192418	-0.06992211538274	0.06034419589529386	0.07118658326989569	-0.09911425819733664	-0.007295936807275886	-0.03664074049450504	-0.013397122056185814	-0.0016344694367925086	-0.020975887272618118	0.044054213166989264	0.07324630044660825	0.021937718805896803	-0.016726255821825027	-0.003021871328045783	0.0020918609239155847	0.003863016297646749	-0.022855538467758334	-0.03483222421089857	0.052650818373141665	-0.006645833012104351	0.01664365569011202	0.021545238680740954	0.00024476431496651307	0.023500329947628067	0.03608797163191082	-0.02239850270694093	0.013962065030615327	-0.023642947171065243	0.006777016969221184	-0.026986304949472132	0.02040333056493985	-0.030948555480787582	0.0003651755279438502	-0.008808509874126591	-0.016551768340289836	0.006210951461092533	0.001112824029806185	0.0017402225349826316	-0.005901906160196643	-0.00892184909900074	-0.018770798133628235	-0.004049138459412671	0.00013671141250194403	-0.01726243151376485	0.005047380120266172	0.008969992783160255	0.0031211550003816518	-0.015290860999958458	0.008338871502722644	-0.004452973177280526	-0.0029106242495248267	-0.0123229937480519	0.005302677319052371	0.005593924295527659	0.0014279406542157755	0.003408531690051957	0.00363443919820715	0.004395839943087218	0.006213306138831476	0.0024935387367249263	-0.011247599313027604	0.00207794645400641	-0.0025674858896510117	0.00046985582545900647	0.00263380662535662	0.0025292407515766532	-0.004321638993260629	0.0003827782777433458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475501	0.3035148496397651	0.23769815270652359	-0.08830475771075444	-0.0135895484327785	-0.14671151231161395	0.053202118795253134	-0.18563375046855685	0.13289435610653555	-0.07531877559962931	-0.10770636084516592	0.23344547105529673	0.06494306791837745	0.18878722395822928	-0.004157325557165249	-0.05486896762047254	-0.07840905455762727	0.006629620410115017	0.06453163987390007	-0.0204451507023358	-0.1357869413293412	-0.012675420177818584	-0.02195083792372263	0.021409247385812805	0.011682690809119137	0.004109692114431367	-0.017025836819063774	0.007064321842061711	-0.04546849251252605	-0.05273950023369933	0.06142604418240591	0.022350848043255808	-0.026779279116004806	-0.01684620330735552	0.05136653715452133	0.01955441228524555	-0.028070382223064766	0.03181955957835704	-0.0053923703065555965	0.004770128830036229	0.06247989131666012	-0.04695280582922314	0.013196461639181358	-0.012912066235183785	-0.03925421256491328	-0.05013909315084232	-0.03418227903810394	0.006866796452093853	0.00716590578060388	0.012586216354339456	-0.02025669187585729	-0.02891629180080385	0.0017720819972497188	0.029461022414830392	-0.029722846139838024	-0.025722373490115743	0.02948624832078725	0.010685358720198728	0.0074731065858684225	0.018871953897902673	-0.02257696512491554	0.0006330170209651059	0.0260807909170469	-0.028968748680161784	0.013017897299401527	-0.02216631332004787	-0.01449885580863725	-0.0030518069831154382	0.05377368986449874	0.03760819121232857	0.033906674308162195	0.0080798241299777	-0.0034676711221056406	1.8097080085596828e-05	0.031012732084958482	0.023309223189318322	-0.015266281418658436	0.02373188988797197	0.03476997732533029	0.01427006507663739	0.03374384524555328	-0.05293196039233392	-0.019957344516620252	0.01783113871545193	0.0013302870804923	0.007565761307465927	0.0038861176600625065	-0.007086597218899931	0.014884430646502444	0.034848071667270206	-0.002228710800824449	-0.005848120362545793	-0.031335012085252675	0.011356944651665979	0.012262293250750955	-0.0009805593815956108	-0.0026397746027098483	0.008887365466895135	-0.003743174066137402	0.0014854560017500238	0.0025911808702604898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475502	-0.13629880713609066	-0.034399663651705666	0.08286791240414736	0.026833275667195754	0.0038830114219599904	0.04062563508082611	-0.02356672707009627	-0.03715489062391366	-0.04508299632535501	-0.003180509935393399	-0.047397879285260305	-0.02994847881570308	-0.023158725391001212	0.02277978901465752	0.03789255052401819	0.03829878292846536	-0.018362103190966633	0.036232581041271014	0.0365114322459892	-0.006528470895002464	0.07977133569811873	0.12640429633509587	0.055063619043039566	0.03540981236305671	0.24825881021858584	-0.14605757290847343	0.02795038214358138	-0.04863082606267083	-0.04757325214584649	-0.024536311287979284	-0.06359151518622272	0.04279414309851393	0.10073436917623918	0.07368982495870033	-0.019948949252111724	-0.0016230201277633374	-0.1200925433507046	-0.03657572481937903	0.0019142612849431357	-0.08649378786475563	-0.020256278922193234	-0.006131597899685507	0.03089098733683663	-0.09159524749503963	-0.03883691684979431	0.055678266181494726	-0.030117652638444833	0.08222643221543377	-0.06361016641872064	0.07020016785998431	0.04933929594766404	-0.023833651747965107	-0.023989578993344002	-0.06865183733639316	0.055212866577704287	0.09420949226042698	0.0023051511004153844	-0.004500077692360161	-0.012723341599152345	0.006825266743973458	-0.03352721170632935	0.005921237910991715	0.0390303721447039	-0.04644029412933712	-0.03873399122252805	-0.09708454606040358	0.019143327204275605	-0.028618949884366883	-0.048810489750601954	0.015022353448119814	-0.00349850625488288	-0.0023412696449766294	0.03816344249296622	0.0062815882749557	0.014011343063998137	-0.0213804462536136	0.010519460177845451	0.03411044685302513	0.011013636732000604	0.0005459468117590292	-0.010812741253788232	0.030337841273941533	-0.00434310775269915	-0.0009255130269073508	-0.020609340456607318	-0.01338394599456079	-0.019093707273313654	-0.004686491687705354	0.012279551479128735	0.0022237165402342073	-0.0023561126290624385	-0.003667667854971055	0.0008732619181262798	-0.0029464743885005934	0.003019235677983353	0.010670061542994647	0.005357097063983807	0.0005889547283407013	0.002554991986293295	-0.0019561918786737383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
