	PC1	PC2	PC3
PropExplained	0.5689487277240258	0.2914574232586757	0.1395938490172983
ERR475468	0.07866161088728651	0.012078863100020654	0.04729726901621811
ERR475469	0.042730510698975516	0.0021995003459459594	-0.03532748266891139
ERR475470	0.04073587130944424	-0.04374985379967474	-0.07410176743938535
ERR475471	0.03735429191053772	-0.055335686862916594	-0.059987266848638275
ERR475472	0.0341037628625951	-0.021520922586914536	-0.08455253787989948
ERR475473	-0.01293634966954444	-0.008121067176410868	-0.051366786394811896
ERR475474	-0.0064157128838257405	0.04485452708561945	0.0263745903177399
ERR475475	0.009193136815523039	-0.012615145132827498	-0.03952238317714417
ERR475476	0.0017987605856405703	0.00328155105962908	0.041533068952855384
ERR475477	0.016742100307935583	-0.00613588568522498	-0.008109123276264922
ERR475478	0.12951254935242965	0.02788403277381444	0.027416282958648883
ERR475479	0.026590019361581622	0.061877718980373614	-0.060915847251170475
ERR475480	-0.022425079252394186	0.13379326479918924	-0.07883629737124462
ERR475481	0.04686951519810975	0.004146995660608289	-0.023987768284059192
ERR475482	-0.01724131015540519	0.1745397581488893	-0.09738474076747043
ERR475483	-0.002150472844299603	0.14138063396050732	-0.042510941013047115
ERR475484	0.01876705006703827	-0.016101068010825403	-0.053462120700019614
ERR475485	-0.008005435852206415	0.0392587261919687	-0.07823892333108252
ERR475486	-0.06609657552277642	0.14063726381344493	-0.06882388380846366
ERR475487	0.0167384081345907	0.12274303149770091	-0.09437255597946673
ERR475488	0.011371771717124763	0.04259113462831632	-0.09211588454088292
ERR475489	0.009627799271051537	0.12357898955029288	-0.026332063110585918
ERR475490	0.04524247943146192	-0.006172338174944192	-0.038310126304834165
ERR475491	-0.0949191314325418	0.01311776078679621	-0.009547577690658492
ERR475492	-0.008222595155832884	0.01988463486534467	-0.01721047944687045
ERR475493	0.07119832867682506	0.025362121318369114	0.051099029846445064
ERR475494	0.02907756011134087	0.061066910806658735	-0.051254848905972455
ERR475495	0.04370312084210072	0.018146679015555632	-0.04310897063020405
ERR475496	0.047613876656162485	0.10435301885547749	-0.067172934204427
ERR475497	0.0026120093878136577	0.10250978809474587	0.1580341471236195
ERR475498	0.06198566006382404	0.032516552672396545	0.15432696185772685
ERR475499	0.008004806615516691	0.030652925163542382	-0.07486748142346705
ERR475500	-0.024043226543132252	0.021214557589683557	-0.05997356554538004
ERR475501	-0.13272075852238452	0.013464150479443738	0.04021959311821606
ERR475502	0.07034882976051053	0.03911355580913668	0.10021637866437637
ERR475503	0.046723231588062374	0.06061389986556864	0.1005569368983195
ERR475504	0.05672429572254005	0.039024695235461274	0.19737260530199655
ERR475505	0.05300453220037717	-0.0015154695104797472	0.06567869854620241
ERR475506	-0.06558104203850015	0.17748143519492204	0.014425560126916134
ERR475507	0.08765576278515247	-0.06537409188977414	0.051508414378274234
ERR475508	0.14778917796390112	0.038094920212549996	0.03916812278460792
ERR475509	-0.02769818191559297	-0.03734308126310792	0.039088248151375224
ERR475510	-0.050424755555105	0.08699471239197591	0.14475545086709404
ERR475511	-0.012105341001817413	-0.02268423541194506	0.19042903004759731
ERR475512	0.04590456890912533	0.10601686809529592	0.009739632643003947
ERR475513	0.0970305266331501	-0.03374672078498629	0.13443679829631383
ERR475514	0.10298992287256058	0.04431899793117858	-0.08127543320724004
ERR475515	0.029076878380337484	0.11520949274852485	-0.021261277374635852
ERR475516	0.08027822703253625	0.026441310550408027	0.025067119695947188
ERR475517	-0.04650973634116792	0.1505419638388145	-0.0031656205786804864
ERR475518	-0.012455660734422903	0.035228761488220184	0.07583799675471635
ERR475519	0.03880445721199515	0.08440477504861178	0.08096803171289153
ERR475520	-0.04925524442207419	0.019682582754757903	0.10323025903826404
ERR475521	0.09718150576424137	-0.0874753380198444	0.13099296673211502
ERR475522	0.04152169216166282	0.03558212277832514	-0.06997723033696292
ERR475523	-0.0924733900795991	0.09517256705726831	0.039656683120872144
ERR475524	-0.0678556142007285	0.08269491917933078	0.11537364926968795
ERR475525	0.1112374252650741	0.029711996454462503	-0.04101261511592239
ERR475526	0.09610121094861196	0.012539635424965091	0.022496717166792506
ERR475527	0.12046510212413651	-0.03944067316166863	0.027160850477408953
ERR475528	0.08197286200685225	-0.06231309234387271	-0.09015539652686873
ERR475529	-0.06521970700342578	0.05321463114363145	0.006036176180105053
ERR475530	-0.007063117863561678	-0.030354077701116058	0.0013050695133813538
ERR475531	-0.015559468102495585	0.010737578855065981	0.08212855432074893
ERR475532	0.07514463207932363	-0.07485443757641436	-0.04752490857570382
ERR475533	0.021547619762798047	-0.010498693772887997	-0.010150851253024345
ERR475534	0.08750065638478077	0.016641121478249733	-0.00022469715402786668
ERR475535	0.0747647458631937	0.010104356433734953	-0.01116559184747887
ERR475536	0.11410173385785521	-0.03757857347414652	0.051211771419252164
ERR475537	0.11065373450809687	0.043012579309894064	0.07831248710472488
ERR475538	0.05265698205143688	0.015090441350791094	-8.045187038862537e-05
ERR475539	-0.07592645547225395	0.004761678749764204	0.07556312291752879
ERR475540	-0.05491748945185864	-0.02187900072245757	0.0551971175519611
ERR475541	0.0232186097387877	0.0013826523240474328	0.027630812848644333
ERR475542	0.009785828766267546	0.07041572425574694	0.0036993870058017707
ERR475543	0.09279090293398824	-0.015718296176181944	-0.02831796908097226
ERR475544	-0.0034463820047328673	0.014048537748865202	-0.04447635373832114
ERR475545	0.01629225945039341	-0.0029296608711019464	-0.008630210287120249
ERR475546	0.04799965260157174	0.022599718771306433	-0.042370834168936326
ERR475547	0.0010150283266797439	-0.03330451321921298	-0.03608437731277004
ERR475548	0.103198001034073	0.004311079517680748	-0.018870228856435634
ERR475549	-0.009585205785525363	0.1042818674088567	0.054057401560394555
ERR475550	0.050863514472940095	0.11639326761179158	-0.0029815241814772353
ERR475551	-0.051226743534033954	0.03110944770630012	0.12819515048064994
ERR475552	0.022636866914119595	0.05253306370830587	0.040480141771061566
ERR475553	0.02240718610883148	0.16185613800756682	-0.019705362899524938
ERR475554	0.025220440430024842	0.009721760892773147	-0.05459400457284743
ERR475555	-7.918978312128691e-05	0.1279710723457479	0.002293930785492969
ERR475556	0.10585713653428028	0.014758558733155777	0.015055269521692147
ERR475557	0.03108031582187277	0.013035502844026981	-0.04281579825962248
ERR475558	0.05862808796977164	0.04671570162087731	-0.10639126249984757
ERR475559	-0.013686532838104561	0.15262300378258797	0.04198681964832366
ERR475560	0.09379075831831499	0.08363022756648447	-0.029820543457100987
ERR475561	0.09721652043576078	0.0942093949071254	0.017640638697346354
ERR475562	-0.101052649428297	0.01523314936512167	0.028888950378680837
ERR475563	0.06690783674525395	0.06376841419038948	0.03173170003664541
ERR475564	-0.06659999990254843	0.1751332292668933	-0.04368938854849364
ERR475565	-0.013291917065246937	0.013884463364163865	0.0936917355426299
ERR475566	0.10143176597019746	0.052807915742622384	0.030090134792930077
ERR475567	-0.1115158487257472	0.019994148835771795	0.027206335152213067
ERR475568	0.018862341824808053	0.019336141994324558	-0.05352078003936414
ERR475569	0.08000962030435121	-0.021325167743581258	-0.024076550846777223
ERR475570	0.07947110486017639	0.06709573077770732	-0.02620105469128273
ERR475571	-0.043622254887610006	0.1464823782049149	0.04496120531188353
ERR475572	0.011347674357760747	0.1494353565912409	0.01392672390319076
ERR475573	0.11171680987743397	0.0009335982695048463	0.026308479934494845
ERR475574	-0.009651761627129999	0.1407874279242958	0.043784227126217184
ERR475575	0.017049797097849834	0.11606624849372207	-0.0021661745832772944
ERR475576	-0.07433342262719748	-0.051967889040104104	0.0072274165249910025
ERR475577	0.07661967247273507	0.03223762046856561	-0.021194187090519966
ERR475578	0.028228358776884375	-0.047722740299151904	-0.03005219168395099
ERR475579	-0.07737298408574503	-0.025339553876743266	0.05166884066510557
ERR475580	0.04024818920176272	-0.00805427924753696	-0.004322671672744337
ERR475581	0.045404908507126265	0.03958861268049137	-0.012682422654343682
ERR475582	0.08042643103680883	-0.008651729321630948	0.03190779527793332
ERR475583	0.054527903243517244	7.38901753469419e-05	0.02464009703701902
ERR475584	0.07024188454534798	0.03340217787730568	-0.004638561683079936
ERR475585	0.04795535129190133	-0.006182937306746751	-0.050155600617507116
ERR475586	-0.1630384132619794	0.09300988071671326	0.05829614969915415
ERR475587	-0.044463745215385084	0.12738781054011705	0.036458111984183424
ERR475588	-0.11943162869511578	0.06499621115418384	-0.045503324092242385
ERR475589	-0.03622961745243392	0.0621316775526201	-0.08510107378444196
ERR475590	-0.02008718582380523	0.01223216820506351	0.10012462022514317
