	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112
PropExplained	0.36016928018218847	0.12128159897105256	0.07531847402898018	0.06472880574634805	0.045119833340611745	0.03539728044174724	0.032345986385105475	0.025488826879253922	0.020211814712763235	0.018677835919029998	0.016350188283584918	0.01500883893823063	0.013399419826461161	0.012566225566243755	0.01102685786545367	0.010129428425435945	0.009219837488643782	0.00889996625655487	0.007707497750843362	0.007372284589189818	0.0071358575217598235	0.006430508449835472	0.006183815709034788	0.005818299666177994	0.00512694696956475	0.004439196641662718	0.003998026254183193	0.0036631866508261613	0.0034742050653453287	0.0032743642525229068	0.003113590344761465	0.0030100604129984112	0.0026913084138550226	0.0024701953524392133	0.002364180497829611	0.0022325974989239796	0.002012984111490258	0.00196844471722167	0.0017779287231710114	0.001770417366114322	0.0016632073312175925	0.0015571724880664814	0.001468342375211823	0.0013129483169574698	0.0012576484359112148	0.001175047227227083	0.001081330744346163	0.0010036284832551012	0.0009322056101245116	0.0008569794028458122	0.000734105473196097	0.0006309759523887092	0.0005127398037263688	0.000503979799907573	0.00043863685435398904	0.00040048565364085776	0.00031942917670753286	0.0002961056398035776	0.0002003552535877011	0.000160474415739399	0.00010265864097438174	1.5146703369596174e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475476	0.3701399957629597	0.056595093385421784	-0.08827195997479413	0.08216275641414969	-0.022985032125263028	0.031065631686961033	-0.05282511787008855	0.0027805742990461295	0.012634786078377624	-0.04854927664153783	0.06868580880251755	0.06122597205242672	0.022853048332031427	-0.0012508553042624088	0.032705475913958844	-0.037985842164135426	0.04099627903083043	-0.024315197444740633	0.05854766103358802	0.008112439761688123	-0.000981469454086847	-0.017257400807898195	0.03709359833793937	-0.025453339883860556	-0.0003197884733229404	-0.002376884956492421	-0.024702830594829472	0.0016899517277091038	-0.01035528875184087	-0.011904921256538099	0.010764452677704121	-0.0066926950742393285	0.011646149293100738	-0.020185405968048485	-0.02102627183865876	0.022806878125647786	-0.00035891776939558126	-0.017820482769238363	0.008125500011141686	-0.0009506252142843048	0.01001671030569469	-0.012325529051169008	-0.0036326784103233424	0.030049719195036212	-0.009112998097886836	0.0009055262574820031	0.006596449004877492	-0.006644312668346423	-0.004581769447404063	0.004608281520265245	0.003608246405043965	-0.003107213065257897	0.010001097288223761	-0.005724253310250236	0.006698667271557802	-0.011675869967408319	0.011597862523554294	-0.004523544638299905	-0.007017056881770107	-0.0051213134728484875	-0.0003492178420544625	0.000652856616309283	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475478	-0.2088613256204665	0.05611660230291946	0.10600176594059779	0.07557624899521499	-0.010421887683392169	0.03828905029897004	-0.03221060203398179	0.02483643194906914	0.011237731265662092	-0.022389883604593295	0.00024171602869511082	0.00012177279141845604	-0.017788188851745095	-0.04334034508922368	-0.03851778446373437	0.022990057635915766	-0.00011857355321712934	0.03722199760403792	0.028286869981084917	0.017980569872155332	-0.01600161811591806	-0.03199403911023492	0.02422909194507115	-0.0425332021018724	0.007616206252331456	-0.006500459323301063	-0.025372324514380578	0.036553056685566014	-0.00026647703440061977	-0.031327255836992536	0.01674323750609935	-0.007851390948087397	0.02578979992853946	-0.012552470809205874	0.037625484852193775	-0.016038091114211034	0.011772323933228588	0.031817074322152264	-0.00408867967220513	0.011511956426371196	0.01245612309909778	-0.010274645986693169	0.018479629634651752	0.02018343374329885	0.008431133200845665	0.00021513057248101678	-0.006479956782615552	-0.01089554317205788	-9.671611545059358e-06	-0.013057006206361464	-0.005123518485852249	0.012715163603318208	-0.009272909891320088	0.0031947601329493634	-0.012790320796639448	-0.022870806565237132	0.011338799599581404	-0.01407670286216003	-0.007363029043495301	-0.005435635123325669	-0.0078120003922540785	0.0014478306128777642	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475493	-0.17747249924750075	0.12640971844354587	0.005810610198226743	-0.04612925801729473	0.016920695198054343	-0.003537319265126777	-0.06077615296287544	0.08111994756372558	-0.008042928326734103	-0.03592330030822607	0.04341580206210739	-0.0034025593516545803	-0.026710681127557468	0.001569704234744141	-0.04262239247997844	-0.0003071063613412308	-0.031427088379264584	-0.021793508155461327	0.031410769383919866	-0.002595112125243623	0.023861595867977033	-0.02247892955540979	0.0077002632584540496	0.013806864206811808	-0.014571351038044269	-0.03387001399928051	0.010909335530166611	0.005553726562751606	0.03539730107673572	0.010164806055787174	0.011189272519034149	-0.005330003262463251	-0.038863353645810686	0.0018478799913737361	-0.010503651499222475	0.010911802982868271	-0.001360859497126502	-0.008298483495160682	0.026141746825836264	-0.003719448533356658	0.009218378535076488	0.026195598669298704	-0.006756039542968354	-0.004709572316769557	0.004483616625167283	0.020160387167209432	-0.0251177530362597	0.005574871780242186	-0.00701683588772222	0.016323991153514572	0.014824548812149134	-0.002631982359906618	0.0018944951244020023	0.0071527456749614325	0.00037058040783369316	0.0017660226659978458	-0.0062590451570280325	-0.007722920091397831	-0.009508504616255634	-0.003989413518376133	-0.008756236704401529	0.0011709707391795213	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475497	-0.11150479484019563	0.1377144403556588	0.010739125890819424	-0.11808568203659625	-0.01107916448983023	0.03321807865394034	-0.09700386870031177	0.02078368340897195	0.025348768591789424	-0.041798245296014974	0.07948835554584863	0.05346274241697288	-0.010284779139870578	0.009842650321666856	0.034574290403620936	0.0019226623328238628	0.02137647791311385	-0.0268356688469576	0.015526929409131347	0.001963207608902457	-0.01511730962744665	-0.013850782659352594	0.00575406106497354	0.011227177195829802	-0.010492538445792236	-0.048524884482833944	-0.036845652339083775	0.00836472967321965	0.020184600782461298	0.015132252000806338	-0.0023967468463690204	-0.018305892956285343	-0.013174912577607636	0.0394401251364375	0.011211470771650887	-0.00995016901051874	0.003950892881187289	-0.0011700635777574697	0.009508836002376389	0.024918725612597985	-0.01147981556889344	-0.0018937524767697238	-0.02686153227173244	0.019243998972479047	-0.01754596591258815	-0.0053086794977247635	0.0034849386065795448	0.0034398648513544964	0.018278758219269838	-0.010006180848987675	0.007475244901276662	-0.013611648271572742	0.01591233615178687	-0.006098814257179115	-0.014300155957129083	-0.0040115564246567354	0.004585169456466708	0.0017379252700040885	0.0033975073929972247	-0.0012332116332014853	0.006096378029385351	-0.0008361987777948087	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475498	0.023308969096126075	0.09962683170283719	0.02643775569912839	-0.078374479813416	-0.07862277288698508	0.014043353157824841	-0.05647425839160162	-0.022041343250941117	0.07858614018384409	-0.005579057311054285	0.04052694027778574	0.012916631887479662	-0.013929471166919874	-0.0252979073991286	0.017263412504372865	0.026590626158042054	0.017237775701222684	0.015522388603235907	-0.022527484773967817	0.01384736187823519	0.013451325294857345	0.06010459221739565	0.0061654227637470615	0.010620948769315932	0.0019392945939125767	0.006777100337482209	0.01404686220394512	-0.017641270648169588	0.007050494456918767	-0.019120782843570293	0.021805615822824025	-0.020311409556191973	0.019308721187639436	0.0010198733809051023	0.010203564580705309	-0.004908446804506098	0.01835875644086419	0.0025008224365996846	0.01713619188795591	-0.016931321068081207	0.012164515746159265	-0.015428366196178362	0.00064450226122238	-0.02871090547411911	-0.0019260050652480836	0.03338951526665411	0.013311274913240132	-0.009978696301135462	0.01582543186607152	0.013131358832756417	-0.015549542137029441	0.013962298596267178	0.004544992633854526	0.005906547557262907	-0.021442079473107403	-0.004823854788131083	0.019677436889641107	-0.0030648846466289803	-0.004712279211831973	-0.0002852199203642731	0.010304030776588915	-0.0024396612515990347	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475499	-0.1065187627018983	-0.2916107141874064	0.201561930828636	0.14186535470027295	-0.1326875057894241	0.14745931855846436	0.03328863452789908	-0.011587724691489887	-0.042216775383316626	-0.01025758093671437	0.031779312312700016	0.0455450174911953	-0.04328179331011867	0.05665675596249099	0.059038840088649465	-0.0650620329807406	-0.08945375568913222	-0.01375783184059378	-0.004043439369264243	-0.054503202138760844	-0.08223075147308688	-0.04280665724349093	0.0047216767340379434	0.013923305971842131	0.031538649521734	-0.011745815844963177	0.04320190901182232	-0.02345659579136931	0.012539151905691055	-0.007038288218613208	-0.01482629492446719	0.021691206382456907	-0.0020015180975261238	-0.0005622496278682288	0.0026516671417133645	-0.03123161144853373	-0.0012655474288409182	0.007876869266395355	-0.01458326246932423	-0.013709990146021579	0.0031440801104513504	0.014367908149182217	-0.010820174161964425	0.0037293216865713977	0.0008403449537676638	0.0046089253326163475	-0.01385292681203852	-0.005824357970368356	0.013949670175071835	-0.003854818672934437	0.0039587639586162295	0.0015421235219499545	-2.6730980983090326e-05	0.009411556112902867	0.004388737882803149	0.0052750675796591805	0.006940724852433889	-0.0021289265968995486	-0.003562291015777024	0.0016395011559181309	-0.002196004527745868	-0.0014821703429399346	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475500	-0.22042612102573841	-0.32569643701158996	0.09781733755485254	0.12572551188410067	0.22934658467136393	-0.022750937781973003	0.06143024034932758	-0.005759516923617868	0.08013875449816778	0.051616944188185784	0.06751363026378401	0.0123451031970853	-0.09987417311847026	-0.0086242511707694	-0.01053686121571841	-0.025895254924156164	0.03331921291072626	0.08697610240420312	0.020185023022281794	0.08008070121750484	-0.009718482210300798	0.05776185813539553	-0.02637873906214544	-0.035450122873939414	-0.03153097882230866	0.013462773558810887	0.051116375719169375	0.02951911911200249	0.011496484062068657	0.04597480336037279	-0.003621260395476043	0.024937939491181175	-0.046234834735284676	0.017109639804087466	0.014270196918800148	0.021762883344768166	0.01931428966195823	0.00962254307945309	-0.007975219736612896	-0.03143246929404978	0.0012518023313329047	-0.007745112384902452	-0.009053711323034183	0.0030394531353118833	-0.00417316073060883	0.012330422854549114	0.012248969541832362	-0.007344953149153201	-0.004089982202847975	-0.0037046443754437334	0.001234792838971867	-0.003257791104172034	0.006183735276677797	0.004077680385024222	-0.0029459211468712	-0.005501118298256289	0.00641876013450244	0.002163740124822301	0.0021425661782866335	0.004981035861364065	-0.0026681784322546867	0.0011813121986097308	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475501	0.35739595672259505	-0.13440825746307467	-0.07595749514343623	-0.08602959724352084	-0.07089143496065058	0.03955785462208744	0.0801240891304969	-0.013538869166535222	-0.03560830605442429	-0.09535287244056441	0.038513250703113566	0.015399194499765166	-0.03491713405306307	-0.014891716860324268	0.020119299640174792	0.05155778120280857	0.032837156507038036	0.036980765499811385	0.0004387155371763268	0.04033631462956407	0.011019440700431886	-0.0007327300722429444	0.007066039253347739	0.007796019466436114	0.007389779797957327	0.04589676843835859	-0.020943855422038374	-0.0178992639258608	-0.01628578111490981	0.014608811763326877	-0.006511777852708147	0.008874563969773852	0.017726420337052393	-0.02035527977357686	0.013436944939970111	0.008520342506677187	0.02245105955135842	-0.023996069167538447	-0.03110665646778583	-0.008826375400947729	-0.00938970950778255	0.01512085252153327	-0.014195341364969138	-0.007039345096422259	-0.006834430266648151	-0.02677024219393084	0.005270005102161908	0.01069925243523722	0.00873372461619257	-0.0033522582380103695	-0.010275642080409965	-0.010874421993725444	-0.00495561269878695	0.00029815168563466474	-0.007161419696117854	-0.003689460683240768	-0.009220839536526502	0.0034321410299039076	-0.0051839989289815	-0.004317116600614648	-0.0010155830646665644	7.459714617727684e-05	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR475502	0.15635785976390404	0.08945358292326583	-0.012831745020371538	-0.029083486213260054	0.010290794081843501	-0.009984695703118432	0.024140688233332413	-0.03339229084459001	-0.044434884648108325	0.04663011498692239	-0.09310018888519177	0.03776082980106268	0.021408339581829514	0.027308751995525442	0.021836903012328417	0.06087990966762281	-0.07322355801857104	0.009357661280591815	0.009239490803243385	0.04342744306146509	0.03160146842637647	0.026974816101887827	0.004810174185625722	0.055790003867653926	-0.04914246888425819	-0.025765330419700163	0.035453406849148925	0.03228948372054679	-0.026171571421937795	-0.04034724965239658	-0.017410015378367526	0.02801971294500064	-0.0004405858540419666	-0.012356134202925168	-0.0036782960840499343	-0.011060878636301518	-0.0037395910916091105	0.0009300435088744115	0.008638341137305995	-0.0033693246782060624	-0.040031368795743684	0.004845806617478519	0.005646281540620142	-0.0010016015557365186	-0.005707516220066847	0.020846946181530778	0.006004105666104028	0.021617651893778806	-0.008464764374342557	-0.0038395650655605137	-0.006464414427595878	-0.01764726711084923	0.010186468263542178	0.002533956570608719	-0.0020215337709709636	0.007716938918681737	0.004397802547252941	-0.009326959478617544	-0.0006793037736205764	-0.009673210880145076	0.0036536456959046807	9.572747421064447e-05	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
