Eigvals	3
44471568.62970864	1392.0495380331677	201.3878527471542

Proportion explained	3
0.9999641708096063	3.1300889645150166e-05	4.52830074109204e-06

Species	6763	3
n6762	-0.6170878409348071	0.001110773883994228	0.0017093369760725148
n6761	-0.4987302923825979	0.007894766037574778	0.0064314603717243474
n6759	-0.39704450010410086	0.00032745339359312853	-0.0011417865468229325
n6756	-0.3959332157786125	-0.0035113780216045045	-0.004501014788130825
n6701	-0.22048388651572326	0.005808638955198281	0.0019789364747624973
n6699	-0.0030706192348480903	-0.0010906746133397221	-0.006773126009668065
n6697	-0.0029074284356786252	-0.0006864924085429634	-0.005836567905205205
n6695	-0.002333218636210795	0.005535239966399075	0.010362462580519151
n6693	-0.0022888524650314323	-0.0013116131067628337	-0.00983205694785612
n6691	-0.0020587559218287403	0.0003230316216086206	-0.0051958332274824335
n6689	-0.0017063142543847583	0.0004032871988787136	-0.004013705266644271
n6687	-0.0016752703910380606	0.0024837741012343002	0.0016879647030321001
n6685	-0.0015872582301882142	-0.00089400981220082	-0.009909978505564505
n6683	-0.0015109659078900003	0.002208263807988574	-0.0008705484503951635
n6681	-0.0014492697151457443	0.0016420952761514605	-0.0005256501083558876
n6679	-0.0012624488421374076	0.0020846298652696187	0.0020362553442896075
n6677	-0.00124729792065373	0.002442818061748592	0.002808359036837167
n6675	-0.001068052634686993	0.0037693593822843152	0.005105967980658405
n6673	-0.0008941696510315237	0.0016411742493258785	0.000589346231263806
n6671	-0.0008718791477168021	0.004862866428225387	0.009819436838286991
n6669	-0.0008272004546152898	-0.0012913892086007805	-0.009552298366152387
n6667	-0.0007854393153058049	0.0009250364881737798	-0.003705196836991026
n6665	-0.0005653210725334923	0.0012291490242956735	-0.003546880830614456
n6663	-0.0005221466288494357	0.0030956740896491896	0.00405571160152685
n6661	-0.0004462521118973802	0.006384179613621132	0.03605946988042432
n6696	-0.0004180852357442095	-0.04202884781583867	0.02544286613177668
n1668	-0.00033740693009563604	-0.004175712220888106	0.03586761373826508
n1663	-0.0003185020598060253	-0.05127647577984587	0.016116792162974045
n1660	-0.0002776156046163406	0.007875013763218516	0.03043205924700106
n1638	-0.00025911056997438806	-0.006629151920301124	0.019589562693897746
n1602	-0.00024596728490831405	0.03094147821461426	0.030859854652867794
n6658	-0.0002483783635900574	-0.04139246172722291	0.04391025857021159
n5912	-0.0002433704927121165	0.02995086770720643	0.010686704578237085
n1412	-0.00023987739344903092	-0.08210626108492905	0.022010500535675017
n1353	-0.000234884663379324	-0.01492226076232687	0.03470336138843696
n1350	-0.0002344336587177733	-0.024028573381704266	0.011946843147044745
n1196	-0.00023105701934575897	0.016408963917358372	0.035421059398220274
n5911	-0.00021855908595389177	-0.0073044514211816815	0.03857947651951991
n5908	-0.0002164352857603034	-0.036478979590920106	0.027510185360819624
n1194	-0.00018603536232338714	-0.006323921939411781	0.034882295369512116
n1082	-0.00016788127722931087	0.009876567711823414	0.006511614942531903
n1074	-0.00014784251204390383	-0.003862470520584716	-0.0022553267127691603
n6700	-0.0001444300777785819	-0.00512279746085288	0.0021953635775038864
n857	-0.00014175808378009302	0.0010549045256173098	0.005722772392328672
n854	-0.00014392768430176783	-0.0942380192325543	0.02401768638563125
n834	-0.00012770142996980399	-0.005556176899863246	0.015276095493837802
n6694	-0.00012780344278182443	-0.001163329499927198	0.05396189489857677
n2127	-0.00012934079527424279	-0.058458040208226474	0.025026006756488185
n521	-0.00011724676442083369	0.00261120804880377	0.03377576318083335
n518	-0.00011847637766717409	-0.04096078431241094	0.02089418101238472
n514	-0.00010597290770138161	0.008469465488422532	-0.0039302289871688476
n510	-0.00010463420951619251	0.014124627636449148	0.00238615082663606
n498	-0.00010688049451802483	-0.034038545243415645	0.01303803263008706
n449	-9.814834628290698e-05	-0.009636909488548048	0.004319265798223928
n447	-7.383731230508604e-05	-0.045217958551587195	0.012279162609099349
n445	-7.027794028542658e-05	-0.015176423778940842	0.034484909403868565
n442	-6.868898542980428e-05	-0.0053580788855567925	0.03508873514622531
n440	-6.338133071781522e-05	-0.03262536038458264	0.015825830693259442
n430	-4.489242110731866e-05	-0.002879151568001497	0.009106463356411812
