beta	psuedoF	pval
ctf	0.2416389651208922	0.807
ctf	2.4369968598012335	0.081
ctf	0.304907014527834	0.803
ctf	0.9927995735941448	0.359
ctf	0.1845604175857005	0.861
ctf	1.9041942905899756	0.156
ctf	1.6443227766531554	0.196
ctf	2.908249838173155	0.073
ctf	0.0658317984989118	0.973
ctf	0.9658338916631243	0.34
ctf	0.5233891482352145	0.572
ctf	0.08936414430434934	0.976
ctf	0.8296529670677008	0.41
ctf	0.20441871391782768	0.915
ctf	14.316752355190935	0.3333333333333333
ctf	0.20694760367422368	0.914
ctf	1.3279574509119292	0.258
ctf	2.7171039228517238	0.045
ctf	0.15460842477928669	0.952
ctf	0.9388986796485175	0.406
phylo_ctf	0.3507356190773939	0.768
phylo_ctf	0.8685456203833168	0.42
phylo_ctf	1.0194049818896374	0.347
phylo_ctf	0.11461516968615713	0.945
phylo_ctf	0.9667393309545961	0.37
phylo_ctf	0.08750041662118431	0.967
phylo_ctf	0.586859975197597	0.584
phylo_ctf	0.2982245880475742	0.78
phylo_ctf	0.5911976623460937	0.554
phylo_ctf	1.3454703433008033	0.25
phylo_ctf	3.145589426264806	0.038
phylo_ctf	2.0227021470450444	0.131
phylo_ctf	0.45529938685585114	0.672
phylo_ctf	1.5664751942016295	0.211
phylo_ctf	0.2627687611238995	1
phylo_ctf	0.5420296247402155	0.653
phylo_ctf	0.42980761005816903	0.687
phylo_ctf	4.4840941690564025	0.01
phylo_ctf	1.6474382292374306	0.186
phylo_ctf	8.243746634288408	0.002
rare_bray_curtis	0.83613177841495	0.469
rare_bray_curtis	3.478360634947662	0.001
rare_bray_curtis	1.5429680770100402	0.073
rare_bray_curtis	1.171606859559026	0.302
rare_bray_curtis	1.578796960388338	0.083
rare_bray_curtis	1.8018605975676707	0.031
rare_bray_curtis	1.4230549254533225	0.142
rare_bray_curtis	1.9909727586807227	0.02
rare_bray_curtis	1.779649537021414	0.035
rare_bray_curtis	2.0551220720112817	0.017
rare_bray_curtis	2.0149296957380805	0.008
rare_bray_curtis	1.649254374185722	0.038
rare_bray_curtis	1.536776984324414	0.07
rare_bray_curtis	2.0836250823658014	0.017
rare_bray_curtis	1.5678166067836439	0.057
rare_bray_curtis	1.7079825409762335	0.038
rare_bray_curtis	1.5673504176104218	0.059
rare_bray_curtis	0.690257836053709	0.867
rare_bray_curtis	0.5966253855971191	0.968
rare_ctf	0.1764190244198717	0.962
rare_ctf	0.03981320757547898	0.984
rare_ctf	0.2297158843758005	0.852
rare_ctf	0.5620848935541377	0.539
rare_ctf	0.3214113658023712	0.749
rare_ctf	1.078067200379959	0.323
rare_ctf	0.1895884083344677	0.856
rare_ctf	0.5636421260659233	0.563
rare_ctf	2.3934215428755707	0.091
rare_ctf	0.6134537423766712	0.497
rare_ctf	2.8684269899286368	0.059
rare_ctf	1.0672815535086126	0.328
rare_ctf	1.9907697369012962	0.139
rare_ctf	0.3337262233116254	0.759
rare_ctf	0.5184634655346152	0.654
rare_ctf	3.385782669666406	0.046
rare_ctf	0.4157191537438482	0.717
rare_ctf	0.5508362432295189	0.655
rare_ctf	0.039978851828047376	0.999
rare_jaccard	0.8833780733278149	0.473
rare_jaccard	2.6108779071486605	0.001
rare_jaccard	1.3452122694738806	0.091
rare_jaccard	1.0893687368515643	0.316
rare_jaccard	1.273878497108078	0.13
