Eigvals	3
649290.8525165617	12480.29353585232	327.79209469302924

Proportion explained	3
0.9806553297511811	0.01884959001864362	0.000495080230169766

Species	5973	3
n5972	0.024494923808338308	-0.0036973106967070715	-0.06046949025955648
n5971	0.08623910053901238	0.018564997816277774	-0.0431209441538776
n5969	0.08266310202344938	0.017830880480957507	-0.03934354365037343
n5966	0.00024363335932564887	0.0003079298929444311	-0.03635028402544586
n5917	0.002704921609585313	-0.0016854747915453331	-0.035686046501244434
n5915	0.0002925584461523027	0.0005864794193687774	-0.035981032654721065
n5913	0.00024320254889430553	0.0002941947573274445	-0.03568816712156475
n5911	-1.8697325480557593e-05	-0.002642714045717765	-0.03400553608131395
n5909	0.0002989827843985927	0.00010803127575704663	-0.03380561255352004
n5907	0.028801095351594475	0.0006157870306583446	-0.03116280920646033
n5905	0.00035959001074388117	-0.004713114284720225	-0.032440778002008855
n5903	0.00029799271307030583	7.605016913671817e-05	-0.03235419588619178
n5901	0.00029763044342913776	6.687355703012616e-05	-0.03185188217650833
n5899	-0.00047128536181094893	-0.0027207625635051664	-0.03148006131892363
n5897	0.0013143672274602445	-0.0018489999857479204	-0.03112837428511816
n5895	0.001216553421018586	-0.004605865331896223	-0.030554103268783932
n5893	0.026756202380382572	0.00046915261928319934	-0.028931239027829642
n5891	-0.0004711305031101513	-0.002624479200331423	-0.030597209601110495
n5889	0.6627115517419668	-0.004457601668045596	0.018602354168004466
n5887	-0.0004713817748768666	-0.002629088869434765	-0.030311467576483463
n5885	0.000296510697186295	3.316320421523132e-05	-0.030184277059071566
n5883	0.0012278805562564866	-0.0007357521310475442	-0.02933540273906315
n5881	0.0011371521087826368	-0.0016972326004981188	-0.02822050037833139
n5879	0.0011770629999482993	-0.0005918050621162675	-0.02802691289107922
n5912	0.0007596984163179026	-0.0011915569315556335	-0.02769035985873796
n1400	0.0002186125363294647	0.00041941081632128016	-0.027540053801402592
n1397	0.0010025142886388673	-0.0004339229873279765	-0.02725566595284596
n1394	-0.0004322041908895937	-0.0026156286302359143	-0.027136583391221714
n1378	0.005919595987061154	-0.012937066476183319	-0.025666664251950657
n1346	-0.0005743412579245761	-0.0027079441119199914	-0.027038318435175988
n5876	-0.00019563686433059563	-0.0022386659420152075	-0.026896082501542067
n5209	0.016752366443747786	0.0016811170670489738	-0.025900477940147923
n5206	-0.00045701011753000655	-0.002665559171580442	-0.026227767035936725
n1192	-0.0004267464102824088	-0.002489688737098838	-0.025765375256177305
n1141	-0.0004574140727198777	-0.002676725208212878	-0.025702089423971113
n1138	-0.0004338302581297093	-0.002654115057923395	-0.02522657318978852
n1024	0.0002176359657259738	0.0003761730260786718	-0.025391445955923193
n1022	0.0012071127782004676	-0.004542278627414074	-0.024482448617825166
n932	0.009772686316800243	-0.0013084377097915378	-0.02402488184063025
n924	0.0007555908250911983	-0.0012578907614690343	-0.02450374177820447
n5916	0.00021716277684711	0.00036068496204546505	-0.02467000591824185
n747	0.00018781897834359139	-0.001010178618370318	-0.024410547646958183
n744	-0.0003941236369660815	-0.002500966433592188	-0.02431058973258964
n726	-0.0005257164427865493	-0.0021613092088576154	-0.02428004132648769
n5910	-0.0004695445481677754	-0.002749310874182864	-0.02416609675293948
n1801	0.013042427015388712	0.0003232195893243763	-0.023311943814256005
n459	-9.55762630406395e-05	-0.001123596911121566	-0.02409804399827631
n456	-0.0003984641132138734	-0.002532962722746492	-0.02398887086811305
n454	0.0015901128288455988	-0.0014058585731558197	-0.023606346509746322
n452	0.001364634134303062	-0.0013386562356900449	-0.023566832733916857
n444	0.0026774171962868675	-0.006095257872885529	-0.023002985245284834
n401	0.01603311554029582	0.00048809258044619363	-0.02251460136308308
n399	-0.0005263559972442433	-0.0021818419602265414	-0.023477681199424984
n397	0.0030672484746669957	-0.007858651513408785	-0.022607451065541684
n394	-0.00047548255669436975	-0.0028182117475046807	-0.02328683204456182
n392	0.002550050265093064	-0.008918568213911219	-0.022519984607470442
n5180	0.0008989537129384078	-0.004456315654126909	-0.022897434290114933
n4903	-0.05459536245728141	-0.0027693280065615115	-0.026990078206179654
n383	0.0010458387633967647	0.0005110564930753782	-0.023163209635848406
